patch_id,page_id,phrase_id,review_status,import_approval,operation,target_id,target_order,current_value,proposed_value,reason_for_change,new_linked_phrase_required,canonical_target_id,audio_policy,asset_policy,validator_rule,jojo_question
B001-PAGE-001,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,UPSERT_PAGE_METADATA_REVIEW_ONLY,viet-phrase-city-hanoi-place-bun-cha-huong-lien,1,"{""vietnamese_title"":""Bún chả Hương Liên"",""english_title"":""Bun Cha Huong Lien"",""summary"":""A walk-in guide for Bún chả Hương Liên: say the place name, order bún chả, handle drinks, pay, and get a ride back without turning the page into a review."",""pageKind"":""restaurant"",""hero_image_name"":""""}","{""summary"":""A live restaurant guide for Bún chả Hương Liên: show the place name, order bún chả, choose a drink, pay, and get a ride back."",""template_profile"":""restaurant-live-interaction"",""proposed_section_order"":[""at-glance"",""quick-say"",""breakdown"",""inside-the-place"",""before-you-go"",""menu-dietary"",""when-to-use"",""good-to-know"",""explore-next"",""place-brief""],""cta_label"":""Practice this situation""}",Replace generic listing framing with a page-specific traveler task model.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,NO_IMAGE_GENERATION_IN_BATCH_001,,
B001-PAGE-002,viet-phrase-city-hanoi-place-pho-bat-dan,city-hanoi-place-pho-bat-dan,REVIEW_ONLY,REVIEW_ONLY,UPSERT_PAGE_METADATA_REVIEW_ONLY,viet-phrase-city-hanoi-place-pho-bat-dan,2,"{""vietnamese_title"":""Phở Bát Đàn"",""english_title"":""Pho Bat Dan"",""summary"":""A walk-in guide for Phở Bát Đàn: say the place name, order a bowl of phở, ask what to get, pay, and recover if the line or counter feels confusing."",""pageKind"":""restaurant"",""hero_image_name"":""""}","{""summary"":""A live restaurant guide for Phở Bát Đàn: show the place name, order a bowl of phở, ask what is available, pay, and recover when the counter feels busy."",""template_profile"":""restaurant-live-interaction"",""proposed_section_order"":[""at-glance"",""quick-say"",""breakdown"",""inside-the-place"",""before-you-go"",""menu-dietary"",""when-to-use"",""good-to-know"",""explore-next"",""place-brief""],""cta_label"":""Practice this situation""}",Replace generic listing framing with a page-specific traveler task model.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,NO_IMAGE_GENERATION_IN_BATCH_001,,
B001-PAGE-003,viet-phrase-city-hoian-place-cao-lau-city,city-hoian-place-cao-lau-city,REVIEW_ONLY,REVIEW_ONLY,UPSERT_PAGE_METADATA_REVIEW_ONLY,viet-phrase-city-hoian-place-cao-lau-city,3,"{""vietnamese_title"":""Cao lầu ở Hội An"",""english_title"":""Cao lau in Hoi An"",""summary"":""Cao lau in Hoi An"",""pageKind"":""dish"",""hero_image_name"":""""}","{""summary"":""A Hoi An dish guide for cao lầu: recognize the dish name, ask where to eat it, and check ingredients before ordering."",""template_profile"":""dish-order-and-identity-review"",""proposed_section_order"":[""at-glance"",""quick-say"",""breakdown"",""how-to-order"",""ingredients-diet"",""when-to-use"",""good-to-know"",""explore-next"",""place-brief""],""cta_label"":""Add to practice""}",Replace generic listing framing with a page-specific traveler task model.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,NO_IMAGE_GENERATION_IN_BATCH_001,,
B001-PAGE-004,viet-phrase-city-hue-place-bun-bo-city,city-hue-place-bun-bo-city,REVIEW_ONLY,REVIEW_ONLY,UPSERT_PAGE_METADATA_REVIEW_ONLY,viet-phrase-city-hue-place-bun-bo-city,4,"{""vietnamese_title"":""Bún bò Huế"",""english_title"":""Bun bo Hue"",""summary"":""A dish guide for bún bò Huế: hear the dish name, order a bowl, manage spice level, and ask ingredient or diet questions before eating."",""pageKind"":""dish"",""hero_image_name"":""""}","{""summary"":""A Hue dish guide for bún bò Huế: order a bowl, control spice, ask what is inside, and handle diet or allergy needs."",""template_profile"":""dish-order-and-diet"",""proposed_section_order"":[""at-glance"",""quick-say"",""breakdown"",""how-to-order"",""ingredients-diet"",""when-to-use"",""good-to-know"",""explore-next"",""place-brief""],""cta_label"":""Practice this situation""}",Replace generic listing framing with a page-specific traveler task model.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,NO_IMAGE_GENERATION_IN_BATCH_001,,
B001-PAGE-005,viet-phrase-city-danang-place-ba-na-hills,city-danang-place-ba-na-hills,REVIEW_ONLY,REVIEW_ONLY,REFERENCE_ONLY_NO_IMPORT,viet-phrase-city-danang-place-ba-na-hills,5,"{""vietnamese_title"":""Bà Nà Hills"",""english_title"":""Ba Na Hills"",""summary"":""A day-trip journey page for Bà Nà Hills: pickup, tickets, cable car, photos, food or drinks, and the return ride."",""pageKind"":""place"",""hero_image_name"":""HeroBaNaHills""}","{""summary"":""Reference journey page for Bà Nà Hills. Use as model only; do not import in Batch 001 without Jojo approval."",""template_profile"":""journey-flow-place-reference"",""proposed_section_order"":[""at-glance"",""quick-say"",""journey-flow"",""key-phrases"",""breakdown"",""good-to-know"",""explore-next""],""reference_only"":true}",Keep Bà Nà Hills as the completed reference model for this batch.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,REFERENCE_ONLY_NO_IMAGE_IMPORT,,
B001-PAGE-006,viet-phrase-city-danang-place-dragon-bridge,city-danang-place-dragon-bridge,REVIEW_ONLY,REVIEW_ONLY,UPSERT_PAGE_METADATA_REVIEW_ONLY,viet-phrase-city-danang-place-dragon-bridge,6,"{""vietnamese_title"":""Cầu Rồng"",""english_title"":""Dragon Bridge"",""summary"":""A Da Nang landmark page for Cầu Rồng: say the bridge name, ask where it is, get dropped nearby, ask for a photo, and recover if the pickup point is confusing."",""pageKind"":""place"",""hero_image_name"":""""}","{""summary"":""A navigation page for Cầu Rồng: say the landmark name, get there, ask where it is, request a photo, and manage pickup nearby."",""template_profile"":""place-navigation-and-recovery"",""proposed_section_order"":[""at-glance"",""quick-say"",""breakdown"",""place-brief"",""use-it-with"",""when-to-use"",""good-to-know"",""explore-next""],""cta_label"":""Add to practice""}",Replace generic listing framing with a page-specific traveler task model.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,NO_IMAGE_GENERATION_IN_BATCH_001,,
B001-PAGE-007,viet-phrase-city-danang-place-marble-mountains,city-danang-place-marble-mountains,REVIEW_ONLY,REVIEW_ONLY,UPSERT_PAGE_METADATA_REVIEW_ONLY,viet-phrase-city-danang-place-marble-mountains,7,"{""vietnamese_title"":""Ngũ Hành Sơn"",""english_title"":""Marble Mountains"",""summary"":""A practical attraction page for Ngũ Hành Sơn: say the Vietnamese name, buy a ticket, ask about the entrance, handle stairs/caves, and get back to the driver."",""pageKind"":""place"",""hero_image_name"":""""}","{""summary"":""A journey page for Ngũ Hành Sơn: get there, buy a ticket, find the entrance, confirm where the driver waits, and return."",""template_profile"":""place-journey-flow"",""proposed_section_order"":[""at-glance"",""quick-say"",""journey-flow"",""key-phrases"",""breakdown"",""place-brief"",""use-it-with"",""when-to-use"",""good-to-know"",""explore-next""],""cta_label"":""Practice this situation""}",Replace generic listing framing with a page-specific traveler task model.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,NO_IMAGE_GENERATION_IN_BATCH_001,,
B001-PAGE-008,viet-phrase-city-danang-place-son-tra,city-danang-place-son-tra,REVIEW_ONLY,REVIEW_ONLY,UPSERT_PAGE_METADATA_REVIEW_ONLY,viet-phrase-city-danang-place-son-tra,8,"{""vietnamese_title"":""Bán đảo Sơn Trà"",""english_title"":""Son Tra Peninsula"",""summary"":""A route-area page for Sơn Trà: say the peninsula name, clarify the exact stop, ask about Linh Ứng Pagoda, and arrange the return pickup."",""pageKind"":""place"",""hero_image_name"":""""}","{""summary"":""An area-navigation page for Bán đảo Sơn Trà: use the area name with a specific stop, map pin, wait time, or pickup point."",""template_profile"":""place-navigation-and-recovery"",""proposed_section_order"":[""at-glance"",""quick-say"",""breakdown"",""place-brief"",""use-it-with"",""when-to-use"",""good-to-know"",""explore-next""],""cta_label"":""Add to practice""}",Replace generic listing framing with a page-specific traveler task model.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,NO_IMAGE_GENERATION_IN_BATCH_001,,
B001-PAGE-009,viet-phrase-city-danang-place-bach-dang-street,city-danang-place-bach-dang-street,REVIEW_ONLY,REVIEW_ONLY,UPSERT_PAGE_METADATA_REVIEW_ONLY,viet-phrase-city-danang-place-bach-dang-street,9,"{""vietnamese_title"":""Đường Bạch Đằng"",""english_title"":""Bach Dang Street"",""summary"":""A Say This Street page for Đường Bạch Đằng: hear the street name, insert it into taxi phrases, confirm the address, and handle pickup/drop-off."",""pageKind"":""place"",""hero_image_name"":""""}","{""summary"":""A street pronouncer for Đường Bạch Đằng: hear the street name, play a driver-ready sentence, confirm the street, and ask for drop-off."",""template_profile"":""street-pronouncer"",""proposed_section_order"":[""at-glance"",""quick-say"",""breakdown"",""show-driver"",""confirm"",""drop-off"",""good-to-know"",""explore-next"",""place-brief"",""use-it-with"",""when-to-use""],""cta_label"":""Add to practice""}",Replace generic listing framing with a page-specific traveler task model.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,NO_IMAGE_GENERATION_IN_BATCH_001,,
B001-PAGE-010,viet-phrase-city-danang-place-nguyen-van-linh-street,city-danang-place-nguyen-van-linh-street,REVIEW_ONLY,REVIEW_ONLY,UPSERT_PAGE_METADATA_REVIEW_ONLY,viet-phrase-city-danang-place-nguyen-van-linh-street,10,"{""vietnamese_title"":""Đường Nguyễn Văn Linh"",""english_title"":""Nguyen Van Linh Street"",""summary"":""A Say This Street page for Đường Nguyễn Văn Linh: hear the street name, use it with a driver, confirm you are on the right street, and fix a wrong drop-off."",""pageKind"":""place"",""hero_image_name"":""""}","{""summary"":""A street pronouncer for Đường Nguyễn Văn Linh: hear the street name, play a driver-ready sentence, confirm the street, and recover from a wrong drop-off."",""template_profile"":""street-pronouncer"",""proposed_section_order"":[""at-glance"",""quick-say"",""breakdown"",""show-driver"",""confirm"",""wrong-place"",""good-to-know"",""explore-next"",""place-brief"",""use-it-with"",""when-to-use""],""cta_label"":""Add to practice""}",Replace generic listing framing with a page-specific traveler task model.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,NO_IMAGE_GENERATION_IN_BATCH_001,,
