rank,scenario_id,phrase_id,english_text,priority_reason,confidence,review_flag,current_status,execution_note
1,polite-basics,turkish-polite-basics-5,Excuse me,Multi-use opener for attention apology and softening requests in fast service moments,high,none,translated-draft,Rewritten to a cleaner excuse-me opener
2,polite-basics,turkish-polite-basics-2,Thank you,High-frequency politeness anchor that keeps the lane friendly without adding complexity,high,none,translated-draft,Core courtesy row drafted
3,grab-taxi,turkish-grab-taxi-1,Take me here,Essential screen-showable transport phrase for airport transfer and taxi routing,high,none,translated-draft,Polite screen-show taxi draft added
4,asking-price,turkish-asking-price-1,How much is this,Core shopping and quick-purchase phrase across markets shops and counters,high,none,translated-draft,Short price-check row drafted
5,simple-problems,turkish-simple-problems-2,I do not understand,Primary repair phrase when replies come too fast or English breaks down,high,none,translated-draft,Primary repair row drafted
6,simple-problems,turkish-simple-problems-3,Can you speak a little slower,Best follow-up after signaling non-understanding,high,none,translated-draft,Slower-speech repair row drafted
7,hotel-hostel,turkish-hotel-hostel-1,I have a reservation,Very likely day-one phrase with immediate travel utility,high,none,translated-draft,Hotel arrival row drafted
8,hotel-hostel,turkish-hotel-hostel-2,I would like to check in,Direct front-desk phrase for the first hotel interaction,high,none,translated-draft,Check-in row drafted with Turkish wording
9,convenience-store,turkish-convenience-store-6,Can I pay by card,Important payment-confirmation phrase in high-frequency checkout moments,high,none,translated-draft,Card payment row drafted
10,convenience-store,turkish-convenience-store-1,A bottle of water please,Simple hydration purchase phrase useful in stations shops and hotels,high,none,translated-draft,Water-purchase row drafted
11,grab-taxi,turkish-grab-taxi-3,You can stop here,Short high-value ride phrase that pairs well with the map view,high,none,translated-draft,Taxi stop row drafted
12,polite-basics,turkish-polite-basics-1,Hello,Useful default opener even when the traveler mainly needs one transactional phrase,high,none,translated-draft,Greeting row drafted
13,street-food,turkish-street-food-1,One portion please,Fast ordering phrase for casual restaurants and takeaway counters,high,none,translated-draft,Food-ordering row drafted
14,street-food,turkish-street-food-3,Please make it not spicy,Practical food-preference phrase with broad tourist value once the source is made honest,high,native-review-only-food,translated-draft-needs-localization-check,Outcome = native-review-only pending a Turkish food-context review; keep outside the promoted set for now
15,coffee-shop,turkish-coffee-shop-5,No sugar please,High-value drink customization phrase for tea coffee and bottled drinks,high,none,translated-draft,Drink-customization row drafted
16,coffee-shop,turkish-coffee-shop-6,For takeaway,Useful in cafes bakeries and quick snack stops,high,none,translated-draft,Rewritten from bare takeaway shorthand
17,hotel-hostel,turkish-hotel-hostel-3,What time is checkout,Common timing question that avoids later front-desk confusion,medium,none,translated-draft,Checkout-time row drafted
18,grab-taxi,turkish-grab-taxi-2,Go to the city center,Useful destination phrase when the driver already knows the area,medium,none,translated-draft,City-center destination row drafted
19,directions,turkish-directions-2,Is it near here,Compact routing phrase that helps decide between walking and taking transport,medium,none,translated-draft,Near-here navigation row drafted
20,directions,turkish-directions-3,How long does it take on foot,Useful for short-distance navigation in tourist districts,medium,none,translated-draft,English timing prompt clarified before translation
21,grab-taxi,turkish-grab-taxi-6,Wait for me five minutes,Useful for a short ATM luggage or pickup stop during a ride,medium,none,translated-draft,Short-stop wait row drafted
22,simple-problems,turkish-simple-problems-1,I am lost,Pressure-moment phrase that pairs well with showing a destination screen,medium,none,translated-draft,Lost-repair row drafted
23,simple-problems,turkish-simple-problems-7,Could you call for me?,Useful when the traveler needs help contacting a hotel taxi or support number,medium,native-review-only-register,translated-draft-needs-localization-check,Outcome = native-review-only pending a Turkish service-register review; keep outside the promoted set for now
24,simple-problems,turkish-simple-problems-6,I need a doctor,High-stakes traveler phrase worth early placement but still needs expert review,medium,expert-review-only-medical,translated-draft-needs-expert-review,Outcome = native-review-only pending medically informed review; keep outside the promoted set for now
25,convenience-store,turkish-convenience-store-2,Do you have a bag,Common shop and mini-market checkout question,medium,none,translated-draft,Bag-request row drafted for shop checkouts
26,convenience-store,turkish-convenience-store-7,Please give me the receipt,Practical payment follow-through for reimbursements returns and expense tracking,medium,none,translated-draft,Receipt row drafted for checkout follow-through
27,convenience-store,turkish-convenience-store-4,Where is the sunscreen,Useful help-finding row for mini-marts beach shops and pharmacies,medium,none,translated-draft,Sunscreen-location row drafted
28,hotel-hostel,turkish-hotel-hostel-5,The air conditioner is not working,Frequent room-problem report in warm-weather stays,medium,none,translated-draft,Hotel AC problem row drafted
29,street-food,turkish-street-food-5,Do you have bottled water,Useful when ordering in restaurants without easy self-service drink access,medium,none,translated-draft,Restaurant bottled-water row drafted
30,street-food,turkish-street-food-2,I will take this bowl,Useful point-and-order phrase for soups stews and similar dishes,medium,none,translated-draft,Bowl-order row drafted
31,directions,turkish-directions-4,Where do I turn left,Useful when someone is giving step-by-step directions,medium,none,translated-draft,Left-turn confirmation row drafted
32,directions,turkish-directions-5,"I turn right here, correct?",Useful follow-up for confirming the next turn without relying on gestures alone,medium,none,translated-draft,Awkward scaffold rewritten before translation
33,polite-basics,turkish-polite-basics-3,"Yes, of course",Useful respectful acknowledgment in service and reception moments,medium,none,translated-draft,Polite acknowledgment row drafted
34,polite-basics,turkish-polite-basics-6,It is okay,Useful brief reassurance after an apology or small mistake,medium,none,translated-draft,Reassurance row drafted
35,street-food,turkish-street-food-4,More herbs please,Useful garnish request for herbs greens and topping-heavy dishes,low,none,translated-draft,Greens-garnish row drafted
36,grab-taxi,turkish-grab-taxi-7,I will pay cash,Still useful as a fallback phrase but lower priority than card and route clarity,low,none,translated-draft,Cash-payment fallback row drafted
37,asking-price,turkish-asking-price-7,I will take this one,Simple purchase-closing phrase after the user points to an item,low,none,translated-draft,Purchase-closing row drafted
38,asking-price,turkish-asking-price-5,What is the final price?,Useful in bazaars and other negotiation-friendly settings without making bargaining the default,low,later-only-contextual-bargaining,translated-draft-contextual-only,Outcome = later-only for negotiation-friendly settings; keep outside the starter-core default pack
39,asking-price,turkish-asking-price-4,Could you make it a little cheaper?,Relevant in some markets but should stay context-limited,low,later-only-contextual-bargaining,translated-draft-contextual-only,Outcome = later-only for context-limited bargaining; keep outside the starter-core default pack
