phrase_id,scenario_id,audio_key,english_text,target_text,pronunciation,context,emoji,notes,status
turkish-coffee-shop-1,coffee-shop,turkish-coffee-shop-1,One iced milk coffee please,Bir soğuk sütlü kahve lütfen.,beer soh-OOK SOOT-loo kah-VEH LOOT-fehn,Use this for a standard iced coffee order.,☕,Cafe-order draft for an iced milk coffee without over-specifying the menu label,translated-draft
turkish-coffee-shop-2,coffee-shop,turkish-coffee-shop-2,I would like an iced black coffee,Bir soğuk sade kahve lütfen.,beer soh-OOK sah-DEH kah-VEH LOOT-fehn,Use this when you want coffee without milk.,🥤,Cafe-order draft for an iced black coffee that stays clear about no milk,translated-draft
turkish-coffee-shop-3,coffee-shop,turkish-coffee-shop-3,I would like an iced latte,Buzlu latte lütfen.,BOOZ-loo LAH-teh LOOT-fehn,Useful when ordering a familiar milk coffee drink.,🥛,Common menu-loanword draft for an iced latte order,translated-draft
turkish-coffee-shop-4,coffee-shop,turkish-coffee-shop-4,Just a little ice,Az buz lütfen.,ahz booz LOOT-fehn,Add this when you want less ice in your drink.,🧊,Short ice-level customization draft for cafe drinks,translated-draft
turkish-coffee-shop-5,coffee-shop,turkish-coffee-shop-5,No sugar please,Şekersiz olsun lütfen.,sheh-KEHR-seez ol-SOON LOOT-fehn,Use this to keep your drink less sweet.,🚫,Drink-customization draft for cafes and tea stops,translated-draft
turkish-coffee-shop-6,coffee-shop,turkish-coffee-shop-6,For takeaway,Paket olsun lütfen.,pah-KET ol-SOON LOOT-fehn,Say this when you want takeaway instead of staying.,🥤,Rewritten from bare English takeaway shorthand,translated-draft
turkish-coffee-shop-7,coffee-shop,turkish-coffee-shop-7,"Could I pay, please?",Hesabı alabilir miyim lütfen?,heh-sah-BUH ah-lah-bi-LEER mee-yeem LOOT-fehn,Use this when you are ready to pay or ask for the bill.,💵,Bill-request draft for cafes and quick drink stops,translated-draft
turkish-street-food-1,street-food,turkish-street-food-1,One portion please,Bir porsiyon lütfen.,beer por-see-YON LOOT-fehn,Use this for a simple food order while pointing.,🍽️,Generic food-ordering draft for stalls and casual restaurants,translated-draft
turkish-street-food-2,street-food,turkish-street-food-2,I will take this bowl,Bundan bir kase alayım.,BOON-dahn beer kah-SEH ah-lah-YUHM,Use this while pointing at the dish you want.,🍜,Point-and-order bowl draft for soups stews and similar dishes,translated-draft
turkish-street-food-3,street-food,turkish-street-food-3,Please make it not spicy,Acısız olsun lütfen.,ah-juh-SUHZ ol-SOON LOOT-fehn,Say this if you want the dish without chili heat rather than merely milder spice.,🌶️,Outcome: native-review-only. Keep the no-spice wording visible for traveler utility but do not treat it as promoted until native Turkish food-context review lands.,translated-draft-needs-localization-check
turkish-street-food-4,street-food,turkish-street-food-4,More herbs please,Biraz daha yeşillik lütfen.,bee-RAHZ dah-HAH yeh-SHEEL-leek LOOT-fehn,Use this when you want extra greens or garnish.,🥬,Garnish request draft that maps herbs toward extra greens in Turkish food contexts,translated-draft
turkish-street-food-5,street-food,turkish-street-food-5,Do you have bottled water,Şişe su var mı?,SHEE-sheh soo var muh,Ask this when you want bottled water with your meal.,💧,Restaurant water-availability draft when bottled water is not visible,translated-draft
turkish-street-food-6,street-food,turkish-street-food-6,A spoon and chopsticks please,,,Use this if utensils were not set out.,🥢,Outcome: rewrite-needed. Chopsticks are not a Turkey-natural default ask so rewrite the source toward spoon fork or napkin help before translation.,deferred-rewrite-needed
turkish-street-food-7,street-food,turkish-street-food-7,Pack it to go,Paket yapabilir misiniz?,pah-KET yah-pah-bi-LEER mee-see-NEEZ,Say this when you want takeaway from a stall or restaurant.,🛍️,Takeaway pack-up draft for stalls and casual restaurants,translated-draft
turkish-grab-taxi-1,grab-taxi,turkish-grab-taxi-1,Take me here,Beni buraya götürür müsünüz?,beh-NEE boo-RAH-yah guh-TUU-ruur MOO-suu-nuuz,Use this while showing your destination on your phone.,📍,Polite screen-show transport draft,translated-draft
turkish-grab-taxi-2,grab-taxi,turkish-grab-taxi-2,Go to the city center,Şehir merkezine gidebilir misiniz lütfen?,sheh-HEER mehr-keh-ZEE-neh gee-deh-bi-LEER mee-see-NEEZ LOOT-fehn,Use this for a simple destination when the driver already knows the area.,🏙️,City-center destination draft for taxi and transfer rides,translated-draft
turkish-grab-taxi-3,grab-taxi,turkish-grab-taxi-3,You can stop here,Burada durabilirsiniz.,boo-RAH-dah doo-RAH-bee-LEER-see-neez,Use this when you want the driver to stop at the current spot.,🛑,Map-paired ride stop draft,translated-draft
turkish-grab-taxi-4,grab-taxi,turkish-grab-taxi-4,Go this way,Bu taraftan gidin lütfen.,boo tah-RAHF-tahn gee-DEEN LOOT-fehn,Use this if you need to guide the driver.,➡️,Directional steering draft for map-supported taxi rides,translated-draft
turkish-grab-taxi-5,grab-taxi,turkish-grab-taxi-5,Please turn on the air conditioning,Klimayı açar mısınız lütfen?,klee-MAH-yuh AH-char muh-suh-nuhz LOOT-fehn,Use this on a hot ride if the air conditioning is off.,❄️,Hot-ride comfort draft for taxis and transfers,translated-draft
turkish-grab-taxi-6,grab-taxi,turkish-grab-taxi-6,Wait for me five minutes,Beni beş dakika bekler misiniz lütfen?,beh-NEE besh dah-KEE-kah behk-LEHR mee-see-NEEZ LOOT-fehn,Use this if you need a very short stop.,⏳,Short-stop wait draft for quick ATM or pickup pauses,translated-draft
