"phrase_id","scenario_id","audio_key","english_text","target_text","pronunciation","context","emoji","notes","status"
"german-coffee-shop-1","coffee-shop","german-coffee-shop-1","One coffee please","Einen Kaffee, bitte.","EYE-nen KAH-fay BIT-tuh","Use this for a simple coffee order at a cafe bakery or counter-service stop.","☕","First-wave translated simple coffee order after the Germany-fit rewrite.","first-wave-translated"
"german-coffee-shop-2","coffee-shop","german-coffee-shop-2","One black coffee please","Einen schwarzen Kaffee, bitte.","EYE-nen SHVARTS-en KAH-fay BIT-tuh","Use this when you want coffee without milk at a cafe bakery or station counter.","🥤","Second-pass rewrite complete: turned the iced black-coffee carryover into a Germany-fit black coffee order.","second-pass-rewrite-complete"
"german-coffee-shop-3","coffee-shop","german-coffee-shop-3","One cappuccino please","Einen Cappuccino, bitte.","EYE-nen kahp-poo-CHEE-no BIT-tuh","Use this for a familiar milk-coffee order without carrying over the iced-latte baseline.","🥛","Second-pass rewrite complete: turned the iced-latte carryover into a standard cappuccino order.","second-pass-rewrite-complete"
"german-coffee-shop-4","coffee-shop","german-coffee-shop-4","Just a little ice","","","Use this only if later native review confirms a natural Germany-fit less-ice request is worth keeping.","🧊","Left untranslated as an explicit native-review handoff because less-ice customization is still a weak Germany-first cafe intent and depends on real drink context.","deferred-native-review"
"german-coffee-shop-5","coffee-shop","german-coffee-shop-5","No sugar please","Ohne Zucker, bitte.","OH-nuh TSOO-ker BIT-tuh","Use this to keep your drink less sweet.","🚫","Second-pass translated drink-customization line for practical cafe orders.","second-pass-translated"
"german-coffee-shop-6","coffee-shop","german-coffee-shop-6","For takeaway","Zum Mitnehmen, bitte.","tsoom MIT-nay-men BIT-tuh","Say this when you want takeaway instead of staying.","🥤","First-wave translated takeaway wording for cafes bakeries and station counters.","first-wave-translated"
"german-coffee-shop-7","coffee-shop","german-coffee-shop-7","Could I pay, please?","Kann ich bitte bezahlen?","kahn ikh BIT-tuh beh-TSAH-len","Use this when you are ready to pay or ask for the bill.","💵","First-wave translated cafe payment request with a service-natural wording instead of a blunt imperative.","first-wave-translated"
"german-street-food-1","street-food","german-street-food-1","One portion please","Eine Portion, bitte.","EYE-nuh por-TSEE-ohn BIT-tuh","Use this for a simple food order while pointing.","🍽️","First-wave translated simple food-order line for low-friction counters.","first-wave-translated"
"german-street-food-2","street-food","german-street-food-2","I would like this one","Ich nehme dieses hier.","ikh NAY-muh DEE-zes heer","Use this while pointing at the dish pastry or prepared item you want.","🍜","Second-pass rewrite complete: translated the point-and-order food request after removing the bowl-specific carryover.","second-pass-rewrite-complete"
"german-street-food-3","street-food","german-street-food-3","Not spicy please","Nicht scharf, bitte.","nikht SHARF BIT-tuh","Say this before the food is prepared if you want mild food.","🌶️","Second-pass translated mild-food request for quick ordering.","second-pass-translated"
"german-street-food-4","street-food","german-street-food-4","More herbs please","Noch Kräuter, bitte.","nokh KROY-ter BIT-tuh","Use this when you want extra greens or garnish.","🥬","Third-pass translated garnish request once the practical residual tail narrowed to a compact final cleanup.","third-pass-translated"
"german-street-food-5","street-food","german-street-food-5","Do you have bottled water","Haben Sie Wasser in Flaschen?","HAH-ben zee VAH-ser in FLAH-shen","Ask this when you want sealed bottled water with your meal.","💧","First-wave translated sealed-water check for food counters and casual restaurants.","first-wave-translated"
"german-street-food-6","street-food","german-street-food-6","A fork and knife please","Eine Gabel und ein Messer, bitte.","EYE-nuh GAH-bel oont eyn MES-ser BIT-tuh","Use this if utensils were not set out at a casual restaurant or food counter.","🥢","Second-pass rewrite complete: replaced the chopsticks carryover with a Germany-fit utensil request.","second-pass-rewrite-complete"
"german-street-food-7","street-food","german-street-food-7","Pack it to go","Zum Mitnehmen, bitte.","tsoom MIT-nay-men BIT-tuh","Say this when you want takeaway from a stall or restaurant.","🛍️","Second-pass translated takeaway request for prepared food.","second-pass-translated"
"german-grab-taxi-1","grab-taxi","german-grab-taxi-1","Take me here","Bitte fahren Sie mich hierhin.","BIT-tuh FAH-ren zee mikh HEER-hin","Use this while showing your destination on your phone to the driver.","📍","First-wave translated ride-control line with polite driver wording and show-screen fit.","first-wave-translated"
"german-grab-taxi-2","grab-taxi","german-grab-taxi-2","Please take me to the station","Bitte bringen Sie mich zum Bahnhof.","BIT-tuh BRING-en zee mikh tsoom BAHN-hohf","Use this when you need a quick ride to the station and the driver already knows the stop.","🏙️","First-wave translated Germany-fit station request while keeping transit review visible.","first-wave-translated"
"german-grab-taxi-3","grab-taxi","german-grab-taxi-3","You can stop here","Hier bitte.","heer BIT-tuh","Use this when you want the driver to stop at the current spot.","🛑","First-wave translated short drop-off control line for taxis and ride pickups.","first-wave-translated"
"german-grab-taxi-4","grab-taxi","german-grab-taxi-4","Go this way","Bitte fahren Sie hier entlang.","BIT-tuh FAH-ren zee heer ent-LAHNG","Use this if you need to guide the driver.","➡️","Second-pass translated driver-guidance line and kept the wording anchored to the ride context.","second-pass-translated"
"german-grab-taxi-5","grab-taxi","german-grab-taxi-5","Please turn on the air conditioning","Können Sie bitte die Klimaanlage anmachen?","KUR-nen zee BIT-tuh dee KLEE-mah-ahn-lah-guh AHN-mah-khen","Use this on a hot ride if the air conditioning is off.","❄️","Second-pass translated practical ride-comfort request.","second-pass-translated"
"german-grab-taxi-6","grab-taxi","german-grab-taxi-6","Wait for me five minutes","Warten Sie bitte fünf Minuten auf mich.","VAR-ten zee BIT-tuh fuenf mee-NOO-ten ouf mikh","Use this if you need a very short stop.","⏳","Second-pass translated short-wait request for taxi stops.","second-pass-translated"
"german-grab-taxi-7","grab-taxi","german-grab-taxi-7","I will pay cash","Ich zahle bar.","ikh TSAH-luh bar","Use this when payment method needs to be clear.","💵","Second-pass translated cash-payment clarification for ride follow-through.","second-pass-translated"
"german-asking-price-1","asking-price","german-asking-price-1","How much is this","Wie viel kostet das?","vee feel KOS-tet dahs","Use this while pointing at an item in a shop bakery or counter.","🏷️","First-wave translated core price-check row for shops bakeries and kiosks.","first-wave-translated"
"german-asking-price-2","asking-price","german-asking-price-2","How much per kilo","Wie viel kostet das pro Kilo?","vee feel KOS-tet dahs proh KEE-loh","Use this for produce or anything sold by weight.","⚖️","Second-pass translated weight-based price question.","second-pass-translated"
"german-asking-price-3","asking-price","german-asking-price-3","Too expensive","Zu teuer.","tsoo TOY-er","Say this lightly when reacting to a high price.","😅","Second-pass translated brief price reaction without widening into bargaining.","second-pass-translated"
"german-asking-price-4","asking-price","german-asking-price-4","Is there a cheaper one","Gibt es eine günstigere?","gipt es EYE-nuh GUENS-ti-guhr-uh","Use this when comparing marked options instead of bargaining over one item.","🤝","First-wave translated comparison-shopping row instead of bargaining language.","first-wave-translated"
"german-asking-price-5","asking-price","german-asking-price-5","What is the total price","Was kostet das zusammen?","vahs KOS-tet dahs tsoo-ZAH-men","Ask this when you want the full amount before paying.","💬","First-wave translated total-price confirmation row after the Germany-fit rewrite.","first-wave-translated"
"german-asking-price-6","asking-price","german-asking-price-6","Show me another one","Zeigen Sie mir bitte noch eins.","TSEYE-gen zee meer BIT-tuh nokh eyns","Use this when you want to compare options.","👀","First-wave translated comparison-shopping follow-up for shops and counters.","first-wave-translated"
"german-asking-price-7","asking-price","german-asking-price-7","I will take this one","Ich nehme das hier.","ikh NAY-muh dahs heer","Say this once you agree on the item and price.","🛍️","Second-pass translated purchase-confirmation line for item selection.","second-pass-translated"
"german-polite-basics-1","polite-basics","german-polite-basics-1","Hello","Guten Tag.","GOO-ten tahk","Use this to greet people in casual travel moments.","👋","Third-pass translated with a polite service-safe greeting; keep translated and fold into the later native register packet instead of reopening drafting now.","third-pass-translated"
"german-polite-basics-2","polite-basics","german-polite-basics-2","Thank you","Danke.","DAHN-kuh","Say this anytime someone helps you.","🙏","First-wave translated courtesy anchor for everyday Germany service encounters.","first-wave-translated"
"german-polite-basics-3","polite-basics","german-polite-basics-3","Yes","Ja.","yah","Use this as a respectful yes or acknowledgment.","🙂","Third-pass translated as a plain acknowledgment row; keep translated and fold into the later native register packet instead of reopening drafting now.","third-pass-translated"
"german-polite-basics-4","polite-basics","german-polite-basics-4","No thank you","Nein, danke.","nine DAHN-kuh","Use this to politely decline something.","🙅","First-wave translated polite decline for offers upsells and light approaches.","first-wave-translated"
"german-polite-basics-5","polite-basics","german-polite-basics-5","Excuse me","Entschuldigung.","ent-SHOOL-dee-goong","Use this to get attention politely before a short request.","🙏","First-wave translated neutral polite opener for stations hotels cafes and shops.","first-wave-translated"
"german-polite-basics-6","polite-basics","german-polite-basics-6","It is okay","Kein Problem.","kine proh-BLAYM","Say this when someone apologizes to you.","👌","Third-pass translated with a natural apology-response wording; keep translated and fold into the later native register packet instead of reopening drafting now.","third-pass-translated"
"german-polite-basics-7","polite-basics","german-polite-basics-7","Goodbye","Auf Wiedersehen.","owf VEE-der-zay-en","Use this when leaving a shop, hotel, or ride.","👋","Third-pass translated with a polite broadly usable farewell; keep translated and fold into the later native register packet instead of reopening drafting now.","third-pass-translated"
"german-convenience-store-1","convenience-store","german-convenience-store-1","A bottle of water please","Eine Flasche Wasser, bitte.","EYE-nuh FLAH-shuh VAH-ser BIT-tuh","Use this for a quick water purchase at a kiosk station or small shop.","💧","First-wave translated hydration purchase line for kiosks and small shops.","first-wave-translated"
"german-convenience-store-2","convenience-store","german-convenience-store-2","Do you have a bag","Haben Sie eine Tüte?","HAH-ben zee EYE-nuh TUU-tuh","Ask this if you need a carry bag.","🛍️","Second-pass translated checkout bag request.","second-pass-translated"
"german-convenience-store-3","convenience-store","german-convenience-store-3","Tissues please","Taschentücher, bitte.","TAH-shen-tu-kher BIT-tuh","Use this when you need tissues at the counter.","🧻","Second-pass translated quick-counter tissue request.","second-pass-translated"
"german-convenience-store-4","convenience-store","german-convenience-store-4","Where is the sunscreen","Wo finde ich Sonnencreme?","voh FIN-duh ikh ZON-nen-kray-muh","Ask this when you need help finding sunscreen.","🧴","Second-pass translated practical store-navigation question.","second-pass-translated"
"german-convenience-store-5","convenience-store","german-convenience-store-5","Please open this for me","Können Sie das bitte für mich öffnen?","KUR-nen zee dahs BIT-tuh fuer mikh UEF-nen","Use this for bottled drinks or hard packaging.","🔓","Second-pass translated packaging-help request.","second-pass-translated"
"german-convenience-store-6","convenience-store","german-convenience-store-6","Can I pay by card","Kann ich mit Karte bezahlen?","kahn ikh mit KAR-tuh beh-TSAH-len","Ask this before checkout when you need to confirm card payment.","💳","First-wave translated payment-clarity line for shops kiosks and cafe counters.","first-wave-translated"
