"row","page_id","phrase_id","vietnamese","english","source_lane","source_path","section_count","phrase_row_count","breakdown_token_count","audio_status","alias_count","verdict","issue_codes","issue_messages"
"1","viet-phrase-acknowledge-co","acknowledge-co","Có","Yes / there is","catalog-promoted","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-co.json","3","3","1","ready","2","PASS","",""
"2","viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","Dạ, chào anh","Respectful hello to an older man","catalog-promoted","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","4","0","4","ready","3","PASS","",""
"3","viet-phrase-acknowledge-da-chao-ba","acknowledge-da-chao-ba","Dạ, chào bà","Respectful hello to an elderly woman","catalog-promoted","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ba.json","5","2","4","ready","3","PASS","",""
"4","viet-phrase-acknowledge-da-chao-chi","acknowledge-da-chao-chi","Dạ, chào chị","Respectful hello to an older woman","catalog-promoted","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chi.json","5","3","4","ready","3","PASS","",""
"5","viet-phrase-acknowledge-da-chao-chu","acknowledge-da-chao-chu","Dạ, chào chú","Respectful hello to an uncle-age man","catalog-promoted","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chu.json","5","3","4","ready","3","PASS","",""
"6","viet-phrase-acknowledge-da-chao-co","acknowledge-da-chao-co","Dạ, chào cô","Respectful hello to an aunt-age woman","catalog-promoted","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-co.json","5","3","4","ready","3","PASS","",""
"7","viet-phrase-acknowledge-da-chao-ong","acknowledge-da-chao-ong","Dạ, chào ông","Respectful hello to an elderly man","catalog-promoted","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ong.json","5","2","4","ready","3","PASS","",""
"8","viet-phrase-acknowledge-duoc","acknowledge-duoc","Được","Okay / that works","catalog-promoted","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-duoc.json","4","3","1","ready","2","PASS","",""
"9","viet-phrase-acknowledge-khong","acknowledge-khong","Không","No","catalog-promoted","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-khong.json","4","3","1","ready","2","PASS","",""
"10","viet-phrase-airport-1","airport-1","Nhập cảnh ở đâu?","Where is immigration?","tier1","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-immigration.json","4","7","3","ready","1","PASS","",""
"11","viet-phrase-airport-2","airport-2","Lấy hành lý ở đâu?","Where is baggage claim?","tier1","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-baggage.json","4","7","4","ready","1","PASS","",""
"12","viet-phrase-airport-3","airport-3","Mua SIM ở đâu?","Where can I buy a SIM card?","tier1","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-sim.json","4","7","4","ready","1","PASS","",""
"13","viet-phrase-airport-4","airport-4","ATM gần nhất ở đâu?","Where is the nearest ATM?","tier1","content-draft/viet/canonical-pages/tier-one/money-numbers-prices/money-find-atm.json","4","8","4","ready","1","PASS","",""
"14","viet-phrase-airport-5","airport-5","Khu đón ở đâu?","Where is the pickup area?","tier1","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-pickup.json","5","8","3","ready","2","PASS","",""
"15","viet-phrase-airport-6","airport-6","Hành lý của tôi chưa tới","My bag did not arrive","tier1","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-bag-missing.json","5","7","5","ready","2","PASS","",""
"16","viet-phrase-airport-7","airport-7","Nhà ga nội địa ở đâu?","Where is the domestic terminal?","catalog-promoted","content-draft/viet/canonical-pages/catalog-promoted/airport-border-arrival/airport-7.json","3","5","4","ready","2","PASS","",""
"17","viet-phrase-airport-pickup-clearer","airport-pickup-clearer","Tôi gặp tài xế ở đâu?","Where do I meet the driver?","child","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-pickup--airport-pickup-clearer.json","5","6","5","ready","1","PASS","",""
"18","viet-phrase-bath-1","bath-1","Nhà vệ sinh ở đâu?","Where is the bathroom?","tier1","content-draft/viet/canonical-pages/tier-one/bathroom-personal-needs/bathroom-where.json","4","5","3","ready","5","PASS","",""
