patch_id,page_id,phrase_id,review_status,import_approval,operation,target_id,target_order,current_value,proposed_value,reason_for_change,new_linked_phrase_required,canonical_target_id,audio_policy,asset_policy,validator_rule,jojo_question
B001-AST-001,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,UPSERT_ASSET_DIRECTIVE_REVIEW_ONLY,viet-phrase-city-hanoi-place-bun-cha-huong-lien,1,"{""current_hero_image_name"":"""",""current_asset_status"":""default_app_hero"",""current_license_status"":""""}","{""asset_policy"":""Use a durable restaurant/food visual only if owned/licensed and specific enough; otherwise keep default app hero."",""image_generation_allowed"":false,""hero_must_match_page"":true,""forbidden_generic_hero"":[""Ha Long Bay"",""generic Vietnam"",""unrelated landmark""]}",Prevent mismatched hero imagery and keep asset handling deterministic.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,NO_IMAGE_GENERATION_IN_BATCH_001,,
B001-AST-002,viet-phrase-city-hanoi-place-pho-bat-dan,city-hanoi-place-pho-bat-dan,REVIEW_ONLY,REVIEW_ONLY,UPSERT_ASSET_DIRECTIVE_REVIEW_ONLY,viet-phrase-city-hanoi-place-pho-bat-dan,2,"{""current_hero_image_name"":"""",""current_asset_status"":""default_app_hero"",""current_license_status"":""""}","{""asset_policy"":""Use a durable restaurant/food visual only if owned/licensed and specific enough; otherwise keep default app hero."",""image_generation_allowed"":false,""hero_must_match_page"":true,""forbidden_generic_hero"":[""Ha Long Bay"",""generic Vietnam"",""unrelated landmark""]}",Prevent mismatched hero imagery and keep asset handling deterministic.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,NO_IMAGE_GENERATION_IN_BATCH_001,,
B001-AST-003,viet-phrase-city-hoian-place-cao-lau-city,city-hoian-place-cao-lau-city,REVIEW_ONLY,REVIEW_ONLY,UPSERT_ASSET_DIRECTIVE_REVIEW_ONLY,viet-phrase-city-hoian-place-cao-lau-city,3,"{""current_hero_image_name"":"""",""current_asset_status"":""default_app_hero"",""current_license_status"":""""}","{""asset_policy"":""Use dish/food imagery only if owned/licensed and not misleading; otherwise keep default app hero."",""image_generation_allowed"":false,""hero_must_match_page"":true,""forbidden_generic_hero"":[""Ha Long Bay"",""generic Vietnam"",""unrelated landmark""]}",Prevent mismatched hero imagery and keep asset handling deterministic.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,NO_IMAGE_GENERATION_IN_BATCH_001,,
B001-AST-004,viet-phrase-city-hue-place-bun-bo-city,city-hue-place-bun-bo-city,REVIEW_ONLY,REVIEW_ONLY,UPSERT_ASSET_DIRECTIVE_REVIEW_ONLY,viet-phrase-city-hue-place-bun-bo-city,4,"{""current_hero_image_name"":"""",""current_asset_status"":""default_app_hero"",""current_license_status"":""""}","{""asset_policy"":""Use dish/food imagery only if owned/licensed and not misleading; otherwise keep default app hero."",""image_generation_allowed"":false,""hero_must_match_page"":true,""forbidden_generic_hero"":[""Ha Long Bay"",""generic Vietnam"",""unrelated landmark""]}",Prevent mismatched hero imagery and keep asset handling deterministic.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,NO_IMAGE_GENERATION_IN_BATCH_001,,
B001-AST-005,viet-phrase-city-danang-place-ba-na-hills,city-danang-place-ba-na-hills,REVIEW_ONLY,REVIEW_ONLY,REFERENCE_ASSET_NO_IMPORT,viet-phrase-city-danang-place-ba-na-hills,5,"{""current_hero_image_name"":""HeroBaNaHills"",""current_asset_status"":""asset_metadata_present"",""current_license_status"":""documented in ba-na-hills-journey-v2/hero-image-attribution.md""}","{""asset_policy"":""Use Bà Nà Hills-specific imagery only: Golden Bridge, cable car, entrance, or misty mountain attraction. Do not use generic Vietnam or Ha Long Bay imagery."",""image_generation_allowed"":false,""hero_must_match_page"":true,""forbidden_generic_hero"":[""Ha Long Bay"",""generic Vietnam"",""unrelated landmark""]}",Prevent mismatched hero imagery and keep asset handling deterministic.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,NO_IMAGE_GENERATION_IN_BATCH_001,,
B001-AST-006,viet-phrase-city-danang-place-dragon-bridge,city-danang-place-dragon-bridge,REVIEW_ONLY,REVIEW_ONLY,UPSERT_ASSET_DIRECTIVE_REVIEW_ONLY,viet-phrase-city-danang-place-dragon-bridge,6,"{""current_hero_image_name"":"""",""current_asset_status"":""default_app_hero"",""current_license_status"":""""}","{""asset_policy"":""Use exact landmark/area imagery only if owned/licensed; otherwise keep default app hero."",""image_generation_allowed"":false,""hero_must_match_page"":true,""forbidden_generic_hero"":[""Ha Long Bay"",""generic Vietnam"",""unrelated landmark""]}",Prevent mismatched hero imagery and keep asset handling deterministic.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,NO_IMAGE_GENERATION_IN_BATCH_001,,
B001-AST-007,viet-phrase-city-danang-place-marble-mountains,city-danang-place-marble-mountains,REVIEW_ONLY,REVIEW_ONLY,UPSERT_ASSET_DIRECTIVE_REVIEW_ONLY,viet-phrase-city-danang-place-marble-mountains,7,"{""current_hero_image_name"":"""",""current_asset_status"":""default_app_hero"",""current_license_status"":""""}","{""asset_policy"":""Use exact attraction imagery only if owned/licensed; otherwise keep default app hero."",""image_generation_allowed"":false,""hero_must_match_page"":true,""forbidden_generic_hero"":[""Ha Long Bay"",""generic Vietnam"",""unrelated landmark""]}",Prevent mismatched hero imagery and keep asset handling deterministic.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,NO_IMAGE_GENERATION_IN_BATCH_001,,
B001-AST-008,viet-phrase-city-danang-place-son-tra,city-danang-place-son-tra,REVIEW_ONLY,REVIEW_ONLY,UPSERT_ASSET_DIRECTIVE_REVIEW_ONLY,viet-phrase-city-danang-place-son-tra,8,"{""current_hero_image_name"":"""",""current_asset_status"":""default_app_hero"",""current_license_status"":""""}","{""asset_policy"":""Use exact landmark/area imagery only if owned/licensed; otherwise keep default app hero."",""image_generation_allowed"":false,""hero_must_match_page"":true,""forbidden_generic_hero"":[""Ha Long Bay"",""generic Vietnam"",""unrelated landmark""]}",Prevent mismatched hero imagery and keep asset handling deterministic.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,NO_IMAGE_GENERATION_IN_BATCH_001,,
B001-AST-009,viet-phrase-city-danang-place-bach-dang-street,city-danang-place-bach-dang-street,REVIEW_ONLY,REVIEW_ONLY,UPSERT_ASSET_DIRECTIVE_REVIEW_ONLY,viet-phrase-city-danang-place-bach-dang-street,9,"{""current_hero_image_name"":"""",""current_asset_status"":""default_app_hero"",""current_license_status"":""""}","{""asset_policy"":""Use neutral city/street/map-style hero or default app hero; do not use unrelated tourist imagery."",""image_generation_allowed"":false,""hero_must_match_page"":true,""forbidden_generic_hero"":[""Ha Long Bay"",""generic Vietnam"",""unrelated landmark""]}",Prevent mismatched hero imagery and keep asset handling deterministic.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,NO_IMAGE_GENERATION_IN_BATCH_001,,
B001-AST-010,viet-phrase-city-danang-place-nguyen-van-linh-street,city-danang-place-nguyen-van-linh-street,REVIEW_ONLY,REVIEW_ONLY,UPSERT_ASSET_DIRECTIVE_REVIEW_ONLY,viet-phrase-city-danang-place-nguyen-van-linh-street,10,"{""current_hero_image_name"":"""",""current_asset_status"":""default_app_hero"",""current_license_status"":""""}","{""asset_policy"":""Use neutral city/street/map-style hero or default app hero; do not use unrelated tourist imagery."",""image_generation_allowed"":false,""hero_must_match_page"":true,""forbidden_generic_hero"":[""Ha Long Bay"",""generic Vietnam"",""unrelated landmark""]}",Prevent mismatched hero imagery and keep asset handling deterministic.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,NO_IMAGE_GENERATION_IN_BATCH_001,,
