"rank","scenario_id","phrase_id","english_text","target_text","pronunciation","context","current_status","pack_bucket","access_tier_candidate","next_action","confidence","review_flag","notes","relation_cluster_id","family_role","anchor_phrase_id","shortest_form_phrase_id","clearer_or_more_polite_phrase_id","likely_reply_family","primary_next_family","repair_family","parked_follow_on_family","parked_follow_on_class"
"1","simple-problems","tagalog-simple-problems-2","I don't understand","Hindi ko maintindihan","hin-DEE koh ma-in-tin-DEE-han","Say this when someone is speaking too quickly","first-wave-core","starter-core","starter","translate-now","high","none","starter handoff core repair phrase","tagalog-repair-understand","anchor","tagalog-simple-problems-2","tagalog-simple-problems-2","","","tagalog-simple-problems-3","tagalog-directions-1","tagalog-simple-problems-7","later-only-hold"
"2","simple-problems","tagalog-simple-problems-3","Can you speak a little slower?","Puwede bang magsalita nang mas mabagal","poo-WEH-deh bahng mag-sah-LEE-tah nang mahs mah-BAH-gal","Use this when you need the other person to slow down","first-wave-core","starter-core","starter","translate-now","high","none","starter handoff core slower speech request","tagalog-repair-slower","anchor","tagalog-simple-problems-3","tagalog-simple-problems-3","","tagalog-polite-basics-3","tagalog-polite-basics-3","tagalog-directions-1","tagalog-directions-1","recommended-next-pass-pickup"
"3","grab-taxi","tagalog-grab-taxi-1","Please take me here","Pakihatid ako rito","pah-kee-HA-tid ah-KOH ree-TOH","Use this while showing your destination on your phone","first-wave-core","starter-core","starter","translate-now","high","none","starter handoff core show-screen ride control","tagalog-ride-destination","anchor","tagalog-grab-taxi-1","tagalog-grab-taxi-1","","","tagalog-grab-taxi-3","tagalog-simple-problems-2","tagalog-directions-1","recommended-next-pass-pickup"
"4","grab-taxi","tagalog-grab-taxi-3","You can stop here","Dito na lang po","dee-TOH nah lahng poh","Use this when you want the driver to stop at the current spot","first-wave-core","starter-core","starter","translate-now","high","none","starter handoff core drop-off control","tagalog-ride-stop","anchor","tagalog-grab-taxi-3","tagalog-grab-taxi-3","","","tagalog-polite-basics-2","tagalog-simple-problems-2","tagalog-grab-taxi-7","later-only-hold"
"5","asking-price","tagalog-asking-price-1","How much is this?","Magkano ito","mag-KAH-noh ee-TOH","Use this while pointing at an item","first-wave-core","starter-core","starter","translate-now","high","none","starter handoff core purchase anchor","tagalog-price-check","anchor","tagalog-asking-price-1","tagalog-asking-price-1","","","tagalog-asking-price-6","tagalog-simple-problems-2","tagalog-convenience-store-6","recommended-next-pass-pickup"
"6","convenience-store","tagalog-convenience-store-1","A bottle of water, please","Isang bote ng tubig, pakiusap","ee-SAHNG BOH-teh nang too-BIG pah-kee-OO-sap","Use this for a quick water purchase","first-wave-core","starter-core","starter","translate-now","high","none","starter handoff core low-friction retail line with clearer bottle wording","tagalog-store-water","anchor","tagalog-convenience-store-1","tagalog-convenience-store-1","","","tagalog-asking-price-1","tagalog-simple-problems-2","tagalog-convenience-store-6","recommended-next-pass-pickup"
"7","street-food","tagalog-street-food-3","Not spicy, please","Hindi maanghang pakiusap","hin-DEE mah-ANG-hang pah-kee-OO-sap","Use this before the dish is prepared if you want mild food","first-wave-core","starter-core","starter","translate-now","medium","food-review","starter handoff core keep food review caution","tagalog-food-not-spicy","anchor","tagalog-street-food-3","tagalog-street-food-3","","","tagalog-street-food-7","tagalog-simple-problems-2","",""
"8","directions","tagalog-directions-2","Is it near here?","Malapit lang ba ito","mah-LAH-pit lahng bah ee-TOH","Ask this when deciding whether to walk or ride","first-wave-core","starter-core","starter","translate-now","high","none","starter handoff core navigation repair line","tagalog-directions-near","anchor","tagalog-directions-2","tagalog-directions-2","","","tagalog-directions-3","tagalog-simple-problems-2","tagalog-directions-1","recommended-next-pass-pickup"
"9","directions","tagalog-directions-3","How long if I walk?","Gaano katagal kung maglalakad ako","gah-AH-noh kah-tah-GAL koong mag-lah-LAH-kad ah-KOH","Use this to check whether walking is realistic","first-wave-core","starter-core","starter","translate-now","medium","none","starter handoff core walking decision line phrased as a direct traveler question","tagalog-directions-walk-time","anchor","tagalog-directions-3","tagalog-directions-3","","","tagalog-grab-taxi-1","tagalog-simple-problems-2","tagalog-directions-1","recommended-next-pass-pickup"
"10","polite-basics","tagalog-polite-basics-5","Excuse me","Paumanhin","pah-oo-MAN-hin","Use this to get attention politely first or to apologize briefly if needed","first-wave-core","starter-core","starter","translate-now","high","none","starter handoff core neutral polite opener","tagalog-polite-excuse-me","anchor","tagalog-polite-basics-5","tagalog-polite-basics-5","","","tagalog-asking-price-1","tagalog-simple-problems-2","tagalog-directions-1","recommended-next-pass-pickup"
