rank,scenario_id,phrase_id,english_text,priority_reason,confidence,review_flag,execution_status,decision_notes
1,polite-basics,korean-polite-basics-5,Excuse me,Highest-frequency opener for getting attention and softening requests across stations hotels cafes and shops in South Korea.,high,service-wording-review,first-wave-translated,Translated as a neutral polite opener while keeping attention-versus-apology review visible.
2,polite-basics,korean-polite-basics-2,Thank you,Core courtesy anchor across nearly every Korea travel interaction and an easy early win for the lane.,high,none,first-wave-translated,Translated as a compact courtesy anchor for routine service moments.
3,grab-taxi,korean-grab-taxi-1,Take me here,Strong show-screen transport phrase for taxis and ride pickups where the destination phone screen does most of the work.,high,service-wording-review,first-wave-translated,Translated with polite driver wording for show-screen use.
4,simple-problems,korean-simple-problems-2,I do not understand,Primary repair phrase when fast Korean replies outpace the traveler's comprehension.,high,none,first-wave-translated,Translated as the core repair phrase for fast replies.
5,simple-problems,korean-simple-problems-3,Can you speak a little slower,Best follow-up after signaling non-understanding in any service interaction.,high,service-wording-review,first-wave-translated,Translated with a softer service-safe request shape.
6,hotel-hostel,korean-hotel-hostel-1,I have a reservation,High-value front-desk phrase for arrival day and the clearest hotel starting point.,high,none,first-wave-translated,Translated as an early front-desk lookup line.
7,hotel-hostel,korean-hotel-hostel-2,I would like to check in,Companion to reservation lookup when the front desk needs a clear request.,high,service-wording-review,first-wave-translated,Translated as a concise check-in request with polite desk wording.
8,convenience-store,korean-convenience-store-6,Can I pay by card,Important payment-confirmation phrase for convenience stores kiosks cafes and smaller counters.,high,none,first-wave-translated,Translated as explicit card-payment confirmation for card-first checkout moments.
9,asking-price,korean-asking-price-1,How much is this,Core purchase and quick-confirmation phrase for shops bakeries kiosks and counters.,high,none,first-wave-translated,Translated as the core price-check row.
10,directions,korean-directions-1,Excuse me which exit should I take,Korea-specific transit repair row for subway stations underground passages and numbered exits.,high,transit-review,first-wave-translated,Translated after the subway-exit rewrite and kept transit review visible.
11,directions,korean-directions-2,Is it near here,Compact navigation check that helps the traveler decide between walking and taking transit.,high,none,first-wave-translated,Translated as a compact near-here navigation check.
12,directions,korean-directions-3,How long on foot,Useful routing question for station exits hotel districts and short-walk decisions.,high,none,first-wave-translated,Translated as a short walking-time question.
13,grab-taxi,korean-grab-taxi-3,You can stop here,Short high-value ride phrase for hotel drop-offs subway exits and map-guided stops.,high,service-wording-review,first-wave-translated,Translated as a brief drop-off control line.
14,convenience-store,korean-convenience-store-1,A bottle of water please,Simple hydration purchase phrase useful in convenience stores kiosks and stations.,high,none,first-wave-translated,Translated as a broad utility water-purchase line.
15,street-food,korean-street-food-3,Not spicy please,High-value food-modification phrase for travelers who want a short polite request before the order is made.,medium,food-review,first-wave-translated,Translated as a concise mild-food request for ordering moments.
16,hotel-hostel,korean-hotel-hostel-3,What time is check out,Common timing question that prevents front-desk confusion later in the stay.,high,none,first-wave-translated,Translated as a practical checkout-timing question.
17,simple-problems,korean-simple-problems-7,Please call for me,Useful escalation phrase when the traveler needs help contacting a hotel taxi or support number.,high,service-wording-review,first-wave-translated,Translated as a short help-call request while keeping service wording visible.
18,simple-problems,korean-simple-problems-1,I am lost,Pressure-moment repair phrase that pairs well with showing a map or hotel address.,high,none,first-wave-translated,Translated with a natural lost-traveler phrasing.
19,coffee-shop,korean-coffee-shop-1,One Americano please,Korea-fit cafe baseline after replacing the generic starter coffee order with a common local default.,medium,none,first-wave-translated,Translated as the Korea-fit simple Americano order.
20,coffee-shop,korean-coffee-shop-6,For takeaway,Common cafe distinction for busy pickup shelves and takeaway-first counter flow.,medium,none,first-wave-translated,Translated as the core takeaway line for cafes.
21,coffee-shop,korean-coffee-shop-7,"Could I pay, please?",High-frequency cafe payment request that still needs polite service-natural Korean wording later.,medium,service-wording-review,first-wave-translated,Translated toward a Korea-natural pay request rather than literal English structure.
22,street-food,korean-street-food-1,One serving please,Fast ordering phrase for casual food counters and low-friction restaurant ordering.,medium,none,first-wave-translated,Translated as a simple counter-order line.
23,polite-basics,korean-polite-basics-4,No thank you,Useful decline phrase for offers upsells and light street approaches without sounding abrupt.,medium,none,first-wave-translated,Translated as a brief polite decline with thanks.
24,hotel-hostel,korean-hotel-hostel-7,Please hold my luggage,High-utility hotel phrase for early arrival or late departure days.,medium,service-wording-review,first-wave-translated,Translated as a polite luggage-storage request.
25,grab-taxi,korean-grab-taxi-2,Please take me to the station,Korea-specific transit destination request that is stronger than the old generic city-center carryover.,medium,transit-review,first-wave-translated,Translated as a Korea-fit station request.
26,grab-taxi,korean-grab-taxi-7,I will pay by card,Card-payment confirmation is more useful than cash-default wording for Korea ride interactions.,medium,payment-review,first-wave-translated,Translated as Korea-fit card-payment confirmation for rides.
27,asking-price,korean-asking-price-5,What is the total price,Price-confirmation row that fits Korea better than bargaining-heavy final-price language.,medium,none,first-wave-translated,Translated as a total-price confirmation line.
28,asking-price,korean-asking-price-6,Show me another one,Useful comparison-shopping follow-up that fits shops and souvenir counters better than haggling.,medium,none,first-wave-translated,Translated as a comparison-shopping follow-up.
29,asking-price,korean-asking-price-4,Is there a cheaper one,Lower-confidence shopping comparison row that is still safer for Korea than bargaining language.,medium,none,first-wave-translated,Translated as a comparison row rather than bargaining language.
30,simple-problems,korean-simple-problems-6,I need a doctor,High-stakes traveler phrase worth early placement even though it still needs expert medical review.,medium,expert-review-medical,first-wave-translated-sensitive,Translated but kept behind explicit expert medical review.
31,hotel-hostel,korean-hotel-hostel-5,The air conditioner is not working,High-utility room-problem report that travelers need during warm-weather or sealed-room stays.,high,room-problem-review,second-pass-translated-needs-localization-check,Translated with the problem made clear while keeping complaint softening visible for later native review.
32,hotel-hostel,korean-hotel-hostel-4,This room is too hot,Common hotel comfort complaint that should be available before lower-value social rows.,high,room-problem-review,second-pass-translated-needs-localization-check,Translated as a direct room-temperature complaint while keeping tone uncertainty review-visible.
33,hotel-hostel,korean-hotel-hostel-6,More towels please,Routine hotel follow-up request with clear traveler utility across short stays.,high,none,second-pass-translated,Translated as a simple extra-towels request for front desk or housekeeping.
34,convenience-store,korean-convenience-store-4,Do you have a phone charger,Korea-fit convenience-store utility request after rewriting away from sunscreen carryover.,high,none,second-pass-translated,Translated as a practical charger request for late-night convenience runs.
35,convenience-store,korean-convenience-store-2,Do you have a bag,Checkout utility row that often comes up when the traveler buys drinks snacks or toiletries.,high,service-wording-review,second-pass-translated,Translated as a natural bag request instead of a literal stock question to keep the Korean service posture honest.
36,convenience-store,korean-convenience-store-5,Please open this for me,Useful help request for bottles sealed cups and hard packaging at quick counters.,high,none,second-pass-translated,Translated as a short help-opening request for packaging assistance.
37,convenience-store,korean-convenience-store-3,Tissues please,Small but frequent counter request with higher utility than small talk in the current prep lane.,medium,none,second-pass-translated,Translated as a direct tissue request for checkout and snack moments.
38,convenience-store,korean-convenience-store-7,Please give me the receipt,Useful payment follow-through row for reimbursements returns and expense tracking.,medium,service-wording-review,second-pass-translated,Translated as a receipt request while keeping service-register confidence modest.
39,directions,korean-directions-4,Which line do I take,Important subway follow-up once the traveler already has a destination but still needs the right line.,high,transit-review,second-pass-translated,Translated as a subway-line check while keeping route-screen dependence visible.
40,directions,korean-directions-5,Is this the right exit,Practical numbered-exit confirmation row for stations and underground passages in South Korea.,high,transit-review,second-pass-translated,Translated as a numbered-exit confirmation question for station navigation.
41,directions,korean-directions-6,Do I keep going straight,Useful route-confirmation follow-up after the first directions answer.,high,transit-review,second-pass-translated,Translated as a straight-ahead route check with follow-up context still visible.
42,directions,korean-directions-7,Thanks I understand now,Helpful closeout line for ending a directions exchange politely without reopening the route question.,medium,none,second-pass-translated,Translated as a polite directions-closeout line.
43,coffee-shop,korean-coffee-shop-2,One hot Americano please,High-frequency coffee variant in a market where iced drinks are common by default.,medium,none,second-pass-translated,Translated as a hot Americano order for cafes that default to iced drinks.
44,coffee-shop,korean-coffee-shop-3,One cafe latte please,Broad cafe-ordering row with stronger traveler value than social filler.,medium,none,second-pass-translated,Translated as a cafe latte order for common Korean coffee counters.
45,coffee-shop,korean-coffee-shop-4,Less ice please,Useful customization row for iced drinks and fruit beverages in warm seasons.,medium,none,second-pass-translated,Translated as a concise less-ice adjustment request.
46,coffee-shop,korean-coffee-shop-5,Less sweet please,Useful customization row for syrup-heavy drinks and desserts.,medium,none,second-pass-translated,Translated as a less-sweet adjustment row for drinks and desserts.
47,street-food,korean-street-food-2,I would like this one,High-utility pointing phrase for fast street-food stalls and bakery counters.,medium,none,second-pass-translated,Translated as a simple point-and-order food line.
48,street-food,korean-street-food-6,A spoon and chopsticks please,Korea-fit utensil request with broader realism than inherited generic cutlery wording.,medium,none,second-pass-translated,Translated as a spoon-plus-chopsticks request for Korean table settings.
49,street-food,korean-street-food-7,Pack it to go,Useful takeaway row for stalls and casual restaurants even though it overlaps with cafe takeaway language.,medium,none,second-pass-translated,Translated as a broad takeaway request that remains usable outside cafes.
50,street-food,korean-street-food-4,More side dishes please,Korea-fit dining row for banchan-heavy meals and casual restaurants.,medium,none,second-pass-translated,Translated as a banchan refill request instead of generic garnish wording.
