"phrase_id","scenario_id","audio_key","english_text","target_text","pronunciation","context","emoji","notes","status"
"italian-coffee-shop-1","coffee-shop","italian-coffee-shop-1","A coffee, please","Un caffè, per favore.","oon kahf-FEH pehr fah-VOH-reh","Use this for a simple coffee-bar order in Italy.","☕","rewritten from a weak baseline slot into a direct Italy-first cafe-bar order","second-pass-rewrite-complete"
"italian-coffee-shop-2","coffee-shop","italian-coffee-shop-2","An Americano, please","Un caffè americano, per favore.","oon kahf-FEH ah-meh-ree-KAH-no pehr fah-VOH-reh","Use this when you want a longer black coffee at a cafe or bar.","🥤","rewritten away from the iced-black-coffee scaffold into an Italy-fit Americano request","second-pass-rewrite-complete"
"italian-coffee-shop-3","coffee-shop","italian-coffee-shop-3","A cappuccino, please","Un cappuccino, per favore.","oon kahp-poo-CHEE-no pehr fah-VOH-reh","Use this for a familiar milk-coffee order in a cafe or bar.","🥛","rewritten away from the latte-style scaffold into a standard Italy-fit cappuccino request","second-pass-rewrite-complete"
"italian-coffee-shop-4","coffee-shop","italian-coffee-shop-4","Just a little ice","","","Add this only after a future cafe-fit rewrite proves that cold-drink customization belongs in the Italy lane.","🧊","rewrite-needed hold: ice customization is still a weak Italy-first coffee-bar intent; next owner is a future cafe-fit source rewrite","deferred-rewrite-needed"
"italian-coffee-shop-5","coffee-shop","italian-coffee-shop-5","No sugar please","Senza zucchero, per favore.","SEN-tsah DZOOK-keh-ro pehr fah-VOH-reh","Use this to keep your drink less sweet at a cafe or bar.","🚫","first-wave promoted core cafe customization","first-wave-promoted-core"
"italian-coffee-shop-6","coffee-shop","italian-coffee-shop-6","To take away","Da asporto, per favore.","dah ah-SPOR-toh pehr fah-VOH-reh","Say this when you want takeaway from a cafe bakery or snack counter.","🥤","first-wave promoted core takeaway wording after Italy-fit rewrite","first-wave-promoted-core"
"italian-coffee-shop-7","coffee-shop","italian-coffee-shop-7","Could I pay, please?","Posso pagare, per favore?","POS-soh pah-GAH-reh pehr fah-VOH-reh","Use this when you are ready to pay at a cafe or bar.","💵","second-pass translated payment request for quick coffee-bar checkout","second-pass-translated"
"italian-street-food-1","street-food","italian-street-food-1","One portion please","Una porzione, per favore.","OO-nah por-TSYOH-neh pehr fah-VOH-reh","Use this for a simple food order at a casual counter or restaurant while pointing.","🍽️","first-wave promoted core casual dining order phrase","first-wave-promoted-core"
"italian-street-food-2","street-food","italian-street-food-2","I will take this one","Prendo questo, grazie.","PREHN-doh KWEH-stoh GRAH-tsyeh","Use this while pointing at the dish or item you want.","🍜","rewritten from bowl-specific scaffold into a broader casual-order selection line","second-pass-rewrite-complete"
"italian-street-food-3","street-food","italian-street-food-3","Not spicy please","Non piccante, per favore.","non pee-KAN-teh pehr fah-VOH-reh","Say this before the food is prepared if you want it mild.","🌶️","second-pass translated mild-food request","second-pass-translated"
