phrase_id,family_id,family_title,scenario_id,scenario_title,english_text,target_text,pronunciation,audio_key,audio_status,access_tier,variant_role,context,search_aliases,city_id,city_name,place_id,place_name,city_library_kind,city_page_kind,place_kind,content_role,notes
polite-1,polite-hello,Hello,polite-basics,Polite Basics,Hello,Xin chào,sin chow,polite-1,ready,starter,say-first,"Use this to open a shop, desk, ride, or casual exchange politely.",hello | hi | greetings,,,,,,,,,legacy starter kept as primary | relation-sample=viet-greeting-hello:anchor
polite-2,polite-thank-you,Thank you,polite-basics,Polite Basics,Thank you,Cảm ơn,kahm uhn,polite-2,ready,starter,say-first,"Say this anytime someone helps you, serves you, or gives directions.",thank you | thanks,,,,,,,,,legacy starter kept as primary
polite-thank-you-polite,polite-thank-you,Thank you,polite-basics,Polite Basics,Thank you very much,Cảm ơn nhiều,kahm uhn nyew,polite-thank-you-polite,ready,premium,more-polite,Use this when someone went out of their way for you.,thank you very much | many thanks,,,,,,,,,premium polite variant
polite-3,polite-acknowledge,Yes / okay,polite-basics,Polite Basics,Yes / polite acknowledgment,Dạ,yah,polite-3,ready,starter,say-first,Use this as a soft respectful acknowledgment when someone speaks to you first.,yes | polite yes | acknowledge,,,,,,,,,legacy starter kept as primary | relation-sample=viet-greeting-acknowledge:anchor
polite-4,polite-no-thanks,"No, thank you",polite-basics,Polite Basics,"No, thank you","Không, cảm ơn",khong kahm uhn,polite-4,ready,starter,say-first,Use this to decline offers from vendors or service staff politely.,no thanks | no thank you,,,,,,,,,legacy starter kept as primary
polite-5,polite-excuse-me,Excuse me / sorry,polite-basics,Polite Basics,Excuse me / sorry,Xin lỗi,sin loy,polite-5,ready,starter,say-first,"Use this to get attention, pass by someone, or apologize for a small mistake.",excuse me | sorry,,,,,,,,,legacy starter kept as primary
polite-6,polite-its-okay,It's okay,polite-basics,Polite Basics,It’s okay,Không sao đâu,khong sao doh,polite-6,ready,starter,say-first,Say this when someone apologizes and you want to reassure them.,it's okay | no problem,,,,,,,,,legacy starter kept as primary
polite-7,polite-goodbye,Goodbye,polite-basics,Polite Basics,Goodbye,Tạm biệt,tahm bee-et,polite-7,ready,starter,say-first,"Use this when leaving a shop, café, or hotel desk.",goodbye | bye,,,,,,,,,legacy starter kept as primary
problems-2,repair-understand,I don't understand,understanding-repair,When You Don't Understand,I don’t understand,Tôi không hiểu,toy khong hyew,problems-2,ready,starter,say-first,Use this when someone is speaking too quickly or using unfamiliar words.,i don't understand | dont understand | not understand,,,,,,,,,legacy starter moved into repair lane | relation-sample=viet-repair-understand:anchor
problems-3,repair-slower,Speak slower,understanding-repair,When You Don't Understand,Can you speak a little slower?,Nói chậm chút được không?,noy chuhm choot dook khong,problems-3,ready,starter,say-first,Use this when you need the other person to slow down.,speak slower | slow down,,,,,,,,,legacy starter moved into repair lane | relation-sample=viet-repair-slower:anchor
repair-slower-polite,repair-slower,Speak slower,understanding-repair,When You Don't Understand,"Could you speak a little slower, please?",Nói chậm giúp tôi được không?,noy chuhm zoop toy dook khong,repair-slower-polite,ready,premium,more-polite,Use this when you need the same request to sound softer.,speak slower please,,,,,,,,,premium polite variant | relation-sample=viet-repair-slower:variant:more-polite
repair-1,repair-repeat,Say that again,understanding-repair,When You Don't Understand,Please say that again,Làm ơn nói lại,lahm uhn noy lie,repair-1,ready,starter,say-first,Use this when you missed the last sentence and need it repeated.,say that again | repeat please,,,,,,,,,new starter family | relation-sample=viet-repair-repeat:anchor
repair-2,repair-write-down,Write it down,understanding-repair,When You Don't Understand,Please write it down,Viết xuống giúp tôi,vee-et zoong zoop toy,repair-2,ready,starter,say-first,"Use this for numbers, names, room numbers, or addresses.",write it down | write please,,,,,,,,,new starter family | relation-sample=viet-repair-write-down:anchor
repair-3,repair-meaning,What does that mean?,understanding-repair,When You Don't Understand,What does that mean?,Cái đó nghĩa là gì?,gai doh ngee-ah lah zee,repair-3,ready,starter,say-first,Use this when one word or phrase is blocking your understanding.,what does that mean | meaning,,,,,,,,,new starter family
repair-4,repair-which-one,Which one?,understanding-repair,When You Don't Understand,Which one do you mean?,Ý anh/chị là cái nào?,ee anh chee lah gai now,repair-4,ready,premium,say-first,Use this when there are multiple options and you need the exact one.,which one | which one do you mean,,,,,,,,,premium-only repair family
repair-show-me,repair-show-me,Show me,understanding-repair,When You Don't Understand,Can you show me?,Chỉ cho tôi được không?,chee cho toy dook khong,repair-show-me,ready,premium,say-first,"Use this when you want the other person to point, show the item, or show the screen.",show me | can you show me,,,,,,,,,resolved hold-review primary
repair-5,repair-show-me,Show me,understanding-repair,When You Don't Understand,Can you show me on the map?,Chỉ trên bản đồ giúp tôi được không?,chee tren ban doh zoop toy dook khong,repair-5,ready,premium,also-common,Use this when the route or location is easier to show on a map than say.,show me on the map | map,,,,,,,,,resolved hold-review map variant
repair-6,repair-number,Say the number again,understanding-repair,When You Don't Understand,Please say the number again,Làm ơn nói lại số đó,lahm uhn noy lie soh doh,repair-6,ready,starter,say-first,Use this when you think you missed only the number.,say the number again | number again,,,,,,,,,resolved hold-review family moved to free | relation-sample=viet-repair-number:anchor
repair-number-amount,repair-number,Say the number again,understanding-repair,When You Don't Understand,How much did you say?,Anh/chị vừa nói bao nhiêu?,anh chee voo-ah noy bao nyew,repair-number-amount,ready,starter,also-common,"Use this when the missed number was the fare, total, room number, or amount.",how much did you say | what amount,,,,,,,,,resolved hold-review amount variant | relation-sample=viet-repair-number:variant:also-common
repair-english-help,repair-english-help,English help,understanding-repair,When You Don't Understand,Do you speak English?,Anh/chị nói tiếng Anh không?,anh chee noy tyeng anh khong,repair-english-help,ready,starter,say-first,Use this when you need to know whether English is an option.,speak english | english help,,,,,,,,,resolved hold-review primary | relation-sample=viet-repair-english-help:anchor
repair-english-help-self-limit,repair-english-help,English help,understanding-repair,When You Don't Understand,"Sorry, I don’t speak Vietnamese","Xin lỗi, tôi không nói tiếng Việt",sin loy toy khong noy tyeng vyet,repair-english-help-self-limit,ready,starter,also-common,Use this after the first phrase when you need to explain the language problem clearly.,i do not speak vietnamese | no vietnamese,,,,,,,,,resolved hold-review follow-up | relation-sample=viet-repair-english-help:variant:also-common
