"phrase_id","scenario_id","audio_key","english_text","target_text","pronunciation","context","emoji","notes","status"
"tagalog-coffee-shop-1","coffee-shop","tagalog-coffee-shop-1","One iced milk coffee please","Isang iced coffee na may gatas pakiusap","ee-SAHNG aysd KAW-fee nah may GAH-tas pah-kee-OO-sap","Use this for a classic iced coffee order at a cafe","☕","drafted parity phrase","drafted"
"tagalog-coffee-shop-2","coffee-shop","tagalog-coffee-shop-2","I'd like an iced black coffee","Isang iced black coffee pakiusap","ee-SAHNG aysd blak KAW-fee pah-kee-OO-sap","Use this when you want coffee without milk","🧊","drafted parity phrase","drafted"
"tagalog-coffee-shop-3","coffee-shop","tagalog-coffee-shop-3","I'd like an iced latte","Isang iced latte pakiusap","ee-SAHNG aysd LAH-teh pah-kee-OO-sap","Helpful when ordering a familiar milk coffee drink","🥛","drafted parity phrase","drafted"
"tagalog-coffee-shop-4","coffee-shop","tagalog-coffee-shop-4","Just a little ice","Kaunting yelo lang","kah-OON-ting YEH-loh lahng","Add this when you want less ice in your drink","🧊","drafted parity phrase","drafted"
"tagalog-coffee-shop-5","coffee-shop","tagalog-coffee-shop-5","No sugar please","Walang asukal pakiusap","WAH-lang ah-SOO-kal pah-kee-OO-sap","Use this to keep your drink less sweet","🚫","drafted parity phrase","drafted"
"tagalog-coffee-shop-6","coffee-shop","tagalog-coffee-shop-6","For takeaway","Takeout po","TEYK-awt poh","Say this when you want takeaway instead of staying","🥤","drafted parity phrase after the shared-source audit","drafted"
"tagalog-coffee-shop-7","coffee-shop","tagalog-coffee-shop-7","Could I pay, please?","Magbabayad na ako","mag-bah-bah-YAD nah ah-KOH","Use this when you are ready to pay or ask for the bill","💵","drafted parity phrase after the shared-source audit","drafted"
"tagalog-street-food-1","street-food","tagalog-street-food-1","One portion please","Isang order pakiusap","ee-SAHNG OR-der pah-kee-OO-sap","Use this for a simple food order while pointing","🍽️","drafted parity phrase","drafted"
"tagalog-street-food-2","street-food","tagalog-street-food-2","I'll take this bowl","Ito na lang ang kukunin ko","ee-TOH nah lahng ang koo-KOO-nin koh","Use this while pointing at the bowl or plate you want","🍜","drafted parity phrase","drafted"
"tagalog-street-food-3","street-food","tagalog-street-food-3","Not spicy, please","Hindi maanghang pakiusap","hin-DEE mah-ANG-hang pah-kee-OO-sap","Use this before the dish is prepared if you want mild food","🌶️","starter-handoff core keep food review caution | relation-sample=tagalog-food-not-spicy:anchor","first-wave-core"
"tagalog-street-food-4","street-food","tagalog-street-food-4","More herbs please","Dagdagan ng gulay pakiusap","dag-DAH-gan nang goo-LAHY pah-kee-OO-sap","Use this when you want extra greens or garnish","🥬","drafted parity phrase","drafted"
"tagalog-street-food-5","street-food","tagalog-street-food-5","Do you have bottled water","May bottled water ba kayo","may BOT-ld WAH-ter bah kah-YOH","Ask this when you want bottled water with your meal","💧","drafted parity phrase","drafted"
"tagalog-street-food-6","street-food","tagalog-street-food-6","A spoon and chopsticks please","Kutsara at chopsticks pakiusap","koots-AH-rah at CHOP-stiks pah-kee-OO-sap","Use this if utensils were not set out","🥢","drafted parity phrase","drafted"
"tagalog-street-food-7","street-food","tagalog-street-food-7","Please pack this to go","Pabalot na lang pakiusap","pah-bah-LOT nah lahng pah-kee-OO-sap","Say this when you want takeaway from a stall or restaurant","🛍️","starter-handoff core takeaway request | relation-sample=tagalog-food-takeaway:anchor","first-wave-core"
"tagalog-grab-taxi-1","grab-taxi","tagalog-grab-taxi-1","Please take me here","Pakihatid ako rito","pah-kee-HA-tid ah-KOH ree-TOH","Use this while showing your destination on your phone","📍","starter-handoff core show-screen ride control | relation-sample=tagalog-ride-destination:anchor","first-wave-core"
"tagalog-grab-taxi-2","grab-taxi","tagalog-grab-taxi-2","Go to Makati","Punta tayo sa Makati","POON-tah tah-YOH sah mah-KAH-tee","Use this for a simple destination in the city","🏙️","localized Philippines destination","drafted"
"tagalog-grab-taxi-3","grab-taxi","tagalog-grab-taxi-3","You can stop here","Dito na lang po","dee-TOH nah lahng poh","Use this when you want the driver to stop at the current spot","🛑","starter-handoff core drop-off control | relation-sample=tagalog-ride-stop:anchor","first-wave-core"
"tagalog-grab-taxi-4","grab-taxi","tagalog-grab-taxi-4","Go this way","Dito po tayo dumaan","dee-TOH poh tah-YOH doo-MAH-an","Use this if you need to guide the driver","➡️","drafted parity phrase","drafted"
"tagalog-grab-taxi-5","grab-taxi","tagalog-grab-taxi-5","Please turn on the air conditioning","Paki-on ang aircon pakiusap","pah-kee ON ang AIR-kon pah-kee-OO-sap","Use this on a hot ride if the aircon is off","❄️","drafted parity phrase","drafted"
"tagalog-grab-taxi-6","grab-taxi","tagalog-grab-taxi-6","Wait for me five minutes","Hintayin nyo ako ng limang minuto","hin-TAH-yin nyoh ah-KOH nang lee-MAHNG mee-NOO-toh","Use this if you need a very short stop","⏳","drafted parity phrase","drafted"
"tagalog-grab-taxi-7","grab-taxi","tagalog-grab-taxi-7","I'll pay in cash","Cash ang bayad ko","kash ang BAH-yad koh","Use this when payment method needs to be clear in the ride or at a small counter","💵","later-only hold boundary after T-114 because the cash declaration is narrower than the broader card-payment follow-on and should stay behind the ordered pickup cluster | relation-sample=tagalog-ride-cash-payment:later-only-hold","drafted"
"tagalog-asking-price-1","asking-price","tagalog-asking-price-1","How much is this?","Magkano ito","mag-KAH-noh ee-TOH","Use this while pointing at an item","🏷️","starter-handoff core purchase anchor | relation-sample=tagalog-price-check:anchor","first-wave-core"
