phrase_id,scenario_id,audio_key,english_text,target_text,pronunciation,context,emoji,notes,status
thai-coffee-shop-1,coffee-shop,thai-coffee-shop-1,"One iced milk coffee please",,,"Use this for a standard iced coffee order.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-coffee-shop-2,coffee-shop,thai-coffee-shop-2,"I would like an iced black coffee",,,"Use this when you want coffee without milk.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-coffee-shop-3,coffee-shop,thai-coffee-shop-3,"I would like an iced latte",,,"Useful when ordering a familiar milk coffee drink.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-coffee-shop-4,coffee-shop,thai-coffee-shop-4,"Just a little ice",,,"Add this when you want less ice in your drink.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-coffee-shop-5,coffee-shop,thai-coffee-shop-5,"No sugar please",,,"Use this to keep your drink less sweet.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-coffee-shop-6,coffee-shop,thai-coffee-shop-6,"For takeaway",,,"Say this when you want takeaway instead of staying.",,"Baseline scaffold from the shared traveler surface after the shared-source audit; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-coffee-shop-7,coffee-shop,thai-coffee-shop-7,"Could I pay, please?",,,"Use this when you are ready to pay or ask for the bill.",,"Baseline scaffold from the shared traveler surface after the shared-source audit; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-street-food-1,street-food,thai-street-food-1,"One portion please",,,"Use this for a simple food order while pointing.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-street-food-2,street-food,thai-street-food-2,"I will take this bowl",,,"Use this while pointing at the dish you want.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-street-food-3,street-food,thai-street-food-3,"Not spicy please",,,"Say this before the food is prepared if you want mild food.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-street-food-4,street-food,thai-street-food-4,"More herbs please",,,"Use this when you want extra greens or garnish.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-street-food-5,street-food,thai-street-food-5,"Do you have bottled water",,,"Ask this when you want bottled water with your meal.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-street-food-6,street-food,thai-street-food-6,"A spoon and chopsticks please",,,"Use this if utensils were not set out.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-street-food-7,street-food,thai-street-food-7,"Pack it to go",,,"Say this when you want takeaway from a stall or restaurant.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-grab-taxi-1,grab-taxi,thai-grab-taxi-1,"Take me here",,,"Use this while showing your destination on your phone.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-grab-taxi-2,grab-taxi,thai-grab-taxi-2,"Go to the city center",,,"Use this for a simple destination when the driver already knows the area.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-grab-taxi-3,grab-taxi,thai-grab-taxi-3,"You can stop here",,,"Use this when you want the driver to stop at the current spot.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-grab-taxi-4,grab-taxi,thai-grab-taxi-4,"Go this way",,,"Use this if you need to guide the driver.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-grab-taxi-5,grab-taxi,thai-grab-taxi-5,"Please turn on the air conditioning",,,"Use this on a hot ride if the air conditioning is off.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-grab-taxi-6,grab-taxi,thai-grab-taxi-6,"Wait for me five minutes",,,"Use this if you need a very short stop.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-grab-taxi-7,grab-taxi,thai-grab-taxi-7,"I will pay cash",,,"Use this when payment method needs to be clear.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-asking-price-1,asking-price,thai-asking-price-1,"How much is this",,,"Use this while pointing at an item.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-asking-price-2,asking-price,thai-asking-price-2,"How much per kilo",,,"Use this for produce or anything sold by weight.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-asking-price-3,asking-price,thai-asking-price-3,"Too expensive",,,"Say this lightly when reacting to a high price.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-asking-price-4,asking-price,thai-asking-price-4,"Can you lower it a little",,,"Use this politely when bargaining is normal.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-asking-price-5,asking-price,thai-asking-price-5,"What is your final price",,,"Ask this before making a final decision.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-asking-price-6,asking-price,thai-asking-price-6,"Show me another one",,,"Use this when you want to compare options.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-asking-price-7,asking-price,thai-asking-price-7,"I will take this one",,,"Say this once you agree on the item and price.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-polite-basics-1,polite-basics,thai-polite-basics-1,"Hello",,,"Use this to greet people in casual travel moments.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-polite-basics-2,polite-basics,thai-polite-basics-2,"Thank you",,,"Say this anytime someone helps you.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-polite-basics-3,polite-basics,thai-polite-basics-3,"Yes polite acknowledgment",,,"Use this as a respectful yes or acknowledgment.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-polite-basics-4,polite-basics,thai-polite-basics-4,"No thank you",,,"Use this to politely decline something.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-polite-basics-5,polite-basics,thai-polite-basics-5,"Excuse me",,,"Use this to get attention politely or open a short request.",,"Baseline scaffold from the shared traveler surface after the shared-source audit; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-polite-basics-6,polite-basics,thai-polite-basics-6,"It is okay",,,"Say this when someone apologizes to you.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-polite-basics-7,polite-basics,thai-polite-basics-7,"Goodbye",,,"Use this when leaving a shop, hotel, or ride.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
