scenarioID,scenarioTitle,audioStatus,phraseCount
city-guides,City Guides,planned,601
food-drink,Food & Drink,planned,299
money-numbers-prices,Payment & numbers,planned,190
transport,Transport,planned,180
shopping,Shopping,planned,179
city-guides,City Guides,ready,149
transport,Transport,ready,95
food-drink,Food & Drink,ready,94
health-pharmacy,Health & Pharmacy,planned,93
hotel-accommodation,Hotel Accommodation,ready,83
phone-internet-power,"Phone, Internet & Power",planned,81
health-pharmacy,Health & Pharmacy,ready,66
hotel-accommodation,Hotel Accommodation,planned,66
money-numbers-prices,Payment & numbers,ready,63
time-dates-booking,"Time, Dates & Booking",ready,59
understanding-repair,When You Don't Understand,ready,59
airport-border-arrival,Airport Border Arrival,ready,56
directions-navigation,Directions & Navigation,planned,56
sightseeing-activities,Sightseeing & Activities,planned,55
directions-navigation,Directions & Navigation,ready,52
local-services-everyday-tasks,Local Services & Everyday Tasks,planned,52
phone-internet-power,"Phone, Internet & Power",ready,48
airport-border-arrival,Airport Border Arrival,planned,44
emergency-safety,Emergency & Safety,ready,44
polite-basics,Polite Basics,ready,43
problems-help,Problems & Help,ready,42
local-services-everyday-tasks,Local Services & Everyday Tasks,ready,41
shopping,Shopping,ready,37
time-dates-booking,"Time, Dates & Booking",planned,34
bathroom-personal-needs,Bathroom & Personal Needs,planned,30
sightseeing-activities,Sightseeing & Activities,ready,28
social-small-talk,Social Small Talk,ready,22
bathroom-personal-needs,Bathroom & Personal Needs,ready,14
emergency-safety,Emergency & Safety,planned,9
understanding-repair,When You Don't Understand,planned,6
polite-basics,Polite Basics,planned,5
problems-help,Problems & Help,planned,2
social-small-talk,Social Small Talk,planned,1
