heroImageName,pageID,title,profile,assetPath,sourceOwnership
HeroCityDanangPlaceAirport,viet-family-city-danang-place-airport,Sân bay Đà Nẵng / Da Nang Airport,landmark,native-ios/Resources/Assets.xcassets/HeroCityDanangPlaceAirport.imageset/hero-city-danang-place-airport.png,app-owned generated illustration
HeroCityDanangPlaceApecPark,viet-family-city-danang-place-apec-park,Công viên APEC / APEC Park,landmark,native-ios/Resources/Assets.xcassets/HeroCityDanangPlaceApecPark.imageset/hero-city-danang-place-apec-park.png,app-owned generated illustration
HeroCityDanangPlaceAsiaPark,viet-family-city-danang-place-asia-park,Công viên Châu Á / Asia Park,landmark,native-ios/Resources/Assets.xcassets/HeroCityDanangPlaceAsiaPark.imageset/hero-city-danang-place-asia-park.png,app-owned generated illustration
HeroCityDanangPlaceBachDangStreet,viet-family-city-danang-place-bach-dang-street,Đường Bạch Đằng / Bach Dang Street,streetDriver,native-ios/Resources/Assets.xcassets/HeroCityDanangPlaceBachDangStreet.imageset/hero-city-danang-place-bach-dang-street.png,app-owned generated illustration
HeroCityDanangPlaceBanCoPeak,viet-family-city-danang-place-ban-co-peak,Đỉnh Bàn Cờ / Ban Co Peak,landmark,native-ios/Resources/Assets.xcassets/HeroCityDanangPlaceBanCoPeak.imageset/hero-city-danang-place-ban-co-peak.png,app-owned generated illustration
HeroCityDanangPlaceCathedral,viet-family-city-danang-place-cathedral,Nhà thờ Con Gà Đà Nẵng / Da Nang Cathedral,landmark,native-ios/Resources/Assets.xcassets/HeroCityDanangPlaceCathedral.imageset/hero-city-danang-place-cathedral.png,app-owned generated illustration
HeroCityDanangPlaceChamMuseum,viet-family-city-danang-place-cham-museum,Bảo tàng Điêu khắc Chăm / Museum of Cham Sculpture,landmark,native-ios/Resources/Assets.xcassets/HeroCityDanangPlaceChamMuseum.imageset/hero-city-danang-place-cham-museum.png,app-owned generated illustration
HeroCityDanangPlaceConMarket,viet-family-city-danang-place-con-market,Chợ Cồn / Con Market,landmark,native-ios/Resources/Assets.xcassets/HeroCityDanangPlaceConMarket.imageset/hero-city-danang-place-con-market.png,app-owned generated illustration
HeroCityDanangPlaceGoldenBridge,viet-family-city-danang-place-golden-bridge,Cầu Vàng / Golden Bridge,landmark,native-ios/Resources/Assets.xcassets/HeroCityDanangPlaceGoldenBridge.imageset/hero-city-danang-place-golden-bridge.png,app-owned generated illustration
HeroCityDanangPlaceHanRiver,viet-family-city-danang-place-han-river,Sông Hàn / Han River,landmark,native-ios/Resources/Assets.xcassets/HeroCityDanangPlaceHanRiver.imageset/hero-city-danang-place-han-river.png,app-owned generated illustration
