phrase_id,scenario_id,family_id,family_title,english_text,target_text,pronunciation,audio_key,audio_status,status,context,search_aliases,notes
,polite-basics,polite-hello,Hello,Hello,Xin chào,sin chow,polite-1,ready,approved,"Use this to open a shop, desk, ride, or casual exchange politely.",hello|hi|greetings,legacy starter kept as primary | relation-sample=viet-greeting-hello:anchor
,polite-basics,polite-thank-you,Thank you,Thank you,Cảm ơn,kahm uhn,polite-2,ready,approved,"Say this anytime someone helps you, serves you, or gives directions.",thank you|thanks,legacy starter kept as primary
,polite-basics,polite-thank-you,Thank you,Thank you very much,Cảm ơn nhiều,kahm uhn nyew,polite-thank-you-polite,ready,approved,Use this when someone went out of their way for you.,thank you very much|many thanks,premium polite variant
,polite-basics,polite-acknowledge,Yes / okay,Yes / polite acknowledgment,Dạ,yah,polite-3,ready,approved,Use this as a soft respectful acknowledgment when someone speaks to you first.,yes|polite yes|acknowledge,legacy starter kept as primary | relation-sample=viet-greeting-acknowledge:anchor
,polite-basics,polite-no-thanks,"No, thank you","No, thank you","Không, cảm ơn",khong kahm uhn,polite-4,ready,approved,Use this to decline offers from vendors or service staff politely.,no thanks|no thank you,legacy starter kept as primary
,polite-basics,polite-excuse-me,Excuse me / sorry,Excuse me / sorry,Xin lỗi,sin loy,polite-5,ready,approved,"Use this to get attention, pass by someone, or apologize for a small mistake.",excuse me|sorry,legacy starter kept as primary
,polite-basics,polite-its-okay,It's okay,It’s okay,Không sao đâu,khong sao doh,polite-6,ready,approved,Say this when someone apologizes and you want to reassure them.,it's okay|no problem,legacy starter kept as primary
,polite-basics,polite-goodbye,Goodbye,Goodbye,Tạm biệt,tahm bee-et,polite-7,ready,approved,"Use this when leaving a shop, café, or hotel desk.",goodbye|bye,legacy starter kept as primary
,understanding-repair,repair-understand,I don't understand,I don’t understand,Tôi không hiểu,toy khong hyew,problems-2,ready,approved,Use this when someone is speaking too quickly or using unfamiliar words.,i don't understand|dont understand|not understand,legacy starter moved into repair lane | relation-sample=viet-repair-understand:anchor
,understanding-repair,repair-slower,Speak slower,Can you speak a little slower?,Nói chậm chút được không?,noy chuhm choot dook khong,problems-3,ready,approved,Use this when you need the other person to slow down.,speak slower|slow down,legacy starter moved into repair lane | relation-sample=viet-repair-slower:anchor
,understanding-repair,repair-slower,Speak slower,"Could you speak a little slower, please?",Nói chậm giúp tôi được không?,noy chuhm zoop toy dook khong,repair-slower-polite,ready,approved,Use this when you need the same request to sound softer.,speak slower please,premium polite variant | relation-sample=viet-repair-slower:variant:more-polite
,understanding-repair,repair-repeat,Say that again,Please say that again,Làm ơn nói lại,lahm uhn noy lie,repair-1,ready,approved,Use this when you missed the last sentence and need it repeated.,say that again|repeat please,new starter family | relation-sample=viet-repair-repeat:anchor
,understanding-repair,repair-write-down,Write it down,Please write it down,Viết xuống giúp tôi,vee-et zoong zoop toy,repair-2,ready,approved,"Use this for numbers, names, room numbers, or addresses.",write it down|write please,new starter family | relation-sample=viet-repair-write-down:anchor
,understanding-repair,repair-meaning,What does that mean?,What does that mean?,Cái đó nghĩa là gì?,gai doh ngee-ah lah zee,repair-3,ready,approved,Use this when one word or phrase is blocking your understanding.,what does that mean|meaning,new starter family
,understanding-repair,repair-which-one,Which one?,Which one do you mean?,Ý anh/chị là cái nào?,ee anh chee lah gai now,repair-4,ready,approved,Use this when there are multiple options and you need the exact one.,which one|which one do you mean,premium-only repair family
,understanding-repair,repair-show-me,Show me,Can you show me?,Chỉ cho tôi được không?,chee cho toy dook khong,repair-show-me,ready,approved,"Use this when you want the other person to point, show the item, or show the screen.",show me|can you show me,resolved hold-review primary
,understanding-repair,repair-show-me,Show me,Can you show me on the map?,Chỉ trên bản đồ giúp tôi được không?,chee tren ban doh zoop toy dook khong,repair-5,ready,approved,Use this when the route or location is easier to show on a map than say.,show me on the map|map,resolved hold-review map variant
,understanding-repair,repair-number,Say the number again,Please say the number again,Làm ơn nói lại số đó,lahm uhn noy lie soh doh,repair-6,ready,approved,Use this when you think you missed only the number.,say the number again|number again,resolved hold-review family moved to free | relation-sample=viet-repair-number:anchor
,understanding-repair,repair-number,Say the number again,How much did you say?,Anh/chị vừa nói bao nhiêu?,anh chee voo-ah noy bao nyew,repair-number-amount,ready,approved,"Use this when the missed number was the fare, total, room number, or amount.",how much did you say|what amount,resolved hold-review amount variant | relation-sample=viet-repair-number:variant:also-common
,understanding-repair,repair-english-help,English help,Do you speak English?,Anh/chị nói tiếng Anh không?,anh chee noy tyeng anh khong,repair-english-help,ready,approved,Use this when you need to know whether English is an option.,speak english|english help,resolved hold-review primary | relation-sample=viet-repair-english-help:anchor
,understanding-repair,repair-english-help,English help,"Sorry, I don’t speak Vietnamese","Xin lỗi, tôi không nói tiếng Việt",sin loy toy khong noy tyeng vyet,repair-english-help-self-limit,ready,approved,Use this after the first phrase when you need to explain the language problem clearly.,i do not speak vietnamese|no vietnamese,resolved hold-review follow-up | relation-sample=viet-repair-english-help:variant:also-common
,understanding-repair,repair-translate-this,Translate this,Can you translate this for me?,Dịch giúp tôi cái này được không?,zik zoop toy gai nai dook khong,repair-translate-this,ready,approved,"Use this while showing the menu, sign, receipt, or phone screen.",translate this|can you translate this,resolved hold-review primary
,transport,transport-destination,Take me here,Take me here,Cho tôi tới đây,cho toy toy day,taxi-1,ready,approved,Use this while showing your destination on your phone.,take me here|go here|destination,legacy transport primary | relation-sample=viet-transport-destination:anchor
,transport,transport-main-destination,Go to this area,Go to District 1,Đi quận 1,dee gwan mot,taxi-2,ready,approved,Use this for a simple destination inside the city.,district 1|go to district 1,legacy transport primary
,transport,transport-stop-here,Stop here,You can stop here,Dừng ở đây được rồi,zoong uh day dook roy,taxi-3,ready,approved,Use this when you want the driver to stop at the current spot.,stop here|get off here,legacy transport primary | relation-sample=viet-transport-stop-here:anchor
,transport,transport-stop-here,Stop here,Please stop right here,Cho tôi xuống ngay đây,cho toy zoong ngay day,transport-stop-here-clearer,ready,approved,Use this when the driver seems likely to roll past the stop.,stop right here,premium clearer variant | relation-sample=viet-transport-stop-here:variant:clearer
,transport,transport-route,Go this way,Go this way,Đi đường này đi,dee doong nai dee,taxi-4,ready,approved,Use this if you need to guide the driver.,go this way|this way,legacy transport primary
,transport,transport-aircon,Turn on the AC,Please turn on the air conditioning,Mở máy lạnh giúp tôi,muh mai lanh zoop toy,taxi-5,ready,approved,Use this on a hot ride if the air conditioning is off.,air conditioning|aircon,legacy transport primary
,transport,transport-wait,Wait five minutes,Wait for me five minutes,Chờ tôi năm phút,cho toy nam foot,taxi-6,ready,approved,Use this if you need a very short stop.,wait for me|five minutes,legacy transport primary
,transport,transport-cash,I'll pay cash,I’ll pay cash,Tôi trả bằng tiền mặt,toy tra bang tyen mat,taxi-7,ready,approved,Use this when payment method needs to be clear.,pay cash|cash,legacy transport primary
,transport,transport-fare,Fare,How much is the fare?,Tiền xe bao nhiêu?,tyen seh bao nyew,transport-fare,ready,approved,Use this before or during the ride when you need the fare clearly.,fare|how much is the fare,resolved hold-review primary | relation-sample=viet-transport-fare:anchor
,transport,transport-meter,Use the meter,Please use the meter,Làm ơn bật đồng hồ giúp tôi,lahm uhn but dong ho zoop toy,transport-meter,ready,approved,Use this at the start of the ride when you need the meter running.,use the meter|meter,resolved hold-review primary | relation-sample=viet-transport-meter:anchor
,transport,transport-lost,We are lost,I think we are lost,Tôi nghĩ chúng ta bị lạc rồi,toy ngee choong ta bee lahk roy,transport-lost,ready,approved,Use this when the route feels wrong and you need to reset the ride.,we are lost|i think we are lost,resolved hold-review primary
,transport,transport-platform,Right platform?,Is this the right platform?,Đây có đúng bến không?,day koh zoong ben khong,transport-1,ready,approved,"Use this at bus stations, ferry piers, or pickup bays.",right platform|right bay|right stop,premium-only transport family
,transport,transport-bus-goes,Does this bus go here?,Does this bus go to…?,Xe này có đi tới… không?,seh nai koh dee toy khong,transport-2,ready,approved,Use this before you board if you are unsure about the route.,does this bus go to|does this go to,premium-only transport family
,hotel-accommodation,hotel-reservation,I have a reservation,I have a reservation,Tôi có đặt phòng,toy koh dat fong,hotel-1,ready,approved,Use this at the desk when you have already booked.,reservation|booking,legacy hotel primary | relation-sample=viet-hotel-reservation:anchor
,hotel-accommodation,hotel-check-in,Check in,I’d like to check in,Cho tôi nhận phòng,cho toy nyun fong,hotel-2,ready,approved,Use this when you are ready to begin check-in.,check in,legacy hotel primary | relation-sample=viet-hotel-check-in:anchor
,hotel-accommodation,hotel-check-in,Check in,"I’d like to check in, please",Cho tôi nhận phòng nhé,cho toy nyun fong nhe,hotel-check-in-polite,ready,approved,Use this when you want the request to sound softer at the desk.,check in please,premium polite variant | relation-sample=viet-hotel-check-in:variant:more-polite
,hotel-accommodation,hotel-checkout-time,Check-out time,What time is check-out?,Mấy giờ trả phòng?,may zyuh tra fong,hotel-3,ready,approved,Ask this early so you know the deadline before your last day.,check out time|checkout,legacy hotel primary | relation-sample=viet-hotel-checkout-time:anchor
,hotel-accommodation,hotel-quiet-room,Quiet room,Can I have a quiet room?,Cho tôi phòng yên tĩnh được không?,cho toy fong yen tinh dook khong,hotel-quiet-room,ready,approved,"Use this when you need a quieter room away from traffic, elevators, or noise.",quiet room,resolved hold-review primary
,hotel-accommodation,hotel-checkout,Check out now,I’d like to check out,Cho tôi trả phòng,cho toy tra fong,hotel-checkout,ready,approved,Use this at the desk when you are ready to end the stay.,check out now|i'd like to check out,resolved hold-review primary
,hotel-accommodation,hotel-room-hot,Room too hot,This room is too hot,Phòng này nóng quá,fong nai nong gwah,hotel-4,ready,approved,Use this when the room temperature is the main problem.,room too hot|too hot,legacy hotel primary | relation-sample=viet-hotel-room-hot:anchor
,hotel-accommodation,hotel-aircon-broken,AC not working,The air conditioner isn’t working,Máy lạnh không chạy,mai lanh khong chai,hotel-5,ready,approved,Use this when the air conditioner is not working at all.,air conditioner isn't working|aircon broken,legacy hotel primary | relation-sample=viet-hotel-aircon-broken:anchor
,hotel-accommodation,hotel-more-supplies,More room supplies,More towels please,Cho tôi thêm khăn,cho toy them khan,hotel-6,ready,approved,Use this for a straightforward front-desk request for more room supplies.,more towels|towels,resolved hold-review family broadened
,hotel-accommodation,hotel-more-supplies,More room supplies,Can I have more toilet paper?,Cho tôi thêm giấy vệ sinh được không?,cho toy them zai veh sinh dook khong,hotel-more-supplies-paper,ready,approved,Use this when the room needs more toilet paper rather than more towels.,more toilet paper|room supplies,resolved hold-review supply variant
,hotel-accommodation,hotel-luggage,Hold my luggage,Please hold my luggage,Giữ hành lý giúp tôi,zoo han lee zoop toy,hotel-7,ready,approved,Use this when you need the hotel to hold your bags for a while.,hold my luggage|bags,legacy hotel primary
,hotel-accommodation,hotel-key-card,Key card not working,The key card doesn’t work,Thẻ phòng không mở được,teh fong khong muh dook,hotel-8,ready,approved,Use this when the room card stops working.,key card doesn't work|room card,premium-only hotel family
,hotel-accommodation,hotel-call-taxi,Call a taxi,Can you call a taxi for me?,Gọi taxi giúp tôi được không?,goy taxi zoop toy dook khong,hotel-9,ready,approved,Use this when you want the hotel to arrange a ride instead of just giving directions.,call a taxi|call car,premium-only hotel family
,food-drink,food-coffee-milk,Iced milk coffee,One iced milk coffee please,Cho tôi một cà phê sữa đá,cho toy mot ka feh sue-ah dah,coffee-1,ready,approved,Use this at a café when you want the classic Vietnamese coffee order.,iced milk coffee|coffee with milk,legacy food primary
,food-drink,food-coffee-black,Iced black coffee,I’d like an iced black coffee,Cho tôi cà phê đen đá,cho toy ka feh den dah,coffee-2,ready,approved,Use this when you want coffee without milk.,iced black coffee|black coffee,legacy food primary
,food-drink,food-coffee-bac-xiu,Bac xiu,I’d like an iced bạc xỉu,Cho tôi bạc xỉu đá,cho toy bahk see-u dah,coffee-3,ready,approved,Use this when you want a sweeter milk-forward coffee.,bac xiu|bạc xỉu,legacy food primary
,food-drink,food-less-ice,Less ice,Just a little ice,Ít đá thôi,eet dah toy,coffee-4,ready,approved,Add this when you want less ice in your drink.,less ice|little ice,legacy food primary
,food-drink,food-no-sugar,No sugar,No sugar please,Không đường nhé,khong doong nhe,coffee-5,ready,approved,Use this to keep your drink less sweet.,no sugar,legacy food primary
,food-drink,food-to-go,To go,To go,Mang đi,mang dee,coffee-6,ready,approved,Say this when you want takeaway instead of staying.,to go|take away|takeout,legacy food primary
,food-drink,food-pay-now,Ready to pay,Please let me pay,Tính tiền giúp tôi,ting tyen zoop toy,coffee-7,ready,approved,Use this when you are ready to pay at the counter.,let me pay|pay now,legacy food primary | relation-sample=viet-food-pay-now:anchor
,food-drink,food-need-table,Table for two,"A table for two, please",Cho tôi bàn cho hai người nhé,cho toy ban cho hai ngwee nhe,food-need-table,ready,approved,Use this when the first need is getting seated.,table for two|need a table,resolved hold-review primary | relation-sample=viet-food-need-table:anchor
,food-drink,food-menu,See the menu,Can I see the menu?,Cho tôi xem thực đơn được không?,cho toy sem thook dun dook khong,food-menu,ready,approved,Use this before ordering when you still need the menu.,see the menu|menu,resolved hold-review primary | relation-sample=viet-food-menu:anchor
,food-drink,food-one-portion,One portion,One portion please,Cho tôi một phần,cho toy mot fun,food-1,ready,approved,Use this for a simple food order while pointing.,one portion|one order,legacy food primary
,food-drink,food-this-bowl,This bowl,I’ll take this bowl,Cho tôi tô này,cho toy toh nai,food-2,ready,approved,Use this while pointing at the bowl or plate you want.,this bowl|this dish,legacy food primary
,food-drink,food-not-spicy,Not spicy,Not spicy please,Không cay nhé,khong kai nhe,food-3,ready,approved,Use this before the dish is prepared if you want mild food.,not spicy|mild,legacy food primary | relation-sample=viet-food-not-spicy:anchor
,food-drink,food-not-spicy,Not spicy,"Less spicy, please",Ít cay thôi,eet kai thoy,audio-authored-it-cay-thoi-05b8e258a2,ready,approved,Use this when fully not spicy is unrealistic but you still need the dish milder.,less spicy|mild,premium clearer variant | relation-sample=viet-food-not-spicy:variant:clearer
,food-drink,food-more-herbs,More herbs,More herbs please,Cho thêm rau,cho them zow,food-4,ready,approved,Use this when you want extra herbs or greens.,more herbs|more vegetables,legacy food primary
,food-drink,food-bottled-water,Bottled water,Do you have bottled water?,Có nước suối không?,koh nook soy khong,food-5,ready,approved,Ask this when you want bottled water with your meal.,bottled water|water,legacy food primary | relation-sample=viet-food-bottled-water:anchor
,food-drink,food-utensils,Spoon and chopsticks,A spoon and chopsticks please,Cho tôi muỗng với đũa,cho toy moong voy doo-ah,food-6,ready,approved,Use this if utensils were not set out.,spoon and chopsticks|utensils,legacy food primary
,food-drink,food-pack-to-go,Pack it to go,Pack it to go,Gói mang về,goy mang veh,food-7,ready,approved,Say this when you want takeaway from a stall or restaurant.,pack to go|take away,legacy food primary
,food-drink,food-vegetarian,Vegetarian,I am vegetarian,Tôi ăn chay,toy an chai,food-vegetarian,ready,approved,Use this before you order when you need the vegetarian version or a different dish.,vegetarian,resolved hold-review primary
,food-drink,food-peanut-allergy,Peanut allergy,I am allergic to peanuts,Tôi bị dị ứng đậu phộng,toy bee zee oong dow fohng,food-peanut-allergy,ready,approved,Use this before you order when peanuts are the main food risk.,peanut allergy|allergic to peanuts,resolved hold-review primary
,food-drink,food-peanut-allergy,Peanut allergy,Does this have egg or peanuts?,Món này có trứng hay đậu phộng không?,mon nai koh choong hai dow fohng khong,food-15,ready,approved,Use this after the allergy warning when you need to check the ingredients directly.,egg|peanut|allergy,resolved hold-review ingredient variant
,food-drink,food-wrong-order,Wrong order,This isn’t what I ordered,Đây không phải món tôi gọi,day khong fai mon toy goy,food-16,ready,approved,Use this when the wrong dish arrives at the table.,wrong order|not what i ordered,premium-only food family
,food-drink,food-split-bill,Pay separately,Can we pay separately?,Trả riêng được không?,tra ryeng dook khong,food-17,ready,approved,Use this when you need separate payment instead of a single bill.,pay separately|split bill,premium-only food family
,money-numbers-prices,money-how-much,How much is this?,How much is this?,Cái này bao nhiêu?,gai nai bao nyew,price-1,ready,approved,Use this while pointing at an item.,how much is this|price,legacy price primary | relation-sample=viet-money-how-much:anchor
,money-numbers-prices,money-how-much,How much is this?,How much is this?,Cái này nhiêu tiền?,gai nai nyew tyen,money-how-much-common,ready,approved,Use this as a common spoken alternative when you hear price asked more casually.,how much|price,premium also-common variant
,money-numbers-prices,money-per-kilo,Price per kilo,How much per kilo?,Bao nhiêu một ký?,bao nyew mot kee,price-2,ready,approved,"Use this for fruit, snacks, or anything sold by weight.",per kilo|kilo price,legacy price primary
,money-numbers-prices,money-too-expensive,Too expensive,Too expensive,Mắc quá,mak gwah,price-3,ready,approved,Say this lightly when reacting to a high price.,too expensive,legacy price primary
,money-numbers-prices,money-lower-price,Lower the price,Can you lower it a little?,Bớt chút được không?,but choot dook khong,price-4,ready,approved,Use this politely when bargaining is normal.,lower it|discount,legacy price primary
,money-numbers-prices,money-final-price,Final price,What’s your final price?,Giá cuối bao nhiêu?,za gooy bao nyew,price-5,ready,approved,Ask this before making a final decision.,final price,legacy price primary | relation-sample=viet-money-final-price:anchor
,money-numbers-prices,money-another-one,Another one,Show me another one,Cho tôi xem cái khác,cho toy sem gai khak,price-6,ready,approved,Use this when you want to compare options.,another one|show me another,legacy price primary
,money-numbers-prices,money-take-this,I'll take this,I’ll take this one,Tôi lấy cái này,toy lay gai nai,price-7,ready,approved,Say this once you agree on the item and price.,i'll take this,legacy price primary
,money-numbers-prices,money-total,Total,How much altogether?,Tổng cộng bao nhiêu?,tong kong bao nyew,price-8,ready,approved,Use this when you need the full amount across more than one item.,how much altogether|total,premium-only money family
,money-numbers-prices,money-find-atm,Find an ATM,Where is the nearest ATM?,ATM gần nhất ở đâu?,ay-tee-em gun nyut uh dow,airport-4,ready,approved,"Use this when you need cash and want the closest ATM, not just any airport machine.",atm|nearest atm|cash machine,resolved hold-review key reuse from airport lane
,money-numbers-prices,money-small-bills,Small bills,Do you have smaller bills?,Có tiền lẻ không?,koh tyen leh khong,price-9,ready,approved,Use this when you need smaller notes or change.,small bills|change,premium-only money family
,directions-navigation,directions-how-to-get,How do I get there?,"Excuse me, how do I get there?","Cho hỏi, đi tới đó thế nào?",cho hoy dee toy doh theh nao,directions-1,ready,approved,Use this when you need the route to a place and can point or name it separately.,how do i get there|get there,resolved hold-review replacement
,directions-navigation,directions-near,Is it near here?,Is it near here?,Ở gần đây không?,uh gun day khong,directions-2,ready,approved,Use this before you commit to walking.,near here|nearby,legacy directions primary
,directions-navigation,directions-how-long,How long on foot?,How long does it take on foot?,Đi bộ mất bao lâu?,dee boh mut bao low,directions-3,ready,approved,"Use this when you need walking time, not just direction words.",how long on foot|walking time,resolved hold-review replacement
,directions-navigation,directions-turn-left,Turn left?,Where do I turn left?,Rẽ trái ở đâu?,reh chai uh dow,directions-4,ready,approved,Use this when you are already on the route and need the next turn.,turn left,legacy directions primary
,directions-navigation,directions-turn-right,Turn right?,Should I turn right?,Tôi rẽ phải đúng không?,toy reh fai zoong khong,directions-5,ready,approved,Use this when you want to confirm the next turn as a yes-or-no question.,turn right|right turn,resolved hold-review replacement
,directions-navigation,directions-go-straight,Go straight?,Should I go straight?,Tôi đi thẳng phải không?,toy dee thang fai khong,directions-6,ready,approved,Use this when you want to confirm that you should keep going straight.,go straight,resolved hold-review replacement
,directions-navigation,directions-understand-now,I understand now,"Thanks, I understand now","Cảm ơn, tôi hiểu rồi",kahm uhn toy hyew roy,directions-7,ready,approved,Use this when the directions finally make sense and you are ready to move.,i understand now,legacy directions primary
,directions-navigation,directions-pickup-point,Pickup point,Where is the pickup point?,Điểm đón ở đâu?,deeym don uh dow,directions-8,ready,approved,"Use this for rides, tours, or shuttle pickups.",pickup point,premium-only directions family
,directions-navigation,directions-which-exit,Which exit?,Which exit?,Lối ra nào?,loy za now,directions-9,ready,approved,Use this when there are multiple exits and the wrong one will waste time.,which exit|exit,premium-only directions family
,airport-border-arrival,airport-immigration,Immigration,Where is immigration?,Nhập cảnh ở đâu?,nyup canh uh dow,airport-1,ready,approved,Use this right after landing when you need the first official line.,immigration,new starter family
,airport-border-arrival,airport-baggage,Baggage claim,Where is baggage claim?,Lấy hành lý ở đâu?,lay han lee uh dow,airport-2,ready,approved,Use this after passport control when you need the bag carousel.,baggage claim|luggage,new starter family
,airport-border-arrival,airport-sim,Buy a SIM card,Where can I buy a SIM card?,Mua SIM ở đâu?,moo-ah sim uh dow,airport-3,ready,approved,Use this after arrival if you need data before leaving the airport.,sim card|buy sim,new starter family
,airport-border-arrival,airport-pickup,Pickup area,Where is the pickup area?,Khu đón ở đâu?,khoo don uh dow,airport-5,ready,approved,"Use this for rideshare, shuttle, or private pickup handoffs.",pickup area|pickup point,new starter family
,airport-border-arrival,airport-pickup,Pickup area,Where do I meet the driver?,Tôi gặp tài xế ở đâu?,toy gap tai seh uh dow,airport-pickup-clearer,ready,approved,"Use this when you already know it is a driver handoff, not a general pickup zone.",meet the driver,premium clearer variant
,airport-border-arrival,airport-bag-missing,My bag didn't arrive,My bag did not arrive,Hành lý của tôi chưa tới,han lee koo-ah toy choo toy,airport-6,ready,approved,Use this when your bag did not appear on the carousel.,my bag did not arrive|lost bag,starter baggage-recovery family
,airport-border-arrival,airport-domestic-terminal,Domestic terminal,Where is the domestic terminal?,Nhà ga nội địa ở đâu?,nya ga noy dee-ah uh dow,airport-7,ready,approved,"Use this when you need the next airport terminal, not just the exit.",domestic terminal,premium-only airport family
,health-pharmacy,health-doctor,I need a doctor,I need a doctor,Tôi cần bác sĩ,toy gun bak see,problems-6,ready,approved,Use this if you feel sick and need medical help quickly.,doctor|need a doctor,legacy starter moved into health lane
,health-pharmacy,health-pharmacy,Pharmacy,Where is the pharmacy?,Nhà thuốc ở đâu?,nya thoo-ok uh dow,health-1,ready,approved,Use this when you need a pharmacy and a simple direct wording is enough.,pharmacy|drugstore,existing direct pharmacy variant
,health-pharmacy,health-pharmacy,Pharmacy,Where is the nearest pharmacy?,Nhà thuốc gần nhất ở đâu?,nya thoo-ok gun nyut uh dow,health-pharmacy-clearer,ready,approved,"Use this when you need the nearest pharmacy, not just any pharmacy.",nearest pharmacy|pharmacy nearby,resolved hold-review primary
,health-pharmacy,health-headache,I have a headache,I have a headache,Tôi bị đau đầu,toy bee dow dow,health-2,ready,approved,Use this when you want the symptom understood before asking for medicine.,headache,new starter family
,health-pharmacy,health-stomach,My stomach hurts,My stomach hurts,Tôi đau bụng,toy dow boong,health-3,ready,approved,"Use this for stomach pain, cramps, or when you need stomach medicine.",stomach hurts|stomach pain,new starter family
,health-pharmacy,health-motion-sickness,Motion sickness medicine,Do you have motion sickness medicine?,Có thuốc say xe không?,koh thoo-ok sai seh khong,health-4,ready,approved,"Use this when travel motion is the problem and you want the medicine, not a doctor.",motion sickness medicine,new starter family
,health-pharmacy,health-allergy,I'm allergic to this,I am allergic to this,Tôi bị dị ứng cái này,toy bee zee oong gai nai,health-5,ready,approved,"Use this when an ingredient, medicine, or product may trigger an allergy.",allergic|allergy,starter allergy family
,health-pharmacy,health-diarrhea,Diarrhea medicine,I need something for diarrhea,Tôi cần thuốc tiêu chảy,toy gun thoo-ok tyew chai,health-6,ready,approved,Use this at a pharmacy when the trip got messy and you need the medicine fast.,diarrhea medicine|stomach medicine,starter pharmacy recovery family
,problems-help,help-lost,I'm lost,I’m lost,Tôi bị lạc đường,toy bee lahk doong,problems-1,ready,approved,Use this when you need immediate help finding your way back.,i'm lost|lost,legacy starter moved into problems lane
,problems-help,help-left-something,I left something,I left something behind,Tôi quên đồ rồi,toy gwen doh roy,problems-4,ready,approved,"Say this if you forgot an item in a car, room, or café.",left something behind|forgot something,legacy starter moved into problems lane
,problems-help,help-need-help,I need help,I need help,Giúp tôi với,zoop toy voy,help-need-help-direct,ready,approved,Use this when you need immediate practical help and want the shortest direct version.,i need help|help,resolved hold-review primary
,problems-help,help-call-hotel,Call the hotel,Please call the hotel for me,Gọi khách sạn giúp tôi,goy khak san zoop toy,help-2,ready,approved,Use this when you need local help contacting your hotel fast.,call the hotel,new starter family
,problems-help,help-manager,I need the manager,I need the manager,Tôi cần quản lý,toy gun kwan lee,help-3,ready,approved,Use this when the staff cannot solve the problem and you need escalation.,manager,new starter family
,problems-help,help-charged-twice,Charged twice,I was charged twice,Tôi bị tính tiền hai lần,toy bee ting tyen hai lun,help-4,ready,approved,Use this when a card or payment was charged twice.,charged twice|double charged,premium-only help family
,problems-help,help-file-report,File a report,I need to file a report,Tôi cần làm biên bản,toy gun lahm byeen ban,help-5,ready,approved,Use this when the problem is serious enough that you need an official report.,file a report|report,premium-only help family
,time-dates-booking,time-what-time,What time?,What time?,Mấy giờ?,may zyuh,time-1,ready,approved,Use this when you already both know what the event is and you just need the time.,what time,new starter family
,time-dates-booking,time-today,Today,Today,Hôm nay,hom nai,time-2,ready,approved,Use this as a short anchor phrase when confirming a schedule.,today,new starter family
,time-dates-booking,time-tomorrow-morning,Tomorrow morning,Tomorrow morning,Sáng mai,sahng mai,time-3,ready,approved,Use this when confirming tomorrow-morning timing without a full sentence.,tomorrow morning,new starter family
,time-dates-booking,time-have-booking,I have a booking,I have a booking,Tôi có đặt chỗ,toy koh dat choh,time-4,ready,approved,Use this when the booking exists and you need staff to find it first.,i have a booking|reservation,new starter family
,time-dates-booking,time-open,Opening time,What time does it open?,Mấy giờ mở cửa?,may zyuh muh koo-ah,time-5,ready,approved,"Use this for museums, cafés, counters, or services you plan to return to.",what time open|opening time,new starter family
,time-dates-booking,time-move-later,Move it later,Can we move it later?,Dời lại muộn hơn được không?,zoy lie moon hun dook khong,time-6,ready,approved,Use this when you need to shift a time rather than just confirm it.,move it later|later,premium-only time family
,time-dates-booking,time-boarding,Boarding time,What time does boarding start?,Mấy giờ bắt đầu lên máy bay?,may zyuh bat dow len mai bai,time-7,ready,approved,"Use this when the time you need is the boarding start, not just departure.",boarding start|boarding time,premium-only time family
,shopping,shopping-size,This size,I want this size,Tôi muốn cỡ này,toy moo-on guh nai,shop-1,ready,approved,"Use this when the main choice is size, not price.",this size|size,new starter family
,shopping,shopping-color,Another color,Do you have another color?,Có màu khác không?,koh mau khak khong,shop-2,ready,approved,Use this when the item is right but the color is wrong.,another color|color,new starter family
,shopping,shopping-try-on,Try this on,Can I try this on?,Tôi thử cái này được không?,toy thoo gai nai dook khong,shop-3,ready,approved,Use this before you take an item into the fitting room.,try this on|try on,new starter family
,shopping,shopping-just-looking,Just looking,I’m just looking,Tôi chỉ xem thôi,toy chee sem toy,shop-4,ready,approved,Use this when staff or vendors approach before you are ready.,just looking|browsing,new starter family
,shopping,shopping-pay-where,Where do I pay?,Where do I pay?,Trả ở đâu?,tra uh dow,shop-5,ready,approved,Use this when you have the item and need the payment point.,where do i pay|checkout,new starter family
,shopping,shopping-exchange,Exchange this,I want to exchange this,Tôi muốn đổi cái này,toy moo-on doy gai nai,shop-6,ready,approved,Use this when the item is wrong after purchase and you need an exchange.,exchange this|return,premium-only shopping family
,phone-internet-power,phone-wifi-password,Wi-Fi password,What is the Wi-Fi password?,Mật khẩu Wi-Fi là gì?,mat khau wai-fai la zee,phone-1,ready,approved,Use this when Wi-Fi exists but you need the password.,wifi password|wi-fi|internet,new starter family
