patch_id,page_id,phrase_id,review_status,import_approval,operation,target_id,target_order,current_value,proposed_value,reason_for_change,new_linked_phrase_required,canonical_target_id,audio_policy,asset_policy,validator_rule,jojo_question
B001-BRK-001,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,KEEP_BREAKDOWN_REVIEW_ONLY,viet-phrase-city-hanoi-place-bun-cha-huong-lien:breakdown:breakdown:city-hanoi-place-bun-cha-huong-lien-editorial-1,0,Bún chả -> dish name,Bún chả -> dish name,Breakdown is acceptable and avoids fake literal translation.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-BRK-002,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,KEEP_BREAKDOWN_REVIEW_ONLY,viet-phrase-city-hanoi-place-bun-cha-huong-lien:breakdown:breakdown:city-hanoi-place-bun-cha-huong-lien-editorial-2,1,Hương Liên -> restaurant name,Hương Liên -> restaurant name,Breakdown is acceptable and avoids fake literal translation.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-BRK-003,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,KEEP_BREAKDOWN_REVIEW_ONLY,viet-phrase-city-hanoi-place-bun-cha-huong-lien:breakdown:breakdown:city-hanoi-place-bun-cha-huong-lien-editorial-3,2,Bún chả Hương Liên -> Bun Cha Huong Lien,Bún chả Hương Liên -> Bun Cha Huong Lien,Breakdown is acceptable and avoids fake literal translation.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-BRK-004,viet-phrase-city-hanoi-place-pho-bat-dan,city-hanoi-place-pho-bat-dan,REVIEW_ONLY,REVIEW_ONLY,KEEP_BREAKDOWN_REVIEW_ONLY,viet-phrase-city-hanoi-place-pho-bat-dan:breakdown:breakdown:city-hanoi-place-pho-bat-dan-editorial-1,0,Phở -> pho / noodle soup,Phở -> pho / noodle soup,Breakdown is acceptable and avoids fake literal translation.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-BRK-005,viet-phrase-city-hanoi-place-pho-bat-dan,city-hanoi-place-pho-bat-dan,REVIEW_ONLY,REVIEW_ONLY,KEEP_BREAKDOWN_REVIEW_ONLY,viet-phrase-city-hanoi-place-pho-bat-dan:breakdown:breakdown:city-hanoi-place-pho-bat-dan-editorial-2,1,Bát Đàn -> restaurant name,Bát Đàn -> restaurant name,Breakdown is acceptable and avoids fake literal translation.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-BRK-006,viet-phrase-city-hanoi-place-pho-bat-dan,city-hanoi-place-pho-bat-dan,REVIEW_ONLY,REVIEW_ONLY,KEEP_BREAKDOWN_REVIEW_ONLY,viet-phrase-city-hanoi-place-pho-bat-dan:breakdown:breakdown:city-hanoi-place-pho-bat-dan-editorial-3,2,Phở Bát Đàn -> Pho Bat Dan,Phở Bát Đàn -> Pho Bat Dan,Breakdown is acceptable and avoids fake literal translation.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-BRK-007,viet-phrase-city-hoian-place-cao-lau-city,city-hoian-place-cao-lau-city,REVIEW_ONLY,REVIEW_ONLY,REPLACE_BREAKDOWN_GLOSS_REVIEW_ONLY,viet-phrase-city-hoian-place-cao-lau-city:breakdown:breakdown:city-hoian-place-cao-lau-city-chunk-1,0,Cao lầu ở -> dish name recognition,Cao lầu -> dish name,Do not attach the location word to the dish-name token.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-BRK-008,viet-phrase-city-hoian-place-cao-lau-city,city-hoian-place-cao-lau-city,REVIEW_ONLY,REVIEW_ONLY,KEEP_BREAKDOWN_REVIEW_ONLY,viet-phrase-city-hoian-place-cao-lau-city:breakdown:breakdown:city-hoian-place-cao-lau-city-chunk-2,1,Hội An -> dish name ending,Hội An -> dish name ending,Breakdown is acceptable and avoids fake literal translation.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-BRK-009,viet-phrase-city-hoian-place-cao-lau-city,city-hoian-place-cao-lau-city,REVIEW_ONLY,REVIEW_ONLY,KEEP_BREAKDOWN_REVIEW_ONLY,viet-phrase-city-hoian-place-cao-lau-city:breakdown:breakdown:city-hoian-place-cao-lau-city-full,2,Cao lầu ở Hội An -> Cao lau in Hoi An,Cao lầu ở Hội An -> Cao lau in Hoi An,Breakdown is acceptable and avoids fake literal translation.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-BRK-010,viet-phrase-city-hue-place-bun-bo-city,city-hue-place-bun-bo-city,REVIEW_ONLY,REVIEW_ONLY,KEEP_BREAKDOWN_REVIEW_ONLY,viet-phrase-city-hue-place-bun-bo-city:breakdown:breakdown:city-hue-place-bun-bo-city-editorial-1,0,Bún bò -> beef noodle part of the dish name,Bún bò -> beef noodle part of the dish name,Breakdown is acceptable and avoids fake literal translation.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
