"patch_id","page_id","phrase_id","review_status","import_approval","operation","target_id","target_order","current_value","proposed_value","reason_for_change","new_linked_phrase_required","canonical_target_id","audio_policy","asset_policy","validator_rule","jojo_question"
"B001-Q-001","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","REVIEW_ONLY","REVIEW_ONLY","QUESTION_ONLY","viet-phrase-city-hanoi-place-bun-cha-huong-lien","1","Prior hard restaurant page; needs live-interaction model for ordering, drinks, payment, and ride-back support.","","","","","","","",""
"B001-Q-002","viet-phrase-city-hanoi-place-pho-bat-dan","city-hanoi-place-pho-bat-dan","REVIEW_ONLY","REVIEW_ONLY","QUESTION_ONLY","viet-phrase-city-hanoi-place-pho-bat-dan","2","Prior hard restaurant page; needs durable, source-aware traveler tasks without review-style claims.","","","","","","","",""
"B001-Q-003","viet-phrase-city-hoian-place-cao-lau-city","city-hoian-place-cao-lau-city","REVIEW_ONLY","REVIEW_ONLY","QUESTION_ONLY","viet-phrase-city-hoian-place-cao-lau-city","3","Remaining unresolved Cao lầu identity page; needs Jojo decision before any canonical title/content import.","","","","","","","",""
"B001-Q-004","viet-phrase-city-hue-place-bun-bo-city","city-hue-place-bun-bo-city","REVIEW_ONLY","REVIEW_ONLY","QUESTION_ONLY","viet-phrase-city-hue-place-bun-bo-city","4","Prior hard dish page; needs order, spice, ingredient, and diet teaching shape.","","","","","","","",""
"B001-Q-005","viet-phrase-city-danang-place-ba-na-hills","city-danang-place-ba-na-hills","REVIEW_ONLY","REVIEW_ONLY","QUESTION_ONLY","viet-phrase-city-danang-place-ba-na-hills","5","Completed Bà Nà Hills journey patch; include as the model example, not as an active re-import target.","","","","","","","",""
"B001-Q-006","viet-phrase-city-danang-place-dragon-bridge","city-danang-place-dragon-bridge","REVIEW_ONLY","REVIEW_ONLY","QUESTION_ONLY","viet-phrase-city-danang-place-dragon-bridge","6","Prior hard landmark page; needs place navigation and photo/pickup recovery shape.","","","","","","","",""
"B001-Q-007","viet-phrase-city-danang-place-marble-mountains","city-danang-place-marble-mountains","REVIEW_ONLY","REVIEW_ONLY","QUESTION_ONLY","viet-phrase-city-danang-place-marble-mountains","7","Prior hard attraction page; needs stable facts and ticket/entrance journey support.","","","","","","","",""
"B001-Q-008","viet-phrase-city-danang-place-son-tra","city-danang-place-son-tra","REVIEW_ONLY","REVIEW_ONLY","QUESTION_ONLY","viet-phrase-city-danang-place-son-tra","8","Prior hard area page; needs route-area model and exact-stop support.","","","","","","","",""
"B001-Q-009","viet-phrase-city-danang-place-bach-dang-street","city-danang-place-bach-dang-street","REVIEW_ONLY","REVIEW_ONLY","QUESTION_ONLY","viet-phrase-city-danang-place-bach-dang-street","9","Prior hard street page; needs street-name pronouncer and driver-facing linked rows.","","","","","","","",""
"B001-Q-010","viet-phrase-city-danang-place-nguyen-van-linh-street","city-danang-place-nguyen-van-linh-street","REVIEW_ONLY","REVIEW_ONLY","QUESTION_ONLY","viet-phrase-city-danang-place-nguyen-van-linh-street","10","Prior hard street page; needs confirm-location/drop-off/wrong-place support.","","","","","","","",""
"B001-Q-011","viet-phrase-city-danang-place-vo-nguyen-giap-street","city-danang-place-vo-nguyen-giap-street","REVIEW_ONLY","REVIEW_ONLY","QUESTION_ONLY","viet-phrase-city-danang-place-vo-nguyen-giap-street","11","Prior hard beach-side street page; needs driver pickup/drop-off teaching shape.","","","","","","","",""
