rank,scenario_id,phrase_id,english_text,priority_reason,confidence,review_flag,execution_status,decision_notes
1,polite-basics,indonesian-polite-basics-5,Excuse me,"Highest-frequency opener for getting attention and opening short requests across rides, counters, hotels, and shops.",high,politeness-review,first-wave-translated,Translated as a neutral polite opener while keeping the permisi versus maaf review visible.
2,polite-basics,indonesian-polite-basics-2,Thank you,Core courtesy anchor across nearly every Indonesia travel interaction and an easy first translation win.,high,none,first-wave-translated,Translated as the core courtesy anchor for everyday service moments.
3,polite-basics,indonesian-polite-basics-8,Sorry,Important apology and request-softening phrase that should stay distinct from the attention-getting Excuse me row.,high,politeness-review,first-wave-translated,Translated as a separate apology softener instead of collapsing into Excuse me.
4,grab-taxi,indonesian-grab-taxi-1,Take me here,"Top ride-control line for taxis, Grab, and Gojek when the destination pin does most of the work.",high,none,first-wave-translated,Translated as a show-screen-friendly ride request for taxis Grab and Gojek.
5,asking-price,indonesian-asking-price-1,How much is this,"Core purchase phrase for markets, kiosks, minimarts, and casual counters across Indonesia.",high,none,first-wave-translated,Translated as the core price-check row for shops kiosks and casual counters.
6,simple-problems,indonesian-simple-problems-2,I do not understand,Primary repair phrase when replies come too fast or switch away from the traveler's expected English.,high,none,first-wave-translated,Translated as the core repair phrase for fast replies.
7,simple-problems,indonesian-simple-problems-3,Can you speak a little slower,Best follow-up after signaling non-understanding in any service interaction.,high,none,first-wave-translated,Translated as a polite slower-speech request.
8,hotel-hostel,indonesian-hotel-hostel-1,I have a reservation,"Day-one arrival phrase with immediate utility at hotels, guesthouses, and hostels.",high,none,first-wave-translated,Translated as the early front-desk reservation lookup line.
9,hotel-hostel,indonesian-hotel-hostel-2,I would like to check in,Companion hotel arrival phrase when the desk needs an explicit check-in request.,high,none,first-wave-translated,Translated as a concise hotel arrival request.
10,grab-taxi,indonesian-grab-taxi-3,You can stop here,"Short high-value drop-off phrase for hotels, ports, stations, and curbside ride corrections.",high,none,first-wave-translated,Translated as a short drop-off control line.
