place_catalog_id,city_id,city_name,vietnamese_name,english_name,kind,place_kind,source_notes,target_hero_image
danang-3d-art-in-paradise,danang,Da Nang,Bảo tàng 3D Art in Paradise Đà Nẵng,3D Art in Paradise Da Nang,museum,museum,Da Nang Fantasticity; venue source.,HeroCityDanangPlace3dArtInParadise
danang-43-factory,danang,Da Nang,43 Factory Coffee Roaster,43 Factory Coffee Roaster,cafe,cafe,Venue and local cafe sources.,HeroCityDanangPlace43Factory
danang-airport,danang,Da Nang,Sân bay Đà Nẵng,Da Nang Airport,airport,airport,City library; Vietnam Tourism Da Nang.,HeroCityDanangPlaceAirport
danang-an-thuong-street-area,danang,Da Nang,Khu An Thượng,An Thuong Area,neighborhood,neighborhood,Da Nang Fantasticity; local map.,HeroCityDanangPlaceAnThuongStreetArea
danang-apec-park,danang,Da Nang,Công viên APEC,APEC Park,park,park,City library; Da Nang Fantasticity.,HeroCityDanangPlaceApecPark
danang-asia-park,danang,Da Nang,Công viên Châu Á,Asia Park,park,park,City library; Da Nang Fantasticity.,HeroCityDanangPlaceAsiaPark
danang-ba-na-cable-car,danang,Da Nang,Cáp treo Bà Nà,Ba Na cable car,experience,experience,Vietnam Tourism Da Nang; Da Nang Fantasticity.,HeroCityDanangPlaceBaNaCableCar
danang-ba-na-hills,danang,Da Nang,Bà Nà Hills,Ba Na Hills,landmark,landmark,City library; Vietnam Tourism Da Nang; Da Nang Fantasticity.,HeroCityDanangPlaceBaNaHills
danang-bac-my-an-market,danang,Da Nang,Chợ Bắc Mỹ An,Bac My An Market,market,market,Local map.,HeroCityDanangPlaceBacMyAnMarket
danang-bach-dang-street,danang,Da Nang,Đường Bạch Đằng,Bach Dang Street,street,street,City library; Vietnam Tourism/Da Nang sources.,HeroCityDanangPlaceBachDangStreet
danang-ban-co-peak,danang,Da Nang,Đỉnh Bàn Cờ,Ban Co Peak,landmark,landmark,City library; Da Nang Fantasticity.,HeroCityDanangPlaceBanCoPeak
danang-banh-mi,danang,Da Nang,Bánh mì ở Đà Nẵng,Banh mi,dish,dish,Vietnam food sources.,HeroCityDanangPlaceBanhMi
danang-banh-trang-cuon-thit-heo,danang,Da Nang,Bánh tráng cuốn thịt heo ở Đà Nẵng,Pork rice-paper rolls,dish,dish,Da Nang local food sources.,HeroCityDanangPlaceBanhTrangCuonThitHeo
danang-banh-xeo,danang,Da Nang,Bánh xèo ở Đà Nẵng,Banh xeo,dish,dish,Vietnam food sources; local source.,HeroCityDanangPlaceBanhXeo
danang-banh-xeo-ba-duong,danang,Da Nang,Bánh xèo Bà Dưỡng,Banh Xeo Ba Duong,restaurant,restaurant,Local food source.,HeroCityDanangPlaceBanhXeoBaDuong
danang-be-man,danang,Da Nang,Hải sản Bé Mặn,Be Man Seafood,restaurant,restaurant,Local food and venue sources.,HeroCityDanangPlaceBeMan
danang-bep-cuon,danang,Da Nang,Bếp Cuốn Đà Nẵng,Bep Cuon Da Nang,restaurant,restaurant,Venue and local tourism sources.,HeroCityDanangPlaceBepCuon
danang-boulevard-gelato-coffee,danang,Da Nang,Boulevard Gelato & Coffee,Boulevard Gelato & Coffee,cafe,cafe,Local cafe source.,HeroCityDanangPlaceBoulevardGelatoCoffee
danang-bun-cha-ca,danang,Da Nang,Bún chả cá ở Đà Nẵng,Fish-cake noodle soup,dish,dish,Da Nang local food sources.,HeroCityDanangPlaceBunChaCa
danang-bun-cha-ca-hon,danang,Da Nang,Bún Chả Cá Hờn,Bun Cha Ca Hon,restaurant,restaurant,Local food source.,HeroCityDanangPlaceBunChaCaHon
danang-cathedral,danang,Da Nang,Nhà thờ Con Gà Đà Nẵng,Da Nang Cathedral,landmark,landmark,City library; Da Nang Fantasticity.,HeroCityDanangPlaceCathedral
danang-central-bus-station,danang,Da Nang,Bến xe Trung tâm Đà Nẵng,Da Nang Central Bus Station,station,station,Da Nang transport and local map sources.,HeroCityDanangPlaceCentralBusStation
danang-cham-museum,danang,Da Nang,Bảo tàng Điêu khắc Chăm,Museum of Cham Sculpture,museum,museum,City library; Da Nang Fantasticity; museum source.,HeroCityDanangPlaceChamMuseum
danang-che-xoa-xoa-hat-luu,danang,Da Nang,Chè xoa xoa hạt lựu ở Đà Nẵng,Da Nang sweet soup,dessert,dessert,Da Nang local food sources; local naming source.,HeroCityDanangPlaceCheXoaXoaHatLuu
danang-co-chu-nho,danang,Da Nang,Cô Chủ Nhỏ,Co Chu Nho,restaurant,restaurant,MICHELIN article/search source; venue source.,HeroCityDanangPlaceCoChuNho
danang-con-market,danang,Da Nang,Chợ Cồn,Con Market,market,market,City library; Da Nang Fantasticity.,HeroCityDanangPlaceConMarket
danang-cong-caphe-bach-dang,danang,Da Nang,Cộng Cà Phê Bạch Đằng,Cong Caphe Bach Dang,cafe,cafe,Venue and local map sources.,HeroCityDanangPlaceCongCapheBachDang
danang-domestic-terminal,danang,Da Nang,Nhà ga quốc nội Đà Nẵng,Da Nang Domestic Terminal,airport,airport,Airport and transport sources.,HeroCityDanangPlaceDomesticTerminal
danang-dong-dinh-museum,danang,Da Nang,Bảo tàng Đồng Đình,Dong Dinh Museum,museum,museum,Da Nang Fantasticity.,HeroCityDanangPlaceDongDinhMuseum
danang-dragon-bridge,danang,Da Nang,Cầu Rồng,Dragon Bridge,landmark,landmark,City library; Vietnam Tourism Da Nang.,HeroCityDanangPlaceDragonBridge
danang-dragon-bridge-fire-show,danang,Da Nang,Màn phun lửa Cầu Rồng,Dragon Bridge fire show,experience,experience,Vietnam Tourism Da Nang.,HeroCityDanangPlaceDragonBridgeFireShow
danang-dragon-carp-statue,danang,Da Nang,Tượng Cá Chép Hóa Rồng,Dragon Carp Statue,landmark,landmark,Da Nang Fantasticity; local map.,HeroCityDanangPlaceDragonCarpStatue
danang-fatfish,danang,Da Nang,Fatfish,Fatfish Restaurant & Lounge Bar,restaurant,restaurant,Venue and local map sources.,HeroCityDanangPlaceFatfish
danang-fine-arts-museum,danang,Da Nang,Bảo tàng Mỹ thuật Đà Nẵng,Da Nang Fine Arts Museum,museum,museum,Da Nang Fantasticity.,HeroCityDanangPlaceFineArtsMuseum
danang-golden-bridge,danang,Da Nang,Cầu Vàng,Golden Bridge,landmark,landmark,City library; Vietnam Tourism Da Nang; Da Nang Fantasticity.,HeroCityDanangPlaceGoldenBridge
danang-hai-chau-district,danang,Da Nang,Quận Hải Châu,Hai Chau District,neighborhood,neighborhood,Da Nang Fantasticity; local map.,HeroCityDanangPlaceHaiChauDistrict
danang-hai-san,danang,Da Nang,Hải sản ở Đà Nẵng,Seafood,dish,dish,Vietnam Tourism Da Nang mentions seafood near beaches; stable local notes.,HeroCityDanangPlaceHaiSan
danang-hai-van-pass,danang,Da Nang,Đèo Hải Vân,Hai Van Pass,landmark,landmark,Vietnam Tourism Da Nang.,HeroCityDanangPlaceHaiVanPass
danang-hai-van-pass-ride,danang,Da Nang,Chuyến đi đèo Hải Vân,Hai Van Pass ride,experience,experience,Vietnam Tourism Da Nang.,HeroCityDanangPlaceHaiVanPassRide
danang-han-market,danang,Da Nang,Chợ Hàn,Han Market,market,market,City library; Vietnam Tourism/Da Nang sources.,HeroCityDanangPlaceHanMarket
danang-han-river,danang,Da Nang,Sông Hàn,Han River,river,river,City library; Vietnam Tourism/Da Nang sources.,HeroCityDanangPlaceHanRiver
danang-han-river-cruise,danang,Da Nang,Du thuyền sông Hàn,Han River cruise,experience,experience,Da Nang tourism sources; operator-neutral source.,HeroCityDanangPlaceHanRiverCruise
danang-helio-night-market,danang,Da Nang,Chợ đêm Helio,Helio Night Market,market,market,City library; Da Nang Fantasticity.,HeroCityDanangPlaceHelioNightMarket
danang-hoa-phu-thanh,danang,Da Nang,Khu du lịch Hòa Phú Thành,Hoa Phu Thanh,attraction,attraction,Da Nang Fantasticity; venue source.,HeroCityDanangPlaceHoaPhuThanh
danang-hoa-trung-lake,danang,Da Nang,Hồ Hòa Trung,Hoa Trung Lake,nature,nature,Da Nang tourism source; local map.,HeroCityDanangPlaceHoaTrungLake
danang-international-terminal,danang,Da Nang,Nhà ga quốc tế Đà Nẵng,Da Nang International Terminal,airport,airport,Airport and transport sources.,HeroCityDanangPlaceInternationalTerminal
danang-kem-bo,danang,Da Nang,Kem bơ ở Đà Nẵng,Avocado ice cream,dessert,dessert,Da Nang local food sources.,HeroCityDanangPlaceKemBo
danang-la-maison-1888,danang,Da Nang,La Maison 1888,La Maison 1888,restaurant,restaurant,Da Nang Fantasticity MICHELIN article; MICHELIN or venue source.,HeroCityDanangPlaceLaMaison1888
danang-lady-buddha,danang,Da Nang,Tượng Phật Bà,Lady Buddha,landmark,landmark,Vietnam Tourism Da Nang; Da Nang Fantasticity.,HeroCityDanangPlaceLadyBuddha
danang-le-duan-night-market,danang,Da Nang,Chợ đêm Lê Duẩn,Le Duan Night Market,market,market,Da Nang local tourism source; local map.,HeroCityDanangPlaceLeDuanNightMarket
danang-linh-ung-pagoda,danang,Da Nang,Chùa Linh Ứng,Linh Ung Pagoda,landmark,landmark,City library; Vietnam Tourism Da Nang.,HeroCityDanangPlaceLinhUngPagoda
danang-long-coffee,danang,Da Nang,Cà phê Long,Long Coffee,cafe,cafe,Local cafe source.,HeroCityDanangPlaceLongCoffee
danang-lotte-mart,danang,Da Nang,Lotte Mart Đà Nẵng,Lotte Mart Da Nang,market,market,Local map.,HeroCityDanangPlaceLotteMart
danang-love-bridge,danang,Da Nang,Cầu Tình Yêu,Love Bridge,landmark,landmark,City library; Da Nang Fantasticity.,HeroCityDanangPlaceLoveBridge
danang-madame-lan,danang,Da Nang,Madame Lân,Madame Lan,restaurant,restaurant,Da Nang tourism and venue sources.,HeroCityDanangPlaceMadameLan
danang-man-thai-beach,danang,Da Nang,Biển Mân Thái,Man Thai Beach,beach,beach,City library; Da Nang Fantasticity.,HeroCityDanangPlaceManThaiBeach
danang-marble-mountain-cave-walk,danang,Da Nang,Hang động Ngũ Hành Sơn,Marble Mountain cave walk,experience,experience,Vietnam Tourism Da Nang.,HeroCityDanangPlaceMarbleMountainCaveWalk
danang-marble-mountains,danang,Da Nang,Ngũ Hành Sơn,Marble Mountains,landmark,landmark,City library; Vietnam Tourism Da Nang.,HeroCityDanangPlaceMarbleMountains
danang-mi-quang,danang,Da Nang,Mì Quảng ở Đà Nẵng,Mi Quang,dish,dish,Vietnam Tourism/Da Nang food sources; local source.,HeroCityDanangPlaceMiQuang
danang-mi-quang-1a,danang,Da Nang,Mì Quảng 1A,Mi Quang 1A,restaurant,restaurant,Local food source.,HeroCityDanangPlaceMiQuang1a
danang-museum,danang,Da Nang,Bảo tàng Đà Nẵng,Da Nang Museum,museum,museum,Da Nang Fantasticity; local map.,HeroCityDanangPlaceMuseum
danang-museum-branch-2,danang,Da Nang,Bảo tàng Đà Nẵng - Cơ sở 2,Da Nang Museum Branch 2,museum,museum,Da Nang Fantasticity; branch-name source.,HeroCityDanangPlaceMuseumBranch2
danang-my-an,danang,Da Nang,Mỹ An,My An,neighborhood,neighborhood,Local map.,HeroCityDanangPlaceMyAn
danang-my-an-beach,danang,Da Nang,Biển Mỹ An,My An Beach,beach,beach,Vietnam Tourism Da Nang.,HeroCityDanangPlaceMyAnBeach
danang-my-khe-beach,danang,Da Nang,Biển Mỹ Khê,My Khe Beach,beach,beach,City library; Vietnam Tourism Da Nang.,HeroCityDanangPlaceMyKheBeach
danang-my-quang-ba-mua,danang,Da Nang,Mỳ Quảng Bà Mua,My Quang Ba Mua,restaurant,restaurant,Venue and local food sources.,HeroCityDanangPlaceMyQuangBaMua
danang-my-quang-dung,danang,Da Nang,Mỳ Quảng Dung,My Quang Dung,restaurant,restaurant,Local food source.,HeroCityDanangPlaceMyQuangDung
danang-nam-danh-seafood,danang,Da Nang,Hải sản Năm Đảnh,Nam Danh Seafood,restaurant,restaurant,Local food source.,HeroCityDanangPlaceNamDanhSeafood
danang-nam-house,danang,Da Nang,Nam House Cafe,Nam House Cafe,cafe,cafe,Local cafe source.,HeroCityDanangPlaceNamHouse
danang-nam-o-fish-sauce-village,danang,Da Nang,Làng nghề nước mắm Nam Ô,Nam O fish sauce village,experience,experience,Da Nang Fantasticity sources; local craft source.,HeroCityDanangPlaceNamOFishSauceVillage
danang-nam-o-reef,danang,Da Nang,Rạn Nam Ô,Nam O Reef,nature,nature,City library; Da Nang Fantasticity.,HeroCityDanangPlaceNamOReef
danang-nem-lui,danang,Da Nang,Nem lụi ở Đà Nẵng,Lemongrass pork skewers,dish,dish,Central Vietnam food sources.,HeroCityDanangPlaceNemLui
danang-nen,danang,Da Nang,Nén Đà Nẵng,Nen Da Nang,restaurant,restaurant,City library; MICHELIN search/listing source.,HeroCityDanangPlaceNen
danang-ngu-hanh-son-district,danang,Da Nang,Quận Ngũ Hành Sơn,Ngu Hanh Son District,neighborhood,neighborhood,Vietnam Tourism Da Nang; local map.,HeroCityDanangPlaceNguHanhSonDistrict
danang-nguyen-hien-dinh-tuong-theatre,danang,Da Nang,Nhà hát Tuồng Nguyễn Hiển Dĩnh,Nguyen Hien Dinh Tuong Theatre,experience,experience,Da Nang Fantasticity; venue source.,HeroCityDanangPlaceNguyenHienDinhTuongTheatre
danang-nguyen-van-linh-street,danang,Da Nang,Đường Nguyễn Văn Linh,Nguyen Van Linh Street,street,street,City library; Da Nang Fantasticity.,HeroCityDanangPlaceNguyenVanLinhStreet
danang-non-nuoc-beach,danang,Da Nang,Biển Non Nước,Non Nuoc Beach,beach,beach,City library; Vietnam Tourism Da Nang.,HeroCityDanangPlaceNonNuocBeach
danang-non-nuoc-stone-village,danang,Da Nang,Làng đá Non Nước,Non Nuoc Stone Carving Village,village,village,City library; Da Nang Fantasticity.,HeroCityDanangPlaceNonNuocStoneVillage
danang-oc-hut,danang,Da Nang,Ốc hút ở Đà Nẵng,Stirred snails,dish,dish,Da Nang local food sources; spelling/use source.,HeroCityDanangPlaceOcHut
danang-pham-van-dong-beach,danang,Da Nang,Biển Phạm Văn Đồng,Pham Van Dong Beach,beach,beach,Vietnam Tourism Da Nang.,HeroCityDanangPlacePhamVanDongBeach
danang-phap-lam-pagoda,danang,Da Nang,Chùa Pháp Lâm,Phap Lam Pagoda,landmark,landmark,Da Nang Fantasticity; local map.,HeroCityDanangPlacePhapLamPagoda
danang-phuoc-my,danang,Da Nang,Phước Mỹ,Phuoc My,neighborhood,neighborhood,Local map.,HeroCityDanangPlacePhuocMy
danang-railway-station,danang,Da Nang,Ga Đà Nẵng,Da Nang Railway Station,station,station,City library; Da Nang Fantasticity.,HeroCityDanangPlaceRailwayStation
danang-reply-1988,danang,Da Nang,Reply 1988 Cafe,Reply 1988 Cafe,cafe,cafe,Local cafe source.,HeroCityDanangPlaceReply1988
danang-six-on-six,danang,Da Nang,Six On Six Cafe,Six On Six Cafe,cafe,cafe,Local cafe source.,HeroCityDanangPlaceSixOnSix
danang-son-tra,danang,Da Nang,Bán đảo Sơn Trà,Son Tra Peninsula,nature,nature,City library; Vietnam Tourism Da Nang.,HeroCityDanangPlaceSonTra
danang-son-tra-district,danang,Da Nang,Quận Sơn Trà,Son Tra District,neighborhood,neighborhood,Vietnam Tourism Da Nang; Da Nang Fantasticity.,HeroCityDanangPlaceSonTraDistrict
danang-son-tra-night-market,danang,Da Nang,Chợ đêm Sơn Trà,Son Tra Night Market,market,market,City library; Vietnam Tourism Da Nang; Da Nang Fantasticity.,HeroCityDanangPlaceSonTraNightMarket
danang-son-tra-wildlife-drive,danang,Da Nang,Chuyến đi Sơn Trà,Son Tra wildlife drive,experience,experience,Vietnam Tourism Da Nang; Da Nang Fantasticity.,HeroCityDanangPlaceSonTraWildlifeDrive
danang-thanh-binh-beach,danang,Da Nang,Biển Thanh Bình,Thanh Binh Beach,beach,beach,Local map.,HeroCityDanangPlaceThanhBinhBeach
danang-the-temptation,danang,Da Nang,The Temptation,The Temptation,restaurant,restaurant,MICHELIN search source; venue source.,HeroCityDanangPlaceTheTemptation
danang-thuan-phuoc-bridge,danang,Da Nang,Cầu Thuận Phước,Thuan Phuoc Bridge,landmark,landmark,Da Nang Fantasticity; local map.,HeroCityDanangPlaceThuanPhuocBridge
danang-tien-sa-port,danang,Da Nang,Cảng Tiên Sa,Tien Sa Port,port,port,City library; Da Nang Fantasticity.,HeroCityDanangPlaceTienSaPort
danang-tran-hung-dao-street,danang,Da Nang,Đường Trần Hưng Đạo,Tran Hung Dao Street,street,street,Vietnam Tourism Da Nang mentions Dragon Bridge viewing side; local map.,HeroCityDanangPlaceTranHungDaoStreet
danang-tran-thi-ly-bridge,danang,Da Nang,Cầu Trần Thị Lý,Tran Thi Ly Bridge,landmark,landmark,City library; Da Nang Fantasticity.,HeroCityDanangPlaceTranThiLyBridge
danang-trung-vuong-theatre,danang,Da Nang,Nhà hát Trưng Vương,Trung Vuong Theatre,experience,experience,Da Nang Fantasticity; local map.,HeroCityDanangPlaceTrungVuongTheatre
danang-vincom-plaza,danang,Da Nang,Vincom Plaza Đà Nẵng,Vincom Plaza Da Nang,market,market,Local map.,HeroCityDanangPlaceVincomPlaza
danang-vo-nguyen-giap-street,danang,Da Nang,Đường Võ Nguyên Giáp,Vo Nguyen Giap Street,street,street,City library; Da Nang Fantasticity.,HeroCityDanangPlaceVoNguyenGiapStreet
danang-wonderlust,danang,Da Nang,Wonderlust,Wonderlust,cafe,cafe,Local cafe source.,HeroCityDanangPlaceWonderlust
danang-yen-retreat,danang,Da Nang,Yên Retreat,Yen Retreat,nature,nature,Local venue source.,HeroCityDanangPlaceYenRetreat
hanoi-ba-dinh-district,hanoi,Hanoi,Quận Ba Đình,Ba Dinh District,neighborhood,neighborhood,Hanoi tourism portal,HeroCityHanoiPlaceBaDinhDistrict
hanoi-ba-dinh-square,hanoi,Hanoi,Quảng trường Ba Đình,Ba Dinh Square,landmark,landmark,Hanoi tourism portal,HeroCityHanoiPlaceBaDinhSquare
hanoi-banh-cuon,hanoi,Hanoi,Bánh cuốn ở Hà Nội,Steamed rice rolls,dish,dish,MICHELIN Hanoi guide,HeroCityHanoiPlaceBanhCuon
hanoi-bay-mau-lake,hanoi,Hanoi,Hồ Bảy Mẫu,Bay Mau Lake,nature,nature,place-name only,HeroCityHanoiPlaceBayMauLake
hanoi-bia-hoi,hanoi,Hanoi,Bia hơi Hà Nội,Fresh beer,drink,drink,Vietnam Travel Hanoi,HeroCityHanoiPlaceBiaHoi
hanoi-botanical-garden,hanoi,Hanoi,Vườn Bách Thảo Hà Nội,Hanoi Botanical Garden,park,park,Hanoi tourism portal,HeroCityHanoiPlaceBotanicalGarden
hanoi-bun-cha,hanoi,Hanoi,Bún chả ở Hà Nội,Bun cha,dish,dish,Vietnam Travel Hanoi; MICHELIN Hanoi guide,HeroCityHanoiPlaceBunCha
hanoi-bun-cha-huong-lien,hanoi,Hanoi,Bún chả Hương Liên,Bun Cha Huong Lien,restaurant,restaurant,MICHELIN Hanoi guide,HeroCityHanoiPlaceBunChaHuongLien
hanoi-bun-cha-ta,hanoi,Hanoi,Bún Chả Ta,Bun Cha Ta,restaurant,restaurant,MICHELIN Hanoi guide,HeroCityHanoiPlaceBunChaTa
hanoi-bun-thang,hanoi,Hanoi,Bún thang ở Hà Nội,Bun thang,dish,dish,Hanoi tourism portal,HeroCityHanoiPlaceBunThang
hanoi-ca-phe-sua-da,hanoi,Hanoi,Cà phê sữa đá ở Hà Nội,Iced milk coffee,drink,drink,Vietnam Travel Hanoi,HeroCityHanoiPlaceCaPheSuaDa
hanoi-cha-ca,hanoi,Hanoi,Chả cá ở Hà Nội,Turmeric dill fish,dish,dish,Vietnam Travel Hanoi; MICHELIN Hanoi guide,HeroCityHanoiPlaceChaCa
hanoi-cha-ca-thang-long,hanoi,Hanoi,Chả cá Thăng Long,Cha Ca Thang Long,restaurant,restaurant,MICHELIN Hanoi guide,HeroCityHanoiPlaceChaCaThangLong
hanoi-cho-buoi-market,hanoi,Hanoi,Chợ Bưởi,Buoi Market,market,market,Hanoi tourism portal,HeroCityHanoiPlaceChoBuoiMarket
hanoi-coffee-hop,hanoi,Hanoi,Đi cà phê Hà Nội,Hanoi coffee hop,experience,experience,Vietnam Travel Hanoi,HeroCityHanoiPlaceCoffeeHop
hanoi-cong-ca-phe-trieu-viet-vuong,hanoi,Hanoi,Cộng Cà Phê,Cong Ca Phe,cafe,cafe,place-name only,HeroCityHanoiPlaceCongCaPheTrieuVietVuong
hanoi-cyclo-old-quarter,hanoi,Hanoi,Xích lô phố cổ,Old Quarter cyclo ride,experience,experience,Vietnam Travel Hanoi,HeroCityHanoiPlaceCycloOldQuarter
hanoi-dinh-cafe,hanoi,Hanoi,Cà phê Đinh,Dinh Cafe,cafe,cafe,Hanoi tourism portal,HeroCityHanoiPlaceDinhCafe
hanoi-dong-da,hanoi,Hanoi,Đống Đa,Dong Da,neighborhood,neighborhood,Hanoi tourism portal,HeroCityHanoiPlaceDongDa
hanoi-dong-xuan-market,hanoi,Hanoi,Chợ Đồng Xuân,Dong Xuan Market,market,market,Vietnam Travel Hanoi,HeroCityHanoiPlaceDongXuanMarket
hanoi-egg-coffee,hanoi,Hanoi,Cà phê trứng ở Hà Nội,Egg coffee,drink,drink,Vietnam Travel Hanoi; Cafe Giang official site,HeroCityHanoiPlaceEggCoffee
hanoi-ethnology-museum,hanoi,Hanoi,Bảo tàng Dân tộc học,Vietnam Museum of Ethnology,museum,museum,Hanoi tourism portal,HeroCityHanoiPlaceEthnologyMuseum
hanoi-french-quarter,hanoi,Hanoi,Khu phố Pháp,French Quarter,neighborhood,neighborhood,Vietnam Travel Hanoi; Hanoi tourism portal,HeroCityHanoiPlaceFrenchQuarter
hanoi-french-quarter-walk,hanoi,Hanoi,Đi bộ khu phố Pháp,French Quarter walk,experience,experience,Vietnam Travel Hanoi; Hanoi tourism portal,HeroCityHanoiPlaceFrenchQuarterWalk
hanoi-gia,hanoi,Hanoi,Gia,Gia,restaurant,restaurant,MICHELIN Vietnam 2025; MICHELIN Hanoi guide,HeroCityHanoiPlaceGia
hanoi-gia-lam-station,hanoi,Hanoi,Ga Gia Lâm,Gia Lam Railway Station,station,station,place-name only,HeroCityHanoiPlaceGiaLamStation
hanoi-giang-cafe,hanoi,Hanoi,Cà phê Giảng,Cafe Giang,cafe,cafe,Cafe Giang official site,HeroCityHanoiPlaceGiangCafe
hanoi-giap-bat-bus-station,hanoi,Hanoi,Bến xe Giáp Bát,Giap Bat Bus Station,station,station,place-name only,HeroCityHanoiPlaceGiapBatBusStation
hanoi-hang-bac-street,hanoi,Hanoi,Phố Hàng Bạc,Hang Bac Street,street,street,Vietnam Travel Hanoi,HeroCityHanoiPlaceHangBacStreet
hanoi-hang-da-market,hanoi,Hanoi,Chợ Hàng Da,Hang Da Market,market,market,Hanoi tourism portal,HeroCityHanoiPlaceHangDaMarket
hanoi-hang-gai-street,hanoi,Hanoi,Phố Hàng Gai,Hang Gai Street,street,street,Vietnam Travel Hanoi,HeroCityHanoiPlaceHangGaiStreet
hanoi-hanoi-flag-tower,hanoi,Hanoi,Cột cờ Hà Nội,Hanoi Flag Tower,landmark,landmark,Hanoi tourism portal,HeroCityHanoiPlaceHanoiFlagTower
hanoi-hanoi-railway-station,hanoi,Hanoi,Ga Hà Nội,Hanoi Railway Station,station,station,Vietnam Travel Hanoi; Hanoi tourism portal,HeroCityHanoiPlaceHanoiRailwayStation
hanoi-hibana-by-koki,hanoi,Hanoi,Hibana by Koki,Hibana by Koki,restaurant,restaurant,MICHELIN Vietnam 2025,HeroCityHanoiPlaceHibanaByKoki
hanoi-ho-chi-minh-mausoleum,hanoi,Hanoi,Lăng Bác,Ho Chi Minh Mausoleum,landmark,landmark,Vietnam Travel Hanoi; Hanoi tourism portal,HeroCityHanoiPlaceHoChiMinhMausoleum
hanoi-ho-chi-minh-museum,hanoi,Hanoi,Bảo tàng Hồ Chí Minh,Ho Chi Minh Museum,museum,museum,Hanoi tourism portal,HeroCityHanoiPlaceHoChiMinhMuseum
hanoi-hoa-lo-prison,hanoi,Hanoi,Nhà tù Hỏa Lò,Hoa Lo Prison Relic,museum,museum,Vietnam Travel Hanoi; Hanoi tourism portal,HeroCityHanoiPlaceHoaLoPrison
hanoi-hoan-kiem-lake,hanoi,Hanoi,Hồ Hoàn Kiếm,Hoan Kiem Lake,nature,nature,Vietnam Travel Hanoi,HeroCityHanoiPlaceHoanKiemLake
hanoi-hom-market,hanoi,Hanoi,Chợ Hôm,Hom Market,market,market,Hanoi tourism portal,HeroCityHanoiPlaceHomMarket
hanoi-imperial-citadel,hanoi,Hanoi,Hoàng thành Thăng Long,Imperial Citadel of Thang Long,landmark,landmark,Hanoi tourism portal,HeroCityHanoiPlaceImperialCitadel
hanoi-lam-cafe,hanoi,Hanoi,Cà phê Lâm,Lam Cafe,cafe,cafe,Hanoi tourism portal,HeroCityHanoiPlaceLamCafe
hanoi-lamai-garden,hanoi,Hanoi,Lamai Garden,Lamai Garden,restaurant,restaurant,MICHELIN Vietnam 2025,HeroCityHanoiPlaceLamaiGarden
hanoi-lenin-park,hanoi,Hanoi,Công viên Lê Nin,Lenin Park,park,park,Hanoi tourism portal,HeroCityHanoiPlaceLeninPark
hanoi-literature-museum,hanoi,Hanoi,Bảo tàng Văn học Việt Nam,Vietnam Literature Museum,museum,museum,Hanoi tourism portal,HeroCityHanoiPlaceLiteratureMuseum
hanoi-loading-t-cafe,hanoi,Hanoi,Loading T Cafe,Loading T Cafe,cafe,cafe,place-name only,HeroCityHanoiPlaceLoadingTCafe
hanoi-long-bien-bridge,hanoi,Hanoi,Cầu Long Biên,Long Bien Bridge,landmark,landmark,Vietnam Travel Hanoi,HeroCityHanoiPlaceLongBienBridge
hanoi-long-bien-market,hanoi,Hanoi,Chợ Long Biên,Long Bien Market,market,market,Hanoi tourism portal,HeroCityHanoiPlaceLongBienMarket
hanoi-manzi-art-space,hanoi,Hanoi,Manzi,Manzi Art Space,attraction,attraction,Vietnam Travel Hanoi,HeroCityHanoiPlaceManziArtSpace
hanoi-mien-luon,hanoi,Hanoi,Miến lươn ở Hà Nội,Eel glass noodles,dish,dish,MICHELIN Vietnam 2025,HeroCityHanoiPlaceMienLuon
hanoi-mien-luon-chan-cam,hanoi,Hanoi,Miến lươn Chân Cầm,Mien Luon Chan Cam,restaurant,restaurant,MICHELIN Vietnam 2025,HeroCityHanoiPlaceMienLuonChanCam
hanoi-my-dinh-bus-station,hanoi,Hanoi,Bến xe Mỹ Đình,My Dinh Bus Station,station,station,Hanoi tourism portal,HeroCityHanoiPlaceMyDinhBusStation
hanoi-nang-cafe,hanoi,Hanoi,Cà phê Năng,Nang Cafe,cafe,cafe,place-name only,HeroCityHanoiPlaceNangCafe
