phrase_id,scenario_id,audio_key,english_text,target_text,pronunciation,context,emoji,notes,status
korean-coffee-shop-1,coffee-shop,korean-coffee-shop-1,One Americano please,아메리카노 한 잔 주세요.,americano han jan juseyo,Use this for a simple Americano order at a cafe counter or kiosk handoff.,☕,First-wave translated Korea-fit Americano order for common cafe counters.,first-wave-translated
korean-coffee-shop-2,coffee-shop,korean-coffee-shop-2,One hot Americano please,뜨거운 아메리카노 한 잔 주세요.,tteugeoun americano han jan juseyo,Use this when you want a hot Americano instead of the Korea-common iced default.,🥤,Second-pass translated hot Americano order for cafes that default to iced drinks.,second-pass-translated
korean-coffee-shop-3,coffee-shop,korean-coffee-shop-3,One cafe latte please,카페라테 한 잔 주세요.,kaperatte han jan juseyo,Use this for a familiar milk-coffee order at a cafe counter.,🥛,Second-pass translated cafe latte order for common Korean coffee counters.,second-pass-translated
korean-coffee-shop-4,coffee-shop,korean-coffee-shop-4,Less ice please,얼음 적게 해 주세요.,eoreum jeokge hae juseyo,Add this when you want less ice in an iced drink.,🧊,Second-pass translated ice-adjustment row for iced-drink-heavy cafe ordering.,second-pass-translated
korean-coffee-shop-5,coffee-shop,korean-coffee-shop-5,Less sweet please,덜 달게 해 주세요.,deol dalge hae juseyo,Use this when you want a drink with less syrup or sweetness.,🚫,Second-pass translated sweetness-adjustment row for cafe drinks and dessert beverages.,second-pass-translated
korean-coffee-shop-6,coffee-shop,korean-coffee-shop-6,For takeaway,포장해 주세요.,pojanghae juseyo,Say this when you want takeaway instead of staying.,🥤,First-wave translated takeaway line for busy Korean cafe counters and pickup shelves.,first-wave-translated
korean-coffee-shop-7,coffee-shop,korean-coffee-shop-7,"Could I pay, please?",결제할게요.,gyeoljehalgeyo,Use this when you are ready to pay or ask for the bill.,💵,First-wave translated toward a Korea-natural pay request rather than a literal English question.,first-wave-translated
korean-street-food-1,street-food,korean-street-food-1,One serving please,1인분 주세요.,irinbun juseyo,Use this for a simple food order while pointing at a stall or casual counter.,🍽️,First-wave translated simple food-order line for stalls and casual counters.,first-wave-translated
korean-street-food-2,street-food,korean-street-food-2,I would like this one,이거 주세요.,igeo juseyo,Use this while pointing at the dish snack or prepared item you want.,🍜,Second-pass translated point-and-order food line for stalls and simple counters.,second-pass-translated
korean-street-food-3,street-food,korean-street-food-3,Not spicy please,안 맵게 해 주세요.,an maepge hae juseyo,Say this before the food is prepared if you want mild food.,🌶️,First-wave translated food-modification row with a short polite request shape.,first-wave-translated
korean-street-food-4,street-food,korean-street-food-4,More side dishes please,반찬 좀 더 주세요.,banchan jom deo juseyo,Use this in casual restaurants when side dishes are part of the meal and you need more.,🥬,Second-pass translated banchan refill request for casual Korean dining.,second-pass-translated
korean-street-food-5,street-food,korean-street-food-5,Do you have bottled water,생수 있어요?,saengsu isseoyo,Ask this when you want bottled water with your meal.,💧,Second-pass translated bottled-water availability check for restaurants without self-service drinks.,second-pass-translated
korean-street-food-6,street-food,korean-street-food-6,A spoon and chopsticks please,수저랑 젓가락 주세요.,sujeorang jeotgarak juseyo,Use this if utensils were not set out.,🥢,Second-pass translated utensil request for Korean spoon-plus-chopsticks table settings.,second-pass-translated
korean-street-food-7,street-food,korean-street-food-7,Pack it to go,포장해 주세요.,pojanghae juseyo,Say this when you want takeaway from a stall or restaurant.,🛍️,Second-pass translated takeaway request that overlaps with cafe pickup wording but stays broadly useful.,second-pass-translated
korean-grab-taxi-1,grab-taxi,korean-grab-taxi-1,Take me here,여기로 가 주세요.,yeogiro ga juseyo,Use this while showing your destination on your phone.,📍,First-wave translated ride-control line with polite show-screen wording.,first-wave-translated
korean-grab-taxi-2,grab-taxi,korean-grab-taxi-2,Please take me to the station,역으로 가 주세요.,yeogeuro ga juseyo,Use this when you need a quick ride to a train or subway station.,🏙️,First-wave translated station request after the Korea-fit transit rewrite.,first-wave-translated
korean-grab-taxi-3,grab-taxi,korean-grab-taxi-3,You can stop here,여기 세워 주세요.,yeogi sewo juseyo,Use this when you want the driver to stop at the current spot.,🛑,First-wave translated drop-off control line for station exits and hotel arrivals.,first-wave-translated
