"selected_order","batch_role","selection_group","page_id","phrase_id","section_id","section_key","item_id","sort_order","target_phrase_id","target_page_id","target_resolution_status","detail_page_id","current_row_vietnamese","current_row_english","target_phrase_vietnamese","target_phrase_english","pronunciation","target_audio_status","source_path","reviewer_notes","review_status","import_approval"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","viet-phrase-city-hanoi-place-bun-cha-huong-lien:quick-say","quick-say","viet-phrase-city-hanoi-place-bun-cha-huong-lien:quick-say:phrase:0:4fd2b0775f6bc2fe","0","ves-order-bun-cha-portion","viet-phrase-ves-order-bun-cha-portion","resolved_one_canonical_page","viet-phrase-ves-order-bun-cha-portion","Dạ, cho tôi một phần bún chả.","One portion of bun cha, please.","Dạ, cho tôi một phần bún chả.","One portion of bun cha, please.","yah cho toy mot fun boon cha","planned","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","viet-phrase-city-hanoi-place-bun-cha-huong-lien:place-brief","place-brief","viet-phrase-city-hanoi-place-bun-cha-huong-lien:place-brief:phrase:0:daa435433058460a","0","city-hanoi-atm-bun-cha-huong-lien","viet-phrase-city-hanoi-atm-bun-cha-huong-lien","resolved_one_canonical_page","viet-phrase-city-hanoi-atm-bun-cha-huong-lien","Có ATM gần Bún chả Hương Liên không?","Is there an ATM near Bun Cha Huong Lien?","Có ATM gần Bún chả Hương Liên không?","Is there an ATM near Bun Cha Huong Lien?","koh ay tee em gun boon cha huong lien khong","planned","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","viet-phrase-city-hanoi-place-bun-cha-huong-lien:place-brief","place-brief","viet-phrase-city-hanoi-place-bun-cha-huong-lien:place-brief:phrase:1:e1aaef62543fe464","1","city-hanoi-eat-near-bun-cha-huong-lien","viet-phrase-city-hanoi-eat-near-bun-cha-huong-lien","resolved_one_canonical_page","viet-phrase-city-hanoi-eat-near-bun-cha-huong-lien","Ăn gần Bún chả Hương Liên","Eat near Bun Cha Huong Lien","Ăn gần Bún chả Hương Liên","Eat near Bun Cha Huong Lien","an gun boon cha huong lien","planned","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","viet-phrase-city-hanoi-place-bun-cha-huong-lien:place-brief","place-brief","viet-phrase-city-hanoi-place-bun-cha-huong-lien:place-brief:phrase:2:23277cfef1a07171","2","city-hanoi-go-bun-cha-huong-lien","viet-phrase-city-hanoi-go-bun-cha-huong-lien","resolved_one_canonical_page","viet-phrase-city-hanoi-go-bun-cha-huong-lien","Đi Bún chả Hương Liên","Go to Bun Cha Huong Lien","Đi Bún chả Hương Liên","Go to Bun Cha Huong Lien","dee boon cha huong lien","planned","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","viet-phrase-city-hanoi-place-bun-cha-huong-lien:before-you-go","before-you-go","viet-phrase-city-hanoi-place-bun-cha-huong-lien:before-you-go:phrase:0:5c060e8b7e64e78f","0","ves-call-taxi-for-me","viet-phrase-ves-call-taxi-for-me","resolved_one_canonical_page","viet-phrase-ves-call-taxi-for-me","Gọi giúp tôi taxi được không?","Can you call me a taxi?","Gọi giúp tôi taxi được không?","Can you call me a taxi?","goy zoop toy tak see duoc khong","planned","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","viet-phrase-city-hanoi-place-bun-cha-huong-lien:menu-dietary","menu-dietary","viet-phrase-city-hanoi-place-bun-cha-huong-lien:menu-dietary:phrase:0:824d804dd0ed9733","0","food-need-table","viet-phrase-food-need-table","resolved_one_canonical_page","viet-phrase-food-need-table","Cho tôi bàn cho hai người nhé","A table for two, please","Cho tôi bàn cho hai người nhé","A table for two, please","cho toy ban cho hai ngwee nhe","ready","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","viet-phrase-city-hanoi-place-bun-cha-huong-lien:menu-dietary","menu-dietary","viet-phrase-city-hanoi-place-bun-cha-huong-lien:menu-dietary:phrase:1:9dce1809b973f75f","1","food-menu","viet-phrase-food-menu","resolved_one_canonical_page","viet-phrase-food-menu","Cho tôi xem thực đơn được không?","Can I see the menu?","Cho tôi xem thực đơn được không?","Can I see the menu?","cho toy sem thook dun dook khong","ready","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","viet-phrase-city-hanoi-place-bun-cha-huong-lien:menu-dietary","menu-dietary","viet-phrase-city-hanoi-place-bun-cha-huong-lien:menu-dietary:phrase:2:fa199107653fdbe2","2","v900-food-drin-what-do-you-recommend","viet-phrase-v900-food-drin-what-do-you-recommend","resolved_one_canonical_page","viet-phrase-v900-food-drin-what-do-you-recommend","Bạn đề xuất món gì?","What do you recommend?","Bạn đề xuất món gì?","What do you recommend?","Ban de xuat mon gi","ready","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","viet-phrase-city-hanoi-place-bun-cha-huong-lien:menu-dietary","menu-dietary","viet-phrase-city-hanoi-place-bun-cha-huong-lien:menu-dietary:phrase:3:504fcc0ba1798839","3","food-peanut-allergy","viet-phrase-food-peanut-allergy","resolved_one_canonical_page","viet-phrase-food-peanut-allergy","Tôi bị dị ứng đậu phộng","I am allergic to peanuts","Tôi bị dị ứng đậu phộng","I am allergic to peanuts","toy bee zee oong dow fohng","ready","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","viet-phrase-city-hanoi-place-bun-cha-huong-lien:menu-dietary","menu-dietary","viet-phrase-city-hanoi-place-bun-cha-huong-lien:menu-dietary:phrase:4:81c9b2d304d12ccc","4","food-vegetarian","viet-phrase-food-vegetarian","resolved_one_canonical_page","viet-phrase-food-vegetarian","Tôi ăn chay","I am vegetarian","Tôi ăn chay","I am vegetarian","toy an chai","ready","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
