"phrase_id","scenario_id","family_id","family_title","family_summary","audio_key","english_text","target_text","canonical_target_text","pronunciation","access_tier","variant_role","context","you_may_hear","search_aliases","warning_note_type","audio_status","emoji","notes","status"
"v900-poli-basi-may-i","polite-basics","v900-poli-basi-may-i","Ask permission","Use this for a quick permission check before entering, sitting, or using something.","v900-poli-basi-may-i","May I?","Tôi có thể không?","Tôi có thể không?","Toi co the khong","premium","say-first","Use this when you need a very short permission check and want a quick yes-or-no answer.","","ask permission|may i?|may i","","ready","🙏","cleanup import: Essentials & Politeness / Yes, No & Permissions / keep_as_is; selected as 900 premium fill","approved"
"v900-poli-basi-no-problem","polite-basics","v900-poli-basi-no-problem","Reassure politely","Use this to reassure someone after a small mistake, delay, or favor.","v900-poli-basi-no-problem","No problem","Không có gì","Không có gì","Khong co gi","premium","say-first","Use this when you want to put someone at ease in a short travel exchange.","","reassure politely|no problem","","ready","🙏","cleanup import: Essentials & Politeness / Yes, No & Permissions / keep_as_is; selected as 900 premium fill","approved"
"v900-poli-basi-thats-fine","polite-basics","v900-poli-basi-thats-fine","Accept politely","Use this to accept a small change, correction, or delay without sounding upset.","v900-poli-basi-thats-fine","That’s fine","Không sao đâu","Không sao đâu","Khong sao dau","premium","say-first","Use this when a driver, staff member, or helper needs quick confirmation that the situation is okay.","","accept politely|that’s fine|that s fine","","ready","🙏","cleanup import: Essentials & Politeness / Yes, No & Permissions / keep_as_is; selected as 900 premium fill","approved"
"v900-poli-basi-can-i-come-in","polite-basics","v900-poli-basi-can-i-come-in","Can I come in","Ask this when you need can i come in.","v900-poli-basi-can-i-come-in","Can I come in?","Tôi có thể vào được không?","Tôi có thể vào được không?","Toi co the vao duoc khong","premium","say-first","Use this in short everyday travel exchanges when you want to stay polite without overexplaining.","","can i come in?|can i come in","","ready","🙏","cleanup import: Essentials & Politeness / Yes, No & Permissions / keep_as_is; selected as 900 premium fill","approved"
"v900-poli-basi-im-in-a-hurry","polite-basics","v900-poli-basi-im-in-a-hurry","I’m in a hurry","Use this when you need to explain that i’m in a hurry.","v900-poli-basi-im-in-a-hurry","I’m in a hurry","tôi đang vội","tôi đang vội","toi dang voi","premium","say-first","Use this in short everyday travel exchanges when you want to stay polite without overexplaining.","","i’m in a hurry|i m in a hurry","","ready","🙏","cleanup import: Essentials & Politeness / Simple Needs / keep_as_is; selected as 900 premium fill","approved"
"v900-poli-basi-im-very-sorry","polite-basics","v900-poli-basi-im-very-sorry","I’m very sorry","Use this when you need to explain that i’m very sorry.","v900-poli-basi-im-very-sorry","I’m very sorry","tôi rất xin lỗi","tôi rất xin lỗi","toi rat xin loi","premium","say-first","Use this in short everyday travel exchanges when you want to stay polite without overexplaining.","","i’m very sorry|i m very sorry","","ready","🙏","cleanup import: Essentials & Politeness / Thanks & Apologies / keep_as_is; selected as 900 premium fill","approved"
"v900-poli-basi-can-i-sit-here","polite-basics","v900-poli-basi-can-i-sit-here","Can I sit here","Ask this when you need can i sit here.","v900-poli-basi-can-i-sit-here","Can I sit here?","Tôi có thể ngồi đây được không?","Tôi có thể ngồi đây được không?","Toi co the ngoi day duoc khong","premium","say-first","Use this in short everyday travel exchanges when you want to stay polite without overexplaining.","","can i sit here?|can i sit here","","ready","🙏","cleanup import: Essentials & Politeness / Yes, No & Permissions / keep_as_is; selected as 900 premium fill","approved"
"v900-unde-repa-can-you-explain-it-in-english","understanding-repair","v900-unde-repa-can-you-explain-it-in-english","Can you explain it in English","Ask this when you need can you explain it in english.","v900-unde-repa-can-you-explain-it-in-english","Can you explain it in English?","Bạn có thể giải thích nó bằng tiếng Anh không?","Bạn có thể giải thích nó bằng tiếng Anh không?","Ban co the giai thich no bang tieng Anh khong","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","can you explain it in english?|can you explain it in english","","ready","🧩","cleanup import: Language Repair & Clarifying / English Help & Translation / keep_as_is; selected as 900 premium fill","approved"
"v900-unde-repa-can-you-read-this-translation","understanding-repair","v900-unde-repa-can-you-read-this-translation","Can you read this translation","Ask this when you need can you read this translation.","v900-unde-repa-can-you-read-this-translation","Can you read this translation?","Bạn có đọc được bản dịch này không?","Bạn có đọc được bản dịch này không?","Ban co doc duoc ban dich nay khong","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","can you read this translation?|can you read this translation","","ready","🧩","cleanup import: Language Repair & Clarifying / English Help & Translation / keep_as_is; selected as 900 premium fill","approved"
"v900-unde-repa-do-you-mean-today-or-tomorrow","understanding-repair","v900-unde-repa-do-you-mean-today-or-tomorrow","Do you mean today or tomorrow","Ask this when you need do you mean today or tomorrow.","v900-unde-repa-do-you-mean-today-or-tomorrow","Do you mean today or tomorrow?","Ý bạn là hôm nay hay ngày mai?","Ý bạn là hôm nay hay ngày mai?","Y ban la hom nay hay ngay mai","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","do you mean today or tomorrow?|do you mean today or tomorrow","","ready","🧩","cleanup import: Language Repair & Clarifying / Understand & Meaning / keep_as_is; selected as 900 premium fill","approved"
