"phrase_id","scenario_id","family_id","family_title","family_summary","audio_key","english_text","target_text","canonical_target_text","pronunciation","access_tier","variant_role","context","you_may_hear","search_aliases","warning_note_type","audio_status","emoji","notes","status"
"food-premium-has-peanuts","food-drink","food-has-peanuts","Check for peanuts directly","Peanut risk needs a fast ingredient question of its own because the free allergy baseline is broader than the real moment at the table.","food-premium-has-peanuts","Does this have peanuts?","","","","premium","say-first","Use this before ordering or eating when peanuts are the specific ingredient that matters.","","does this have peanuts|has peanuts|peanut check|peanuts","","planned","🥜","Phase 1B premium food scaffold, not live yet","needs-translation"
"food-premium-no-meat","food-drink","food-no-meat","Ask for no meat","This is the short correction family for dishes that look safe at first but need a clear no-meat follow-up.","food-premium-no-meat","No meat, please.","","","","premium","say-first","Use this when you need the kitchen or vendor to remove meat instead of guessing from the menu.","","no meat|without meat|vegetarian no meat","","planned","🥩","Phase 1B premium food scaffold, not live yet","needs-translation"
"food-premium-without-this-ingredient","food-drink","food-without-this-ingredient","Remove a specific ingredient","Point-and-remove phrasing is more believable premium value than generic dietary theory because it fixes the actual plate in front of you.","food-premium-without-this-ingredient","Can you make it without this ingredient?","","","","premium","say-first","Use this while pointing at the ingredient you need removed from the dish.","","without this ingredient|leave this out|remove this ingredient","","planned","🧂","Phase 1B premium food scaffold, not live yet","needs-translation"
"food-premium-too-spicy-now","food-drink","food-too-spicy-now","Fix a dish that is too spicy","Travelers often ask for mild food first, but premium should cover the recovery line when the dish still arrives too spicy.","food-premium-too-spicy-now","This is too spicy for me.","","","","premium","say-first","Use this after the food arrives when the heat level is higher than you can handle.","","too spicy|this is too spicy|not mild enough|too hot","","planned","🌶️","Phase 1B premium food scaffold, not live yet","needs-translation"
"food-premium-which-dish-safe","food-drink","food-which-dish-safe","Ask which dish is safer","When the menu is unclear, premium should help the traveler choose the safer option instead of gambling on the first guess.","food-premium-which-dish-safe","Which dish is safest for this allergy?","","","","premium","say-first","Use this while pointing at your allergy card or ingredient note when you need the best option, not just a yes-or-no.","","which dish is safe|safe dish for allergy|which one is safest","","planned","🛡️","Phase 1B premium food scaffold, not live yet","needs-translation"
"food-premium-has-meat-in-it","food-drink","food-has-meat-in-it","Flag that the dish still has meat","This is the correction family for the moment when the order comes out with meat after you already tried to avoid it.","food-premium-has-meat-in-it","This has meat in it.","","","","premium","say-first","Use this when the dish arrives with meat even though you expected it without.","","has meat in it|there is meat in this|this still has meat","","planned","🍖","Phase 1B premium food scaffold, not live yet","needs-translation"
"phone-premium-otp-not-arriving","phone-internet-power","phone-otp-not-arriving","Say the verification code is not arriving","OTP failure is a real travel blocker because it breaks rides, payments, check-ins, and logins all at once.","phone-premium-otp-not-arriving","The verification code is not arriving.","","","","premium","say-first","Use this when you are waiting on an OTP or SMS code that still has not come through.","","otp not arriving|code not arriving|verification code|sms code","","planned","🔐","Phase 1B premium connectivity scaffold, not live yet","needs-translation"
"phone-premium-password-not-working","phone-internet-power","phone-password-not-working","Say the Wi-Fi password is not working","This is the follow-up after the free Wi-Fi password ask when the answer you got still does not connect.","phone-premium-password-not-working","The Wi-Fi password is not working.","","","","premium","say-first","Use this after you entered the password and still cannot get online.","","wifi password not working|wrong wifi password|password does not work","","planned","🔑","Phase 1B premium connectivity scaffold, not live yet","needs-translation"
"phone-premium-login-page-not-loading","phone-internet-power","phone-login-page-not-loading","Say the Wi-Fi login page will not load","Captive-portal failure is a distinct problem from the password itself and deserves its own recovery family.","phone-premium-login-page-not-loading","The Wi-Fi login page is not loading.","","","","premium","say-first","Use this when the network appears, but the sign-in page never opens or keeps failing.","","wifi login page|login page not loading|wifi sign in page","","planned","🌐","Phase 1B premium connectivity scaffold, not live yet","needs-translation"
"phone-premium-no-signal","phone-internet-power","phone-no-signal","Say there is no signal here","Signal failure is one of the simplest but most important phone recovery families because the next step is often location or network help.","phone-premium-no-signal","There is no signal here.","","","","premium","say-first","Use this when calls, texts, or data cannot connect because the signal is missing or too weak.","","no signal here|no signal|weak signal|cannot get signal","","planned","📶","Phase 1B premium connectivity scaffold, not live yet","needs-translation"
"phone-premium-data-not-working","phone-internet-power","phone-data-not-working","Say the data is not working","This covers the painful middle state where the SIM exists but maps, rides, or payment apps still fail.","phone-premium-data-not-working","My data is not working.","","","","premium","say-first","Use this when the SIM or eSIM shows up, but mobile data still will not connect.","","data not working|mobile data not working|no data","","planned","📡","Phase 1B premium connectivity scaffold, not live yet","needs-translation"
"phone-premium-activate-sim","phone-internet-power","phone-activate-sim","Ask for help activating the SIM","SIM purchase is the free baseline; activation help is the premium recovery step when setup gets stuck.","phone-premium-activate-sim","Can you help me activate the SIM?","","","","premium","say-first","Use this when you bought the SIM or eSIM but still need staff help to get it working.","","activate sim|help activate sim|sim setup help|activate esim","","planned","📲","Phase 1B premium connectivity scaffold, not live yet","needs-translation"
"help-premium-translate-for-me","problems-help","help-translate-for-me","Ask someone to translate for you","Human translation support is premium-value recovery because it rescues the interaction when your phrase alone is no longer enough.","help-premium-translate-for-me","Can you help translate for me?","","","","premium","say-first","Use this when the situation is getting important and you need another person to bridge the conversation.","","help translate for me|can you translate|translation help","","planned","🗣️","Phase 1B premium help scaffold, not live yet","needs-translation"
"help-premium-call-this-number","problems-help","help-call-this-number","Ask someone to call a number for you","Travelers often have the right number but not the language or confidence to make the call themselves.","help-premium-call-this-number","Can you call this number for me?","","","","premium","say-first","Use this while showing a phone number for the hotel, airline, embassy, landlord, or another contact.","","call this number for me|can you call for me|call this number","","planned","☎️","Phase 1B premium help scaffold, not live yet","needs-translation"
"help-premium-contact-embassy","problems-help","help-contact-embassy","Ask for help contacting the embassy","Embassy help becomes much more believable paid value when the ask is contact and escalation, not just naming the place.","help-premium-contact-embassy","Can you help me contact the embassy?","","","","premium","say-first","Use this when you need someone to call, message, or direct you to embassy or consulate help.","","contact the embassy|help contact embassy|embassy help","","planned","🏛️","Phase 1B premium help scaffold, not live yet","needs-translation"
