"selected_order","batch_role","selection_group","page_id","phrase_id","section_id","section_key","sort_order","current_section_title","current_section_body","current_presentation","generated_section_source_path","source_path","linked_phrase_row_count","breakdown_row_count","reviewer_notes","review_status","import_approval"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","viet-phrase-city-hanoi-place-bun-cha-huong-lien:at-glance","at-glance","0","At a glance","You are probably using this page in one of two moments: showing the restaurant name to a driver or walking in and ordering. Keep the name visible, then move quickly into table, menu, drink, bill, or ride-back phrases.","plain-text","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/city-library/v1.json","0","0","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","viet-phrase-city-hanoi-place-bun-cha-huong-lien:quick-say","quick-say","1","Quick say","Start with the useful sentence: Dạ, cho tôi một phần bún chả. — One portion of bun cha, please.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/city-library/v1.json","1","0","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","viet-phrase-city-hanoi-place-bun-cha-huong-lien:breakdown","breakdown","2","Break it down","Bún chả is the dish name. Hương Liên is the restaurant name. Treat the full name as one map/address phrase, not a sentence to translate word by word.","breakdown-strip","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/city-library/v1.json","0","3","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","viet-phrase-city-hanoi-place-bun-cha-huong-lien:place-brief","place-brief","4","What it is","Restaurant page: this should feel like “I walked into this place — what do I say?” The page should help with ordering, confirming a table, asking for a recommendation, paying, and leaving.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/city-library/v1.json","3","0","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","viet-phrase-city-hanoi-place-bun-cha-huong-lien:before-you-go","before-you-go","5","Before you go","For a driver or hotel desk, show the map pin first. Say Bún chả Hương Liên once, then point to the address if pronunciation gets shaky.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/city-library/v1.json","1","0","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","viet-phrase-city-hanoi-place-bun-cha-huong-lien:menu-dietary","menu-dietary","6","Menu and dietary help","Once you are inside, the useful language shifts from the place name to menu, recommendation, allergy, vegetarian, and ingredient questions.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/city-library/v1.json","5","0","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","viet-phrase-city-hanoi-place-bun-cha-huong-lien:when-to-use","when-to-use","7","When to use it","Use this when Bún chả Hương Liên is already part of the plan: confirming the address, checking a booking, asking for a table, reading the menu, handling dietary needs, paying, or getting a ride back.","plain-text","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/city-library/v1.json","3","0","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","viet-phrase-city-hanoi-place-bun-cha-huong-lien:inside-the-place","inside-the-place","8","Inside the place","Useful next phrases: Dạ, cho tôi một phần bún chả. / Cho tôi trà đá. / Tính tiền giúp tôi. / Tôi trả bằng tiền mặt.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/city-library/v1.json","2","0","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","viet-phrase-city-hanoi-place-bun-cha-huong-lien:good-to-know","good-to-know","9","Good to know","Keep this page durable and action-based. Use the name, order, bill, and ride-back phrases; check current restaurant details separately if needed.","tip-callout","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/city-library/v1.json","0","0","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","viet-phrase-city-hanoi-place-bun-cha-huong-lien:explore-next","explore-next","10","Explore next","Connect to: ordering bún chả, iced tea, bill please, allergy, cash/card, and taxi return.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/city-library/v1.json","2","0","","REVIEW_ONLY","REVIEW_ONLY"
