area,gapType,sourcePageID,currentTitle,currentEnglish,suggestedEntityLayer,recommendation
food-drink,phrase-first-category-row,viet-family-food-coffee-milk,Cho tôi một cà phê sữa đá,One iced milk coffee please,Cà phê sữa đá / iced milk coffee,"Consider a noun/entity page first, then attach order/adjust phrases below it."
food-drink,phrase-first-category-row,viet-family-food-coffee-black,Cho tôi cà phê đen đá,I’d like an iced black coffee,Cà phê đen đá / iced black coffee,"Consider a noun/entity page first, then attach order/adjust phrases below it."
food-drink,phrase-first-category-row,viet-family-food-coffee-bac-xiu,Cho tôi bạc xỉu đá,I’d like an iced bạc xỉu,Bạc xỉu đá / iced bạc xỉu,"Consider a noun/entity page first, then attach order/adjust phrases below it."
food-drink,phrase-first-category-row,viet-family-food-one-portion,Cho tôi một phần,One portion please,Một phần / one portion,"Consider a noun/entity page first, then attach order/adjust phrases below it."
food-drink,phrase-first-category-row,viet-family-food-this-bowl,Cho tôi tô này,I’ll take this bowl,Tô này / this bowl,"Consider a noun/entity page first, then attach order/adjust phrases below it."
food-drink,phrase-first-category-row,viet-family-food-bottled-water,Có nước suối không?,Do you have bottled water?,Nước suối / bottled water,"Consider a noun/entity page first, then attach order/adjust phrases below it."
hue,derived-city-phrase-volume,,49 landmark derived phrase pages,phrase,landmark,Keep searchable and visible inside entity pages/messages; do not top-surface as city browse rows.
hanoi,derived-city-phrase-volume,,44 landmark derived phrase pages,phrase,landmark,Keep searchable and visible inside entity pages/messages; do not top-surface as city browse rows.
danang,derived-city-phrase-volume,,43 landmark derived phrase pages,phrase,landmark,Keep searchable and visible inside entity pages/messages; do not top-surface as city browse rows.
hcmc,derived-city-phrase-volume,,36 landmark derived phrase pages,phrase,landmark,Keep searchable and visible inside entity pages/messages; do not top-surface as city browse rows.
hcmc,derived-city-phrase-volume,,23 market derived phrase pages,phrase,market,Keep searchable and visible inside entity pages/messages; do not top-surface as city browse rows.
hcmc,derived-city-phrase-volume,,23 street derived phrase pages,phrase,street,Keep searchable and visible inside entity pages/messages; do not top-surface as city browse rows.
hoian,derived-city-phrase-volume,,22 neighborhood derived phrase pages,phrase,neighborhood,Keep searchable and visible inside entity pages/messages; do not top-surface as city browse rows.
danang,derived-city-phrase-volume,,21 market derived phrase pages,phrase,market,Keep searchable and visible inside entity pages/messages; do not top-surface as city browse rows.
hoian,derived-city-phrase-volume,,21 landmark derived phrase pages,phrase,landmark,Keep searchable and visible inside entity pages/messages; do not top-surface as city browse rows.
hue,derived-city-phrase-volume,,21 market derived phrase pages,phrase,market,Keep searchable and visible inside entity pages/messages; do not top-surface as city browse rows.
