rank,score,readiness,conversationName,conversationNameWordCount,sourcePageID,sourcePhraseID,sourceFamilyID,sourceType,entryPattern,vietnamese,english,scenarioID,phraseIDs,firstExchangePhraseID,avoidNewPhrases,audioState,note
1,152,ready-thread,Buy SIM,2,viet-family-airport-sim,airport-3,airport-sim,tier1,traveler-first,Mua SIM ở đâu?,Where can I buy a SIM card?,airport-border-arrival,airport-3|airport-1|airport-6|airport-2|airport-5|v500-airp-bord-arri-here-is-my-visa|v500-airp-bord-arri-where-is-the-atm|v500-airp-bord-arri-here-is-my-passport,airport-3,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
2,152,ready-thread,Check in,2,viet-family-hotel-check-in,hotel-2,hotel-check-in,tier1,traveler-first,Cho tôi nhận phòng,I’d like to check in,hotel-accommodation,hotel-2|hotel-check-in-polite|hotel-1|hotel-4|hotel-3|hotel-checkout|hotel-5|hotel-6|hotel-7|v500-hote-acco-the-door-does-not-lock,hotel-2,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
3,152,ready-thread,Check out,2,viet-family-hotel-checkout,hotel-checkout,hotel-checkout,tier1,traveler-first,Cho tôi trả phòng,I’d like to check out,hotel-accommodation,hotel-checkout|hotel-1|hotel-4|hotel-2|hotel-3|hotel-5|hotel-6|hotel-7|v500-hote-acco-the-door-does-not-lock,hotel-checkout,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
4,152,ready-thread,Check-out time,2,viet-family-hotel-checkout-time,hotel-3,hotel-checkout-time,tier1,traveler-first,Mấy giờ trả phòng?,What time is check-out?,hotel-accommodation,hotel-3|hotel-1|hotel-4|hotel-2|hotel-checkout|hotel-5|hotel-6|hotel-7|v500-hote-acco-the-door-does-not-lock,hotel-3,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
5,152,ready-thread,Door lock,2,viet-family-v500-hote-acco-the-door-does-not-lock,v500-hote-acco-the-door-does-not-lock,v500-hote-acco-the-door-does-not-lock,tier1,traveler-first,Cửa không khóa,The door does not lock,hotel-accommodation,v500-hote-acco-the-door-does-not-lock|hotel-1|hotel-checkout|hotel-2|hotel-3|hotel-4|hotel-5|hotel-6|hotel-7,v500-hote-acco-the-door-does-not-lock,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
6,152,ready-thread,Find ATM,2,viet-family-v500-airp-bord-arri-where-is-the-atm,v500-airp-bord-arri-where-is-the-atm,v500-airp-bord-arri-where-is-the-atm,tier1,traveler-first,ATM ở đâu?,Where is the ATM?,airport-border-arrival,v500-airp-bord-arri-where-is-the-atm|airport-1|airport-5|airport-2|airport-3|airport-6|v500-airp-bord-arri-here-is-my-visa|v500-airp-bord-arri-here-is-my-passport,v500-airp-bord-arri-where-is-the-atm,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
7,152,ready-thread,Find baggage,2,viet-family-airport-baggage,airport-2,airport-baggage,tier1,traveler-first,Lấy hành lý ở đâu?,Where is baggage claim?,airport-border-arrival,airport-2|airport-1|airport-6|airport-3|airport-5|v500-airp-bord-arri-here-is-my-visa|v500-airp-bord-arri-where-is-the-atm|v500-airp-bord-arri-here-is-my-passport,airport-2,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
8,152,ready-thread,Find immigration,2,viet-family-airport-immigration,airport-1,airport-immigration,tier1,traveler-first,Nhập cảnh ở đâu?,Where is immigration?,airport-border-arrival,airport-1|airport-2|airport-6|airport-3|airport-5|v500-airp-bord-arri-here-is-my-visa|v500-airp-bord-arri-where-is-the-atm|v500-airp-bord-arri-here-is-my-passport,airport-1,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
9,152,ready-thread,Find pickup,2,viet-family-airport-pickup,airport-5,airport-pickup,tier1,local-first,Khu đón ở đâu?,Where is the pickup area?,airport-border-arrival,airport-5|airport-pickup-clearer|airport-1|airport-6|airport-2|airport-3|v500-airp-bord-arri-here-is-my-visa|v500-airp-bord-arri-where-is-the-atm|v500-airp-bord-arri-here-is-my-passport,airport-5,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
10,152,ready-thread,First hello,2,viet-polite-hello,polite-1,polite-hello,tier1,traveler-first,Xin chào,Hello,polite-basics,polite-1|polite-2|polite-5|polite-7,polite-1,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
11,152,ready-thread,Fix AC,2,viet-family-hotel-aircon-broken,hotel-5,hotel-aircon-broken,tier1,traveler-first,Máy lạnh không chạy,The air conditioner isn’t working,hotel-accommodation,hotel-5|hotel-1|hotel-checkout|hotel-2|hotel-3|hotel-4|hotel-6|hotel-7|v500-hote-acco-the-door-does-not-lock,hotel-5,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
12,152,ready-thread,Hold bags,2,viet-family-hotel-luggage,hotel-7,hotel-luggage,tier1,traveler-first,Giữ hành lý giúp tôi,Please hold my luggage,hotel-accommodation,hotel-7|hotel-1|hotel-checkout|hotel-2|hotel-3|hotel-4|hotel-5|hotel-6|v500-hote-acco-the-door-does-not-lock,hotel-7,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
13,152,ready-thread,Hotel booking,2,viet-family-hotel-reservation,hotel-1,hotel-reservation,tier1,traveler-first,Tôi có đặt phòng,I have a reservation,hotel-accommodation,hotel-1|hotel-2|hotel-4|hotel-3|hotel-checkout|hotel-5|hotel-6|hotel-7|v500-hote-acco-the-door-does-not-lock,hotel-1,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
