priority,pageID,title,profile,sectionID,kind,text,audioKey
P0_landmark_name,viet-family-city-hanoi-place-water-puppet-theatre,Nhà hát Múa rối Thăng Long / Thang Long Water Puppet Theatre,landmark,hero,hero,Nhà hát Múa rối Thăng Long,audio-authored-nha-hat-mua-roi-thang-long-bee079cc3d
P0_street_name,viet-family-city-hue-place-walking-street,Phố đi bộ Huế / Hue Walking Street,streetDriver,hero,hero,Phố đi bộ Huế,audio-authored-pho-di-bo-hue-a8bcc9ad7d
P0_top_place_or_street,viet-family-city-danang-atm-ba-na-hills,Có ATM gần Bà Nà Hills không? / Is there an ATM near Ba Na Hills?,cityPhrase,hero,hero,Có ATM gần Bà Nà Hills không?,audio-authored-co-atm-gan-ba-na-hills-khong-2a0d31c6c2
P0_top_place_or_street,viet-family-city-danang-atm-ba-na-hills,Có ATM gần Bà Nà Hills không? / Is there an ATM near Ba Na Hills?,cityPhrase,explore-next,phrase,Bà Nà Hills,audio-authored-ba-na-hills-c5674a9b64
P0_top_place_or_street,viet-family-city-danang-atm-ba-na-hills,Có ATM gần Bà Nà Hills không? / Is there an ATM near Ba Na Hills?,cityPhrase,explore-next,phrase,Ăn gần Bà Nà Hills,audio-authored-an-gan-ba-na-hills-86509d6c32
P0_top_place_or_street,viet-family-city-danang-atm-ba-na-hills,Có ATM gần Bà Nà Hills không? / Is there an ATM near Ba Na Hills?,cityPhrase,explore-next,phrase,Đi Bà Nà Hills,audio-authored-di-ba-na-hills-aa992e3c66
P0_top_place_or_street,viet-family-city-danang-atm-ba-na-hills,Có ATM gần Bà Nà Hills không? / Is there an ATM near Ba Na Hills?,cityPhrase,explore-next,phrase,Dừng ở Bà Nà Hills,audio-authored-dung-o-ba-na-hills-569988ed0a
P0_top_place_or_street,viet-family-city-danang-atm-ba-na-hills,Có ATM gần Bà Nà Hills không? / Is there an ATM near Ba Na Hills?,cityPhrase,explore-next,phrase,Bà Nà Hills ở đâu?,audio-authored-ba-na-hills-o-dau-5a70cb99cc
P0_top_place_or_street,viet-family-city-danang-atm-bach-dang-street,Có ATM gần Đường Bạch Đằng không? / Is there an ATM near Bach Dang Street?,cityPhrase,hero,hero,Có ATM gần Đường Bạch Đằng không?,audio-authored-co-atm-gan-duong-bach-dang-khong-ef5a725c67
P0_top_place_or_street,viet-family-city-danang-atm-bach-dang-street,Có ATM gần Đường Bạch Đằng không? / Is there an ATM near Bach Dang Street?,cityPhrase,explore-next,phrase,Đường Bạch Đằng,audio-authored-duong-bach-dang-905007f3e8
P0_top_place_or_street,viet-family-city-danang-atm-bach-dang-street,Có ATM gần Đường Bạch Đằng không? / Is there an ATM near Bach Dang Street?,cityPhrase,explore-next,phrase,Đi đường Bạch Đằng,audio-authored-di-duong-bach-dang-2ee76f9dab
P0_top_place_or_street,viet-family-city-danang-atm-bach-dang-street,Có ATM gần Đường Bạch Đằng không? / Is there an ATM near Bach Dang Street?,cityPhrase,explore-next,phrase,Ăn gần Đường Bạch Đằng,audio-authored-an-gan-duong-bach-dang-4e990bdd8b
P0_top_place_or_street,viet-family-city-danang-atm-bach-dang-street,Có ATM gần Đường Bạch Đằng không? / Is there an ATM near Bach Dang Street?,cityPhrase,explore-next,phrase,Đường Bạch Đằng gần đây không?,audio-authored-duong-bach-dang-gan-day-khong-4b4756b094
P0_top_place_or_street,viet-family-city-danang-atm-bach-dang-street,Có ATM gần Đường Bạch Đằng không? / Is there an ATM near Bach Dang Street?,cityPhrase,explore-next,phrase,Dừng ở Đường Bạch Đằng,audio-authored-dung-o-duong-bach-dang-a467848815
P0_top_place_or_street,viet-family-city-danang-atm-dragon-bridge,Có ATM gần cầu Rồng không? / Is there an ATM near Dragon Bridge?,cityPhrase,hero,hero,Có ATM gần cầu Rồng không?,audio-authored-co-atm-gan-cau-rong-khong-33033b7f36
P0_top_place_or_street,viet-family-city-danang-atm-dragon-bridge,Có ATM gần cầu Rồng không? / Is there an ATM near Dragon Bridge?,cityPhrase,explore-next,phrase,Cầu Rồng,audio-authored-cau-rong-90dc128d4b
P0_top_place_or_street,viet-family-city-danang-atm-dragon-bridge,Có ATM gần cầu Rồng không? / Is there an ATM near Dragon Bridge?,cityPhrase,explore-next,phrase,Ăn gần Cầu Rồng,audio-authored-an-gan-cau-rong-cb688f67ca
P0_top_place_or_street,viet-family-city-danang-atm-dragon-bridge,Có ATM gần cầu Rồng không? / Is there an ATM near Dragon Bridge?,cityPhrase,explore-next,phrase,Đi cầu Rồng,audio-authored-di-cau-rong-7a805e26ec
P0_top_place_or_street,viet-family-city-danang-atm-dragon-bridge,Có ATM gần cầu Rồng không? / Is there an ATM near Dragon Bridge?,cityPhrase,explore-next,phrase,Dừng ở Cầu Rồng,audio-authored-dung-o-cau-rong-a6fd2ae7f1
P0_top_place_or_street,viet-family-city-danang-atm-dragon-bridge,Có ATM gần cầu Rồng không? / Is there an ATM near Dragon Bridge?,cityPhrase,explore-next,phrase,Cầu Rồng ở đâu?,audio-authored-cau-rong-o-dau-8de12d7ea5
P0_top_place_or_street,viet-family-city-danang-atm-linh-ung-pagoda,Có ATM gần Chùa Linh Ứng không? / Is there an ATM near Linh Ung Pagoda?,cityPhrase,hero,hero,Có ATM gần Chùa Linh Ứng không?,audio-authored-co-atm-gan-chua-linh-ung-khong-59ceba8b18
P0_top_place_or_street,viet-family-city-danang-atm-linh-ung-pagoda,Có ATM gần Chùa Linh Ứng không? / Is there an ATM near Linh Ung Pagoda?,cityPhrase,explore-next,phrase,Chùa Linh Ứng,audio-authored-chua-linh-ung-703e8f3b92
P0_top_place_or_street,viet-family-city-danang-atm-linh-ung-pagoda,Có ATM gần Chùa Linh Ứng không? / Is there an ATM near Linh Ung Pagoda?,cityPhrase,explore-next,phrase,Đi Chùa Linh Ứng,audio-authored-di-chua-linh-ung-a4006f3b96
P0_top_place_or_street,viet-family-city-danang-atm-linh-ung-pagoda,Có ATM gần Chùa Linh Ứng không? / Is there an ATM near Linh Ung Pagoda?,cityPhrase,explore-next,phrase,Dừng ở Chùa Linh Ứng,audio-authored-dung-o-chua-linh-ung-73099539ac
P0_top_place_or_street,viet-family-city-danang-atm-linh-ung-pagoda,Có ATM gần Chùa Linh Ứng không? / Is there an ATM near Linh Ung Pagoda?,cityPhrase,explore-next,phrase,Chùa Linh Ứng ở đâu?,audio-authored-chua-linh-ung-o-dau-03317f605a
P0_top_place_or_street,viet-family-city-danang-go-marble-mountains,Đi Ngũ Hành Sơn / Go to Marble Mountains,cityPhrase,hero,hero,Đi Ngũ Hành Sơn,audio-authored-di-ngu-hanh-son-c46a771980
