"rank","scenario_id","phrase_id","english_text","priority_reason","confidence","review_flag","execution_status","decision_notes"
"1","polite-basics","italian-polite-basics-5","Excuse me","Highest-frequency opener for getting attention and softening requests across stations cafes shops and hotels.","high","politeness-review","translated-rewrite-complete","English gloss narrowed from combined excuse-me-sorry to service-safe attention getter before translation"
"2","polite-basics","italian-polite-basics-2","Thank you","Essential courtesy phrase that supports a polite default and works across nearly every travel exchange.","high","none","translated-core","Promoted with compact pronunciation support"
"3","polite-basics","italian-polite-basics-1","Hello","Useful service-safe opener for cafes front desks and small shops before the traveler moves into a short request.","high","none","translated-core","Used Salve as the all-day service-safe greeting"
"4","grab-taxi","italian-grab-taxi-1","Take me here","Strong screen-showable transport phrase for taxi and ride-app routing when the destination phone screen does most of the work.","high","none","translated-core","Used polite driver form rather than a blunt imperative"
"5","asking-price","italian-asking-price-1","How much is this","Core purchase and confirmation phrase for shops markets kiosks and station counters.","high","none","translated-core","Kept as the core price-check phrase instead of bargaining language"
"6","simple-problems","italian-simple-problems-2","I do not understand","Top repair phrase for any fast Italian reply and a critical pressure-reduction card for first-time travelers.","high","none","translated-core","Short repair phrase with high traveler utility"
"7","simple-problems","italian-simple-problems-3","Can you speak a little slower","Best follow-up after signaling non-understanding and broadly useful across hotel train and retail interactions.","high","none","translated-core","Retained polite request softener in the Italian"
"8","hotel-hostel","italian-hotel-hostel-1","I have a reservation","High-value front-desk phrase that should be translated early because hotel check-in is a common arrival moment.","high","none","translated-core","Ready for the next hotel-focused authoring pass"
"9","hotel-hostel","italian-hotel-hostel-2","I would like to check in","Companion to reservation lookup and often needed even when the traveler already has the booking ready.","high","none","translated-core","Used standard hotel check-in wording rather than a literal scaffold transfer"
"10","convenience-store","italian-convenience-store-6","Can I pay by card","Important payment-confirmation phrase in frequent checkout moments across cafes shops and travel counters.","high","none","translated-core","Promoted as a first-wave payment repair phrase"
"11","convenience-store","italian-convenience-store-1","A bottle of water please","Simple hydration purchase phrase useful in stations kiosks shops and hotel-adjacent stores.","high","none","translated-core","Direct purchase phrase completed"
"12","grab-taxi","italian-grab-taxi-3","You can stop here","Short high-value ride phrase that pairs well with map view and reduces drop-off confusion.","high","none","translated-core","Used polite stop-here wording for drivers"
"13","street-food","italian-street-food-1","One portion please","Fast ordering phrase for casual food counters and low-friction restaurant ordering.","high","none","translated-core","Kept compact and useful across casual dining contexts"
"14","coffee-shop","italian-coffee-shop-5","No sugar please","High-value drink customization phrase for coffee bars and quick drink orders without requiring complex phrasing.","high","none","translated-core","Completed without widening into lower-value coffee scaffolds"
"15","coffee-shop","italian-coffee-shop-6","To take away","Useful in cafes bakeries and snack stops where takeaway versus staying matters.","high","none","translated-rewrite-complete","English gloss rewritten from generic To go to Italy-fit takeaway phrasing"
"16","convenience-store","italian-convenience-store-7","Please give me the receipt","Practical transaction follow-through phrase for reimbursements returns and expense tracking.","medium","none","translated-medium","Completed as a medium-priority checkout follow-through line"
"17","hotel-hostel","italian-hotel-hostel-3","What time is check out","Common timing question that prevents later front-desk confusion.","medium","none","translated-medium","Uses common hotel wording with borrowed check-out term"
