"selected_order","batch_role","selection_group","page_id","phrase_id","pageKind","placeKind","contentRole","current_page_renderer","current_hero_image_name","current_hero_behavior","current_section_presentations","current_missing_audio_policy","current_self_row_policy","proposed_renderer_directive","proposed_section_order","proposed_suppressed_sections","reviewer_notes","review_status","import_approval"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","restaurant","restaurant","iconic","article-listing","","default_language_masthead","at-glance:plain-text|quick-say:phrase-list|breakdown:breakdown-strip|place-brief:phrase-list|before-you-go:phrase-list|menu-dietary:phrase-list|when-to-use:plain-text|inside-the-place:phrase-list|good-to-know:tip-callout|explore-next:phrase-list","ready audio uses speaker.wave.2.fill; planned/missing audio uses disabled speaker.slash.fill with Audio not available yet","self rows should not show a chevron; linked rows resolve to exactly one canonical page","","","","","REVIEW_ONLY","REVIEW_ONLY"
"2","active_review","restaurant","viet-phrase-city-hanoi-place-pho-bat-dan","city-hanoi-place-pho-bat-dan","restaurant","restaurant","iconic","article-listing","","default_language_masthead","at-glance:plain-text|quick-say:phrase-list|breakdown:breakdown-strip|place-brief:phrase-list|before-you-go:phrase-list|menu-dietary:phrase-list|when-to-use:plain-text|inside-the-place:phrase-list|good-to-know:tip-callout|explore-next:phrase-list","ready audio uses speaker.wave.2.fill; planned/missing audio uses disabled speaker.slash.fill with Audio not available yet","self rows should not show a chevron; linked rows resolve to exactly one canonical page","","","","","REVIEW_ONLY","REVIEW_ONLY"
"3","active_review","dish_identity","viet-phrase-city-hoian-place-cao-lau-city","city-hoian-place-cao-lau-city","dish","dish","dish-anchor","article-listing","","default_language_masthead","at-glance:plain-text|quick-say:phrase-list|breakdown:breakdown-strip|place-brief:phrase-list|how-to-order:phrase-list|ingredients-diet:phrase-list|when-to-use:plain-text|good-to-know:tip-callout|explore-next:phrase-list","ready audio uses speaker.wave.2.fill; planned/missing audio uses disabled speaker.slash.fill with Audio not available yet","self rows should not show a chevron; linked rows resolve to exactly one canonical page","","","","","REVIEW_ONLY","REVIEW_ONLY"
"4","active_review","dish","viet-phrase-city-hue-place-bun-bo-city","city-hue-place-bun-bo-city","dish","dish","dish-anchor","article-listing","","default_language_masthead","at-glance:plain-text|quick-say:phrase-list|breakdown:breakdown-strip|place-brief:phrase-list|how-to-order:phrase-list|ingredients-diet:phrase-list|when-to-use:plain-text|good-to-know:tip-callout|explore-next:phrase-list","ready audio uses speaker.wave.2.fill; planned/missing audio uses disabled speaker.slash.fill with Audio not available yet","self rows should not show a chevron; linked rows resolve to exactly one canonical page","","","","","REVIEW_ONLY","REVIEW_ONLY"
"5","reference_completed","journey_place","viet-phrase-city-danang-place-ba-na-hills","city-danang-place-ba-na-hills","place","landmark","","article-listing","HeroBaNaHills","page_specific_hero_image","at-glance:plain-text|quick-say:phrase-list|journey-flow:phrase-list|key-phrases:phrase-list|breakdown:breakdown-strip|good-to-know:tip-callout|explore-next:phrase-list","ready audio uses speaker.wave.2.fill; planned/missing audio uses disabled speaker.slash.fill with Audio not available yet","self rows should not show a chevron; linked rows resolve to exactly one canonical page","","","","","REVIEW_ONLY","REVIEW_ONLY"
"6","active_review","place_navigation","viet-phrase-city-danang-place-dragon-bridge","city-danang-place-dragon-bridge","place","landmark","","article-listing","","default_language_masthead","at-glance:plain-text|quick-say:phrase-list|breakdown:breakdown-strip|place-brief:phrase-list|use-it-with:phrase-list|when-to-use:plain-text|good-to-know:tip-callout|explore-next:phrase-list","ready audio uses speaker.wave.2.fill; planned/missing audio uses disabled speaker.slash.fill with Audio not available yet","self rows should not show a chevron; linked rows resolve to exactly one canonical page","","","","","REVIEW_ONLY","REVIEW_ONLY"
"7","active_review","place_journey","viet-phrase-city-danang-place-marble-mountains","city-danang-place-marble-mountains","place","landmark","","article-listing","","default_language_masthead","at-glance:plain-text|quick-say:phrase-list|breakdown:breakdown-strip|place-brief:phrase-list|use-it-with:phrase-list|when-to-use:plain-text|journey-flow:plain-text|key-phrases:phrase-list|good-to-know:tip-callout|explore-next:phrase-list","ready audio uses speaker.wave.2.fill; planned/missing audio uses disabled speaker.slash.fill with Audio not available yet","self rows should not show a chevron; linked rows resolve to exactly one canonical page","","","","","REVIEW_ONLY","REVIEW_ONLY"
"8","active_review","place_navigation","viet-phrase-city-danang-place-son-tra","city-danang-place-son-tra","place","nature","","article-listing","","default_language_masthead","at-glance:plain-text|quick-say:phrase-list|breakdown:breakdown-strip|place-brief:phrase-list|use-it-with:phrase-list|when-to-use:plain-text|good-to-know:tip-callout|explore-next:phrase-list","ready audio uses speaker.wave.2.fill; planned/missing audio uses disabled speaker.slash.fill with Audio not available yet","self rows should not show a chevron; linked rows resolve to exactly one canonical page","","","","","REVIEW_ONLY","REVIEW_ONLY"
"9","active_review","street_pronouncer","viet-phrase-city-danang-place-bach-dang-street","city-danang-place-bach-dang-street","place","street","","article-listing","","default_language_masthead","at-glance:plain-text|quick-say:phrase-list|breakdown:breakdown-strip|place-brief:phrase-list|use-it-with:phrase-list|when-to-use:plain-text|show-driver:phrase-list|confirm:phrase-list|drop-off:phrase-list|good-to-know:tip-callout|explore-next:phrase-list","ready audio uses speaker.wave.2.fill; planned/missing audio uses disabled speaker.slash.fill with Audio not available yet","self rows should not show a chevron; linked rows resolve to exactly one canonical page","","","","","REVIEW_ONLY","REVIEW_ONLY"
"10","active_review","street_pronouncer","viet-phrase-city-danang-place-nguyen-van-linh-street","city-danang-place-nguyen-van-linh-street","place","street","","article-listing","","default_language_masthead","at-glance:plain-text|quick-say:phrase-list|breakdown:breakdown-strip|place-brief:phrase-list|use-it-with:phrase-list|when-to-use:plain-text|show-driver:phrase-list|confirm:phrase-list|wrong-place:phrase-list|good-to-know:tip-callout|explore-next:phrase-list","ready audio uses speaker.wave.2.fill; planned/missing audio uses disabled speaker.slash.fill with Audio not available yet","self rows should not show a chevron; linked rows resolve to exactly one canonical page","","","","","REVIEW_ONLY","REVIEW_ONLY"
"11","active_review","street_pronouncer","viet-phrase-city-danang-place-vo-nguyen-giap-street","city-danang-place-vo-nguyen-giap-street","place","street","","article-listing","","default_language_masthead","at-glance:plain-text|quick-say:phrase-list|breakdown:breakdown-strip|place-brief:phrase-list|use-it-with:phrase-list|when-to-use:plain-text|show-driver:phrase-list|confirm:phrase-list|pickup:phrase-list|good-to-know:tip-callout|explore-next:phrase-list","ready audio uses speaker.wave.2.fill; planned/missing audio uses disabled speaker.slash.fill with Audio not available yet","self rows should not show a chevron; linked rows resolve to exactly one canonical page","","","","","REVIEW_ONLY","REVIEW_ONLY"
"12","active_review","route_ticket","viet-phrase-city-danang-go-ba-na-hills","city-danang-go-ba-na-hills","phrase","landmark","","article-listing","","default_language_masthead","at-glance:plain-text|quick-say:phrase-list|breakdown:breakdown-strip|relationship-words:relationship-shelf|place-anchor:phrase-list|when-to-use:phrase-list|good-to-know:tip-callout|explore-next:phrase-list","ready audio uses speaker.wave.2.fill; planned/missing audio uses disabled speaker.slash.fill with Audio not available yet","self rows should not show a chevron; linked rows resolve to exactly one canonical page","","","","","REVIEW_ONLY","REVIEW_ONLY"
"13","active_review","place_navigation","viet-phrase-city-danang-where-ba-na-hills","city-danang-where-ba-na-hills","phrase","landmark","","article-listing","","default_language_masthead","at-glance:plain-text|quick-say:phrase-list|breakdown:breakdown-strip|relationship-words:relationship-shelf|place-anchor:phrase-list|when-to-use:phrase-list|what-happens-next:plain-text|recovery:phrase-list|good-to-know:tip-callout|explore-next:phrase-list","ready audio uses speaker.wave.2.fill; planned/missing audio uses disabled speaker.slash.fill with Audio not available yet","self rows should not show a chevron; linked rows resolve to exactly one canonical page","","","","","REVIEW_ONLY","REVIEW_ONLY"
"14","active_review","route_ticket","viet-phrase-city-danang-ticket-marble-mountains","city-danang-ticket-marble-mountains","phrase","landmark","","article-listing","","default_language_masthead","at-glance:plain-text|quick-say:phrase-list|breakdown:breakdown-strip|place-anchor:phrase-list|when-to-use:phrase-list|good-to-know:tip-callout|explore-next:phrase-list","ready audio uses speaker.wave.2.fill; planned/missing audio uses disabled speaker.slash.fill with Audio not available yet","self rows should not show a chevron; linked rows resolve to exactly one canonical page","","","","","REVIEW_ONLY","REVIEW_ONLY"
"15","active_review","route_ticket","viet-phrase-city-danang-go-dragon-bridge","city-danang-go-dragon-bridge","phrase","landmark","","article-listing","","default_language_masthead","at-glance:plain-text|quick-say:phrase-list|breakdown:breakdown-strip|place-anchor:phrase-list|when-to-use:phrase-list|good-to-know:tip-callout|explore-next:phrase-list","ready audio uses speaker.wave.2.fill; planned/missing audio uses disabled speaker.slash.fill with Audio not available yet","self rows should not show a chevron; linked rows resolve to exactly one canonical page","","","","","REVIEW_ONLY","REVIEW_ONLY"
"16","active_review","street_driver","viet-phrase-city-danang-near-nguyen-van-linh-street","city-danang-near-nguyen-van-linh-street","phrase","street","","article-listing","","default_language_masthead","at-glance:plain-text|quick-say:phrase-list|breakdown:breakdown-strip|place-anchor:phrase-list|when-to-use:phrase-list|what-happens-next:plain-text|recovery:phrase-list|good-to-know:tip-callout|explore-next:phrase-list","ready audio uses speaker.wave.2.fill; planned/missing audio uses disabled speaker.slash.fill with Audio not available yet","self rows should not show a chevron; linked rows resolve to exactly one canonical page","","","","","REVIEW_ONLY","REVIEW_ONLY"
