"page_id","phrase_id","source_lane","pageKind","section_id","section_key","item_id","sort_order","target_phrase_id","target_page_id","detail_page_id","current_row_vietnamese","current_row_english","current_pronunciation","target_audio_status","source_path","proposed_target_phrase_id","proposed_target_page_id","proposed_row_vietnamese","proposed_row_english","review_status","import_approval","approved_by","approved_at"
"viet-phrase-acknowledge-co","acknowledge-co","catalog-promoted","phrase","viet-phrase-acknowledge-co:standard-way","standard-way","viet-phrase-acknowledge-co:standard-way:phrase:0:ebae4d55f6babe2a","0","acknowledge-co","viet-phrase-acknowledge-co","viet-phrase-acknowledge-co","Có","Yes / there is","koh","ready","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-co","acknowledge-co","catalog-promoted","phrase","viet-phrase-acknowledge-co:answer-contrast","answer-contrast","viet-phrase-acknowledge-co:answer-contrast:phrase:0:d66caae7b287320c","0","polite-3","viet-phrase-polite-3","viet-phrase-polite-3","Dạ","Polite acknowledgment","yah","ready","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-co","acknowledge-co","catalog-promoted","phrase","viet-phrase-acknowledge-co:answer-contrast","answer-contrast","viet-phrase-acknowledge-co:answer-contrast:phrase:1:eee0debebdff9c5a","1","v500-poli-basi-yes","viet-phrase-v500-poli-basi-yes","viet-phrase-v500-poli-basi-yes","Đúng","Yes / correct","Dung","ready","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-co","acknowledge-co","catalog-promoted","phrase","viet-phrase-acknowledge-co:answer-contrast","answer-contrast","viet-phrase-acknowledge-co:answer-contrast:phrase:2:7c51ccad45b1ccf2","2","acknowledge-khong","viet-phrase-acknowledge-khong","viet-phrase-acknowledge-khong","Không","No","khong","ready","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-co","acknowledge-co","catalog-promoted","phrase","viet-phrase-acknowledge-co:explore-next","explore-next","viet-phrase-acknowledge-co:explore-next:phrase:0:fc48c38a990a101c","0","hotel-1","viet-phrase-hotel-1","viet-phrase-hotel-1","Tôi có đặt phòng","I have a reservation","toy koh dat fong","ready","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-co","acknowledge-co","catalog-promoted","phrase","viet-phrase-acknowledge-co:explore-next","explore-next","viet-phrase-acknowledge-co:explore-next:phrase:1:52c514551000e8d7","1","food-5","viet-phrase-food-5","viet-phrase-food-5","Có nước suối không?","Do you have bottled water?","koh nook soy khong","ready","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-co","acknowledge-co","catalog-promoted","phrase","viet-phrase-acknowledge-co:explore-next","explore-next","viet-phrase-acknowledge-co:explore-next:phrase:2:7afda97ecf3e247b","2","phone-4","viet-phrase-phone-4","viet-phrase-phone-4","Có sạc không?","Do you have a charger?","koh sahk khong","ready","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-anh:standard-way","standard-way","viet-phrase-acknowledge-da-chao-anh:standard-way:phrase:0:e5f8aa482f308d18","0","acknowledge-da-chao-anh","viet-phrase-acknowledge-da-chao-anh","viet-phrase-acknowledge-da-chao-anh","Dạ, chào anh","Respectful hello to an older man","yah chow anh","ready","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-anh:relationship-words","relationship-words","viet-phrase-acknowledge-da-chao-anh:relationship-words:phrase:0:f8db4a3ca628ff7f","0","hello-chao-anh","viet-phrase-hello-chao-anh","viet-phrase-hello-chao-anh","Chào anh","Hello to an older man","chow anh","ready","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-anh:relationship-words","relationship-words","viet-phrase-acknowledge-da-chao-anh:relationship-words:phrase:1:e8a05ac8ebe7b5f2","1","hello-chao-chi","viet-phrase-hello-chao-chi","viet-phrase-hello-chao-chi","Chào chị","Hello to an older woman","chow chee","ready","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-anh:relationship-words","relationship-words","viet-phrase-acknowledge-da-chao-anh:relationship-words:phrase:2:f47925d0ca9b7855","2","hello-chao-em","viet-phrase-hello-chao-em","viet-phrase-hello-chao-em","Chào em","Hello to a younger person","chow em","ready","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-anh:relationship-words","relationship-words","viet-phrase-acknowledge-da-chao-anh:relationship-words:phrase:3:691e859e45e919ef","3","hello-chao-ong","viet-phrase-hello-chao-ong","viet-phrase-hello-chao-ong","Chào ông","Hello to an elderly man","chow ohng","ready","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-anh:relationship-words","relationship-words","viet-phrase-acknowledge-da-chao-anh:relationship-words:phrase:4:340a9fe8ccb61940","4","hello-chao-ba","viet-phrase-hello-chao-ba","viet-phrase-hello-chao-ba","Chào bà","Hello to an elderly woman","chow bah","ready","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","","","","","not_started","","",""
