item_id,menu_type,category,popular,vietnamese_item,english_translation,sound_out,at_a_glance,usually_includes,good_to_know,quick_say_vietnamese,quick_say_english,helper_phrase_ids,order_line_audio_policy,editorial_status
food-pho-bo,Food,Noodle soups,true,Phở bò,Beef noodle soup,fuh baw,"Phở bò is Vietnam’s best-known noodle soup: clear, fragrant beef broth, soft rice noodles, and thin slices of beef finished with herbs. It feels light, comforting, and deeply satisfying.",beef broth | rice noodles | sliced beef | herbs | lime,"Herbs, lime, chili, and bean sprouts usually arrive on the side. Add them little by little so the broth stays balanced.",Cho tôi một tô phở bò.,I’d like one bowl of beef noodle soup.,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-pho-ga,Food,Noodle soups,true,Phở gà,Chicken noodle soup,fuh gah,"A gentler cousin of beef phở, with clear chicken broth, rice noodles, herbs, lime, and tender slices or shreds of gà.",broth | rice noodles | chicken | herbs | lime,Ask for no chili sauce if you want the bowl mild.,Cho tôi một tô phở gà.,I’d like one bowl of chicken noodle soup.,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-pho-tai,Food,Noodle soups,false,Phở tái,Pho with rare beef,fuh tie,"Phở tái is beef phở with very thin rare beef slices that finish cooking in the hot broth. It is clean, aromatic, and more tender than the well-done beef version.",beef broth | rice noodles | rare beef | onion | herbs and lime,"If rare beef makes you nervous, order phở chín instead. The broth should still be hot enough to soften the beef at the table.",Cho tôi một tô phở tái.,I’d like one bowl of pho with rare beef.,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-pho-chin,Food,Noodle soups,false,Phở chín,Pho with well-done beef,fuh chin,"Phở chín is beef phở with cooked beef slices, rice noodles, herbs, and clear fragrant broth. It is the safer choice if you want phở without rare meat.",beef broth | rice noodles | well-done beef | onion | herbs and lime,"Chín means cooked or well-done here. You still season the bowl at the table with herbs, lime, bean sprouts, or chili.",Cho tôi một tô phở chín.,I’d like one bowl of pho with well-done beef.,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-pho-tai-nam,Food,Noodle soups,false,Phở tái nạm,Pho with rare beef and brisket,fuh tie nahm,"Phở tái nạm gives you two beef textures in one bowl: tender rare beef and richer brisket. It is still a clean broth dish, but the meat feels fuller than plain phở tái.",beef broth | rice noodles | rare beef | brisket | herbs and lime,"Nạm is brisket, so this bowl has more chew and beef depth. Taste the broth before adding chili sauce or lime.",Cho tôi một tô phở tái nạm.,I’d like one bowl of pho with rare beef and brisket.,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-pho-bo-vien,Food,Noodle soups,false,Phở bò viên,Pho with beef meatballs,fuh baw vee-en,"Phở bò viên is beef phở with springy beef meatballs, clear broth, rice noodles, herbs, and lime. It is a good choice when you want texture without rare slices.",beef broth | rice noodles | beef meatballs | onion | herbs and lime,Bò viên are bouncy beef meatballs. The texture is firmer than sliced beef and easy to recognize in a mixed phở menu.,Cho tôi một tô phở bò viên.,I’d like one bowl of pho with beef meatballs.,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-pho-dac-biet,Food,Noodle soups,false,Phở đặc biệt,Special combination pho,fuh dak bee-et,"Phở đặc biệt is the special combination bowl, usually with several beef cuts such as rare beef, brisket, meatballs, tendon, or tripe depending on the shop.",beef broth | rice noodles | mixed beef cuts | onion | herbs and lime,"Đặc biệt means special, not one fixed recipe. Ask what is included if tendon, tripe, or rare beef matters.",Cho tôi một tô phở đặc biệt.,I’d like one bowl of special combination pho.,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-bun-bo-hue,Food,Noodle soups,true,Bún bò Huế,Spicy Hue beef noodle soup,boon baw hway,"Bún bò Huế is a bold central-Vietnam noodle soup with lemongrass, chili warmth, beef, and thick round noodles. It is richer and spicier than phở.",broth | rice vermicelli | beef | herbs | lime,"Ask for less spicy if you are heat-sensitive. The broth is the point, so taste it before adding extra chili.",Cho tôi một tô bún bò Huế.,I’d like one bowl of spicy Hue beef noodle soup.,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-bun-rieu-cua,Food,Noodle soups,true,Bún riêu cua,Crab and tomato noodle soup,boon ree-ew koo-ah,"Bún riêu cua is crab-and-tomato vermicelli soup with a tangy red broth, soft crab mixture, tofu, herbs, and sometimes snails or pork blood cubes. It is bright, savory, and a little rustic.",rice vermicelli | crab-tomato broth | tofu | herbs | shrimp paste optional,"The sourness usually comes from tomato and tamarind or vinegar-like seasoning, not cream. Ask what toppings are included if you avoid shellfish or pork.",Cho tôi một tô bún riêu cua.,I’d like one bowl of crab and tomato noodle soup.,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-bun-mam,Food,Noodle soups,false,Bún mắm,Fermented fish noodle soup,boon mahm,"Bún mắm is a Mekong-style noodle soup with fermented fish broth, rice vermicelli, seafood, pork, eggplant, herbs, and a deep salty aroma. It is bold on purpose.",rice vermicelli | fermented fish broth | seafood | pork | eggplant and herbs,"This is one of the strongest-flavored soups on a Vietnamese menu. If fermented fish sounds like too much, choose bún riêu or phở first.",Cho tôi một tô bún mắm.,I’d like one bowl of fermented fish noodle soup.,menu-not-spicy | menu-less-spicy | menu-sauce-on-side | menu-ask-fish-sauce | menu-pack-to-go,text-only,handwritten-reviewed
food-bun-thang,Food,Noodle soups,false,Bún thang,"Hanoi chicken, egg, and pork noodle soup",boon tang,"Bún thang is a delicate Hanoi noodle soup layered with shredded chicken, egg ribbons, pork sausage, herbs, and clear broth. It is refined rather than fiery.",rice vermicelli | clear chicken broth | shredded chicken | egg ribbons | pork sausage,"The bowl can include pork sausage, egg, and dried-shrimp flavor. It is not just chicken soup.",Cho tôi một tô bún thang.,"I’d like one bowl of Hanoi chicken, egg, and pork noodle soup.",menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-bun-moc,Food,Noodle soups,false,Bún mọc,Pork meatball noodle soup,boon mawk,"Bún mọc is pork-and-mushroom ball noodle soup, usually with rice vermicelli, mọc, pork slices, herbs, and clear broth.",clear pork broth | rice vermicelli | mọc pork-mushroom balls | pork slices | fresh herbs,May contain pork.,Cho tôi một tô bún mọc.,I’d like one bowl of pork meatball noodle soup.,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-bun-ca,Food,Noodle soups,false,Bún cá,Fish noodle soup,boon kah,"Bún cá is fish noodle soup, usually with fried or fresh fish, dill or tomato, herbs, and rice vermicelli.",fish broth | rice vermicelli | fried or fresh fish | tomato or dill | fresh herbs,"Fish bones can appear, especially in more traditional bowls.",Cho tôi một tô bún cá.,I’d like one bowl of fish noodle soup.,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-bun-oc,Food,Noodle soups,false,Bún ốc,Snail noodle soup,boon awk,"Bún ốc is snail vermicelli soup, often Hanoi-style, with a tomato-bright broth, herbs, and chewy river snails. It is tangy, clean, and more about texture than richness.",rice vermicelli | snails | tomato broth | herbs | chili optional,"Ốc means snails. If texture matters, ask before ordering; the snails should be chewy rather than soft like clams.",Cho tôi một tô bún ốc.,I’d like one bowl of snail noodle soup.,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-bun-sua,Food,Noodle soups,false,Bún sứa,Jellyfish noodle soup,boon soo-uh,"Bún sứa is a coastal jellyfish noodle soup, especially familiar around Nha Trang and central beach towns. The broth is light; the jellyfish adds a crisp springy bite.",rice vermicelli | jellyfish | light seafood broth | herbs | fish cake optional,"Sứa means jellyfish. Order it when you are curious about a cool, crisp seafood texture that feels more like a beach-market salad than a heavy noodle bowl.",Cho tôi một tô bún sứa.,I’d like one bowl of jellyfish noodle soup.,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-hu-tieu-nam-vang,Food,Noodle soups,true,Hủ tiếu Nam Vang,Phnom Penh-style rice noodle soup,hoo tee-ew nahm vahng,"Hủ tiếu Nam Vang is a rice-noodle soup with clear savory broth, herbs, and pork and shrimp. It usually feels lighter and more flexible than richer beef soups.",broth | rice noodles | pork and shrimp | herbs | lime,"If you want a milder bowl, ask for less spicy or no chili. The soup will still have plenty of flavor.",Cho tôi một tô hủ tiếu Nam Vang.,I’d like one bowl of Phnom Penh-style rice noodle soup.,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-hu-tieu-my-tho,Food,Noodle soups,false,Hủ tiếu Mỹ Tho,Mỹ Tho-style rice noodle soup,hoo tee-ew mee taw,"Hủ tiếu Mỹ Tho is a Mekong Delta rice-noodle soup from the Mỹ Tho style, known for clear broth, chewy noodles, pork, shrimp, herbs, and fried garlic.",rice noodles | pork or shrimp toppings | fried shallots | dry noodle dressing | clear side broth,"Mỹ Tho is a Mekong Delta name to recognize. The dry version should still come with broth, because that clear, sweet side bowl is the backbone of the noodles.",Cho tôi một tô hủ tiếu Mỹ Tho.,I’d like one bowl of mỹ Tho-style rice noodle soup.,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-mi-hoanh-thanh,Food,Noodle soups,false,Mì hoành thánh,Wonton egg noodle soup,mee hwanh tanh,"Mì hoành thánh is wonton egg-noodle soup, usually with pork wontons, egg noodles, chives, and broth.",egg noodles | wontons | clear broth | greens | scallions,Ask for no chili if you want Mì hoành thánh mild.,Cho tôi một tô mì hoành thánh.,I’d like one bowl of wonton egg noodle soup.,menu-not-spicy | menu-less-spicy | menu-see-menu | menu-pay-now,text-only,handwritten-reviewed
food-mi-ga,Food,Noodle soups,false,Mì gà,Chicken egg noodle soup,mee gah,"Mì gà is chicken egg-noodle soup, usually with springy mì, chicken, greens, and clear broth.",egg noodles | chicken | chicken broth | greens | scallions,Ask for no chili if you want Mì gà mild.,Cho tôi một tô mì gà.,I’d like one bowl of chicken egg noodle soup.,menu-not-spicy | menu-less-spicy | menu-see-menu | menu-pay-now,text-only,handwritten-reviewed
food-mien-ga,Food,Noodle soups,false,Miến gà,Chicken glass noodle soup,mee-en gah,"Miến gà is chicken glass-noodle soup, usually with slippery miến, shredded chicken, herbs, and clear broth.",glass noodles | chicken | chicken broth | scallions | pepper and herbs,"Miến means glass noodles, so expect slippery transparent noodles in chicken broth, not wheat or egg noodles.",Cho tôi một tô miến gà.,I’d like one bowl of chicken glass noodle soup.,menu-not-spicy | menu-less-spicy | menu-see-menu | menu-pay-now,text-only,handwritten-reviewed
food-banh-canh-cua,Food,Noodle soups,true,Bánh canh cua,Thick tapioca noodle soup with crab,bahn kan koo-ah,"Bánh canh cua is thick tapioca-style noodle soup with crab, a glossy savory broth, herbs, and pepper. The noodles are chewy and spoonable, closer to udon texture than phở.",thick tapioca noodles | crab | savory broth | scallions | pepper,The broth can be slightly thick from the noodles. Ask about crab shell pieces if you want the easiest version to eat.,Cho tôi một tô bánh canh cua.,I’d like one bowl of thick tapioca noodle soup with crab.,menu-not-spicy | menu-less-spicy | menu-see-menu | menu-pay-now,text-only,handwritten-reviewed
food-banh-canh-cha-ca,Food,Noodle soups,false,Bánh canh chả cá,Thick noodle soup with fish cakes,bahn kan chah kah,Bánh canh chả cá is thick noodle soup with springy fish cakes and a light seafood broth. It is gentler than crab bánh canh but still has the chewy noodle texture.,thick tapioca noodles | fish cakes | seafood broth | scallions | pepper,"Chả cá means fish cake here. The fish is usually formed into slices or patties, not a whole fillet.",Cho tôi một tô bánh canh chả cá.,I’d like one bowl of thick noodle soup with fish cakes.,menu-not-spicy | menu-less-spicy | menu-see-menu | menu-pay-now,text-only,handwritten-reviewed
food-banh-canh-gio-heo,Food,Noodle soups,false,Bánh canh giò heo,Thick noodle soup with pork knuckle,bahn kan yaw heh-oh,"Bánh canh giò heo is thick noodle soup with pork knuckle, scallions, pepper, and a rich pork broth. It is heavier and more collagen-rich than the seafood versions.",thick tapioca noodles | pork knuckle | pork broth | scallions | pepper,Giò heo means pork knuckle. Expect bones and skin; ask for an easier cut if that is not what you want.,Cho tôi một tô bánh canh giò heo.,I’d like one bowl of thick noodle soup with pork knuckle.,menu-not-spicy | menu-less-spicy | menu-see-menu | menu-pay-now,text-only,handwritten-reviewed
food-chao-ga,Food,Noodle soups,false,Cháo gà,Chicken rice porridge,chow gah,"Cháo gà is chicken rice porridge, usually with shredded chicken, scallions, pepper, herbs, and sometimes fried dough sticks.",rice porridge | shredded chicken | ginger | scallions | black pepper,"Cháo gà is gentle food, but not bland when it is good. Stir in pepper, herbs, or ginger gradually so the chicken broth stays soothing.",Cho tôi một tô cháo gà.,I’d like one bowl of chicken rice porridge.,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
