patch_id,page_id,phrase_id,review_status,import_approval,operation,target_id,target_order,current_value,proposed_value,reason_for_change,new_linked_phrase_required,canonical_target_id,audio_policy,asset_policy,validator_rule,jojo_question
B001-REN-001,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,UPSERT_RENDERER_DIRECTIVE_REVIEW_ONLY,viet-phrase-city-hanoi-place-bun-cha-huong-lien,1,"{""renderer"":""article-listing"",""hero"":""default_language_masthead"",""presentations"":""at-glance:plain-text|quick-say:phrase-list|breakdown:breakdown-strip|place-brief:phrase-list|before-you-go:phrase-list|menu-dietary:phrase-list|when-to-use:plain-text|inside-the-place:phrase-list|good-to-know:tip-callout|explore-next:phrase-list""}","{""template_profile"":""restaurant-live-interaction"",""section_order"":[""at-glance"",""quick-say"",""breakdown"",""inside-the-place"",""before-you-go"",""menu-dietary"",""when-to-use"",""good-to-know"",""explore-next"",""place-brief""],""suppressed_sections"":[],""standard_row_pattern"":""speaker_left|phrase_text|english_subtitle|chevron_right"",""audio_controls"":""audio_output_only_no_microphone_no_try_saying"",""hide_or_deemphasize_missing_audio"":true,""bottom_safe_area_padding_required"":true,""page_behavior"":""self-contained_live_interaction_with_deep_link_rows""}",Make renderer deterministic and aligned with existing speaker-left/chevron-right app pattern.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REN-002,viet-phrase-city-hanoi-place-pho-bat-dan,city-hanoi-place-pho-bat-dan,REVIEW_ONLY,REVIEW_ONLY,UPSERT_RENDERER_DIRECTIVE_REVIEW_ONLY,viet-phrase-city-hanoi-place-pho-bat-dan,2,"{""renderer"":""article-listing"",""hero"":""default_language_masthead"",""presentations"":""at-glance:plain-text|quick-say:phrase-list|breakdown:breakdown-strip|place-brief:phrase-list|before-you-go:phrase-list|menu-dietary:phrase-list|when-to-use:plain-text|inside-the-place:phrase-list|good-to-know:tip-callout|explore-next:phrase-list""}","{""template_profile"":""restaurant-live-interaction"",""section_order"":[""at-glance"",""quick-say"",""breakdown"",""inside-the-place"",""before-you-go"",""menu-dietary"",""when-to-use"",""good-to-know"",""explore-next"",""place-brief""],""suppressed_sections"":[],""standard_row_pattern"":""speaker_left|phrase_text|english_subtitle|chevron_right"",""audio_controls"":""audio_output_only_no_microphone_no_try_saying"",""hide_or_deemphasize_missing_audio"":true,""bottom_safe_area_padding_required"":true,""page_behavior"":""self-contained_live_interaction_with_deep_link_rows""}",Make renderer deterministic and aligned with existing speaker-left/chevron-right app pattern.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REN-003,viet-phrase-city-hoian-place-cao-lau-city,city-hoian-place-cao-lau-city,REVIEW_ONLY,REVIEW_ONLY,UPSERT_RENDERER_DIRECTIVE_REVIEW_ONLY,viet-phrase-city-hoian-place-cao-lau-city,3,"{""renderer"":""article-listing"",""hero"":""default_language_masthead"",""presentations"":""at-glance:plain-text|quick-say:phrase-list|breakdown:breakdown-strip|place-brief:phrase-list|how-to-order:phrase-list|ingredients-diet:phrase-list|when-to-use:plain-text|good-to-know:tip-callout|explore-next:phrase-list""}","{""template_profile"":""dish-order-and-identity-review"",""section_order"":[""at-glance"",""quick-say"",""breakdown"",""how-to-order"",""ingredients-diet"",""when-to-use"",""good-to-know"",""explore-next"",""place-brief""],""suppressed_sections"":[],""standard_row_pattern"":""speaker_left|phrase_text|english_subtitle|chevron_right"",""audio_controls"":""audio_output_only_no_microphone_no_try_saying"",""hide_or_deemphasize_missing_audio"":true,""bottom_safe_area_padding_required"":true}",Make renderer deterministic and aligned with existing speaker-left/chevron-right app pattern.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REN-004,viet-phrase-city-hue-place-bun-bo-city,city-hue-place-bun-bo-city,REVIEW_ONLY,REVIEW_ONLY,UPSERT_RENDERER_DIRECTIVE_REVIEW_ONLY,viet-phrase-city-hue-place-bun-bo-city,4,"{""renderer"":""article-listing"",""hero"":""default_language_masthead"",""presentations"":""at-glance:plain-text|quick-say:phrase-list|breakdown:breakdown-strip|place-brief:phrase-list|how-to-order:phrase-list|ingredients-diet:phrase-list|when-to-use:plain-text|good-to-know:tip-callout|explore-next:phrase-list""}","{""template_profile"":""dish-order-and-diet"",""section_order"":[""at-glance"",""quick-say"",""breakdown"",""how-to-order"",""ingredients-diet"",""when-to-use"",""good-to-know"",""explore-next"",""place-brief""],""suppressed_sections"":[],""standard_row_pattern"":""speaker_left|phrase_text|english_subtitle|chevron_right"",""audio_controls"":""audio_output_only_no_microphone_no_try_saying"",""hide_or_deemphasize_missing_audio"":true,""bottom_safe_area_padding_required"":true}",Make renderer deterministic and aligned with existing speaker-left/chevron-right app pattern.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REN-005,viet-phrase-city-danang-place-ba-na-hills,city-danang-place-ba-na-hills,REVIEW_ONLY,REVIEW_ONLY,REFERENCE_RENDERER_NO_IMPORT,viet-phrase-city-danang-place-ba-na-hills,5,"{""renderer"":""article-listing"",""hero"":""page_specific_hero_image"",""presentations"":""at-glance:plain-text|quick-say:phrase-list|journey-flow:phrase-list|key-phrases:phrase-list|breakdown:breakdown-strip|good-to-know:tip-callout|explore-next:phrase-list""}","{""template_profile"":""journey-flow-place-reference"",""section_order"":[""at-glance"",""quick-say"",""journey-flow"",""key-phrases"",""breakdown"",""good-to-know"",""explore-next""],""suppressed_sections"":[],""standard_row_pattern"":""speaker_left|phrase_text|english_subtitle|chevron_right"",""audio_controls"":""audio_output_only_no_microphone_no_try_saying"",""hide_or_deemphasize_missing_audio"":true,""bottom_safe_area_padding_required"":true,""page_behavior"":""journey_flow_before_generic_sections""}",Make renderer deterministic and aligned with existing speaker-left/chevron-right app pattern.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REN-006,viet-phrase-city-danang-place-dragon-bridge,city-danang-place-dragon-bridge,REVIEW_ONLY,REVIEW_ONLY,UPSERT_RENDERER_DIRECTIVE_REVIEW_ONLY,viet-phrase-city-danang-place-dragon-bridge,6,"{""renderer"":""article-listing"",""hero"":""default_language_masthead"",""presentations"":""at-glance:plain-text|quick-say:phrase-list|breakdown:breakdown-strip|place-brief:phrase-list|use-it-with:phrase-list|when-to-use:plain-text|good-to-know:tip-callout|explore-next:phrase-list""}","{""template_profile"":""place-navigation-and-recovery"",""section_order"":[""at-glance"",""quick-say"",""breakdown"",""place-brief"",""use-it-with"",""when-to-use"",""good-to-know"",""explore-next""],""suppressed_sections"":[],""standard_row_pattern"":""speaker_left|phrase_text|english_subtitle|chevron_right"",""audio_controls"":""audio_output_only_no_microphone_no_try_saying"",""hide_or_deemphasize_missing_audio"":true,""bottom_safe_area_padding_required"":true}",Make renderer deterministic and aligned with existing speaker-left/chevron-right app pattern.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REN-007,viet-phrase-city-danang-place-marble-mountains,city-danang-place-marble-mountains,REVIEW_ONLY,REVIEW_ONLY,UPSERT_RENDERER_DIRECTIVE_REVIEW_ONLY,viet-phrase-city-danang-place-marble-mountains,7,"{""renderer"":""article-listing"",""hero"":""default_language_masthead"",""presentations"":""at-glance:plain-text|quick-say:phrase-list|breakdown:breakdown-strip|place-brief:phrase-list|use-it-with:phrase-list|when-to-use:plain-text|journey-flow:plain-text|key-phrases:phrase-list|good-to-know:tip-callout|explore-next:phrase-list""}","{""template_profile"":""place-journey-flow"",""section_order"":[""at-glance"",""quick-say"",""journey-flow"",""key-phrases"",""breakdown"",""place-brief"",""use-it-with"",""when-to-use"",""good-to-know"",""explore-next""],""suppressed_sections"":[],""standard_row_pattern"":""speaker_left|phrase_text|english_subtitle|chevron_right"",""audio_controls"":""audio_output_only_no_microphone_no_try_saying"",""hide_or_deemphasize_missing_audio"":true,""bottom_safe_area_padding_required"":true,""page_behavior"":""journey_flow_before_generic_sections""}",Make renderer deterministic and aligned with existing speaker-left/chevron-right app pattern.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REN-008,viet-phrase-city-danang-place-son-tra,city-danang-place-son-tra,REVIEW_ONLY,REVIEW_ONLY,UPSERT_RENDERER_DIRECTIVE_REVIEW_ONLY,viet-phrase-city-danang-place-son-tra,8,"{""renderer"":""article-listing"",""hero"":""default_language_masthead"",""presentations"":""at-glance:plain-text|quick-say:phrase-list|breakdown:breakdown-strip|place-brief:phrase-list|use-it-with:phrase-list|when-to-use:plain-text|good-to-know:tip-callout|explore-next:phrase-list""}","{""template_profile"":""place-navigation-and-recovery"",""section_order"":[""at-glance"",""quick-say"",""breakdown"",""place-brief"",""use-it-with"",""when-to-use"",""good-to-know"",""explore-next""],""suppressed_sections"":[],""standard_row_pattern"":""speaker_left|phrase_text|english_subtitle|chevron_right"",""audio_controls"":""audio_output_only_no_microphone_no_try_saying"",""hide_or_deemphasize_missing_audio"":true,""bottom_safe_area_padding_required"":true}",Make renderer deterministic and aligned with existing speaker-left/chevron-right app pattern.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REN-009,viet-phrase-city-danang-place-bach-dang-street,city-danang-place-bach-dang-street,REVIEW_ONLY,REVIEW_ONLY,UPSERT_RENDERER_DIRECTIVE_REVIEW_ONLY,viet-phrase-city-danang-place-bach-dang-street,9,"{""renderer"":""article-listing"",""hero"":""default_language_masthead"",""presentations"":""at-glance:plain-text|quick-say:phrase-list|breakdown:breakdown-strip|place-brief:phrase-list|use-it-with:phrase-list|when-to-use:plain-text|show-driver:phrase-list|confirm:phrase-list|drop-off:phrase-list|good-to-know:tip-callout|explore-next:phrase-list""}","{""template_profile"":""street-pronouncer"",""section_order"":[""at-glance"",""quick-say"",""breakdown"",""show-driver"",""confirm"",""drop-off"",""good-to-know"",""explore-next"",""place-brief"",""use-it-with"",""when-to-use""],""suppressed_sections"":[],""standard_row_pattern"":""speaker_left|phrase_text|english_subtitle|chevron_right"",""audio_controls"":""audio_output_only_no_microphone_no_try_saying"",""hide_or_deemphasize_missing_audio"":true,""bottom_safe_area_padding_required"":true,""page_behavior"":""street_audio_first_driver_rows""}",Make renderer deterministic and aligned with existing speaker-left/chevron-right app pattern.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REN-010,viet-phrase-city-danang-place-nguyen-van-linh-street,city-danang-place-nguyen-van-linh-street,REVIEW_ONLY,REVIEW_ONLY,UPSERT_RENDERER_DIRECTIVE_REVIEW_ONLY,viet-phrase-city-danang-place-nguyen-van-linh-street,10,"{""renderer"":""article-listing"",""hero"":""default_language_masthead"",""presentations"":""at-glance:plain-text|quick-say:phrase-list|breakdown:breakdown-strip|place-brief:phrase-list|use-it-with:phrase-list|when-to-use:plain-text|show-driver:phrase-list|confirm:phrase-list|wrong-place:phrase-list|good-to-know:tip-callout|explore-next:phrase-list""}","{""template_profile"":""street-pronouncer"",""section_order"":[""at-glance"",""quick-say"",""breakdown"",""show-driver"",""confirm"",""wrong-place"",""good-to-know"",""explore-next"",""place-brief"",""use-it-with"",""when-to-use""],""suppressed_sections"":[],""standard_row_pattern"":""speaker_left|phrase_text|english_subtitle|chevron_right"",""audio_controls"":""audio_output_only_no_microphone_no_try_saying"",""hide_or_deemphasize_missing_audio"":true,""bottom_safe_area_padding_required"":true,""page_behavior"":""street_audio_first_driver_rows""}",Make renderer deterministic and aligned with existing speaker-left/chevron-right app pattern.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
