"normalized_text","expected_text","usage_count","suggested_audio_key","source_page_ids","source_sections","surface_types"
"ăn gần anăn sài gòn","Ăn gần Anăn Sài Gòn","1","audio-authored-an-gan-anan-sai-gon-31374474ed","viet-family-city-hcmc-atm-anan-saigon","when-to-use","phrase"
"ăn gần bà nà hills","Ăn gần Bà Nà Hills","1","audio-authored-an-gan-ba-na-hills-86509d6c32","viet-family-city-danang-atm-ba-na-hills","when-to-use","phrase"
"ăn gần bảo tàng điêu khắc chăm","Ăn gần Bảo tàng Điêu khắc Chăm","1","audio-authored-an-gan-bao-tang-dieu-khac-cham-78ca39b439","viet-family-city-danang-atm-cham-museum","when-to-use","phrase"
"ăn gần bến bạch đằng","Ăn gần Bến Bạch Đằng","1","audio-authored-an-gan-ben-bach-dang-7a3611cec8","viet-family-city-hcmc-atm-bach-dang-wharf","when-to-use","phrase"
"ăn gần biển an bàng","Ăn gần Biển An Bàng","1","audio-authored-an-gan-bien-an-bang-6d99e60f99","viet-family-city-hoian-atm-an-bang-beach","when-to-use","phrase"
"ăn gần bún bò huế","Ăn gần Bún bò Huế","1","audio-authored-an-gan-bun-bo-hue-d3d841ac44","viet-family-city-hue-atm-bun-bo-city","when-to-use","phrase"
"ăn gần bún bò ở chợ đông ba","Ăn gần Bún bò ở chợ Đông Ba","1","audio-authored-an-gan-bun-bo-o-cho-dong-ba-4f19bbe03d","viet-family-city-hue-atm-dong-ba-bun-bo","when-to-use","phrase"
"ăn gần bún chả hương liên","Ăn gần Bún chả Hương Liên","1","audio-authored-an-gan-bun-cha-huong-lien-909f0770bc","viet-family-city-hanoi-atm-bun-cha-huong-lien","when-to-use","phrase"
"ăn gần bưu điện thành phố","Ăn gần Bưu điện Thành phố","1","audio-authored-an-gan-buu-dien-thanh-pho-aa67f2225e","viet-family-city-hcmc-atm-central-post-office","when-to-use","phrase"
"ăn gần cầu rồng","Ăn gần Cầu Rồng","1","audio-authored-an-gan-cau-rong-cb688f67ca","viet-family-city-danang-atm-dragon-bridge","when-to-use","phrase"
"ăn gần cầu vàng","Ăn gần Cầu Vàng","1","audio-authored-an-gan-cau-vang-96507e2240","viet-family-city-danang-atm-golden-bridge","when-to-use","phrase"
"ăn gần chả cá thăng long","Ăn gần Chả cá Thăng Long","1","audio-authored-an-gan-cha-ca-thang-long-fcd5629cf7","viet-family-city-hanoi-atm-cha-ca-thang-long","when-to-use","phrase"
"ăn gần chợ an cựu","Ăn gần Chợ An Cựu","1","audio-authored-an-gan-cho-an-cuu-fe0ed70903","viet-family-city-hue-atm-an-cuu-market","when-to-use","phrase"
