phrase_id,scenario_id,audio_key,english_text,target_text,pronunciation,context,emoji,notes,status
spanish-coffee-shop-1,coffee-shop,spanish-coffee-shop-1,One iced milk coffee please,Un cafÃ© con leche con hielo por favor.,oon kah-FEH kohn LEH-cheh kohn YEH-loh por fah-BOR,Use this for a standard iced coffee order.,â˜•,second-pass utility draft for a common Spain cafe order using cafÃ© con leche con hielo,drafted
spanish-coffee-shop-2,coffee-shop,spanish-coffee-shop-2,I would like an iced black coffee,Quisiera un cafÃ© solo con hielo.,kee-SYEH-rah oon kah-FEH SOH-loh kohn YEH-loh,Use this when you want coffee without milk.,ðŸ¥¤,second-pass utility draft for iced black coffee using Spain cafÃ© solo wording,drafted
spanish-coffee-shop-3,coffee-shop,spanish-coffee-shop-3,I would like an iced latte,Quisiera un latte con hielo.,kee-SYEH-rah oon LAH-teh kohn YEH-loh,Useful when ordering a familiar milk coffee drink.,ðŸ¥›,second-pass utility draft for a simple iced latte request,drafted
spanish-coffee-shop-4,coffee-shop,spanish-coffee-shop-4,Just a little ice,Con poco hielo por favor.,kohn POH-koh YEH-loh por fah-BOR,Add this when you want less ice in your drink.,ðŸ§Š,second-pass utility draft for light-ice customization at a cafe or bar,drafted
spanish-coffee-shop-5,coffee-shop,spanish-coffee-shop-5,No sugar please,Sin azÃºcar por favor.,seen ah-SOO-kar por fah-BOR,Use this to keep your drink less sweet at a cafe or bar.,ðŸš«,first-wave promoted core cafe customization,first-wave-promoted-core
spanish-coffee-shop-6,coffee-shop,spanish-coffee-shop-6,For takeaway,Para llevar.,PAH-rah yeh-BAR,Say this when you want takeaway instead of staying.,ðŸ¥¤,first-wave promoted core takeaway wording,first-wave-promoted-core
spanish-coffee-shop-7,coffee-shop,spanish-coffee-shop-7,The bill please,La cuenta por favor.,lah KWEN-tah por fah-BOR,Use this when you are ready to ask for the bill at a cafe or bar.,ðŸ’µ,first-wave promoted core Spain-natural bill request,first-wave-promoted-core
spanish-street-food-1,street-food,spanish-street-food-1,One portion please,Una raciÃ³n por favor.,OO-nah rah-SYON por fah-BOR,Use this for a simple food order at a bar or casual restaurant while pointing.,ðŸ½ï¸,first-wave promoted core casual dining order phrase,first-wave-promoted-core
spanish-street-food-2,street-food,spanish-street-food-2,I'll have this one,Me quedo con este.,meh KEH-doh kohn EHS-teh,Use this while pointing at the dish or tapa you want at a bar or casual restaurant.,ðŸœ,rewritten from bowl-specific scaffold toward a Spain-fit casual-ordering choice,rewritten-and-drafted
spanish-street-food-3,street-food,spanish-street-food-3,Not spicy please,Sin picante por favor.,seen pee-KAHN-teh por fah-BOR,Say this before the food is prepared if you want mild food.,ðŸŒ¶ï¸,residual-tail draft for mild-food requests when the dish may have heat,drafted
