"page_id","phrase_id","source_lane","pageKind","section_id","section_key","sort_order","current_section_title","current_section_body","current_presentation","generated_section_source_path","source_path","proposed_section_title","proposed_section_body","proposed_presentation","reviewer_notes","review_status","import_approval","approved_by","approved_at"
"viet-phrase-acknowledge-co","acknowledge-co","catalog-promoted","phrase","viet-phrase-acknowledge-co:at-glance","at-glance","0","At a glance","Có is a practical polite basics phrase for keeping one travel detail clear. Use it when Yes / there is is the next detail to solve and a short answer would move the exchange forward.","plain-text","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-co","acknowledge-co","catalog-promoted","phrase","viet-phrase-acknowledge-co:standard-way","standard-way","1","The standard way","Use Có when the simple answer is yes and the question is about availability, presence, or permission.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-co","acknowledge-co","catalog-promoted","phrase","viet-phrase-acknowledge-co:breakdown","breakdown","2","Break it down","Read the cards left to right: first catch the request shape, then the place, item, action, or time detail, and finally the complete phrase.","breakdown-strip","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-co","acknowledge-co","catalog-promoted","phrase","viet-phrase-acknowledge-co:answer-contrast","answer-contrast","4","Answer contrast","These short answers are close, but each one solves a different listening problem.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-co","acknowledge-co","catalog-promoted","phrase","viet-phrase-acknowledge-co:when-to-use","when-to-use","5","When to use it","Use this in a real polite basics exchange when yes / there is is the detail you need resolved. The likely reply is a yes/no answer, point, number, or short follow-up, so keep the phrase short and ready for one follow-up.","plain-text","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-co","acknowledge-co","catalog-promoted","phrase","viet-phrase-acknowledge-co:good-to-know","good-to-know","6","Good to know","A calm tone matters as much as the words. Short polite phrases keep the exchange warm without forcing a long conversation.","tip-callout","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-co","acknowledge-co","catalog-promoted","phrase","viet-phrase-acknowledge-co:explore-next","explore-next","7","Explore next","Go next to phrases that help you confirm, answer, or continue after Có.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-anh:at-glance","at-glance","0","At a glance","Dạ, chào anh is a practical polite basics phrase for keeping one travel detail clear. Use it when Respectful hello to an older man is the next detail to solve and a short answer would move the exchange forward.","plain-text","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-anh:standard-way","standard-way","1","The standard way","Say it as one smooth greeting at the start of a counter, ride, hotel, cafe, or help moment.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-anh:breakdown","breakdown","2","Break it down","Read the cards left to right: first catch the request shape, then the place, item, action, or time detail, and finally the complete phrase.","breakdown-strip","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-anh:relationship-words","relationship-words","3","Relationship words","Vietnamese often uses a relationship word where English uses one all-purpose you. Use these when the person's age or role is clear; if you are unsure, keep the main phrase simple and friendly.","relationship-shelf","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-anh:relationship-swaps","relationship-swaps","4","Relationship swaps","Keep Dạ, chào and change the relationship word when the person changes.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-anh:when-to-use","when-to-use","5","When to use it","Use this in a real polite basics exchange when respectful hello to an older man is the detail you need resolved. The likely reply is a yes/no answer, point, number, or short follow-up, so keep the phrase short and ready for one follow-up.","plain-text","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","","","","","not_started","","",""
