page_id,city_id,city_name,vietnamese_name,english_name,place_kind,source_file,current_status,claim_status,batch_id,owner_session,draft_doc_url,jojo_voice_review,import_approval,codex_import_status,last_updated,source_notes,target_hero_image,legacy_summary,legacy_context,legacy_sections_compact,notes
city-danang-place-3d-art-in-paradise,danang,Da Nang,Bảo tàng 3D Art in Paradise Đà Nẵng,3D Art in Paradise Da Nang,museum,content-draft/viet/city-library/handwritten-copy/danang.json,production_validated,complete,batch_001,chatgpt-project-codex,https://docs.google.com/document/d/1v941nwLRgxOfhTbm3B5oDmw_00GknzOHB576GmJow5c,approved,approved_for_import,production_validated,2026-05-25,Da Nang Fantasticity; venue source.,HeroCityDanangPlace3dArtInParadise,"3D Art in Paradise Da Nang is a playful indoor stop where painted rooms turn into illusions: oversized scenes, forced perspective, bright walls, and friends stepping into the artwork.","3D Art in Paradise adds a playful indoor Da Nang stop through painted rooms, forced perspective, bright walls, and friends stepping into the scene.","Why go: This is Da Nang in a light, rainy-day mood: a place for optical illusions, funny photos, and a break from beaches, bridges, and outdoor sightseeing. | What you'll get: 3D Art in Paradise matters because it adds a playful, camera-ready side to Da Nang, especially for families or visitors who want a low-pressure indoor pause. | Say it locally: Say Bảo tàng 3D Art in Paradise Đà Nẵng for 3D Art in Paradise Da Nang. It is a long venue name, so keep it together and connect it to the painted optical-illusion rooms. | Worth it if: Worth it if you want playful time, indoor cooling-off, friends posing in painted rooms, and a break between outdoor Da Nang plans. | Before you go: Bảo tàng 3D Art in Paradise Đà Nẵng belongs beside painted rooms, optical illusions, and the easy fun of a camera-ready indoor pause. Picture playful optical-illusion gallery wall, optical-illusion gallery rooms.",Legacy city-v1 handwritten source; needs v2.2 authoring before production.
city-danang-place-43-factory,danang,Da Nang,43 Factory Coffee Roaster,43 Factory Coffee Roaster,cafe,content-draft/viet/city-library/handwritten-copy/danang.json,needs_jojo_voice_review,draft_received,batch_002,chatgpt-project,https://docs.google.com/document/d/11cYGu1I6W2BjKcVh_17SE3bsHXaQklhxxPAkYI6WOXA,pending,not_approved,not_imported,2026-05-25,Venue and local cafe sources.,HeroCityDanangPlace43Factory,"43 Factory shows Da Nang's polished specialty-coffee side: clean roasts, bright interiors, and a slower beach-area pause between seafood, hotels, and river routes.","For 43 Factory Coffee Roaster, Da Nang's cafe story comes through design details, soft pauses, cafe views, and coffee counters, alongside bridge-and-beach Da Nang.","Why go: This is Da Nang's contemporary cafe scene in a sharp, design-forward setting: specialty roasts, tropical plants, polished counters, and a quiet pause near the beach side of the city. | What you'll get: 43 Factory matters because Da Nang is not only beaches and bridges, it also has a modern coffee culture that feels calm, stylish, and very present-day. | Say it locally: 43 Factory Coffee Roaster usually stays as the venue name. Say it slowly and connect it to the scene around it: soft pauses, cafe views, coffee counters, and iced glasses, alongside bridge-and-beach Da Nang. | Worth it if: Worth it if the trip needs a slower pause between walks, markets, meals, or heat: street stools, design details, soft pauses, and cafe views, alongside bridge-and-beach Da Nang. | Before you go: 43 Factory Coffee Roaster works best when the name is tied to the reason for going, not memorized as an abstract label. Picture modern specialty coffee bar and tropical plants with coffee counters, iced glasses, street stools, and design details, alongside bridge-and-beach Da Nang.",Legacy city-v1 handwritten source; needs v2.2 authoring before production.
city-danang-place-airport,danang,Da Nang,Sân bay Đà Nẵng,Da Nang Airport,airport,content-draft/viet/city-library/handwritten-copy/danang.json,needs_jojo_voice_review,draft_captured,batch_003,https://chatgpt.com/g/g-p-6a13d31fe8308191a4fc612012775595-speaklocal-city-pages-v2-2-copy/c/6a149721-330c-83ea-bdd0-51c12ff8e30d,,pending,not_approved,not_imported,2026-05-26,City library; Vietnam Tourism Da Nang.,HeroCityDanangPlaceAirport,"Da Nang Airport is worth recognizing because it is where the planned trip first becomes Da Nang. Expect arrival hall doors, warm air, local signs, and the first road into the city.","For Da Nang Airport, Da Nang's arrival story comes through arrival doors, city signs, warm air, and first roads, alongside coastal Da Nang.","Why go: Da Nang Airport is worth recognizing before arrival because it is where the trip first turns from plan into Vietnam: warm air, first roads, waiting halls, and the first local name, alongside coastal Da Nang. | What you'll get: At Da Nang Airport, you get the arrival threshold where bags, signs, and the first ride make Vietnam feel immediate: arrival hall doors, warm air, local signs, and the first road into the city, with arrival doors, city signs, warm air, and first roads, alongside coastal Da Nang. | Say it locally: Say Sân bay Đà Nẵng for Da Nang Airport. The local name is easier to remember once it sits beside city signs, warm air, first roads, and waiting halls, alongside coastal Da Nang. | Worth it if: Worth it if Da Nang Airport gives your itinerary a clearer image: the first local name, arrival doors, city signs, and warm air, alongside coastal Da Nang. | Before you go: Da Nang Airport works best when the name is tied to the reason for going, not memorized as an abstract label. Picture arrival hall doors, warm air, local signs, and the first road into the city with city signs, warm air, first roads, and waiting halls, alongside coastal Da Nang.",Legacy city-v1 handwritten source; needs v2.2 authoring before production.
city-danang-place-an-thuong-street-area,danang,Da Nang,Khu An Thượng,An Thuong Area,neighborhood,content-draft/viet/city-library/handwritten-copy/danang.json,needs_jojo_voice_review,draft_captured,batch_003,https://chatgpt.com/g/g-p-6a13d31fe8308191a4fc612012775595-speaklocal-city-pages-v2-2-copy/c/6a149721-330c-83ea-bdd0-51c12ff8e30d,,pending,not_approved,not_imported,2026-05-26,Da Nang Fantasticity; local map.,HeroCityDanangPlaceAnThuongStreetArea,"An Thuong Area is worth recognizing because neighborhoods turn Da Nang from landmarks into lived-in areas. Expect narrow cafe street near the beach with shopfront texture, evening lanterns.","For An Thuong Area, Da Nang's neighborhood story comes through cafes, lanes, small shops, and hotel edges, alongside central-Vietnam beach rhythm.","Why go: An Thuong Area is worth recognizing because neighborhoods give hotels, cafes, shops, and evening walks a real identity: small shops, hotel edges, evening walks, and neighborhood identity, alongside central-Vietnam beach rhythm. | What you'll get: At An Thuong Area, you get the area identity behind cafes, streets, hotels, shops, and evening rhythm: narrow cafe street near the beach with shopfront texture, evening lanterns, with evening walks, neighborhood identity, cafes, and lanes, alongside central-Vietnam beach rhythm. | Say it locally: Say Khu An Thượng for An Thuong Area. The local name is easier to remember once it sits beside neighborhood identity, cafes, lanes, and small shops, alongside central-Vietnam beach rhythm. | Worth it if: Worth it if you want the city to feel like lived-in areas, not only landmarks: neighborhood identity, cafes, lanes, and small shops, alongside central-Vietnam beach rhythm. | Before you go: An Thuong Area works best when the name is tied to the reason for going, not memorized as an abstract label. Picture narrow cafe street near the beach with shopfront texture, evening lanterns with hotel edges, evening walks, neighborhood identity, and cafes, alongside central-Vietnam beach rhythm.",Legacy city-v1 handwritten source; needs v2.2 authoring before production.
city-danang-place-apec-park,danang,Da Nang,Công viên APEC,APEC Park,park,content-draft/viet/city-library/handwritten-copy/danang.json,needs_jojo_voice_review,draft_captured,batch_003,https://chatgpt.com/g/g-p-6a13d31fe8308191a4fc612012775595-speaklocal-city-pages-v2-2-copy/c/6a149721-330c-83ea-bdd0-51c12ff8e30d,,pending,not_approved,not_imported,2026-05-26,City library; Da Nang Fantasticity.,HeroCityDanangPlaceApecPark,"APEC Park is worth knowing in Da Nang because it brings everyday city life in open air without a formal attraction into the trip. Expect riverside public park with curving riverside canopy and open walkway, afternoon.","For APEC Park, Da Nang's park story comes through evening light, walking paths, trees, and family time, alongside Han River light.","Why go: APEC Park is worth knowing because it gives Da Nang a specific park scene: shade, open lawns, evening light, and walking paths, alongside Han River light. | What you'll get: At APEC Park, you get everyday city life in open air without a formal attraction: riverside public park with curving riverside canopy and open walkway, afternoon, with shade, open lawns, evening light, and walking paths, alongside Han River light. | Say it locally: Say Công viên APEC for APEC Park. The local name is easier to remember once it sits beside family time, shade, open lawns, and evening light, alongside Han River light. | Worth it if: Worth it if APEC Park gives your itinerary a clearer image: walking paths, trees, family time, and shade, alongside Han River light. | Before you go: APEC Park works best when the name is tied to the reason for going, not memorized as an abstract label. Picture riverside public park with curving riverside canopy and open walkway, afternoon with walking paths, trees, family time, and shade, alongside Han River light.",Legacy city-v1 handwritten source; needs v2.2 authoring before production.
city-danang-place-asia-park,danang,Da Nang,Công viên Châu Á,Asia Park,park,content-draft/viet/city-library/handwritten-copy/danang.json,needs_jojo_voice_review,draft_captured,batch_003,https://chatgpt.com/g/g-p-6a13d31fe8308191a4fc612012775595-speaklocal-city-pages-v2-2-copy/c/6a149721-330c-83ea-bdd0-51c12ff8e30d,,pending,not_approved,not_imported,2026-05-26,City library; Da Nang Fantasticity.,HeroCityDanangPlaceAsiaPark,"Asia Park is Da Nang after dark: neon rides, food stalls, families walking under bright lights, and the Sun Wheel rising over the skyline. It shows the city's modern leisure side beside the beaches and bridges.","For Asia Park, Da Nang's park story comes through walking paths, trees, family time, and shade, alongside Han River light.","Why go: This is Da Nang in a playful night-out mood: a Ferris wheel glow, open paths, snacks, rides, and families stretching the evening along the river side of the city. | What you'll get: Asia Park matters because it shows modern coastal Vietnam, where leisure, skyline, and family nightlife sit beside the older temple, market, and beach images visitors may already know. | Say it locally: Say Công viên Châu Á for Asia Park. The local name is easier to remember once it sits beside trees, family time, shade, and open lawns, alongside Han River light. | Worth it if: Worth it if Asia Park gives your itinerary a clearer image: evening light, walking paths, trees, and family time, alongside Han River light. | Before you go: Asia Park works best when the name is tied to the reason for going, not memorized as an abstract label. Picture amusement park skyline with ferris wheel glow at dusk with shade, open lawns, evening light, and walking paths, alongside Han River light.",Legacy city-v1 handwritten source; needs v2.2 authoring before production.
city-danang-place-ba-na-cable-car,danang,Da Nang,Cáp treo Bà Nà,Ba Na cable car,experience,content-draft/viet/city-library/handwritten-copy/danang.json,needs_jojo_voice_review,draft_captured,batch_003,https://chatgpt.com/g/g-p-6a13d31fe8308191a4fc612012775595-speaklocal-city-pages-v2-2-copy/c/6a149721-330c-83ea-bdd0-51c12ff8e30d,,pending,not_approved,not_imported,2026-05-26,Vietnam Tourism Da Nang; Da Nang Fantasticity.,HeroCityDanangPlaceBaNaCableCar,"Ba Na cable car is worth knowing in Da Nang because it brings taking part in the place through movement, sound, scenery, and local texture into the trip. Expect cable car cabin over dense forest and mist.","For Ba Na cable car, Da Nang's experience story comes through central-Vietnam day trips, beaches, bridges, and markets.","Why go: Ba Na cable car is worth knowing because it gives Da Nang a specific experience scene: central-Vietnam day trips, beaches, bridges, and markets. | What you'll get: At Ba Na cable car, you get taking part in the place through movement, sound, scenery, and local texture: cable car cabin over dense forest and mist, with mountain roads, seafood stops, central-Vietnam day trips, and beaches. | Say it locally: Say Cáp treo Bà Nà for Ba Na cable car. The local name is easier to remember once it sits beside beaches, bridges, markets, and mountain roads. | Worth it if: Worth it if Ba Na cable car gives your itinerary a clearer image: seafood stops, central-Vietnam day trips, beaches, and bridges. | Before you go: Ba Na cable car works best when the name is tied to the reason for going, not memorized as an abstract label. Picture cable car cabin over dense forest and mist with markets, mountain roads, seafood stops, and central-Vietnam day trips.",Legacy city-v1 handwritten source; needs v2.2 authoring before production.
city-danang-place-ba-na-hills,danang,Da Nang,Bà Nà Hills,Ba Na Hills,landmark,content-draft/viet/city-library/handwritten-copy/danang.json,needs_jojo_voice_review,draft_received,batch_004,https://chatgpt.com/g/g-p-6a13d31fe8308191a4fc612012775595-speaklocal-city-pages-v2-2-copy/c/6a148443-2be4-83ea-9192-44dc66fc6588,,pending,not_approved,not_imported,2026-05-26,City library; Vietnam Tourism Da Nang; Da Nang Fantasticity.,HeroCityDanangPlaceBaNaHills,"Ba Na Hills is a mountain theme park, not just the Golden Bridge: cable cars, cooler air, replica French streets, gardens, indoor rides, crowds, and weather risk above Đà Nẵng.","Ba Na Hills works when the day is planned as a full mountain outing, with weather, tickets, cable-car timing, and crowd expectations handled before leaving the city.","Know You Are Choosing A Theme Park: Ba Na Hills is a mountain theme park, not just a quiet Golden Bridge viewpoint. Expect cable cars, replica French streets, gardens, rides, crowds, and weather risk. | Useful Phrases:  | Cooler Air, Bigger Production: The cable car gives the real arrival: forest below, cooler air above, and a full resort complex instead of a quiet lookout. Clear weather can make the scale feel cinematic. | Bridge Before The Crowd: If the Golden Bridge matters, go early and do it before the rest of the park. After that, decide how much French Village, gardens, rides, or food you actually want. | Early, With Weather Checked: Morning is the least painful crowd strategy. Fog or rain can turn the famous view into an expensive cloud walk, so the forecast matters before the ride west.",Legacy city-v1 handwritten source; needs v2.2 authoring before production.
city-danang-place-bac-my-an-market,danang,Da Nang,Chợ Bắc Mỹ An,Bac My An Market,market,content-draft/viet/city-library/handwritten-copy/danang.json,needs_jojo_voice_review,draft_received,batch_004,https://chatgpt.com/g/g-p-6a13d31fe8308191a4fc612012775595-speaklocal-city-pages-v2-2-copy/c/6a148443-2be4-83ea-9192-44dc66fc6588,,pending,not_approved,not_imported,2026-05-26,Local map.,HeroCityDanangPlaceBacMyAnMarket,"Bắc Mỹ An Market is a smaller beach-side Đà Nẵng snack stop where kem bơ, small portions, cash, pointing, and spice questions matter more than souvenir browsing.","Bắc Mỹ An makes sense near Mỹ An or Mỹ Khê, when a lower-pressure bite makes more sense than a full cross-city market mission.","Start With Kem Bơ, Then Decide: Bắc Mỹ An Market is a small snack stop near the Mỹ An side of Đà Nẵng. Start with kem bơ, then decide whether one hot snack is enough. | Small Market, Small Orders: This is not the place to decode every stall. Point politely, ask what something is, check spice, and keep the first order small. | Useful Phrases:  | Beach-Side Snack Stop: The market is still worth it when you are already near Mỹ An, Mỹ Khê, or the beach side of the city. It does not need to become a cross-city mission. | Not Hàn Or Cồn: Hàn is better for central bearings and gifts; Cồn is stronger for a food crawl. Bắc Mỹ An is narrower, and that is the point.",Legacy city-v1 handwritten source; needs v2.2 authoring before production.
city-danang-place-bach-dang-street,danang,Da Nang,Đường Bạch Đằng,Bach Dang Street,street,content-draft/viet/city-library/handwritten-copy/danang.json,needs_jojo_voice_review,draft_received,batch_004,https://chatgpt.com/g/g-p-6a13d31fe8308191a4fc612012775595-speaklocal-city-pages-v2-2-copy/c/6a148443-2be4-83ea-9192-44dc66fc6588,,pending,not_approved,not_imported,2026-05-26,City library; Vietnam Tourism/Da Nang sources.,HeroCityDanangPlaceBachDangStreet,"Bach Dang Street is Da Nang's riverfront spine: bridges, promenade walks, cafes, hotels, and Han River lights all make more sense from this edge of the city.","For Bach Dang Street, Da Nang's street story comes through street signs, shopfronts, scooters, and crossings, alongside central-Vietnam beach rhythm.","Why go: Bach Dang Street is worth recognizing because streets shape how Da Nang feels on the ground: street signs, shopfronts, scooters, and crossings, alongside central-Vietnam beach rhythm. | What you'll get: At Bach Dang Street, you get a named street scene of trees, shopfronts, crossings, cafes, and neighborhood movement: riverside promenade with street trees and city buildings, late afternoon, with cafe edges, neighborhood movement, street signs, and shopfronts, alongside central-Vietnam beach rhythm. | Say it locally: Say Đường Bạch Đằng for Bach Dang Street. The local name is easier to remember once it sits beside shopfronts, scooters, crossings, and cafe edges, alongside central-Vietnam beach rhythm. | Worth it if: Worth it if the street helps you understand the neighborhood before you are there: neighborhood movement, street signs, shopfronts, and scooters, alongside central-Vietnam beach rhythm. | Before you go: Bach Dang Street works best when the name is tied to the reason for going, not memorized as an abstract label. Picture riverside promenade with street trees and city buildings, late afternoon with crossings, cafe edges, neighborhood movement, and street signs, alongside central-Vietnam beach rhythm.",Legacy city-v1 handwritten source; needs v2.2 authoring before production.
