rank,scenarioID,scenarioTitle,familyID,pageID,title,english,coverage,resourceFound,tierRole,depth,sectionCount,hasBreakdown,hasPhraseRows,hasGoodToKnow,practiceEligible,practiceKind,audioState,buildoutScore,buildoutBand
1,polite-basics,Polite Basics,polite-hello,viet-polite-hello,Xin chào,Hello,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,greeting_choice_mini_flow,manifest-ready,100,xin-chao-like
2,polite-basics,Polite Basics,polite-thank-you,viet-thank-you,Cảm ơn,Thank you,authored-resource,yes,tier1,deep,6,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
3,polite-basics,Polite Basics,polite-acknowledge,viet-acknowledge-da,Dạ,Yes / polite acknowledgment,authored-resource,yes,catalog-promoted,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
4,polite-basics,Polite Basics,polite-no-thanks,viet-thanks-khong-cam-on,"Không, cảm ơn","No, thank you",authored-resource,yes,catalog-promoted,deep,5,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
5,polite-basics,Polite Basics,polite-excuse-me,viet-excuse-sorry,Xin lỗi,Excuse me / sorry,authored-resource,yes,tier1,deep,5,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
6,polite-basics,Polite Basics,polite-its-okay,viet-family-polite-its-okay,Không sao đâu,It’s okay,authored-resource,yes,tier1,deep,5,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
7,polite-basics,Polite Basics,polite-goodbye,viet-goodbye,Tạm biệt,Goodbye,authored-resource,yes,tier1,deep,5,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
8,understanding-repair,When You Don't Understand,repair-understand,viet-family-repair-understand,Tôi không hiểu,I don’t understand,authored-resource,yes,tier1,deep,5,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
9,understanding-repair,When You Don't Understand,repair-slower,viet-family-repair-slower,Nói chậm chút được không?,Can you speak a little slower?,authored-resource,yes,tier1,deep,5,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
10,understanding-repair,When You Don't Understand,repair-repeat,viet-family-repair-repeat,Làm ơn nói lại,Please say that again,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
