rank,score,band,pageID,phraseID,familyID,scenarioID,scenarioTitle,vietnamese,english,pronunciation,accessTier,audioState,targetWordCount,englishWordCount,searchAliases,rationale
1,132,homepage-now,viet-excuse-sorry,polite-5,polite-excuse-me,polite-basics,Polite Basics,Xin lỗi,Excuse me / sorry,sin loy,starter,manifest-ready,2,3,excuse me|sorry,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
2,132,homepage-now,viet-polite-hello,polite-1,polite-hello,polite-basics,Polite Basics,Xin chào,Hello,sin chow,starter,manifest-ready,2,1,hello|hi|greetings,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
3,132,homepage-now,viet-thank-you,polite-2,polite-thank-you,polite-basics,Polite Basics,Cảm ơn,Thank you,kahm uhn,starter,manifest-ready,2,2,thank you|thanks,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
4,132,homepage-now,viet-family-repair-understand,problems-2,repair-understand,understanding-repair,When You Don't Understand,Tôi không hiểu,I don’t understand,toy khong hyew,starter,manifest-ready,3,4,i don't understand|dont understand|not understand,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
5,132,homepage-now,viet-family-bathroom-water,bath-5,bathroom-water,bathroom-personal-needs,Bathroom & Personal Needs,Tôi cần nước,I need water,toy gun nook,starter,manifest-ready,3,3,water,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
6,132,homepage-now,viet-family-v500-airp-bord-arri-where-is-the-atm,v500-airp-bord-arri-where-is-the-atm,v500-airp-bord-arri-where-is-the-atm,airport-border-arrival,Airport Border Arrival,ATM ở đâu?,Where is the ATM?,ATM o dau,starter,manifest-ready,3,4,where is the atm?|where is the atm,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
7,126,homepage-now,viet-family-v500-phon-inte-powe-i-need-an-esim,v500-phon-inte-powe-i-need-an-esim,v500-phon-inte-powe-i-need-an-esim,phone-internet-power,"Phone, Internet & Power",Tôi cần một eSIM,I need an eSIM,Toi can mot eSIM,starter,manifest-ready,4,4,i need an esim,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
8,126,homepage-now,viet-family-v500-unde-repa-please-say-it-slowly,v500-unde-repa-please-say-it-slowly,v500-unde-repa-please-say-it-slowly,understanding-repair,When You Don't Understand,Hãy nói từ từ nhé,Please say it slowly,Hay noi tu tu nhe,starter,manifest-ready,5,4,please say it slowly,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
9,126,homepage-now,viet-family-bathroom-where,bath-1,bathroom-where,bathroom-personal-needs,Bathroom & Personal Needs,Nhà vệ sinh ở đâu?,Where is the bathroom?,nya veh sinh uh dow,starter,manifest-ready,5,4,bathroom|toilet|restroom,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
10,124,homepage-now,viet-goodbye,polite-7,polite-goodbye,polite-basics,Polite Basics,Tạm biệt,Goodbye,tahm bee-et,starter,manifest-ready,2,1,goodbye|bye,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
11,124,homepage-now,viet-family-food-to-go,coffee-6,food-to-go,food-drink,Food & Drink,Mang đi,To go,mang dee,starter,manifest-ready,2,2,to go|take away|takeout,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
12,124,homepage-now,viet-family-money-too-expensive,price-3,money-too-expensive,money-numbers-prices,Payment & numbers,Mắc quá,Too expensive,mak gwah,starter,manifest-ready,2,2,too expensive,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
13,124,homepage-now,viet-family-transport-main-destination,taxi-2,transport-main-destination,transport,Transport,Đi quận 1,Go to District 1,dee gwan mot,starter,manifest-ready,3,4,district 1|go to district 1,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
14,124,homepage-now,viet-family-food-vegetarian,food-vegetarian,food-vegetarian,food-drink,Food & Drink,Tôi ăn chay,I am vegetarian,toy an chai,starter,manifest-ready,3,3,vegetarian,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
