"selected_order","batch_role","selection_group","page_id","phrase_id","current_hero_image_name","current_asset_status","current_license_status","desired_asset_type","proposed_asset_policy","proposed_hero_image_name","proposed_license_or_source_note","reviewer_notes","review_status","import_approval"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","","default_app_hero","","durable place/restaurant visual or default if unsourced","","","","","REVIEW_ONLY","REVIEW_ONLY"
"2","active_review","restaurant","viet-phrase-city-hanoi-place-pho-bat-dan","city-hanoi-place-pho-bat-dan","","default_app_hero","","durable place/restaurant visual or default if unsourced","","","","","REVIEW_ONLY","REVIEW_ONLY"
"3","active_review","dish_identity","viet-phrase-city-hoian-place-cao-lau-city","city-hoian-place-cao-lau-city","","default_app_hero","","dish visual only if production-quality and source-safe","","","","","REVIEW_ONLY","REVIEW_ONLY"
"4","active_review","dish","viet-phrase-city-hue-place-bun-bo-city","city-hue-place-bun-bo-city","","default_app_hero","","dish visual only if production-quality and source-safe","","","","","REVIEW_ONLY","REVIEW_ONLY"
"5","reference_completed","journey_place","viet-phrase-city-danang-place-ba-na-hills","city-danang-place-ba-na-hills","HeroBaNaHills","asset_metadata_present","documented in ba-na-hills-journey-v2/hero-image-attribution.md","place-specific visual only if production-quality and source-safe","","","","","REVIEW_ONLY","REVIEW_ONLY"
"6","active_review","place_navigation","viet-phrase-city-danang-place-dragon-bridge","city-danang-place-dragon-bridge","","default_app_hero","","place-specific visual only if production-quality and source-safe","","","","","REVIEW_ONLY","REVIEW_ONLY"
"7","active_review","place_journey","viet-phrase-city-danang-place-marble-mountains","city-danang-place-marble-mountains","","default_app_hero","","place-specific visual only if production-quality and source-safe","","","","","REVIEW_ONLY","REVIEW_ONLY"
"8","active_review","place_navigation","viet-phrase-city-danang-place-son-tra","city-danang-place-son-tra","","default_app_hero","","place-specific visual only if production-quality and source-safe","","","","","REVIEW_ONLY","REVIEW_ONLY"
"9","active_review","street_pronouncer","viet-phrase-city-danang-place-bach-dang-street","city-danang-place-bach-dang-street","","default_app_hero","","place-specific visual only if production-quality and source-safe","","","","","REVIEW_ONLY","REVIEW_ONLY"
"10","active_review","street_pronouncer","viet-phrase-city-danang-place-nguyen-van-linh-street","city-danang-place-nguyen-van-linh-street","","default_app_hero","","place-specific visual only if production-quality and source-safe","","","","","REVIEW_ONLY","REVIEW_ONLY"
"11","active_review","street_pronouncer","viet-phrase-city-danang-place-vo-nguyen-giap-street","city-danang-place-vo-nguyen-giap-street","","default_app_hero","","place-specific visual only if production-quality and source-safe","","","","","REVIEW_ONLY","REVIEW_ONLY"
"12","active_review","route_ticket","viet-phrase-city-danang-go-ba-na-hills","city-danang-go-ba-na-hills","","default_app_hero","","place-specific visual only if production-quality and source-safe","","","","","REVIEW_ONLY","REVIEW_ONLY"
"13","active_review","place_navigation","viet-phrase-city-danang-where-ba-na-hills","city-danang-where-ba-na-hills","","default_app_hero","","place-specific visual only if production-quality and source-safe","","","","","REVIEW_ONLY","REVIEW_ONLY"
"14","active_review","route_ticket","viet-phrase-city-danang-ticket-marble-mountains","city-danang-ticket-marble-mountains","","default_app_hero","","place-specific visual only if production-quality and source-safe","","","","","REVIEW_ONLY","REVIEW_ONLY"
"15","active_review","route_ticket","viet-phrase-city-danang-go-dragon-bridge","city-danang-go-dragon-bridge","","default_app_hero","","place-specific visual only if production-quality and source-safe","","","","","REVIEW_ONLY","REVIEW_ONLY"
"16","active_review","street_driver","viet-phrase-city-danang-near-nguyen-van-linh-street","city-danang-near-nguyen-van-linh-street","","default_app_hero","","place-specific visual only if production-quality and source-safe","","","","","REVIEW_ONLY","REVIEW_ONLY"
"17","active_review","relationship_politeness","viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","","default_app_hero","","","","","","","REVIEW_ONLY","REVIEW_ONLY"
"18","active_review","airport_taxi","viet-phrase-v500-airp-bord-arri-where-is-the-taxi-counter","v500-airp-bord-arri-where-is-the-taxi-counter","","default_app_hero","","","","","","","REVIEW_ONLY","REVIEW_ONLY"
"19","active_review","airport_baggage","viet-phrase-v900-airp-bord-arri-can-you-help-me-track-my-bag","v900-airp-bord-arri-can-you-help-me-track-my-bag","","default_app_hero","","","","","","","REVIEW_ONLY","REVIEW_ONLY"
"20","active_review","hotel_taxi","viet-phrase-hotel-9","hotel-9","","default_app_hero","","","","","","","REVIEW_ONLY","REVIEW_ONLY"
"21","active_review","hotel_taxi","viet-phrase-v900-hote-acco-can-you-arrange-a-taxi-for-me","v900-hote-acco-can-you-arrange-a-taxi-for-me","","default_app_hero","","","","","","","REVIEW_ONLY","REVIEW_ONLY"
"22","active_review","food_allergy","viet-phrase-food-peanut-allergy","food-peanut-allergy","","default_app_hero","","","","","","","REVIEW_ONLY","REVIEW_ONLY"
"23","active_review","food_allergy","viet-phrase-v500-food-drin-i-am-allergic-to-shellfish","v500-food-drin-i-am-allergic-to-shellfish","","default_app_hero","","","","","","","REVIEW_ONLY","REVIEW_ONLY"
"24","active_review","emergency_help","viet-phrase-emergency-hospital","emergency-hospital","","default_app_hero","","","","","","","REVIEW_ONLY","REVIEW_ONLY"
"25","active_review","emergency_passport","viet-phrase-emergency-3","emergency-3","","default_app_hero","","","","","","","REVIEW_ONLY","REVIEW_ONLY"
