rank,scenario_id,phrase_id,english_text,priority_reason,confidence,review_flag,execution_state,final_outcome
1,polite-basics,japanese-polite-basics-5,Excuse me,"Highest-frequency opener for getting attention and opening short requests across stations, shops, and hotels.",high,politeness-review,drafted-in-phrase-source,promote
2,polite-basics,japanese-polite-basics-2,Thank you,"Essential courtesy phrase that supports the lane's polite default and works across nearly every travel exchange.",high,none,drafted-in-phrase-source,promote
3,grab-taxi,japanese-grab-taxi-1,Take me here,"Strong show-screen phrase for taxis and ride pickups where the destination phone screen does most of the work.",high,none,drafted-in-phrase-source,promote
4,asking-price,japanese-asking-price-1,How much is this,"Core purchase and confirmation phrase for shops, stations, counters, and convenience-store decisions.",high,none,drafted-in-phrase-source,promote
5,simple-problems,japanese-simple-problems-2,I do not understand,"Top repair phrase for any fast Japanese reply and a critical pressure-reduction card for first-time travelers.",high,none,drafted-in-phrase-source,promote
6,simple-problems,japanese-simple-problems-3,Can you speak a little slower,"Pairs with the repair layer and makes the Japanese lane more usable before deeper comprehension exists.",high,none,drafted-in-phrase-source,promote
7,hotel-hostel,japanese-hotel-hostel-1,I have a reservation,"High-value front-desk phrase that should be translated early because hotel check-in is a common arrival moment.",high,none,drafted-in-phrase-source,promote
8,hotel-hostel,japanese-hotel-hostel-2,I would like to check in,"Companion to reservation lookup; likely needed even when the booking name alone is not enough.",high,none,drafted-in-phrase-source,promote
9,convenience-store,japanese-convenience-store-6,Can I pay by card,"Japan-specific payment clarity matters across convenience stores, cafes, and smaller counters.",high,none,drafted-in-phrase-source,promote
10,convenience-store,japanese-convenience-store-1,A bottle of water please,"High-frequency purchase that fits convenience stores, kiosks, and stations without extra grammar.",high,none,drafted-in-phrase-source,promote
11,street-food,japanese-street-food-3,Not spicy please,"Useful food-safety comfort phrase for travelers who need a short modification request they can say or show.",medium,food-review,drafted-in-phrase-source,promote
12,directions,japanese-directions-2,Is it near here,"Compact navigation repair phrase that works well with show-screen behavior and follow-up gestures.",high,none,drafted-in-phrase-source,promote
13,directions,japanese-directions-3,How long on foot,"High-value navigation question for station-area routing where walking time matters more than full directions.",medium,none,drafted-in-phrase-source,promote
14,grab-taxi,japanese-grab-taxi-3,You can stop here,"Important ride phrase for drop-off accuracy in dense station and hotel areas.",high,none,drafted-in-phrase-source,promote
15,simple-problems,japanese-simple-problems-7,Please call for me,"Useful escalation phrase when the traveler needs staff help with transport, hotels, or bookings.",medium,none,drafted-in-phrase-source,promote
