severity,pageID,tierRole,englishTitle,sourcePath,sectionID,sourceCount,renderedCount,sourceOnly,renderedOnly,note
UNIQUE_SOURCE_CARD_MISSING,viet-polite-hello,tier1,Hello,content-draft/viet/canonical-pages/tier-one/polite-basics/polite-hello.json,__page_unique__,20,3,17,0,missing unique source cards: polite-1; xin-chao-casual-chao; xin-chao-friend; xin-chao-formal; xin-chao-phone; xin-chao-morning; xin-chao-afternoon; xin-chao-anh
UNIQUE_SOURCE_CARD_MISSING,viet-acknowledge-dung,tier1,Yes,content-draft/viet/canonical-pages/tier-one/polite-basics/v500-poli-basi-yes.json,__page_unique__,22,7,18,3,missing unique source cards: viet-polite-hello; viet-thanks-khong-cam-on; viet-excuse-sorry; viet-family-polite-its-okay; viet-goodbye; viet-hello-chao; viet-hello-chao-ban; viet-hello-da-chao-anh-chi | extra rendered cards: viet-thanks-cam-on-toi-hieu-roi; viet-acknowledge-khong; viet-acknowledge-duoc
UNIQUE_SOURCE_CARD_MISSING,viet-thanks-khong-cam-on,tier1,"No, thank you",content-draft/viet/canonical-pages/tier-one/polite-basics/polite-no-thanks.json,__page_unique__,22,7,19,4,missing unique source cards: viet-polite-hello; viet-acknowledge-da; viet-excuse-sorry; viet-family-polite-its-okay; viet-acknowledge-dung; viet-hello-chao; viet-hello-chao-ban; viet-hello-da-chao-anh-chi | extra rendered cards: viet-family-v500-mone-numb-pric-no-thanks-maybe-later; viet-family-v500-soci-smal-talk-no-thank-you-im-not-interested; viet-family-v900-shop-no-thank-you-ill-look-around-first; viet-thanks-khong-co-gi
UNIQUE_SOURCE_CARD_MISSING,viet-acknowledge-da,tier1,Yes / polite acknowledgment,content-draft/viet/canonical-pages/tier-one/polite-basics/polite-acknowledge.json,__page_unique__,22,8,17,3,missing unique source cards: viet-polite-hello; viet-thanks-khong-cam-on; viet-excuse-sorry; viet-family-polite-its-okay; viet-goodbye; viet-hello-chao; viet-hello-chao-ban; viet-hello-alo | extra rendered cards: viet-da-chao-anh; viet-acknowledge-khong; viet-acknowledge-duoc
UNIQUE_SOURCE_CARD_MISSING,viet-how-are-you,tier1,How are you?,content-draft/viet/canonical-pages/tier-one/social-small-talk/social-how-are-you.json,__page_unique__,15,7,9,1,missing unique source cards: viet-family-social-from-us; viet-family-social-from-uk; viet-family-social-first-time; how-are-you-anh; how-are-you-chi; how-are-you-em; viet-family-social-food-good; viet-family-social-weather-hot | extra rendered cards: viet-thank-you
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-help-premium-print-document,catalog-promoted,I need a printed copy of this document.,content-draft/viet/canonical-pages/catalog-promoted/problems-help/help-premium-print-document.json,__page_unique__,9,8,1,0,missing unique source cards: viet-family-help-need-help
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-help-premium-translate-for-me,catalog-promoted,Can you help translate for me?,content-draft/viet/canonical-pages/catalog-promoted/problems-help/help-premium-translate-for-me.json,__page_unique__,9,8,1,0,missing unique source cards: viet-family-help-need-help
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v500-food-drin-this-is-cold,catalog-promoted,This is cold,content-draft/viet/canonical-pages/catalog-promoted/food-drink/v500-food-drin-this-is-cold.json,__page_unique__,8,7,1,0,missing unique source cards: viet-phrase-food-16
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v500-prob-help-can-i-have-an-interpreter,catalog-promoted,Can I have an interpreter?,content-draft/viet/canonical-pages/catalog-promoted/problems-help/v500-prob-help-can-i-have-an-interpreter.json,__page_unique__,9,8,1,0,missing unique source cards: viet-family-help-need-help
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v500-prob-help-can-you-contact-the-driver,catalog-promoted,Can you contact the driver?,content-draft/viet/canonical-pages/catalog-promoted/problems-help/v500-prob-help-can-you-contact-the-driver.json,__page_unique__,9,8,1,0,missing unique source cards: viet-family-help-need-help
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v500-prob-help-i-have-contacted-my-embassy,catalog-promoted,I have contacted my embassy,content-draft/viet/canonical-pages/catalog-promoted/problems-help/v500-prob-help-i-have-contacted-my-embassy.json,__page_unique__,9,8,1,0,missing unique source cards: viet-family-help-need-help
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v500-prob-help-my-wallet-is-missing,catalog-promoted,My wallet is missing,content-draft/viet/canonical-pages/catalog-promoted/problems-help/v500-prob-help-my-wallet-is-missing.json,__page_unique__,9,8,1,0,missing unique source cards: viet-family-help-need-help
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v500-prob-help-please-call-my-hotel,catalog-promoted,Please call my hotel,content-draft/viet/canonical-pages/catalog-promoted/problems-help/v500-prob-help-please-call-my-hotel.json,__page_unique__,9,8,1,0,missing unique source cards: viet-family-help-need-help
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v500-prob-help-please-call-this-number,catalog-promoted,Please call this number,content-draft/viet/canonical-pages/catalog-promoted/problems-help/v500-prob-help-please-call-this-number.json,__page_unique__,9,8,1,0,missing unique source cards: viet-family-help-need-help
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v500-prob-help-please-speak-to-them-for-me,catalog-promoted,Please speak to them for me,content-draft/viet/canonical-pages/catalog-promoted/problems-help/v500-prob-help-please-speak-to-them-for-me.json,__page_unique__,9,8,1,0,missing unique source cards: viet-family-help-need-help
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v500-prob-help-someone-took-my-phone,catalog-promoted,Someone took my phone,content-draft/viet/canonical-pages/catalog-promoted/problems-help/v500-prob-help-someone-took-my-phone.json,__page_unique__,9,8,1,0,missing unique source cards: viet-family-help-need-help
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v500-prob-help-this-is-what-happened,catalog-promoted,This is what happened,content-draft/viet/canonical-pages/catalog-promoted/problems-help/v500-prob-help-this-is-what-happened.json,__page_unique__,9,8,1,0,missing unique source cards: viet-family-help-need-help
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v500-prob-help-where-is-the-nearest-embassy,catalog-promoted,Where is the nearest embassy?,content-draft/viet/canonical-pages/catalog-promoted/problems-help/v500-prob-help-where-is-the-nearest-embassy.json,__page_unique__,9,8,1,0,missing unique source cards: viet-family-help-need-help
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v900-food-drin-can-you-change-this,catalog-promoted,Can you change this?,content-draft/viet/canonical-pages/catalog-promoted/food-drink/v900-food-drin-can-you-change-this.json,__page_unique__,8,7,1,0,missing unique source cards: viet-phrase-food-16
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v900-food-drin-it-is-okay-now-thank-you,catalog-promoted,"It is okay now, thank you",content-draft/viet/canonical-pages/catalog-promoted/food-drink/v900-food-drin-it-is-okay-now-thank-you.json,__page_unique__,7,6,1,0,missing unique source cards: viet-family-service-receipt
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v900-food-drin-thats-all-thank-you,catalog-promoted,"That's all, thank you.",content-draft/viet/canonical-pages/catalog-promoted/food-drink/v900-food-drin-thats-all-thank-you.json,__page_unique__,7,6,1,0,missing unique source cards: viet-family-service-receipt
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v900-prob-help-i-need-a-police-report-for-insurance,catalog-promoted,I need a police report for insurance,content-draft/viet/canonical-pages/catalog-promoted/problems-help/v900-prob-help-i-need-a-police-report-for-insurance.json,__page_unique__,9,8,1,0,missing unique source cards: viet-family-help-need-help
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v900-prob-help-please-give-me-a-copy-of-the-report,catalog-promoted,Please give me a copy of the report,content-draft/viet/canonical-pages/catalog-promoted/problems-help/v900-prob-help-please-give-me-a-copy-of-the-report.json,__page_unique__,9,8,1,0,missing unique source cards: viet-family-help-need-help
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v900-prob-help-thank-you-for-helping-me-report-this,catalog-promoted,Thank you for helping me report this,content-draft/viet/canonical-pages/catalog-promoted/problems-help/v900-prob-help-thank-you-for-helping-me-report-this.json,__page_unique__,9,8,1,0,missing unique source cards: viet-family-help-need-help
UNIQUE_SOURCE_CARD_MISSING,viet-thanks-cam-on-toi-hieu-roi,tier1,"Thanks, I understand now",content-draft/viet/canonical-pages/tier-one/directions-navigation/directions-understand-now.json,__page_unique__,8,7,5,4,missing unique source cards: viet-family-directions-how-long; viet-family-directions-turn-left; viet-family-directions-turn-right; viet-family-directions-go-straight; viet-family-v500-dire-navi-where-is-the-nearest-restroom | extra rendered cards: viet-family-repair-repeat; viet-family-repair-map; viet-thanks-cam-on-nhieu; viet-goodbye
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v900-food-drin-is-this-cooked,catalog-promoted,Is this cooked?,content-draft/viet/canonical-pages/catalog-promoted/food-drink/v900-food-drin-is-this-cooked.json,__page_unique__,8,8,1,1,missing unique source cards: viet-phrase-food-premium-too-spicy-now | extra rendered cards: viet-phrase-v900-food-drin-can-you-change-this
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-hotel-9,catalog-promoted,Can you call a taxi for me?,content-draft/viet/canonical-pages/catalog-promoted/hotel-accommodation/hotel-9.json,__page_unique__,9,10,5,6,missing unique source cards: viet-family-hotel-checkout-time; viet-phrase-hotel-quiet-room; viet-family-hotel-checkout; viet-family-hotel-room-hot; viet-family-hotel-aircon-broken | extra rendered cards: viet-family-ves-call-taxi-for-me; viet-phrase-v900-tran-please-take-me-to-this-address; viet-phrase-directions-8; viet-phrase-v900-dire-navi-is-this-the-correct-pickup-point; viet-family-ves-drop-me-off-here; viet-phrase-v500-tran-please-call-the-driver
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-food-premium-has-meat-in-it,catalog-promoted,This has meat in it.,content-draft/viet/canonical-pages/catalog-promoted/food-drink/food-premium-has-meat-in-it.json,__page_unique__,8,11,1,4,missing unique source cards: viet-phrase-v900-food-drin-does-this-contain-fish-sauce | extra rendered cards: viet-phrase-v500-food-drin-i-am-allergic-to-fish-sauce; viet-phrase-v500-food-drin-i-am-allergic-to-shellfish; viet-phrase-v500-food-drin-i-cannot-eat-this-because-of-an-allergy; viet-phrase-v500-food-drin-i-ordered-this-without-peanuts
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-food-premium-which-dish-safe,catalog-promoted,Which dish is safest for this allergy?,content-draft/viet/canonical-pages/catalog-promoted/food-drink/food-premium-which-dish-safe.json,__page_unique__,8,11,2,5,missing unique source cards: viet-phrase-v900-food-drin-can-i-order-this-without-meat; viet-family-food-peanut-allergy | extra rendered cards: viet-phrase-v500-food-drin-i-am-allergic-to-fish-sauce; viet-phrase-v500-food-drin-i-am-allergic-to-shellfish; viet-phrase-v500-food-drin-i-cannot-eat-this-because-of-an-allergy; viet-phrase-v500-food-drin-i-ordered-this-without-peanuts; viet-phrase-v500-food-drin-please-make-it-without-peanuts
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v500-food-drin-i-cannot-eat-this-because-of-an-allergy,catalog-promoted,I cannot eat this because of an allergy,content-draft/viet/canonical-pages/catalog-promoted/food-drink/v500-food-drin-i-cannot-eat-this-because-of-an-allergy.json,__page_unique__,8,11,1,4,missing unique source cards: viet-phrase-v900-food-drin-does-this-contain-fish-sauce | extra rendered cards: viet-phrase-v500-food-drin-i-am-allergic-to-fish-sauce; viet-phrase-v500-food-drin-i-am-allergic-to-shellfish; viet-phrase-v500-food-drin-i-ordered-this-without-peanuts; viet-phrase-v500-food-drin-please-make-it-without-peanuts
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v500-food-drin-id-like-a-b-nh-m-please,catalog-promoted,"I’d like a bánh mì, please",content-draft/viet/canonical-pages/catalog-promoted/food-drink/v500-food-drin-id-like-a-b-nh-m-please.json,__page_unique__,8,11,1,4,missing unique source cards: viet-phrase-v900-food-drin-can-i-have-lime | extra rendered cards: viet-phrase-v900-food-drin-can-i-have-napkins; viet-phrase-v900-food-drin-can-i-order-half-a-portion; viet-phrase-v900-food-drin-two-of-these-please; viet-phrase-v900-food-drin-one-more-please
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v500-food-drin-id-like-a-bowl-of-ph-please,catalog-promoted,"I’d like a bowl of phở, please",content-draft/viet/canonical-pages/catalog-promoted/food-drink/v500-food-drin-id-like-a-bowl-of-ph-please.json,__page_unique__,8,11,1,4,missing unique source cards: viet-phrase-v900-food-drin-can-i-have-lime | extra rendered cards: viet-phrase-v900-food-drin-can-i-have-napkins; viet-phrase-v900-food-drin-can-i-order-half-a-portion; viet-phrase-v900-food-drin-two-of-these-please; viet-phrase-v900-food-drin-one-more-please
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v500-food-drin-no-ice-please,catalog-promoted,"No ice, please",content-draft/viet/canonical-pages/catalog-promoted/food-drink/v500-food-drin-no-ice-please.json,__page_unique__,8,11,1,4,missing unique source cards: viet-family-food-less-ice | extra rendered cards: viet-family-food-to-go; viet-family-food-pay-now; viet-family-service-receipt; viet-phrase-food-17
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v900-food-drin-a-table-for-four-please,catalog-promoted,"A table for four, please",content-draft/viet/canonical-pages/catalog-promoted/food-drink/v900-food-drin-a-table-for-four-please.json,__page_unique__,8,11,2,5,missing unique source cards: viet-phrase-v900-food-drin-can-you-clean-this-table; viet-family-food-need-table | extra rendered cards: viet-phrase-v900-food-drin-do-we-order-here-or-at-the-counter; viet-phrase-v900-food-drin-i-have-been-waiting-a-long-time; viet-phrase-v900-food-drin-what-do-you-recommend; viet-phrase-v900-food-drin-thats-all-thank-you; viet-family-food-pay-now
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v900-food-drin-a-table-for-one-please,catalog-promoted,"A table for one, please",content-draft/viet/canonical-pages/catalog-promoted/food-drink/v900-food-drin-a-table-for-one-please.json,__page_unique__,8,11,2,5,missing unique source cards: viet-phrase-v900-food-drin-can-you-clean-this-table; viet-family-food-need-table | extra rendered cards: viet-phrase-v900-food-drin-do-we-order-here-or-at-the-counter; viet-phrase-v900-food-drin-i-have-been-waiting-a-long-time; viet-phrase-v900-food-drin-what-do-you-recommend; viet-phrase-v900-food-drin-thats-all-thank-you; viet-family-food-pay-now
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v900-food-drin-can-i-have-napkins,catalog-promoted,Can I have napkins?,content-draft/viet/canonical-pages/catalog-promoted/food-drink/v900-food-drin-can-i-have-napkins.json,__page_unique__,8,11,1,4,missing unique source cards: viet-phrase-v900-food-drin-can-i-have-lime | extra rendered cards: viet-phrase-v900-food-drin-can-i-order-half-a-portion; viet-phrase-v900-food-drin-two-of-these-please; viet-phrase-v900-food-drin-one-more-please; viet-family-food-one-portion
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v900-food-drin-can-i-have-soup-on-the-side,catalog-promoted,Can I have soup on the side?,content-draft/viet/canonical-pages/catalog-promoted/food-drink/v900-food-drin-can-i-have-soup-on-the-side.json,__page_unique__,8,11,1,4,missing unique source cards: viet-phrase-v900-food-drin-can-i-have-chili-sauce | extra rendered cards: viet-phrase-v900-food-drin-can-i-order-half-a-portion; viet-phrase-v900-food-drin-two-of-these-please; viet-phrase-v900-food-drin-one-more-please; viet-family-food-one-portion
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v900-food-drin-can-we-sit-by-the-fan,catalog-promoted,Can we sit by the fan?,content-draft/viet/canonical-pages/catalog-promoted/food-drink/v900-food-drin-can-we-sit-by-the-fan.json,__page_unique__,8,11,2,5,missing unique source cards: viet-phrase-v900-food-drin-can-you-clean-this-table; viet-family-food-need-table | extra rendered cards: viet-phrase-v900-food-drin-do-we-order-here-or-at-the-counter; viet-phrase-v900-food-drin-i-have-been-waiting-a-long-time; viet-phrase-v900-food-drin-what-do-you-recommend; viet-phrase-v900-food-drin-thats-all-thank-you; viet-family-food-pay-now
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v900-food-drin-i-cannot-eat-dairy,catalog-promoted,I cannot eat dairy,content-draft/viet/canonical-pages/catalog-promoted/food-drink/v900-food-drin-i-cannot-eat-dairy.json,__page_unique__,8,11,1,4,missing unique source cards: viet-phrase-v900-food-drin-does-this-contain-fish-sauce | extra rendered cards: viet-phrase-v500-food-drin-i-am-allergic-to-fish-sauce; viet-phrase-v500-food-drin-i-am-allergic-to-shellfish; viet-phrase-v500-food-drin-i-cannot-eat-this-because-of-an-allergy; viet-phrase-v500-food-drin-i-ordered-this-without-peanuts
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v900-food-drin-i-cannot-eat-gluten,catalog-promoted,I cannot eat gluten,content-draft/viet/canonical-pages/catalog-promoted/food-drink/v900-food-drin-i-cannot-eat-gluten.json,__page_unique__,8,11,1,4,missing unique source cards: viet-phrase-v900-food-drin-does-this-contain-fish-sauce | extra rendered cards: viet-phrase-v500-food-drin-i-am-allergic-to-fish-sauce; viet-phrase-v500-food-drin-i-am-allergic-to-shellfish; viet-phrase-v500-food-drin-i-cannot-eat-this-because-of-an-allergy; viet-phrase-v500-food-drin-i-ordered-this-without-peanuts
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v900-food-drin-i-do-not-eat-seafood,catalog-promoted,I do not eat seafood,content-draft/viet/canonical-pages/catalog-promoted/food-drink/v900-food-drin-i-do-not-eat-seafood.json,__page_unique__,8,11,1,4,missing unique source cards: viet-phrase-v900-food-drin-does-this-contain-fish-sauce | extra rendered cards: viet-phrase-v500-food-drin-i-am-allergic-to-fish-sauce; viet-phrase-v500-food-drin-i-am-allergic-to-shellfish; viet-phrase-v500-food-drin-i-cannot-eat-this-because-of-an-allergy; viet-phrase-v500-food-drin-i-ordered-this-without-peanuts
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v900-food-drin-is-there-a-wait-for-a-table,catalog-promoted,Is there a wait for a table?,content-draft/viet/canonical-pages/catalog-promoted/food-drink/v900-food-drin-is-there-a-wait-for-a-table.json,__page_unique__,8,11,2,5,missing unique source cards: viet-phrase-v900-food-drin-can-you-clean-this-table; viet-family-food-need-table | extra rendered cards: viet-phrase-v900-food-drin-do-we-order-here-or-at-the-counter; viet-phrase-v900-food-drin-i-have-been-waiting-a-long-time; viet-phrase-v900-food-drin-what-do-you-recommend; viet-phrase-v900-food-drin-thats-all-thank-you; viet-family-food-pay-now
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v900-food-drin-is-this-pork-beef-or-chicken,catalog-promoted,"Is this pork, beef, or chicken?",content-draft/viet/canonical-pages/catalog-promoted/food-drink/v900-food-drin-is-this-pork-beef-or-chicken.json,__page_unique__,8,11,2,5,missing unique source cards: viet-phrase-v900-food-drin-can-i-order-this-without-meat; viet-family-food-peanut-allergy | extra rendered cards: viet-phrase-v500-food-drin-i-am-allergic-to-fish-sauce; viet-phrase-v500-food-drin-i-am-allergic-to-shellfish; viet-phrase-v500-food-drin-i-cannot-eat-this-because-of-an-allergy; viet-phrase-v500-food-drin-i-ordered-this-without-peanuts; viet-phrase-v500-food-drin-please-make-it-without-peanuts
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v900-food-drin-less-sugar-please,catalog-promoted,"Less sugar, please",content-draft/viet/canonical-pages/catalog-promoted/food-drink/v900-food-drin-less-sugar-please.json,__page_unique__,8,11,1,4,missing unique source cards: viet-family-food-less-ice | extra rendered cards: viet-family-food-to-go; viet-family-food-pay-now; viet-family-service-receipt; viet-phrase-food-17
UNIQUE_SOURCE_CARD_MISSING,viet-phrase-v900-food-drin-no-msg-please,catalog-promoted,"No MSG, please",content-draft/viet/canonical-pages/catalog-promoted/food-drink/v900-food-drin-no-msg-please.json,__page_unique__,8,11,1,4,missing unique source cards: viet-phrase-v900-food-drin-does-this-contain-fish-sauce | extra rendered cards: viet-phrase-v500-food-drin-i-am-allergic-to-fish-sauce; viet-phrase-v500-food-drin-i-am-allergic-to-shellfish; viet-phrase-v500-food-drin-i-cannot-eat-this-because-of-an-allergy; viet-phrase-v500-food-drin-i-ordered-this-without-peanuts
