phrase_id,target_text,audio_status,source_path,notes
spanish-coffee-shop-1,,pending-source-text,,Fill after target text is finalized
spanish-coffee-shop-2,,pending-source-text,,Fill after target text is finalized
spanish-coffee-shop-3,,pending-source-text,,Fill after target text is finalized
spanish-coffee-shop-4,,pending-source-text,,Fill after target text is finalized
spanish-coffee-shop-5,,pending-source-text,,Fill after target text is finalized
spanish-coffee-shop-6,,pending-source-text,,Fill after target text is finalized
spanish-coffee-shop-7,,pending-source-text,,Fill after target text is finalized
spanish-street-food-1,,pending-source-text,,Fill after target text is finalized
spanish-street-food-2,,pending-source-text,,Fill after target text is finalized
spanish-street-food-3,,pending-source-text,,Fill after target text is finalized
spanish-street-food-4,,pending-source-text,,Fill after target text is finalized
spanish-street-food-5,,pending-source-text,,Fill after target text is finalized
spanish-street-food-6,,pending-source-text,,Fill after target text is finalized
spanish-street-food-7,,pending-source-text,,Fill after target text is finalized
spanish-grab-taxi-1,,pending-source-text,,Fill after target text is finalized
spanish-grab-taxi-2,,pending-source-text,,Fill after target text is finalized
spanish-grab-taxi-3,,pending-source-text,,Fill after target text is finalized
spanish-grab-taxi-4,,pending-source-text,,Fill after target text is finalized
spanish-grab-taxi-5,,pending-source-text,,Fill after target text is finalized
spanish-grab-taxi-6,,pending-source-text,,Fill after target text is finalized
spanish-grab-taxi-7,,pending-source-text,,Fill after target text is finalized
spanish-asking-price-1,,pending-source-text,,Fill after target text is finalized
spanish-asking-price-2,,pending-source-text,,Fill after target text is finalized
spanish-asking-price-3,,pending-source-text,,Fill after target text is finalized
spanish-asking-price-4,,pending-source-text,,Fill after target text is finalized
spanish-asking-price-5,,pending-source-text,,Fill after target text is finalized
spanish-asking-price-6,,pending-source-text,,Fill after target text is finalized
spanish-asking-price-7,,pending-source-text,,Fill after target text is finalized
spanish-polite-basics-1,,pending-source-text,,Fill after target text is finalized
spanish-polite-basics-2,,pending-source-text,,Fill after target text is finalized
spanish-polite-basics-3,,pending-source-text,,Fill after target text is finalized
spanish-polite-basics-4,,pending-source-text,,Fill after target text is finalized
spanish-polite-basics-5,,pending-source-text,,Fill after target text is finalized
spanish-polite-basics-6,,pending-source-text,,Fill after target text is finalized
spanish-polite-basics-7,,pending-source-text,,Fill after target text is finalized
spanish-convenience-store-1,,pending-source-text,,Fill after target text is finalized
spanish-convenience-store-2,,pending-source-text,,Fill after target text is finalized
spanish-convenience-store-3,,pending-source-text,,Fill after target text is finalized
spanish-convenience-store-4,,pending-source-text,,Fill after target text is finalized
spanish-convenience-store-5,,pending-source-text,,Fill after target text is finalized
spanish-convenience-store-6,,pending-source-text,,Fill after target text is finalized
spanish-convenience-store-7,,pending-source-text,,Fill after target text is finalized
spanish-hotel-hostel-1,,pending-source-text,,Fill after target text is finalized
spanish-hotel-hostel-2,,pending-source-text,,Fill after target text is finalized
spanish-hotel-hostel-3,,pending-source-text,,Fill after target text is finalized
spanish-hotel-hostel-4,,pending-source-text,,Fill after target text is finalized
spanish-hotel-hostel-5,,pending-source-text,,Fill after target text is finalized
spanish-hotel-hostel-6,,pending-source-text,,Fill after target text is finalized
spanish-hotel-hostel-7,,pending-source-text,,Fill after target text is finalized
spanish-directions-1,,pending-source-text,,Fill after target text is finalized
spanish-directions-2,,pending-source-text,,Fill after target text is finalized
spanish-directions-3,,pending-source-text,,Fill after target text is finalized
spanish-directions-4,,pending-source-text,,Fill after target text is finalized
spanish-directions-5,,pending-source-text,,Fill after target text is finalized
spanish-directions-6,,pending-source-text,,Fill after target text is finalized
spanish-directions-7,,pending-source-text,,Fill after target text is finalized
spanish-simple-problems-1,,pending-source-text,,Fill after target text is finalized
spanish-simple-problems-2,,pending-source-text,,Fill after target text is finalized
spanish-simple-problems-3,,pending-source-text,,Fill after target text is finalized
spanish-simple-problems-4,,pending-source-text,,Fill after target text is finalized
spanish-simple-problems-5,,pending-source-text,,Fill after target text is finalized
spanish-simple-problems-6,,pending-source-text,,Fill after target text is finalized
spanish-simple-problems-7,,pending-source-text,,Fill after target text is finalized
spanish-small-talk-1,,pending-source-text,,Fill after target text is finalized
spanish-small-talk-2,,pending-source-text,,Fill after target text is finalized
spanish-small-talk-3,,pending-source-text,,Fill after target text is finalized
spanish-small-talk-4,,pending-source-text,,Fill after target text is finalized
spanish-small-talk-5,,pending-source-text,,Fill after target text is finalized
spanish-small-talk-6,,pending-source-text,,Fill after target text is finalized
spanish-small-talk-7,,pending-source-text,,Fill after target text is finalized
