"patch_id","page_id","phrase_id","review_status","import_approval","operation","target_id","target_order","current_value","proposed_value","reason_for_change","new_linked_phrase_required","canonical_target_id","audio_policy","asset_policy","validator_rule","jojo_question"
"B001-VAL-001","","","REVIEW_ONLY","REVIEW_ONLY","NO_OP_REVIEW_ONLY","batch_contract","1","Patch files must preserve required columns and default to REVIEW_ONLY until Jojo approval.","","","","","","","batch_contract",""
"B001-VAL-002","","","REVIEW_ONLY","REVIEW_ONLY","NO_OP_REVIEW_ONLY","canonical_identity","2","Patch rows may not change page_id or phrase_id unless a separate explicit source-owned canonical-row proposal exists.","","","","","","","canonical_identity",""
"B001-VAL-003","","","REVIEW_ONLY","REVIEW_ONLY","NO_OP_REVIEW_ONLY","no_import_this_task","3","This batch may not contain APPROVED_FOR_IMPORT values at creation time.","","","","","","","no_import_this_task",""
"B001-VAL-004","","","REVIEW_ONLY","REVIEW_ONLY","NO_OP_REVIEW_ONLY","linked_rows","4","Every visible linked row proposed later must resolve to exactly one canonical page or ask Jojo a question.","","","","","","","linked_rows",""
"B001-VAL-005","","","REVIEW_ONLY","REVIEW_ONLY","NO_OP_REVIEW_ONLY","page_kind_fit","5","Place, restaurant, dish, street, route, and relationship/person pages need page-kind-aware copy and section shape.","","","","","","","page_kind_fit",""
"B001-VAL-006","","","REVIEW_ONLY","REVIEW_ONLY","NO_OP_REVIEW_ONLY","proper_names","6","Proper names must not get fake literal breakdowns; use name recognition when no reliable simple translation exists.","","","","","","","proper_names",""
"B001-VAL-007","","","REVIEW_ONLY","REVIEW_ONLY","NO_OP_REVIEW_ONLY","volatile_facts","7","No hours, prices, schedules, awards, best claims, or current policy claims without durable source evidence.","","","","","","","volatile_facts",""
"B001-VAL-008","","","REVIEW_ONLY","REVIEW_ONLY","NO_OP_REVIEW_ONLY","audio_policy","8","No audio generation; exact audio reuse first, otherwise planned missing audio with disabled speaker state.","","","","","","","audio_policy",""
"B001-VAL-009","","","REVIEW_ONLY","REVIEW_ONLY","NO_OP_REVIEW_ONLY","anti_internal_copy","9","No user-facing AI/editorial/generator/validator/internal terminology.","","","","","","","anti_internal_copy",""
"B001-VAL-010","","","REVIEW_ONLY","REVIEW_ONLY","NO_OP_REVIEW_ONLY","anti_dense_text","10","Avoid long runs of text-only sections; phrase rows/breakdowns should create learning interaction.","","","","","","","anti_dense_text",""
