intent,status,candidatePhraseIDs,candidateEnglish,candidateVietnamese
hello,covered,polite-1|hello-chao|hello-chao-ban|hello-da-chao-anh-chi|hello-alo|hello-good-morning|hello-good-afternoon|hello-chao-anh,"Hello|Hi / hello|Hi there / hello friend|Hello, sir or ma'am|Hello on the phone|Good morning|Good afternoon|Hello to an older man","Xin chào|Chào|Chào bạn|Dạ, chào anh/chị|Alô|Chào buổi sáng|Chào buổi chiều|Chào anh"
thank you,covered,polite-2|polite-thank-you-polite|polite-4|directions-7|v500-unde-repa-thank-you-for-understanding|v500-mone-numb-pric-no-thanks-maybe-later|v500-dire-navi-i-found-it-thank-you|v500-soci-smal-talk-i-want-to-be-alone-thank-you,"Thank you|Thank you very much|No, thank you|Thanks, I understand now|Thank you for understanding|No thanks, maybe later|I found it, thank you|I want to be alone, thank you","Cảm ơn|Cảm ơn nhiều|Không, cảm ơn|Cảm ơn, tôi hiểu rồi|Cảm ơn bạn đã hiểu|Không, cảm ơn, có thể để sau|Tôi đã tìm thấy nó, cảm ơn bạn|Tôi muốn ở một mình, cảm ơn bạn"
excuse me,covered,polite-5|repair-english-help-self-limit|directions-1|v500-poli-basi-sorry|v500-poli-basi-excuse-me|v500-unde-repa-sorry-i-dont-speak-vietnamese|v900-poli-basi-im-very-sorry,"Excuse me / sorry|Sorry, I don’t speak Vietnamese|Excuse me, how do I get there?|Sorry|Excuse me|Sorry, I don’t speak Vietnamese|I’m very sorry","Xin lỗi|Xin lỗi, tôi không nói tiếng Việt|Cho hỏi, đi tới đó thế nào?|Lấy làm tiếc|Xin lỗi|Xin lỗi, tôi không nói được tiếng Việt|tôi rất xin lỗi"
goodbye,covered,polite-7,Goodbye,Tạm biệt
i don't understand,covered,problems-2|v500-unde-repa-i-dont-understand-this-word,I don’t understand|I don’t understand this word,Tôi không hiểu|Tôi không hiểu từ này
speak slowly,covered,problems-3|repair-slower-polite|v900-unde-repa-could-you-speak-a-little-slower-please|vpe-help-action-anh-chi-giup-toi-noi-cham-lai-duoc-khong,"Can you speak a little slower?|Could you speak a little slower, please?|Could you speak a little slower, please?|Can you speak more slowly?",Nói chậm chút được không?|Nói chậm giúp tôi được không?|Bạn có thể nói chậm lại một chút được không?|Nói chậm lại giúp tôi được không?
say again,covered,repair-1|repair-6|v500-unde-repa-can-you-repeat-the-last-part|vpe-help-action-anh-chi-giup-toi-noi-lai-lan-nua-duoc-khong,Please say that again|Please say the number again|Can you repeat the last part?|Can you say it one more time?,Làm ơn nói lại|Làm ơn nói lại số đó|Bạn có thể nhắc lại phần cuối được không?|Nói lại lần nữa giúp tôi được không?
write it down,covered,repair-2|repair-english-help-self-limit|smalltalk-4|money-premium-write-total|v500-unde-repa-sorry-i-dont-speak-vietnamese|v500-unde-repa-can-you-write-the-time|v500-unde-repa-can-you-write-the-price|v500-unde-repa-can-you-write-the-address,"Please write it down|Sorry, I don’t speak Vietnamese|I like Vietnam|Please write the total down.|Sorry, I don’t speak Vietnamese|Can you write the time?|Can you write the price?|Can you write the address?","Viết xuống giúp tôi|Xin lỗi, tôi không nói tiếng Việt|Tôi thích Việt Nam|Hãy viết tổng số ra.|Xin lỗi, tôi không nói được tiếng Việt|Bạn có thể viết thời gian được không?|Bạn có thể viết giá được không?|Bạn có thể viết địa chỉ được không?"
bathroom,covered,hotel-more-supplies-paper|bath-1|bath-2|bathroom-use|bath-3|bath-4|bath-5|bath-6,Can I have more toilet paper?|Where is the bathroom?|Do you have toilet paper?|Can I use the bathroom?|Do you have soap?|Can I wash my hands here?|I need water|Is there a shower here?,Cho tôi thêm giấy vệ sinh được không?|Nhà vệ sinh ở đâu?|Có giấy vệ sinh không?|Tôi dùng nhà vệ sinh được không?|Có xà phòng không?|Tôi rửa tay ở đây được không?|Tôi cần nước|Ở đây có chỗ tắm không?
water,covered,food-5|bath-5|store-1|service-9|hotel-premium-no-hot-water|v500-loca-serv-ever-task-where-can-i-buy-water|v500-hote-acco-there-is-no-hot-water|v900-hote-acco-the-water-pressure-is-too-low,Do you have bottled water?|I need water|A bottle of water please|Can you refill this water bottle?|There is no hot water.|Where can I buy water?|The shower only has cold water|The water pressure is too low,Có nước suối không?|Tôi cần nước|Cho tôi chai nước|Châm thêm nước vào chai này được không?|Ở đây không có nước nóng.|Tôi có thể mua nước ở đâu?|Vòi sen chỉ có nước lạnh|Áp lực nước quá thấp
