severity,score,pageID,tierRole,title,englishTitle,phraseCards,breakdownCards,visibleWords,issueCodes,sourcePath,worstSnippet
PASS,4,viet-acknowledge-co,catalog-promoted,Có,Yes / there is,7,1,208,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-co.json,when-to-use: repeated 11 times
PASS,4,viet-acknowledge-da,catalog-promoted,Dạ,Yes / polite acknowledgment,8,1,215,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da.json,good-to-know: repeated 8 times
PASS,4,viet-acknowledge-dung,catalog-promoted,Đúng,Yes / correct,7,1,191,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-dung.json,good-to-know: repeated 8 times
PASS,4,viet-acknowledge-duoc,catalog-promoted,Được,Okay / that works,7,1,199,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-duoc.json,good-to-know: repeated 8 times
PASS,4,viet-acknowledge-khong,catalog-promoted,Không,No,6,1,182,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-khong.json,when-to-use: repeated 8 times
PASS,4,viet-da-chao-ba,catalog-promoted,"Dạ, chào bà",Respectful hello to an elderly woman,6,4,240,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ba.json,when-to-use: repeated 11 times
PASS,4,viet-da-chao-chi,catalog-promoted,"Dạ, chào chị",Respectful hello to an older woman,7,4,233,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chi.json,when-to-use: repeated 8 times
PASS,4,viet-da-chao-chu,catalog-promoted,"Dạ, chào chú",Respectful hello to an uncle-age man,7,4,243,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chu.json,when-to-use: repeated 8 times
PASS,4,viet-da-chao-ong,catalog-promoted,"Dạ, chào ông",Respectful hello to an elderly man,6,4,222,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ong.json,when-to-use: repeated 8 times
PASS,4,viet-family-airport-baggage,tier1,Lấy hành lý ở đâu?,Where is baggage claim?,8,4,296,body_repeated_8_plus,content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-baggage.json,breakdown: repeated 16 times
PASS,4,viet-family-airport-immigration,tier1,Nhập cảnh ở đâu?,Where is immigration?,8,3,280,body_repeated_8_plus,content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-immigration.json,breakdown: repeated 16 times
PASS,4,viet-family-airport-pickup,tier1,Khu đón ở đâu?,Where is the pickup area?,9,3,333,body_repeated_8_plus,content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-pickup.json,breakdown: repeated 16 times
PASS,4,viet-family-airport-sim,tier1,Mua SIM ở đâu?,Where can I buy a SIM card?,8,4,314,body_repeated_8_plus,content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-sim.json,breakdown: repeated 16 times
PASS,4,viet-family-bathroom-where,tier1,Nhà vệ sinh ở đâu?,Where is the bathroom?,6,3,282,body_repeated_8_plus,content-draft/viet/canonical-pages/tier-one/bathroom-personal-needs/bathroom-where.json,breakdown: repeated 16 times
PASS,4,viet-family-directions-turn-left,tier1,Rẽ trái ở đâu?,Where do I turn left?,8,3,314,body_repeated_8_plus,content-draft/viet/canonical-pages/tier-one/directions-navigation/directions-turn-left.json,breakdown: repeated 16 times
PASS,4,viet-family-food-coffee-bac-xiu,tier1,Cho tôi bạc xỉu đá,I’d like an iced bạc xỉu,11,5,378,body_repeated_8_plus,content-draft/viet/canonical-pages/tier-one/food-drink/food-coffee-bac-xiu.json,traveler-insight: repeated 8 times
PASS,4,viet-family-food-coffee-black,tier1,Cho tôi cà phê đen đá,I’d like an iced black coffee,11,5,378,body_repeated_8_plus,content-draft/viet/canonical-pages/tier-one/food-drink/food-coffee-black.json,traveler-insight: repeated 8 times
PASS,4,viet-family-food-coffee-milk,tier1,Cho tôi một cà phê sữa đá,One iced milk coffee please,11,5,393,body_repeated_8_plus,content-draft/viet/canonical-pages/tier-one/food-drink/food-coffee-milk.json,traveler-insight: repeated 8 times
PASS,4,viet-family-food-more-herbs,tier1,Cho thêm rau,More herbs please,13,4,375,body_repeated_8_plus,content-draft/viet/canonical-pages/tier-one/food-drink/food-more-herbs.json,traveler-insight: repeated 8 times
PASS,4,viet-family-food-need-table,tier1,Cho tôi bàn cho hai người nhé,"A table for two, please",14,5,459,body_repeated_8_plus,content-draft/viet/canonical-pages/tier-one/food-drink/food-need-table.json,traveler-insight: repeated 8 times
PASS,4,viet-family-money-find-atm,tier1,ATM gần nhất ở đâu?,Where is the nearest ATM?,9,4,308,body_repeated_8_plus,content-draft/viet/canonical-pages/tier-one/money-numbers-prices/money-find-atm.json,breakdown: repeated 16 times
PASS,4,viet-family-polite-its-okay,tier1,Không sao đâu,It’s okay,22,3,410,body_repeated_8_plus,content-draft/viet/canonical-pages/tier-one/polite-basics/polite-its-okay.json,when-to-use: repeated 8 times
PASS,4,viet-family-service-open-this,tier1,Mở cái này giúp tôi,Please open this for me,8,6,295,body_repeated_8_plus,content-draft/viet/canonical-pages/tier-one/local-services-everyday-tasks/service-open-this.json,traveler-insight: repeated 8 times
PASS,4,viet-family-service-receipt,tier1,Cho tôi hóa đơn,Please give me the receipt,8,4,297,body_repeated_8_plus,content-draft/viet/canonical-pages/tier-one/local-services-everyday-tasks/service-receipt.json,traveler-insight: repeated 8 times
PASS,4,viet-family-shopping-pay-where,tier1,Trả ở đâu?,Where do I pay?,7,3,291,body_repeated_8_plus,content-draft/viet/canonical-pages/tier-one/shopping/shopping-pay-where.json,breakdown: repeated 16 times
PASS,4,viet-family-shopping-size,tier1,Tôi muốn cỡ này,I want this size,7,5,281,body_repeated_8_plus,content-draft/viet/canonical-pages/tier-one/shopping/shopping-size.json,traveler-insight: repeated 8 times
PASS,4,viet-family-sight-meeting-point,tier1,Điểm gặp ở đâu?,Where is the meeting point?,6,4,259,body_repeated_8_plus,content-draft/viet/canonical-pages/tier-one/sightseeing-activities/sight-meeting-point.json,breakdown: repeated 16 times
PASS,4,viet-family-sight-start,tier1,Bắt đầu ở đâu?,Where do we start?,6,3,258,body_repeated_8_plus,content-draft/viet/canonical-pages/tier-one/sightseeing-activities/sight-start.json,breakdown: repeated 16 times
PASS,4,viet-family-v500-airp-bord-arri-where-is-the-atm,tier1,ATM ở đâu?,Where is the ATM?,8,3,310,body_repeated_8_plus,content-draft/viet/canonical-pages/tier-one/airport-border-arrival/v500-airp-bord-arri-where-is-the-atm.json,breakdown: repeated 16 times
PASS,4,viet-family-v500-dire-navi-where-is-the-nearest-restroom,tier1,Nhà vệ sinh gần nhất ở đâu?,Where is the nearest restroom?,8,4,345,body_repeated_8_plus,content-draft/viet/canonical-pages/tier-one/directions-navigation/v500-dire-navi-where-is-the-nearest-restroom.json,breakdown: repeated 16 times
