phrase_id,target_text,audio_status,source_path,notes
italian-coffee-shop-1,,pending-source-text,,Fill after target text is finalized
italian-coffee-shop-2,,pending-source-text,,Fill after target text is finalized
italian-coffee-shop-3,,pending-source-text,,Fill after target text is finalized
italian-coffee-shop-4,,pending-source-text,,Fill after target text is finalized
italian-coffee-shop-5,,pending-source-text,,Fill after target text is finalized
italian-coffee-shop-6,,pending-source-text,,Fill after target text is finalized
italian-coffee-shop-7,,pending-source-text,,Fill after target text is finalized
italian-street-food-1,,pending-source-text,,Fill after target text is finalized
italian-street-food-2,,pending-source-text,,Fill after target text is finalized
italian-street-food-3,,pending-source-text,,Fill after target text is finalized
italian-street-food-4,,pending-source-text,,Fill after target text is finalized
italian-street-food-5,,pending-source-text,,Fill after target text is finalized
italian-street-food-6,,pending-source-text,,Fill after target text is finalized
italian-street-food-7,,pending-source-text,,Fill after target text is finalized
italian-grab-taxi-1,,pending-source-text,,Fill after target text is finalized
italian-grab-taxi-2,,pending-source-text,,Fill after target text is finalized
italian-grab-taxi-3,,pending-source-text,,Fill after target text is finalized
italian-grab-taxi-4,,pending-source-text,,Fill after target text is finalized
italian-grab-taxi-5,,pending-source-text,,Fill after target text is finalized
italian-grab-taxi-6,,pending-source-text,,Fill after target text is finalized
italian-grab-taxi-7,,pending-source-text,,Fill after target text is finalized
italian-asking-price-1,,pending-source-text,,Fill after target text is finalized
italian-asking-price-2,,pending-source-text,,Fill after target text is finalized
italian-asking-price-3,,pending-source-text,,Fill after target text is finalized
italian-asking-price-4,,pending-source-text,,Fill after target text is finalized
italian-asking-price-5,,pending-source-text,,Fill after target text is finalized
italian-asking-price-6,,pending-source-text,,Fill after target text is finalized
italian-asking-price-7,,pending-source-text,,Fill after target text is finalized
italian-polite-basics-1,,pending-source-text,,Fill after target text is finalized
italian-polite-basics-2,,pending-source-text,,Fill after target text is finalized
italian-polite-basics-3,,pending-source-text,,Fill after target text is finalized
italian-polite-basics-4,,pending-source-text,,Fill after target text is finalized
italian-polite-basics-5,,pending-source-text,,Fill after target text is finalized
italian-polite-basics-6,,pending-source-text,,Fill after target text is finalized
italian-polite-basics-7,,pending-source-text,,Fill after target text is finalized
italian-convenience-store-1,,pending-source-text,,Fill after target text is finalized
italian-convenience-store-2,,pending-source-text,,Fill after target text is finalized
italian-convenience-store-3,,pending-source-text,,Fill after target text is finalized
italian-convenience-store-4,,pending-source-text,,Fill after target text is finalized
italian-convenience-store-5,,pending-source-text,,Fill after target text is finalized
italian-convenience-store-6,,pending-source-text,,Fill after target text is finalized
italian-convenience-store-7,,pending-source-text,,Fill after target text is finalized
italian-hotel-hostel-1,,pending-source-text,,Fill after target text is finalized
italian-hotel-hostel-2,,pending-source-text,,Fill after target text is finalized
italian-hotel-hostel-3,,pending-source-text,,Fill after target text is finalized
italian-hotel-hostel-4,,pending-source-text,,Fill after target text is finalized
italian-hotel-hostel-5,,pending-source-text,,Fill after target text is finalized
italian-hotel-hostel-6,,pending-source-text,,Fill after target text is finalized
italian-hotel-hostel-7,,pending-source-text,,Fill after target text is finalized
italian-directions-1,,pending-source-text,,Fill after target text is finalized
italian-directions-2,,pending-source-text,,Fill after target text is finalized
italian-directions-3,,pending-source-text,,Fill after target text is finalized
italian-directions-4,,pending-source-text,,Fill after target text is finalized
italian-directions-5,,pending-source-text,,Fill after target text is finalized
italian-directions-6,,pending-source-text,,Fill after target text is finalized
italian-directions-7,,pending-source-text,,Fill after target text is finalized
italian-simple-problems-1,,pending-source-text,,Fill after target text is finalized
italian-simple-problems-2,,pending-source-text,,Fill after target text is finalized
italian-simple-problems-3,,pending-source-text,,Fill after target text is finalized
italian-simple-problems-4,,pending-source-text,,Fill after target text is finalized
italian-simple-problems-5,,pending-source-text,,Fill after target text is finalized
italian-simple-problems-6,,pending-source-text,,Fill after target text is finalized
italian-simple-problems-7,,pending-source-text,,Fill after target text is finalized
italian-small-talk-1,,pending-source-text,,Fill after target text is finalized
italian-small-talk-2,,pending-source-text,,Fill after target text is finalized
italian-small-talk-3,,pending-source-text,,Fill after target text is finalized
italian-small-talk-4,,pending-source-text,,Fill after target text is finalized
italian-small-talk-5,,pending-source-text,,Fill after target text is finalized
italian-small-talk-6,,pending-source-text,,Fill after target text is finalized
italian-small-talk-7,,pending-source-text,,Fill after target text is finalized
