pageID,source,title,englishTitle,categoryIDs,heroImageName,auditStatus,currentBackgroundSystem,needsBackdropWork,recommendedAsset,recommendation,rolloutBucket,imageTheme,routeContext,canonicalPageID,humanAccessVerdict,isHumanReachable,accessProof,deletionReview,reachabilityStatus,normalUserPath,backdropRisk,nextAction,searchReachable,relatedEntry,browseBackdropOverride,reachabilityChannels,incomingRelationCount,outgoingRelationCount,supportReference,assetExists,priority,runtimeExists,runtimePhraseID,runtimeAccessTier,runtimeSourceFamily,runtimeAudioStatus,runtimeAudioUsageCount,runtimeAudioFileCount,runtimeAudioFilesExist,runtimeMissingAudioCount,runtimeSearchIndexed,runtimeAliasStatus,searchAuditDecision,searchAuditReason,searchOnlyWhyCreated,searchDeleteRecommendation
viet-polite-hello,tier-one phrase page,Xin chào,Hello,"greetings, polite-basics",,Needs Backdrop,old single-layer phrase page with default static masthead,Yes,HeroCategoryPoliteRepair,Add intrinsic page/category backdrop metadata or a category/topical fallback. First pass: HeroCategoryPoliteRepair.,Use category hero or shared Vietnam pool,"Quiet street/cafe interaction, helpful counter moment, calm readable background.","The page has no own heroImageName, so direct/Home/Search/Saved/Practice entry still looks like screenshot 1. Browse may only look photo-backed when a category override is passed.",viet-phrase-polite-1,Front-facing: visible from Home,Yes,Home > Use now; page also exists in runtime phrase_page and Search index.,No - reachable through normal app UI.,Home visible,Home > Use now,High: a user can hit this from Home and see the old single-layer detail.,Fix first: add an intrinsic page image or category fallback so Home/Search/Saved do not show screenshot 1.,Yes,Yes,Yes,Home > Use now | Home > Feature cards | Browse > Respectful hellos > Starter phrases | Browse > Essentials > Starter phrases | Browse > Hello basics > Starter phrases | Search result | Related from 7 pages,7,3,No,Yes,P0 tier-one,Yes,polite-1,starter,Starter/base phrase catalog,ready,8,1,Yes,0,Yes,Alias/display ID resolves to canonical runtime page,,,,
viet-thank-you,tier-one phrase page,Cảm ơn,Thank you,gratitude,,Needs Backdrop,old single-layer phrase page with default static masthead,Yes,HeroCategoryPoliteRepair,Add intrinsic page/category backdrop metadata or a category/topical fallback. First pass: HeroCategoryPoliteRepair.,Use category hero or shared Vietnam pool,"Quiet street/cafe interaction, helpful counter moment, calm readable background.","The page has no own heroImageName, so direct/Home/Search/Saved/Practice entry still looks like screenshot 1. Browse may only look photo-backed when a category override is passed.",viet-phrase-polite-2,Front-facing: visible from Home,Yes,Home > Use now; page also exists in runtime phrase_page and Search index.,No - reachable through normal app UI.,Home visible,Home > Use now,High: a user can hit this from Home and see the old single-layer detail.,Fix first: add an intrinsic page image or category fallback so Home/Search/Saved do not show screenshot 1.,Yes,Yes,Yes,Home > Use now | Home > Feature cards | Browse > Respectful hellos > More Polite Basics | Browse > Essentials > Starter phrases | Browse > Essentials > Gratitude | Browse > When You Don't Understand > More Polite Basics | Search result | Related from 32 pages,32,13,No,Yes,P0 tier-one,Yes,polite-2,starter,Starter/base phrase catalog,ready,32,1,Yes,0,Yes,Alias/display ID resolves to canonical runtime page,,,,
viet-excuse-sorry,tier-one phrase page,Xin lỗi,Excuse me / sorry,repair,,Needs Backdrop,old single-layer phrase page with default static masthead,Yes,HeroCategoryPoliteRepair,Add intrinsic page/category backdrop metadata or a category/topical fallback. First pass: HeroCategoryPoliteRepair.,Use category hero or shared Vietnam pool,"Quiet street/cafe interaction, helpful counter moment, calm readable background.","The page has no own heroImageName, so direct/Home/Search/Saved/Practice entry still looks like screenshot 1. Browse may only look photo-backed when a category override is passed.",viet-phrase-polite-5,Front-facing: visible from Home,Yes,Home > Use now; page also exists in runtime phrase_page and Search index.,No - reachable through normal app UI.,Home visible,Home > Use now,High: a user can hit this from Home and see the old single-layer detail.,Fix first: add an intrinsic page image or category fallback so Home/Search/Saved do not show screenshot 1.,Yes,Yes,No,Home > Use now | Home > Feature cards | Search result | Related from 14 pages,14,15,No,Yes,P0 tier-one,Yes,polite-5,starter,Starter/base phrase catalog,ready,15,1,Yes,0,Yes,Alias/display ID resolves to canonical runtime page,,,,
viet-family-polite-its-okay,tier-one phrase page,Không sao đâu,It’s okay,polite-basics,,Needs Backdrop,old single-layer phrase page with default static masthead,Yes,HeroCategoryPoliteRepair,Add intrinsic page/category backdrop metadata or a category/topical fallback. First pass: HeroCategoryPoliteRepair.,Use category hero or shared Vietnam pool,"Quiet street/cafe interaction, helpful counter moment, calm readable background.","The page has no own heroImageName, so direct/Home/Search/Saved/Practice entry still looks like screenshot 1. Browse may only look photo-backed when a category override is passed.",viet-phrase-polite-6,Front-facing: visible from Home,Yes,Home > Use now; page also exists in runtime phrase_page and Search index.,No - reachable through normal app UI.,Home visible,Home > Use now,High: a user can hit this from Home and see the old single-layer detail.,Fix first: add an intrinsic page image or category fallback so Home/Search/Saved do not show screenshot 1.,Yes,Yes,No,Home > Use now | Home > Feature cards | Search result | Related from 9 pages,9,15,No,Yes,P0 tier-one,Yes,polite-6,starter,Starter/base phrase catalog,ready,10,1,Yes,0,Yes,Alias/display ID resolves to canonical runtime page,,,,
viet-goodbye,tier-one phrase page,Tạm biệt,Goodbye,goodbyes,,Needs Backdrop,old single-layer phrase page with default static masthead,Yes,HeroCategoryPoliteRepair,Add intrinsic page/category backdrop metadata or a category/topical fallback. First pass: HeroCategoryPoliteRepair.,Use category hero or shared Vietnam pool,"Quiet street/cafe interaction, helpful counter moment, calm readable background.","The page has no own heroImageName, so direct/Home/Search/Saved/Practice entry still looks like screenshot 1. Browse may only look photo-backed when a category override is passed.",viet-phrase-polite-7,Front-facing: visible from Home,Yes,Home > Use now; page also exists in runtime phrase_page and Search index.,No - reachable through normal app UI.,Home visible,Home > Use now,High: a user can hit this from Home and see the old single-layer detail.,Fix first: add an intrinsic page image or category fallback so Home/Search/Saved do not show screenshot 1.,Yes,Yes,No,Home > Use now | Home > Feature cards | Search result | Related from 16 pages,16,15,No,Yes,P0 tier-one,Yes,polite-7,starter,Starter/base phrase catalog,ready,17,1,Yes,0,Yes,Alias/display ID resolves to canonical runtime page,,,,
viet-family-repair-understand,tier-one phrase page,Tôi không hiểu,I don’t understand,understanding-repair,,Needs Backdrop,old single-layer phrase page with default static masthead,Yes,HeroCategoryPoliteRepair,Add intrinsic page/category backdrop metadata or a category/topical fallback. First pass: HeroCategoryPoliteRepair.,Use category hero or shared Vietnam pool,"Quiet street/cafe interaction, helpful counter moment, calm readable background.","The page has no own heroImageName, so direct/Home/Search/Saved/Practice entry still looks like screenshot 1. Browse may only look photo-backed when a category override is passed.",viet-phrase-problems-2,Front-facing: visible from Home,Yes,Home > Use now; page also exists in runtime phrase_page and Search index.,No - reachable through normal app UI.,Home visible,Home > Use now,High: a user can hit this from Home and see the old single-layer detail.,Fix first: add an intrinsic page image or category fallback so Home/Search/Saved do not show screenshot 1.,Yes,Yes,Yes,Home > Use now | Home > Feature cards | Home > When you get stuck | Browse > Essentials > Starter phrases | Browse > When You Don't Understand > Starter phrases | Search result | Related from 12 pages,12,7,No,Yes,P0 tier-one,Yes,problems-2,starter,Starter/base phrase catalog,ready,13,1,Yes,0,Yes,Alias/display ID resolves to canonical runtime page,,,,
viet-family-repair-slower,tier-one phrase page,Nói chậm chút được không?,Can you speak a little slower?,understanding-repair,,Needs Backdrop,old single-layer phrase page with default static masthead,Yes,HeroCategoryPoliteRepair,Add intrinsic page/category backdrop metadata or a category/topical fallback. First pass: HeroCategoryPoliteRepair.,Use category hero or shared Vietnam pool,"Quiet street/cafe interaction, helpful counter moment, calm readable background.","The page has no own heroImageName, so direct/Home/Search/Saved/Practice entry still looks like screenshot 1. Browse may only look photo-backed when a category override is passed.",viet-phrase-problems-3,Front-facing: visible from Home,Yes,Home > Use now; page also exists in runtime phrase_page and Search index.,No - reachable through normal app UI.,Home visible,Home > Use now,High: a user can hit this from Home and see the old single-layer detail.,Fix first: add an intrinsic page image or category fallback so Home/Search/Saved do not show screenshot 1.,Yes,Yes,No,Home > Use now | Home > When you get stuck | Search result | Related from 12 pages,12,9,No,Yes,P0 tier-one,Yes,problems-3,starter,Starter/base phrase catalog,ready,12,1,Yes,0,Yes,Alias/display ID resolves to canonical runtime page,,,,
viet-family-repair-repeat,tier-one phrase page,Làm ơn nói lại,Please say that again,understanding-repair,,Needs Backdrop,old single-layer phrase page with default static masthead,Yes,HeroCategoryPoliteRepair,Add intrinsic page/category backdrop metadata or a category/topical fallback. First pass: HeroCategoryPoliteRepair.,Use category hero or shared Vietnam pool,"Quiet street/cafe interaction, helpful counter moment, calm readable background.","The page has no own heroImageName, so direct/Home/Search/Saved/Practice entry still looks like screenshot 1. Browse may only look photo-backed when a category override is passed.",viet-phrase-repair-1,Front-facing: visible from Home,Yes,Home > Use now; page also exists in runtime phrase_page and Search index.,No - reachable through normal app UI.,Home visible,Home > Use now,High: a user can hit this from Home and see the old single-layer detail.,Fix first: add an intrinsic page image or category fallback so Home/Search/Saved do not show screenshot 1.,Yes,Yes,No,Home > Use now | Home > When you get stuck | Search result | Related from 59 pages,59,7,No,Yes,P0 tier-one,Yes,repair-1,starter,Starter/base phrase catalog,ready,60,1,Yes,0,Yes,Alias/display ID resolves to canonical runtime page,,,,
viet-family-repair-write-down,tier-one phrase page,Viết xuống giúp tôi,Please write it down,understanding-repair,,Needs Backdrop,old single-layer phrase page with default static masthead,Yes,HeroCategoryPoliteRepair,Add intrinsic page/category backdrop metadata or a category/topical fallback. First pass: HeroCategoryPoliteRepair.,Use category hero or shared Vietnam pool,"Quiet street/cafe interaction, helpful counter moment, calm readable background.","The page has no own heroImageName, so direct/Home/Search/Saved/Practice entry still looks like screenshot 1. Browse may only look photo-backed when a category override is passed.",viet-phrase-repair-2,Front-facing: visible from Home,Yes,Home > When you get stuck; page also exists in runtime phrase_page and Search index.,No - reachable through normal app UI.,Home visible,Home > When you get stuck,High: a user can hit this from Home and see the old single-layer detail.,Fix first: add an intrinsic page image or category fallback so Home/Search/Saved do not show screenshot 1.,Yes,Yes,No,Home > When you get stuck | Search result | Related from 54 pages,54,7,No,Yes,P0 tier-one,Yes,repair-2,starter,Starter/base phrase catalog,ready,55,1,Yes,0,Yes,Alias/display ID resolves to canonical runtime page,,,,
viet-family-repair-meaning,tier-one phrase page,Cái đó nghĩa là gì?,What does that mean?,understanding-repair,,Needs Backdrop,old single-layer phrase page with default static masthead,Yes,HeroCategoryPoliteRepair,Add intrinsic page/category backdrop metadata or a category/topical fallback. First pass: HeroCategoryPoliteRepair.,Use category hero or shared Vietnam pool,"Quiet street/cafe interaction, helpful counter moment, calm readable background.","The page has no own heroImageName, so direct/Home/Search/Saved/Practice entry still looks like screenshot 1. Browse may only look photo-backed when a category override is passed.",viet-phrase-repair-3,Front-facing: visible from Browse,Yes,Browse > When You Don't Understand > Starter phrases; Browse collection renders this page from category/city content.,No - reachable through normal app UI.,Browse visible,Browse > When You Don't Understand > Starter phrases,"Medium: Browse has a category image path, direct entry can still show screenshot 1.","Good first-pass candidate for category fallback; Browse can pass a category image, but direct Search/Saved still need intrinsic metadata.",Yes,Yes,Yes,Browse > When You Don't Understand > Starter phrases | Search result | Related from 53 pages,53,7,No,Yes,P0 tier-one,Yes,repair-3,starter,Starter/base phrase catalog,ready,54,1,Yes,0,Yes,Alias/display ID resolves to canonical runtime page,,,,
