"selected_order","batch_role","selection_group","page_id","phrase_id","section_id","section_key","item_id","breakdown_token_id","sort_order","current_token_text","current_english_gloss","source_path","reviewer_notes","review_status","import_approval"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","viet-phrase-city-hanoi-place-bun-cha-huong-lien:breakdown","breakdown","viet-phrase-city-hanoi-place-bun-cha-huong-lien:breakdown:breakdown:0:d28045cbaeff01e6","viet-phrase-city-hanoi-place-bun-cha-huong-lien:breakdown:breakdown:city-hanoi-place-bun-cha-huong-lien-editorial-1","0","Bún chả","dish name","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","viet-phrase-city-hanoi-place-bun-cha-huong-lien:breakdown","breakdown","viet-phrase-city-hanoi-place-bun-cha-huong-lien:breakdown:breakdown:1:ac91597ce2b09fa1","viet-phrase-city-hanoi-place-bun-cha-huong-lien:breakdown:breakdown:city-hanoi-place-bun-cha-huong-lien-editorial-2","1","Hương Liên","restaurant name","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","viet-phrase-city-hanoi-place-bun-cha-huong-lien:breakdown","breakdown","viet-phrase-city-hanoi-place-bun-cha-huong-lien:breakdown:breakdown:2:dda121b182fb5d2f","viet-phrase-city-hanoi-place-bun-cha-huong-lien:breakdown:breakdown:city-hanoi-place-bun-cha-huong-lien-editorial-3","2","Bún chả Hương Liên","Bun Cha Huong Lien","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"2","active_review","restaurant","viet-phrase-city-hanoi-place-pho-bat-dan","city-hanoi-place-pho-bat-dan","viet-phrase-city-hanoi-place-pho-bat-dan:breakdown","breakdown","viet-phrase-city-hanoi-place-pho-bat-dan:breakdown:breakdown:0:98765863db1ff1c2","viet-phrase-city-hanoi-place-pho-bat-dan:breakdown:breakdown:city-hanoi-place-pho-bat-dan-editorial-1","0","Phở","pho / noodle soup","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"2","active_review","restaurant","viet-phrase-city-hanoi-place-pho-bat-dan","city-hanoi-place-pho-bat-dan","viet-phrase-city-hanoi-place-pho-bat-dan:breakdown","breakdown","viet-phrase-city-hanoi-place-pho-bat-dan:breakdown:breakdown:1:49068d869bf0b7e9","viet-phrase-city-hanoi-place-pho-bat-dan:breakdown:breakdown:city-hanoi-place-pho-bat-dan-editorial-2","1","Bát Đàn","restaurant name","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"2","active_review","restaurant","viet-phrase-city-hanoi-place-pho-bat-dan","city-hanoi-place-pho-bat-dan","viet-phrase-city-hanoi-place-pho-bat-dan:breakdown","breakdown","viet-phrase-city-hanoi-place-pho-bat-dan:breakdown:breakdown:2:f34b714c108e5684","viet-phrase-city-hanoi-place-pho-bat-dan:breakdown:breakdown:city-hanoi-place-pho-bat-dan-editorial-3","2","Phở Bát Đàn","Pho Bat Dan","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"3","active_review","dish_identity","viet-phrase-city-hoian-place-cao-lau-city","city-hoian-place-cao-lau-city","viet-phrase-city-hoian-place-cao-lau-city:breakdown","breakdown","viet-phrase-city-hoian-place-cao-lau-city:breakdown:breakdown:0:f9ab70b3578e4e69","viet-phrase-city-hoian-place-cao-lau-city:breakdown:breakdown:city-hoian-place-cao-lau-city-chunk-1","0","Cao lầu ở","dish name recognition","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"3","active_review","dish_identity","viet-phrase-city-hoian-place-cao-lau-city","city-hoian-place-cao-lau-city","viet-phrase-city-hoian-place-cao-lau-city:breakdown","breakdown","viet-phrase-city-hoian-place-cao-lau-city:breakdown:breakdown:1:f222c6fa63139330","viet-phrase-city-hoian-place-cao-lau-city:breakdown:breakdown:city-hoian-place-cao-lau-city-chunk-2","1","Hội An","dish name ending","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"3","active_review","dish_identity","viet-phrase-city-hoian-place-cao-lau-city","city-hoian-place-cao-lau-city","viet-phrase-city-hoian-place-cao-lau-city:breakdown","breakdown","viet-phrase-city-hoian-place-cao-lau-city:breakdown:breakdown:2:66752b002afaf410","viet-phrase-city-hoian-place-cao-lau-city:breakdown:breakdown:city-hoian-place-cao-lau-city-full","2","Cao lầu ở Hội An","Cao lau in Hoi An","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"4","active_review","dish","viet-phrase-city-hue-place-bun-bo-city","city-hue-place-bun-bo-city","viet-phrase-city-hue-place-bun-bo-city:breakdown","breakdown","viet-phrase-city-hue-place-bun-bo-city:breakdown:breakdown:0:a1a6d2570cd09241","viet-phrase-city-hue-place-bun-bo-city:breakdown:breakdown:city-hue-place-bun-bo-city-editorial-1","0","Bún bò","beef noodle part of the dish name","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
