"rank","scenario_id","phrase_id","english_text","priority_reason","confidence","review_flag","execution_status","decision_notes"
"1","polite-basics","french-polite-basics-5","Excuse me","Highest-frequency opener for getting attention and softening requests across stations hotels cafes and shops in France.","high","service-wording-review","first-wave-translated","Translated as the neutral polite opener for short service requests."
"2","polite-basics","french-polite-basics-2","Thank you","Core courtesy anchor across nearly every France travel interaction and an easy early win for the lane.","high","none","first-wave-translated","Translated as the core courtesy anchor with compact pronunciation support."
"3","polite-basics","french-polite-basics-1","Hello","Greeting-first etiquette matters in France, so the lane should establish a safe hello early.","high","service-wording-review","first-wave-translated","Used Bonjour as the default service-safe greeting for the first pass."
"4","simple-problems","french-simple-problems-2","I do not understand","Primary repair phrase when fast French replies outpace the traveler's comprehension.","high","none","first-wave-translated","Translated as the core repair phrase for fast replies."
"5","simple-problems","french-simple-problems-3","Can you speak a little slower","Best follow-up after signaling non-understanding in any service interaction.","high","service-wording-review","first-wave-translated","Translated with a softer vous-form request shape."
"6","hotel-hostel","french-hotel-hostel-1","I have a reservation","High-value front-desk phrase for arrival day and the clearest hotel starting point.","high","none","first-wave-translated","Translated as the early front-desk lookup line."
"7","hotel-hostel","french-hotel-hostel-2","I would like to check in","Companion to reservation lookup when the front desk needs a clear request.","high","service-wording-review","first-wave-translated","Translated as a concise check-in request with polite desk wording."
"8","grab-taxi","french-grab-taxi-1","Take me here","Strong show-screen transport phrase for taxis and ride pickups where the destination phone screen does most of the work.","high","service-wording-review","first-wave-translated","Translated as a polite show-screen driver request."
"9","grab-taxi","french-grab-taxi-3","You can stop here","Short high-value ride phrase for hotel drop-offs station curbs and map-guided stops.","high","service-wording-review","first-wave-translated","Translated as a brief drop-off control line for taxi and ride stops."
"10","convenience-store","french-convenience-store-6","Can I pay by card","Important payment-confirmation phrase for shops kiosks cafes and smaller counters.","high","payment-review","first-wave-translated","Translated as explicit card-payment confirmation for France checkout moments."
"11","asking-price","french-asking-price-1","How much is this","Core purchase and quick-confirmation phrase for shops bakeries kiosks and counters.","high","none","first-wave-translated","Translated as the core broad price-check row."
"12","coffee-shop","french-coffee-shop-7","The bill please","France-fit payment ask with more traveler value than a generic pay-request translation.","high","bill-review","first-wave-translated","Used l'addition for the France-fit bill request."
"13","convenience-store","french-convenience-store-1","A bottle of water please","Simple hydration purchase phrase useful in station kiosks mini-marts and hotel-adjacent stores.","high","none","first-wave-translated","Translated as a broad utility water-purchase line."
"14","directions","french-directions-1","Excuse me which platform do I need","France-specific transit repair row for stations rail transfers and ticket-based routing.","high","transit-review","first-wave-translated","Translated after the quai rewrite and kept transit review visible."
"15","directions","french-directions-2","Is it near here","Compact navigation check that helps the traveler decide between walking and taking transit.","high","none","first-wave-translated","Translated as a compact near-here navigation check."
"16","directions","french-directions-3","How long on foot","Useful routing question for station exits hotel districts and short-walk decisions.","high","none","first-wave-translated","Translated as a short walking-time question for station and hotel routing."
"17","hotel-hostel","french-hotel-hostel-3","What time is check out","Common timing question that prevents front-desk confusion later in the stay.","high","none","first-wave-translated","Translated as a practical checkout-timing question."
"18","convenience-store","french-convenience-store-7","Please give me the receipt","Frequent checkout follow-through phrase for reimbursements returns and expense tracking.","high","service-wording-review","first-wave-translated","Used the natural short ticket wording for a checkout receipt ask."
"19","simple-problems","french-simple-problems-1","I am lost","Pressure-moment repair phrase that pairs well with showing a map or hotel address.","high","none","first-wave-translated","Shifted to a gender-neutral lost-traveler phrasing."
"20","simple-problems","french-simple-problems-7","Please call for me","Useful escalation phrase when the traveler needs help contacting a hotel taxi or support number.","high","service-wording-review","first-wave-translated","Translated as a practical help-call request while keeping service wording visible."
"21","simple-problems","french-simple-problems-6","I need a doctor","High-stakes traveler phrase worth early placement even though it needs expert review.","medium","expert-review-medical","first-wave-translated-sensitive","Translated but kept behind explicit expert medical review."
"22","asking-price","french-asking-price-7","I will take this one","Practical item-selection phrase after pointing to a pastry souvenir or shop product.","high","none","first-wave-translated","Translated as the item-selection close for posted-price shopping."
"23","asking-price","french-asking-price-5","What is the total price","Price-confirmation row that fits France better than bargaining-heavy final-price language.","high","none","first-wave-translated","Translated as a clean total-price confirmation line."
"24","asking-price","french-asking-price-6","Show me another one","Useful comparison-shopping follow-up that fits shops and souvenir counters better than haggling.","high","none","first-wave-translated","Translated as a comparison-shopping follow-up for shops and counters."
"25","coffee-shop","french-coffee-shop-1","A coffee please","France-fit cafe baseline after removing the iced-drink carryover from the shared scaffold.","medium","service-wording-review","first-wave-translated","Translated as the simplest safe counter coffee order."
"26","coffee-shop","french-coffee-shop-6","For takeaway","Common cafe and bakery distinction that travelers hit early at counters and stations.","medium","service-wording-review","first-wave-translated","Translated as the core takeaway line for cafe and bakery counters."
"27","street-food","french-street-food-1","One serving please","Fast ordering phrase for casual food counters and low-friction restaurant ordering.","medium","none","first-wave-translated","Translated as a simple counter-order line for casual dining."
"28","street-food","french-street-food-5","Do you have bottled water","Useful restaurant and food-counter phrase when sealed water matters more than browsing the menu.","medium","none","first-wave-translated","Translated as a sealed-water check for food counters and casual restaurants."
"29","hotel-hostel","french-hotel-hostel-7","Please hold my luggage","High-utility hotel phrase for early arrival or late departure days.","medium","service-wording-review","first-wave-translated","Translated as a polite luggage-hold request for arrival and departure days."
"30","polite-basics","french-polite-basics-4","No thank you","Useful decline phrase for offers upsells and light approaches without sounding abrupt.","medium","none","first-wave-translated","Translated as a brief polite decline with thanks."
"31","grab-taxi","french-grab-taxi-2","Please take me to the station","France-specific transit destination request that is stronger than the old generic city-center carryover.","medium","transit-review","second-wave-translated","Translated as a France-fit station destination request that stays polite and traveler-usable."
"32","hotel-hostel","french-hotel-hostel-5","The air conditioner is not working","Strong repair phrase for hotel stays when the room problem needs staff action.","high","room-problem-review","second-wave-translated","Translated as a brief room-problem report while keeping complaint tone review visible."
"33","hotel-hostel","french-hotel-hostel-4","This room is too hot","High-friction room-comfort complaint that should land before lighter social rows.","high","room-problem-review","second-wave-translated","Translated as a direct but not overly blunt room-comfort complaint."
"34","hotel-hostel","french-hotel-hostel-6","More towels please","Routine hotel follow-through request that keeps the hotel cluster practical.","high","none","second-wave-translated","Translated as a routine extra-towels request for reception or housekeeping."
