pageID,title,englishTitle,intent,heroImageName,status
viet-family-city-danang-place-airport,Sân bay Đà Nẵng,Da Nang Airport,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-danang-place-apec-park,Công viên APEC,APEC Park,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-danang-place-asia-park,Công viên Châu Á,Asia Park,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-danang-place-bach-dang-street,Đường Bạch Đằng,Bach Dang Street,street,,generic_or_neutral_follow_up
viet-family-city-danang-place-ban-co-peak,Đỉnh Bàn Cờ,Ban Co Peak,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-danang-place-cathedral,Nhà thờ Con Gà Đà Nẵng,Da Nang Cathedral,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-danang-place-cham-museum,Bảo tàng Điêu khắc Chăm,Museum of Cham Sculpture,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-danang-place-con-market,Chợ Cồn,Con Market,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-danang-place-golden-bridge,Cầu Vàng,Golden Bridge,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-danang-place-han-market,Chợ Hàn,Han Market,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-danang-place-han-river,Sông Hàn,Han River,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-danang-place-helio-night-market,Chợ đêm Helio,Helio Night Market,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-danang-place-linh-ung-pagoda,Chùa Linh Ứng,Linh Ung Pagoda,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-danang-place-love-bridge,Cầu Tình Yêu,Love Bridge,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-danang-place-man-thai-beach,Biển Mân Thái,Man Thai Beach,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-danang-place-marble-mountains,Ngũ Hành Sơn,Marble Mountains,macro_attraction_journey,,generic_or_neutral_follow_up
viet-family-city-danang-place-my-khe,Biển Mỹ Khê,My Khe Beach,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-danang-place-nam-o-reef,Rạn Nam Ô,Nam O Reef,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-danang-place-nen,Nén Đà Nẵng,Nén Đà Nẵng,restaurant,,generic_or_neutral_follow_up
viet-family-city-danang-place-nguyen-van-linh-street,Đường Nguyễn Văn Linh,Nguyen Van Linh Street,street,,generic_or_neutral_follow_up
viet-family-city-danang-place-non-nuoc-beach,Biển Non Nước,Non Nuoc Beach,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-danang-place-non-nuoc-stone-village,Làng đá Non Nước,Non Nuoc Stone Carving Village,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-danang-place-railway-station,Ga Đà Nẵng,Da Nang Railway Station,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-danang-place-son-tra,Bán đảo Sơn Trà,Son Tra Peninsula,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-danang-place-son-tra-night-market,Chợ đêm Sơn Trà,Son Tra Night Market,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-danang-place-tien-sa-port,Cảng Tiên Sa,Tien Sa Port,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-danang-place-tran-thi-ly-bridge,Cầu Trần Thị Lý,Tran Thi Ly Bridge,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-danang-place-vo-nguyen-giap-street,Đường Võ Nguyên Giáp,Vo Nguyen Giap Street,street,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-ba-dinh-square,Quảng trường Ba Đình,Ba Dinh Square,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-bun-cha-huong-lien,Bún chả Hương Liên,Bun Cha Huong Lien,restaurant,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-cha-ca-thang-long,Chả cá Thăng Long,Cha Ca Thang Long,restaurant,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-dong-xuan,Chợ Đồng Xuân,Dong Xuan Market,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-ethnology-museum,Bảo tàng Dân tộc học,Vietnam Museum of Ethnology,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-giang-cafe,Cà phê Giảng,Giang Cafe,restaurant,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-hang-bac-street,Phố Hàng Bạc,Hang Bac Street,street,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-hang-gai-street,Phố Hàng Gai,Hang Gai Street,street,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-ho-chi-minh-mausoleum,Lăng Bác,Ho Chi Minh Mausoleum,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-hoa-lo-prison,Nhà tù Hỏa Lò,Hoa Lo Prison,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-hoan-kiem,Hồ Hoàn Kiếm,Hoan Kiem Lake,landmark_micro_place,,generic_or_neutral_follow_up
