patch_id,page_id,phrase_id,review_status,import_approval,operation,target_id,target_order,current_value,proposed_value,reason_for_change,new_linked_phrase_required,canonical_target_id,audio_policy,asset_policy,validator_rule,jojo_question
B001-UXFIX-DRAGON-SEC-001,viet-phrase-city-danang-place-dragon-bridge,city-danang-place-dragon-bridge,REVIEW_ONLY,REVIEW_ONLY,UPSERT_SECTION_COPY_REVIEW_ONLY,viet-phrase-city-danang-place-dragon-bridge:at-glance,0,,"{""section_key"": ""at-glance"", ""title"": ""Start here"", ""body"": ""Locals usually recognize Dragon Bridge as Cầu Rồng. Say it or show it when you need to get there, meet nearby, ask where it is, or ask for a photo."", ""presentation"": ""plain-text"", ""sort_order"": 0}",Use plain traveler-facing task labels instead of internal content model headings.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-UXFIX-DRAGON-SEC-002,viet-phrase-city-danang-place-dragon-bridge,city-danang-place-dragon-bridge,REVIEW_ONLY,REVIEW_ONLY,UPSERT_SECTION_COPY_REVIEW_ONLY,viet-phrase-city-danang-place-dragon-bridge:quick-say,1,,"{""section_key"": ""quick-say"", ""title"": ""Say the name"", ""body"": ""Start with the short name: Cầu Rồng. If traffic is loud or the person looks unsure, show the map pin too."", ""presentation"": ""primary_phrase"", ""sort_order"": 1}",Use plain traveler-facing task labels instead of internal content model headings.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-UXFIX-DRAGON-SEC-003,viet-phrase-city-danang-place-dragon-bridge,city-danang-place-dragon-bridge,REVIEW_ONLY,REVIEW_ONLY,UPSERT_SECTION_COPY_REVIEW_ONLY,viet-phrase-city-danang-place-dragon-bridge:getting-there,2,,"{""section_key"": ""getting-there"", ""title"": ""Getting there"", ""body"": ""Use these with a driver, hotel desk, or anyone helping you find the bridge."", ""presentation"": ""phrase-list"", ""sort_order"": 2}",Use plain traveler-facing task labels instead of internal content model headings.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-UXFIX-DRAGON-SEC-004,viet-phrase-city-danang-place-dragon-bridge,city-danang-place-dragon-bridge,REVIEW_ONLY,REVIEW_ONLY,UPSERT_SECTION_COPY_REVIEW_ONLY,viet-phrase-city-danang-place-dragon-bridge:at-the-bridge,3,,"{""section_key"": ""at-the-bridge"", ""title"": ""At the bridge"", ""body"": ""Use this when you are already near the bridge and want help with a photo or direction."", ""presentation"": ""phrase-list"", ""sort_order"": 3}",Use plain traveler-facing task labels instead of internal content model headings.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-UXFIX-DRAGON-SEC-005,viet-phrase-city-danang-place-dragon-bridge,city-danang-place-dragon-bridge,REVIEW_ONLY,REVIEW_ONLY,UPSERT_SECTION_COPY_REVIEW_ONLY,viet-phrase-city-danang-place-dragon-bridge:pickup-nearby,4,,"{""section_key"": ""pickup-nearby"", ""title"": ""Meeting or pickup"", ""body"": ""Use these when you need to get dropped off, meet someone, or explain where you are nearby."", ""presentation"": ""phrase-list"", ""sort_order"": 4}",Use plain traveler-facing task labels instead of internal content model headings.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-UXFIX-DRAGON-SEC-006,viet-phrase-city-danang-place-dragon-bridge,city-danang-place-dragon-bridge,REVIEW_ONLY,REVIEW_ONLY,UPSERT_SECTION_COPY_REVIEW_ONLY,viet-phrase-city-danang-place-dragon-bridge:name-meaning,5,,"{""section_key"": ""name-meaning"", ""title"": ""What the name means"", ""body"": ""Cầu means bridge. Rồng means dragon. Together, Cầu Rồng means Dragon Bridge."", ""presentation"": ""compact-breakdown"", ""sort_order"": 5}",Use plain traveler-facing task labels instead of internal content model headings.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-UXFIX-DRAGON-SEC-007,viet-phrase-city-danang-place-dragon-bridge,city-danang-place-dragon-bridge,REVIEW_ONLY,REVIEW_ONLY,UPSERT_SECTION_COPY_REVIEW_ONLY,viet-phrase-city-danang-place-dragon-bridge:good-to-know,6,,"{""section_key"": ""good-to-know"", ""title"": ""Good to know"", ""body"": ""Dragon Bridge can be a busy meeting spot. Confirm which side of the bridge or which nearby landmark you should use before you separate from your driver or group."", ""presentation"": ""tip-callout"", ""sort_order"": 6}",Use plain traveler-facing task labels instead of internal content model headings.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-UXFIX-DRAGON-SEC-008,viet-phrase-city-danang-place-dragon-bridge,city-danang-place-dragon-bridge,REVIEW_ONLY,REVIEW_ONLY,UPSERT_SECTION_COPY_REVIEW_ONLY,viet-phrase-city-danang-place-dragon-bridge:explore-next,7,,"{""section_key"": ""explore-next"", ""title"": ""Nearby needs"", ""body"": ""Use these if the conversation moves to food, cash, or getting back."", ""presentation"": ""phrase-list"", ""sort_order"": 7}",Use plain traveler-facing task labels instead of internal content model headings.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-UXFIX-DRAGON-SEC-009,viet-phrase-city-danang-place-dragon-bridge,city-danang-place-dragon-bridge,REVIEW_ONLY,REVIEW_ONLY,SUPPRESS_SECTION_REVIEW_ONLY,viet-phrase-city-danang-place-dragon-bridge:place-brief,90,,"{""section_key"": ""place-brief"", ""suppress"": true}",Suppress redundant or unnatural section heading for landmark pages.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-UXFIX-DRAGON-SEC-010,viet-phrase-city-danang-place-dragon-bridge,city-danang-place-dragon-bridge,REVIEW_ONLY,REVIEW_ONLY,SUPPRESS_SECTION_REVIEW_ONLY,viet-phrase-city-danang-place-dragon-bridge:use-it-with,91,,"{""section_key"": ""use-it-with"", ""suppress"": true}",Suppress redundant or unnatural section heading for landmark pages.,,,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
