"phraseID","targetText","englishText","scenarioID","expansionFamily","difficulty","practiceBuckets","audioStatus","status"
"vpe-near-place-nha-ve-sinh-gan-day-khong","nhà vệ sinh gần đây không?","Is the bathroom nearby?","bathroom-personal-needs","near-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-take-me-place-cho-toi-den-nha-ve-sinh","Cho tôi đến nhà vệ sinh","Please take me to the bathroom.","bathroom-personal-needs","take-me-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-stop-at-place-dung-o-nha-ve-sinh","Dừng ở nhà vệ sinh","Stop at the bathroom.","transport","stop-at-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-where-place-quay-le-tan-o-dau","quầy lễ tân ở đâu?","Where is the front desk?","hotel-accommodation","where-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-near-place-quay-le-tan-gan-day-khong","quầy lễ tân gần đây không?","Is the front desk nearby?","hotel-accommodation","near-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-take-me-place-cho-toi-den-quay-le-tan","Cho tôi đến quầy lễ tân","Please take me to the front desk.","hotel-accommodation","take-me-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-stop-at-place-dung-o-quay-le-tan","Dừng ở quầy lễ tân","Stop at the front desk.","transport","stop-at-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-near-place-nha-thuoc-gan-day-khong","nhà thuốc gần đây không?","Is a pharmacy nearby?","health-pharmacy","near-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-take-me-place-cho-toi-den-nha-thuoc","Cho tôi đến nhà thuốc","Please take me to a pharmacy.","health-pharmacy","take-me-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-stop-at-place-dung-o-nha-thuoc","Dừng ở nhà thuốc","Stop at a pharmacy.","transport","stop-at-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-near-place-atm-gan-day-khong","ATM gần đây không?","Is an ATM nearby?","money-numbers-prices","near-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-take-me-place-cho-toi-den-atm","Cho tôi đến ATM","Please take me to an ATM.","money-numbers-prices","take-me-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-stop-at-place-dung-o-atm","Dừng ở ATM","Stop at an ATM.","transport","stop-at-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-where-place-ben-xe-o-dau","bến xe ở đâu?","Where is the bus station?","transport","where-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-near-place-ben-xe-gan-day-khong","bến xe gần đây không?","Is the bus station nearby?","transport","near-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-take-me-place-cho-toi-den-ben-xe","Cho tôi đến bến xe","Please take me to the bus station.","transport","take-me-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-stop-at-place-dung-o-ben-xe","Dừng ở bến xe","Stop at the bus station.","transport","stop-at-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-where-place-ben-tau-o-dau","bến tàu ở đâu?","Where is the boat pier?","transport","where-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-near-place-ben-tau-gan-day-khong","bến tàu gần đây không?","Is the boat pier nearby?","transport","near-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-take-me-place-cho-toi-den-ben-tau","Cho tôi đến bến tàu","Please take me to the boat pier.","transport","take-me-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-stop-at-place-dung-o-ben-tau","Dừng ở bến tàu","Stop at the boat pier.","transport","stop-at-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-where-place-san-bay-o-dau","sân bay ở đâu?","Where is the airport?","airport-border-arrival","where-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-near-place-san-bay-gan-day-khong","sân bay gần đây không?","Is the airport nearby?","airport-border-arrival","near-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-take-me-place-cho-toi-den-san-bay","Cho tôi đến sân bay","Please take me to the airport.","airport-border-arrival","take-me-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-stop-at-place-dung-o-san-bay","Dừng ở sân bay","Stop at the airport.","transport","stop-at-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-where-place-ga-tau-o-dau","ga tàu ở đâu?","Where is the train station?","transport","where-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-near-place-ga-tau-gan-day-khong","ga tàu gần đây không?","Is the train station nearby?","transport","near-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-take-me-place-cho-toi-den-ga-tau","Cho tôi đến ga tàu","Please take me to the train station.","transport","take-me-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-stop-at-place-dung-o-ga-tau","Dừng ở ga tàu","Stop at the train station.","transport","stop-at-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-where-place-cua-ra-o-dau","cửa ra ở đâu?","Where is the exit?","directions-navigation","where-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-near-place-cua-ra-gan-day-khong","cửa ra gần đây không?","Is the exit nearby?","directions-navigation","near-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-take-me-place-cho-toi-den-cua-ra","Cho tôi đến cửa ra","Please take me to the exit.","transport","take-me-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
"vpe-stop-at-place-dung-o-cua-ra","Dừng ở cửa ra","Stop at the exit.","transport","stop-at-place","beginner","english-to-vietnamese|vietnamese-to-english|missing-token|city-destination|distractor","planned","approved"
