patch_id,page_id,phrase_id,review_status,import_approval,operation,target_id,target_order,current_value,proposed_value,reason_for_change,new_linked_phrase_required,canonical_target_id,audio_policy,asset_policy,validator_rule,jojo_question
B001-REL-001,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,DEMOTE_RELATION_REVIEW_ONLY,relation:01fe5e933bb0bbbc,0,"{""target_id"":""viet-phrase-city-hanoi-atm-bun-cha-huong-lien"",""target_page_id"":""viet-phrase-city-hanoi-atm-bun-cha-huong-lien"",""relation_type"":""see_also"",""display_label"":""What it is"",""reason"":""Authored What it is row links these phrase pages.""}","{""target_id"":""viet-phrase-city-hanoi-atm-bun-cha-huong-lien"",""target_page_id"":""viet-phrase-city-hanoi-atm-bun-cha-huong-lien"",""display_label"":""Explore next"",""relation_type"":""see_also"",""sort_order"":90,""suppress"":false}",ATM help is secondary to the core page task.,,viet-phrase-city-hanoi-atm-bun-cha-huong-lien,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-002,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,KEEP_RELATION_REVIEW_ONLY,relation:5fec9ddd3ec29818,0,"{""target_id"":""viet-phrase-store-6"",""target_page_id"":""viet-phrase-store-6"",""relation_type"":""see_also"",""display_label"":""When to use it"",""reason"":""Authored When to use it row links these phrase pages.""}","{""target_id"":""viet-phrase-store-6"",""target_page_id"":""viet-phrase-store-6"",""display_label"":""When to use it"",""relation_type"":""see_also"",""sort_order"":0,""suppress"":false}",Relation remains useful at current priority.,,viet-phrase-store-6,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-003,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,KEEP_RELATION_REVIEW_ONLY,relation:76cdcac311907832,0,"{""target_id"":""viet-phrase-vpe-one-item-please-cho-toi-mot-tra-da"",""target_page_id"":""viet-phrase-vpe-one-item-please-cho-toi-mot-tra-da"",""relation_type"":""see_also"",""display_label"":""Inside the place"",""reason"":""Authored Inside the place row links these phrase pages.""}","{""target_id"":""viet-phrase-vpe-one-item-please-cho-toi-mot-tra-da"",""target_page_id"":""viet-phrase-vpe-one-item-please-cho-toi-mot-tra-da"",""display_label"":""Inside the place"",""relation_type"":""see_also"",""sort_order"":0,""suppress"":false}",Relation remains useful at current priority.,,viet-phrase-vpe-one-item-please-cho-toi-mot-tra-da,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-004,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,KEEP_RELATION_REVIEW_ONLY,relation:990dfe2f3ec60bb2,0,"{""target_id"":""viet-phrase-city-hanoi-stop-bun-cha-huong-lien"",""target_page_id"":""viet-phrase-city-hanoi-stop-bun-cha-huong-lien"",""relation_type"":""next_step_after"",""display_label"":""Explore next"",""reason"":""Authored Explore next row links these phrase pages.""}","{""target_id"":""viet-phrase-city-hanoi-stop-bun-cha-huong-lien"",""target_page_id"":""viet-phrase-city-hanoi-stop-bun-cha-huong-lien"",""display_label"":""Explore next"",""relation_type"":""next_step_after"",""sort_order"":0,""suppress"":false}",Relation remains useful at current priority.,,viet-phrase-city-hanoi-stop-bun-cha-huong-lien,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-005,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,PROMOTE_RELATION_REVIEW_ONLY,relation:acf4e7b5c24b0c83,0,"{""target_id"":""viet-phrase-ves-call-taxi-for-me"",""target_page_id"":""viet-phrase-ves-call-taxi-for-me"",""relation_type"":""see_also"",""display_label"":""Before you go"",""reason"":""Authored Before you go row links these phrase pages.""}","{""target_id"":""viet-phrase-ves-call-taxi-for-me"",""target_page_id"":""viet-phrase-ves-call-taxi-for-me"",""display_label"":""Before you go"",""relation_type"":""see_also"",""sort_order"":0,""suppress"":false}",This relation supports the traveler’s next likely action.,,viet-phrase-ves-call-taxi-for-me,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-006,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,KEEP_RELATION_REVIEW_ONLY,relation:d87000a933af7e81,0,"{""target_id"":""viet-phrase-ves-order-bun-cha-portion"",""target_page_id"":""viet-phrase-ves-order-bun-cha-portion"",""relation_type"":""see_also"",""display_label"":""Quick say"",""reason"":""Authored Quick say row links these phrase pages.""}","{""target_id"":""viet-phrase-ves-order-bun-cha-portion"",""target_page_id"":""viet-phrase-ves-order-bun-cha-portion"",""display_label"":""Quick say"",""relation_type"":""see_also"",""sort_order"":0,""suppress"":false}",Relation remains useful at current priority.,,viet-phrase-ves-order-bun-cha-portion,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-007,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,PROMOTE_RELATION_REVIEW_ONLY,relation:dccab730e8b56979,0,"{""target_id"":""viet-phrase-food-need-table"",""target_page_id"":""viet-phrase-food-need-table"",""relation_type"":""see_also"",""display_label"":""Menu and dietary help"",""reason"":""Authored Menu and dietary help row links these phrase pages.""}","{""target_id"":""viet-phrase-food-need-table"",""target_page_id"":""viet-phrase-food-need-table"",""display_label"":""Menu and dietary help"",""relation_type"":""see_also"",""sort_order"":0,""suppress"":false}",This relation supports the traveler’s next likely action.,,viet-phrase-food-need-table,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-008,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,PROMOTE_RELATION_REVIEW_ONLY,relation:275fc0f27bba9012,1,"{""target_id"":""viet-phrase-taxi-7"",""target_page_id"":""viet-phrase-taxi-7"",""relation_type"":""see_also"",""display_label"":""When to use it"",""reason"":""Authored When to use it row links these phrase pages.""}","{""target_id"":""viet-phrase-taxi-7"",""target_page_id"":""viet-phrase-taxi-7"",""display_label"":""When to use it"",""relation_type"":""see_also"",""sort_order"":1,""suppress"":false}",This relation supports the traveler’s next likely action.,,viet-phrase-taxi-7,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-009,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,KEEP_RELATION_REVIEW_ONLY,relation:2a439bc7efc3abe1,1,"{""target_id"":""viet-phrase-coffee-7"",""target_page_id"":""viet-phrase-coffee-7"",""relation_type"":""see_also"",""display_label"":""Inside the place"",""reason"":""Authored Inside the place row links these phrase pages.""}","{""target_id"":""viet-phrase-coffee-7"",""target_page_id"":""viet-phrase-coffee-7"",""display_label"":""Inside the place"",""relation_type"":""see_also"",""sort_order"":1,""suppress"":false}",Relation remains useful at current priority.,,viet-phrase-coffee-7,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-010,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,PROMOTE_RELATION_REVIEW_ONLY,relation:86a535b0fda39157,1,"{""target_id"":""viet-phrase-city-hanoi-where-bun-cha-huong-lien"",""target_page_id"":""viet-phrase-city-hanoi-where-bun-cha-huong-lien"",""relation_type"":""next_step_after"",""display_label"":""Explore next"",""reason"":""Authored Explore next row links these phrase pages.""}","{""target_id"":""viet-phrase-city-hanoi-where-bun-cha-huong-lien"",""target_page_id"":""viet-phrase-city-hanoi-where-bun-cha-huong-lien"",""display_label"":""Explore next"",""relation_type"":""next_step_after"",""sort_order"":1,""suppress"":false}",This relation supports the traveler’s next likely action.,,viet-phrase-city-hanoi-where-bun-cha-huong-lien,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
