"selected_order","batch_role","selection_group","page_id","phrase_id","vietnamese_title","english_title","selection_reason","known_context","audit_flags","current_page_id_mismatch_from_pilot","suggested_chatgpt_focus","screenshot_or_artifact_pointer","reviewer_notes","review_status","import_approval"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","Bún chả Hương Liên","Bun Cha Huong Lien","Prior hard restaurant page; needs live-interaction model for ordering, drinks, payment, and ride-back support.","Prior pilot hard row EP-001","","FALSE","Fill exact patch rows or ask Jojo a precise question; do not write vague notes.","","","REVIEW_ONLY","REVIEW_ONLY"
"2","active_review","restaurant","viet-phrase-city-hanoi-place-pho-bat-dan","city-hanoi-place-pho-bat-dan","Phở Bát Đàn","Pho Bat Dan","Prior hard restaurant page; needs durable, source-aware traveler tasks without review-style claims.","Prior pilot hard row EP-002","","FALSE","Fill exact patch rows or ask Jojo a precise question; do not write vague notes.","","","REVIEW_ONLY","REVIEW_ONLY"
"3","active_review","dish_identity","viet-phrase-city-hoian-place-cao-lau-city","city-hoian-place-cao-lau-city","Cao lầu ở Hội An","Cao lau in Hoi An","Remaining unresolved Cao lầu identity page; needs Jojo decision before any canonical title/content import.","Prior pilot hard row EP-003","","FALSE","Fill exact patch rows or ask Jojo a precise question; do not write vague notes.","","","REVIEW_ONLY","REVIEW_ONLY"
"4","active_review","dish","viet-phrase-city-hue-place-bun-bo-city","city-hue-place-bun-bo-city","Bún bò Huế","Bun bo Hue","Prior hard dish page; needs order, spice, ingredient, and diet teaching shape.","Prior pilot hard row EP-004","","FALSE","Fill exact patch rows or ask Jojo a precise question; do not write vague notes.","","","REVIEW_ONLY","REVIEW_ONLY"
"5","reference_completed","journey_place","viet-phrase-city-danang-place-ba-na-hills","city-danang-place-ba-na-hills","Bà Nà Hills","Ba Na Hills","Completed Bà Nà Hills journey patch; include as the model example, not as an active re-import target.","Bà Nà v2 reference: page=; sections=","","FALSE","Read as a model for journey-page structure; do not propose re-import unless Jojo explicitly asks.","docs/task-results/TASK-VIET-BA-NA-HILLS-JOURNEY-PATCH-001.md","","REVIEW_ONLY","REVIEW_ONLY"
"6","active_review","place_navigation","viet-phrase-city-danang-place-dragon-bridge","city-danang-place-dragon-bridge","Cầu Rồng","Dragon Bridge","Prior hard landmark page; needs place navigation and photo/pickup recovery shape.","Prior pilot hard row EP-006","","FALSE","Fill exact patch rows or ask Jojo a precise question; do not write vague notes.","","","REVIEW_ONLY","REVIEW_ONLY"
"7","active_review","place_journey","viet-phrase-city-danang-place-marble-mountains","city-danang-place-marble-mountains","Ngũ Hành Sơn","Marble Mountains","Prior hard attraction page; needs stable facts and ticket/entrance journey support.","Prior pilot hard row EP-007","","FALSE","Fill exact patch rows or ask Jojo a precise question; do not write vague notes.","","","REVIEW_ONLY","REVIEW_ONLY"
"8","active_review","place_navigation","viet-phrase-city-danang-place-son-tra","city-danang-place-son-tra","Bán đảo Sơn Trà","Son Tra Peninsula","Prior hard area page; needs route-area model and exact-stop support.","Prior pilot hard row EP-008","","FALSE","Fill exact patch rows or ask Jojo a precise question; do not write vague notes.","","","REVIEW_ONLY","REVIEW_ONLY"
"9","active_review","street_pronouncer","viet-phrase-city-danang-place-bach-dang-street","city-danang-place-bach-dang-street","Đường Bạch Đằng","Bach Dang Street","Prior hard street page; needs street-name pronouncer and driver-facing linked rows.","Prior pilot hard row EP-009","","FALSE","Fill exact patch rows or ask Jojo a precise question; do not write vague notes.","","","REVIEW_ONLY","REVIEW_ONLY"
"10","active_review","street_pronouncer","viet-phrase-city-danang-place-nguyen-van-linh-street","city-danang-place-nguyen-van-linh-street","Đường Nguyễn Văn Linh","Nguyen Van Linh Street","Prior hard street page; needs confirm-location/drop-off/wrong-place support.","Prior pilot hard row EP-010","","FALSE","Fill exact patch rows or ask Jojo a precise question; do not write vague notes.","","","REVIEW_ONLY","REVIEW_ONLY"
