patch_id,page_id,phrase_id,review_status,import_approval,operation,target_id,target_order,current_value,proposed_value,reason_for_change,new_linked_phrase_required,canonical_target_id,audio_policy,asset_policy,validator_rule,jojo_question
B001-ROW-001,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,PROMOTE_ROW_REVIEW_ONLY,viet-phrase-city-hanoi-place-bun-cha-huong-lien:quick-say:phrase:0:4fd2b0775f6bc2fe,0,"{""section_key"":""quick-say"",""target_phrase_id"":""ves-order-bun-cha-portion"",""target_page_id"":""viet-phrase-ves-order-bun-cha-portion"",""vietnamese"":""Dạ, cho tôi một phần bún chả."",""english"":""One portion of bun cha, please.""}","{""section_key"":""quick-say"",""display_order"":0,""target_phrase_id"":""ves-order-bun-cha-portion"",""target_page_id"":""viet-phrase-ves-order-bun-cha-portion"",""vietnamese"":""Dạ, cho tôi một phần bún chả."",""english"":""One portion of bun cha, please."",""row_treatment"":""standard_phrase_row"",""speaker_left"":true,""chevron_right"":true,""priority"":""primary_or_high""}",Ordering is the core in-place action.,,viet-phrase-ves-order-bun-cha-portion,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-ROW-002,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,DEMOTE_ROW_REVIEW_ONLY,viet-phrase-city-hanoi-place-bun-cha-huong-lien:place-brief:phrase:0:daa435433058460a,0,"{""section_key"":""place-brief"",""target_phrase_id"":""city-hanoi-atm-bun-cha-huong-lien"",""target_page_id"":""viet-phrase-city-hanoi-atm-bun-cha-huong-lien"",""vietnamese"":""Có ATM gần Bún chả Hương Liên không?"",""english"":""Is there an ATM near Bun Cha Huong Lien?""}","{""section_key"":""explore-next"",""display_order"":90,""target_phrase_id"":""city-hanoi-atm-bun-cha-huong-lien"",""target_page_id"":""viet-phrase-city-hanoi-atm-bun-cha-huong-lien"",""vietnamese"":""Có ATM gần Bún chả Hương Liên không?"",""english"":""Is there an ATM near Bun Cha Huong Lien?"",""row_treatment"":""standard_phrase_row"",""speaker_left"":true,""chevron_right"":true,""priority"":""secondary""}",This is useful but secondary to the core traveler flow.,,viet-phrase-city-hanoi-atm-bun-cha-huong-lien,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-ROW-003,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,KEEP_ROW_REVIEW_ONLY,viet-phrase-city-hanoi-place-bun-cha-huong-lien:place-brief:phrase:1:e1aaef62543fe464,1,"{""section_key"":""place-brief"",""target_phrase_id"":""city-hanoi-eat-near-bun-cha-huong-lien"",""target_page_id"":""viet-phrase-city-hanoi-eat-near-bun-cha-huong-lien"",""vietnamese"":""Ăn gần Bún chả Hương Liên"",""english"":""Eat near Bun Cha Huong Lien""}","{""section_key"":""place-brief"",""display_order"":1,""target_phrase_id"":""city-hanoi-eat-near-bun-cha-huong-lien"",""target_page_id"":""viet-phrase-city-hanoi-eat-near-bun-cha-huong-lien"",""vietnamese"":""Ăn gần Bún chả Hương Liên"",""english"":""Eat near Bun Cha Huong Lien"",""row_treatment"":""standard_phrase_row"",""speaker_left"":true,""chevron_right"":true}",Food-area row is acceptable as a lower-priority supporting row.,,viet-phrase-city-hanoi-eat-near-bun-cha-huong-lien,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-ROW-004,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,PROMOTE_ROW_REVIEW_ONLY,viet-phrase-city-hanoi-place-bun-cha-huong-lien:place-brief:phrase:2:23277cfef1a07171,2,"{""section_key"":""place-brief"",""target_phrase_id"":""city-hanoi-go-bun-cha-huong-lien"",""target_page_id"":""viet-phrase-city-hanoi-go-bun-cha-huong-lien"",""vietnamese"":""Đi Bún chả Hương Liên"",""english"":""Go to Bun Cha Huong Lien""}","{""section_key"":""inside-the-place"",""display_order"":2,""target_phrase_id"":""city-hanoi-go-bun-cha-huong-lien"",""target_page_id"":""viet-phrase-city-hanoi-go-bun-cha-huong-lien"",""vietnamese"":""Đi Bún chả Hương Liên"",""english"":""Go to Bun Cha Huong Lien"",""row_treatment"":""standard_phrase_row"",""speaker_left"":true,""chevron_right"":true,""priority"":""primary_or_high""}",Ordering is the core in-place action.,,viet-phrase-city-hanoi-go-bun-cha-huong-lien,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-ROW-005,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,PROMOTE_ROW_REVIEW_ONLY,viet-phrase-city-hanoi-place-bun-cha-huong-lien:before-you-go:phrase:0:5c060e8b7e64e78f,0,"{""section_key"":""before-you-go"",""target_phrase_id"":""ves-call-taxi-for-me"",""target_page_id"":""viet-phrase-ves-call-taxi-for-me"",""vietnamese"":""Gọi giúp tôi taxi được không?"",""english"":""Can you call me a taxi?""}","{""section_key"":""before-you-go"",""display_order"":10,""target_phrase_id"":""ves-call-taxi-for-me"",""target_page_id"":""viet-phrase-ves-call-taxi-for-me"",""vietnamese"":""Gọi giúp tôi taxi được không?"",""english"":""Can you call me a taxi?"",""row_treatment"":""standard_phrase_row"",""speaker_left"":true,""chevron_right"":true,""priority"":""primary_or_high""}",Driver and map rows support arrival or ride-back.,,viet-phrase-ves-call-taxi-for-me,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-ROW-006,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,KEEP_ROW_REVIEW_ONLY,viet-phrase-city-hanoi-place-bun-cha-huong-lien:menu-dietary:phrase:0:824d804dd0ed9733,0,"{""section_key"":""menu-dietary"",""target_phrase_id"":""food-need-table"",""target_page_id"":""viet-phrase-food-need-table"",""vietnamese"":""Cho tôi bàn cho hai người nhé"",""english"":""A table for two, please""}","{""section_key"":""menu-dietary"",""display_order"":0,""target_phrase_id"":""food-need-table"",""target_page_id"":""viet-phrase-food-need-table"",""vietnamese"":""Cho tôi bàn cho hai người nhé"",""english"":""A table for two, please"",""row_treatment"":""standard_phrase_row"",""speaker_left"":true,""chevron_right"":true}",This row remains useful in the proposed page flow.,,viet-phrase-food-need-table,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-ROW-007,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,KEEP_ROW_REVIEW_ONLY,viet-phrase-city-hanoi-place-bun-cha-huong-lien:menu-dietary:phrase:1:9dce1809b973f75f,1,"{""section_key"":""menu-dietary"",""target_phrase_id"":""food-menu"",""target_page_id"":""viet-phrase-food-menu"",""vietnamese"":""Cho tôi xem thực đơn được không?"",""english"":""Can I see the menu?""}","{""section_key"":""menu-dietary"",""display_order"":1,""target_phrase_id"":""food-menu"",""target_page_id"":""viet-phrase-food-menu"",""vietnamese"":""Cho tôi xem thực đơn được không?"",""english"":""Can I see the menu?"",""row_treatment"":""standard_phrase_row"",""speaker_left"":true,""chevron_right"":true}",This row remains useful in the proposed page flow.,,viet-phrase-food-menu,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-ROW-008,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,KEEP_ROW_REVIEW_ONLY,viet-phrase-city-hanoi-place-bun-cha-huong-lien:menu-dietary:phrase:2:fa199107653fdbe2,2,"{""section_key"":""menu-dietary"",""target_phrase_id"":""v900-food-drin-what-do-you-recommend"",""target_page_id"":""viet-phrase-v900-food-drin-what-do-you-recommend"",""vietnamese"":""Bạn đề xuất món gì?"",""english"":""What do you recommend?""}","{""section_key"":""menu-dietary"",""display_order"":2,""target_phrase_id"":""v900-food-drin-what-do-you-recommend"",""target_page_id"":""viet-phrase-v900-food-drin-what-do-you-recommend"",""vietnamese"":""Bạn đề xuất món gì?"",""english"":""What do you recommend?"",""row_treatment"":""standard_phrase_row"",""speaker_left"":true,""chevron_right"":true}",This row remains useful in the proposed page flow.,,viet-phrase-v900-food-drin-what-do-you-recommend,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-ROW-009,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,KEEP_ROW_REVIEW_ONLY,viet-phrase-city-hanoi-place-bun-cha-huong-lien:menu-dietary:phrase:3:504fcc0ba1798839,3,"{""section_key"":""menu-dietary"",""target_phrase_id"":""food-peanut-allergy"",""target_page_id"":""viet-phrase-food-peanut-allergy"",""vietnamese"":""Tôi bị dị ứng đậu phộng"",""english"":""I am allergic to peanuts""}","{""section_key"":""menu-dietary"",""display_order"":3,""target_phrase_id"":""food-peanut-allergy"",""target_page_id"":""viet-phrase-food-peanut-allergy"",""vietnamese"":""Tôi bị dị ứng đậu phộng"",""english"":""I am allergic to peanuts"",""row_treatment"":""standard_phrase_row"",""speaker_left"":true,""chevron_right"":true}",This row remains useful in the proposed page flow.,,viet-phrase-food-peanut-allergy,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-ROW-010,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,KEEP_ROW_REVIEW_ONLY,viet-phrase-city-hanoi-place-bun-cha-huong-lien:menu-dietary:phrase:4:81c9b2d304d12ccc,4,"{""section_key"":""menu-dietary"",""target_phrase_id"":""food-vegetarian"",""target_page_id"":""viet-phrase-food-vegetarian"",""vietnamese"":""Tôi ăn chay"",""english"":""I am vegetarian""}","{""section_key"":""menu-dietary"",""display_order"":4,""target_phrase_id"":""food-vegetarian"",""target_page_id"":""viet-phrase-food-vegetarian"",""vietnamese"":""Tôi ăn chay"",""english"":""I am vegetarian"",""row_treatment"":""standard_phrase_row"",""speaker_left"":true,""chevron_right"":true}",This row remains useful in the proposed page flow.,,viet-phrase-food-vegetarian,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
