"rank","scenario_id","phrase_id","english_text","priority_reason","confidence","review_flag","execution_status","decision_notes"
"1","polite-basics","german-polite-basics-5","Excuse me","Highest-frequency opener for getting attention and softening requests across stations hotels cafes and shops in Germany.","high","service-wording-review","first-wave-translated","Translated as a short neutral polite opener."
"2","polite-basics","german-polite-basics-2","Thank you","Core courtesy anchor across nearly every Germany travel interaction and an easy early win for the lane.","high","none","first-wave-translated","Translated as a compact courtesy anchor."
"3","grab-taxi","german-grab-taxi-1","Take me here","Strong show-screen transport phrase for taxis ride pickups and address-based hotel arrivals.","high","service-wording-review","first-wave-translated","Translated with polite driver wording for show-screen use."
"4","simple-problems","german-simple-problems-2","I do not understand","Primary repair phrase when fast German replies outpace the traveler's comprehension.","high","none","first-wave-translated","Translated as the core repair phrase for fast replies."
"5","simple-problems","german-simple-problems-3","Can you speak a little slower","Best follow-up after signaling non-understanding in any service interaction.","high","service-wording-review","first-wave-translated","Translated with a polite slower-speech request shape."
"6","hotel-hostel","german-hotel-hostel-1","I have a reservation","High-value front-desk phrase for arrival day and the clearest hotel starting point.","high","none","first-wave-translated","Translated as an early front-desk lookup line."
"7","hotel-hostel","german-hotel-hostel-2","I would like to check in","Companion to reservation lookup when the front desk needs a clear request.","high","service-wording-review","first-wave-translated","Translated as a concise check-in request."
"8","convenience-store","german-convenience-store-6","Can I pay by card","Important payment-confirmation phrase for kiosks cafes shops and smaller counters.","high","none","first-wave-translated","Translated as explicit card-payment confirmation."
"9","asking-price","german-asking-price-1","How much is this","Core purchase and quick-confirmation phrase for shops bakeries kiosks and counters.","high","none","first-wave-translated","Translated as the core price-check row."
"10","directions","german-directions-1","Excuse me which platform do I need","Germany-specific transit repair row for stations rail transfers and ticket-based routing.","high","transit-review","first-wave-translated","Translated after the platform-focused rewrite and kept transit-review visible."
"11","directions","german-directions-2","Is it near here","Compact navigation check that helps the traveler decide between walking and taking transport.","high","none","first-wave-translated","Translated as a compact near-here navigation check."
"12","directions","german-directions-3","How long on foot","Useful routing question for station exits hotel districts and city-center walking decisions.","high","none","first-wave-translated","Translated as a short walking-time question."
"13","grab-taxi","german-grab-taxi-3","You can stop here","Short high-value ride phrase for hotel drop-offs station curbs and map-guided stops.","high","service-wording-review","first-wave-translated","Translated as a brief drop-off control line."
"14","convenience-store","german-convenience-store-1","A bottle of water please","Simple hydration purchase phrase useful in station kiosks mini-marts and hotel-adjacent stores.","high","none","first-wave-translated","Translated as a broad utility water-purchase line."
"15","convenience-store","german-convenience-store-7","Please give me the receipt","Frequent checkout follow-through phrase for reimbursements returns and expense tracking.","high","service-wording-review","first-wave-translated","Translated as a practical receipt request."
"16","hotel-hostel","german-hotel-hostel-3","What time is check out","Common timing question that prevents front-desk confusion later in the stay.","high","none","first-wave-translated","Translated as a practical checkout-timing question."
"17","simple-problems","german-simple-problems-7","Please call for me","Useful escalation phrase when the traveler needs help contacting a hotel taxi or support number.","high","service-wording-review","first-wave-translated","Translated as a short support-call request."
"18","simple-problems","german-simple-problems-1","I am lost","Pressure-moment repair phrase that pairs well with showing a map or hotel address.","high","none","first-wave-translated","Translated with a natural lost-traveler phrasing."
"19","coffee-shop","german-coffee-shop-1","One coffee please","Germany-first cafe baseline after removing the iced-drink carryover from the shared scaffold.","medium","none","first-wave-translated","Translated as the Germany-fit simple coffee order."
"20","coffee-shop","german-coffee-shop-6","For takeaway","Common cafe and bakery distinction that travelers hit early at counters and stations.","medium","none","first-wave-translated","Translated as the core takeaway line for cafes and bakeries."
"21","coffee-shop","german-coffee-shop-7","Could I pay, please?","High-frequency cafe or bakery payment request, but the later German should stay service-natural.","medium","service-wording-review","first-wave-translated","Translated toward a service-natural pay request."
"22","street-food","german-street-food-1","One portion please","Fast ordering phrase for casual food counters and low-friction restaurant ordering.","medium","none","first-wave-translated","Translated as a simple counter-order line."
"23","street-food","german-street-food-5","Do you have bottled water","Useful restaurant and food-counter phrase when sealed water matters more than browsing the menu.","medium","none","first-wave-translated","Translated as a sealed-water check for dining contexts."
"24","polite-basics","german-polite-basics-4","No thank you","Useful decline phrase for offers upsells and light street approaches without sounding abrupt.","medium","none","first-wave-translated","Translated as a brief polite decline."
"25","hotel-hostel","german-hotel-hostel-7","Please hold my luggage","High-utility hotel phrase for early arrival or late departure days.","medium","service-wording-review","first-wave-translated","Translated as a polite luggage-storage request."
"26","simple-problems","german-simple-problems-6","I need a doctor","High-stakes traveler phrase worth early placement even though it needs expert review.","medium","expert-review-medical","first-wave-translated-sensitive","Translated but kept behind explicit expert medical review."
"27","grab-taxi","german-grab-taxi-2","Please take me to the station","Germany-specific transit destination request that is stronger than the old generic city-center carryover.","medium","transit-review","first-wave-translated","Translated as a Germany-fit station request."
"28","asking-price","german-asking-price-5","What is the total price","Price-confirmation row that fits Germany better than bargaining-heavy final-price language.","medium","none","first-wave-translated","Translated as a total-price confirmation line."
"29","asking-price","german-asking-price-6","Show me another one","Useful comparison-shopping follow-up that fits shops and souvenir counters better than haggling.","medium","none","first-wave-translated","Translated as a comparison-shopping follow-up."
"30","asking-price","german-asking-price-4","Is there a cheaper one","Lower-confidence shopping comparison row that is still safer for Germany than bargaining language.","medium","none","first-wave-translated","Translated as a comparison row rather than bargaining language."
"31","hotel-hostel","german-hotel-hostel-4","This room is too hot","High-friction room-comfort complaint that should land before lighter politeness or social rows.","high","none","translated-second-pass","Translated in the second pass as part of the room-problem cluster."
"32","hotel-hostel","german-hotel-hostel-5","The air conditioner is not working","Strong repair phrase for hotel stays when the room problem needs staff action.","high","none","translated-second-pass","Translated in the second pass as a direct hotel repair line."
"33","hotel-hostel","german-hotel-hostel-6","More towels please","Common housekeeping follow-through request that keeps the hotel cluster practical.","high","none","translated-second-pass","Translated in the second pass to round out the room-support cluster."
"34","convenience-store","german-convenience-store-2","Do you have a bag","Common checkout follow-through question in kiosks, mini-marts, and station shops.","high","none","translated-second-pass","Translated in the second pass as a checkout bag request."
"35","convenience-store","german-convenience-store-3","Tissues please","Quick purchase request with broad everyday usefulness in travel settings.","medium","none","translated-second-pass","Translated in the second pass as a compact counter request."
