"page_id","phrase_id","vietnamese","english","source_lane","source_path","verdict","review_codes","evidence"
"viet-phrase-airport-7","airport-7","Nhà ga nội địa ở đâu?","Where is the domestic terminal?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-bath-6","bath-6","Ở đây có chỗ tắm không?","Is there a shower here?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-directions-8","directions-8","Điểm đón ở đâu?","Where is the pickup point?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-directions-9","directions-9","Lối ra nào?","Which exit?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-emergency-6","emergency-6","Túi của tôi bị lấy mất","My bag was stolen","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-emergency-7","emergency-7","Tôi cần đại sứ quán","I need the embassy","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-emergency-premium-passport-report","emergency-premium-passport-report","Tôi cần một báo cáo về hộ chiếu bị mất của tôi.","I need a report for my lost passport.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-emergency-premium-phone-stolen","emergency-premium-phone-stolen","Điện thoại của tôi đã bị đánh cắp.","My phone was stolen.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-emergency-premium-police-station","emergency-premium-police-station","Làm ơn đưa tôi đến đồn cảnh sát.","Please take me to the police station.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-emergency-premium-take-me-safe","emergency-premium-take-me-safe","Làm ơn đưa tôi đến nơi nào đó an toàn.","Please take me somewhere safe.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-emergency-premium-tourist-police","emergency-premium-tourist-police","Tôi cần cảnh sát du lịch.","I need the tourist police.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-emergency-premium-wallet-stolen","emergency-premium-wallet-stolen","Ví của tôi đã bị đánh cắp.","My wallet was stolen.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-food-16","food-16","Đây không phải món tôi gọi","This isn’t what I ordered","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-food-17","food-17","Trả riêng được không?","Can we pay separately?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-food-premium-has-meat-in-it","food-premium-has-meat-in-it","Cái này có thịt trong đó.","This has meat in it.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-food-premium-has-peanuts","food-premium-has-peanuts","Cái này có đậu phộng không?","Does this have peanuts?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-food-premium-no-meat","food-premium-no-meat","Làm ơn đừng có thịt.","No meat, please.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-food-premium-too-spicy-now","food-premium-too-spicy-now","Món này quá cay đối với tôi.","This is too spicy for me.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
