rank,scenario_id,phrase_id,english_text,priority_reason,confidence,review_flag,execution_state,final_outcome
1,polite-basics,spanish-polite-basics-5,Excuse me,"Highest-frequency opener for getting attention and opening short requests in stations bars hotels and shops.",high,none,drafted-in-phrase-source,promote
2,polite-basics,spanish-polite-basics-2,Thank you,"Core courtesy anchor across nearly every Spain travel interaction and an easy early win for the lane.",high,none,drafted-in-phrase-source,promote
3,grab-taxi,spanish-grab-taxi-1,Take me here,"Strong show-screen transport phrase for airport pickup taxis and hotel drop-off moments.",high,none,drafted-in-phrase-source,promote
4,asking-price,spanish-asking-price-1,How much is this,"High-value shopping and quick-purchase phrase across shops kiosks and counters.",high,none,drafted-in-phrase-source,promote
5,simple-problems,spanish-simple-problems-2,I do not understand,"Primary repair phrase when replies come too fast or switch away from the traveler's expected English.",high,none,drafted-in-phrase-source,promote
6,simple-problems,spanish-simple-problems-3,Can you speak a little slower,"Best follow-up after signaling non-understanding in any service interaction.",high,none,drafted-in-phrase-source,promote
7,hotel-hostel,spanish-hotel-hostel-1,I have a reservation,"Common arrival phrase with immediate day-one utility at hotels and hostels.",high,none,drafted-in-phrase-source,promote
8,hotel-hostel,spanish-hotel-hostel-2,I would like to check in,"Companion phrase to reservation lookup when the front desk needs a clear request.",high,none,drafted-in-phrase-source,promote
9,convenience-store,spanish-convenience-store-6,Can I pay by card,"Spain-specific high-value payment phrase because card use is widespread and some machines or counters are card-first.",high,none,drafted-in-phrase-source,promote
10,grab-taxi,spanish-grab-taxi-3,You can stop here,"Short high-value taxi phrase for old-town streets hotel drop-offs and map-guided rides.",high,none,drafted-in-phrase-source,promote
11,directions,spanish-directions-2,Is it near here,"Compact navigation phrase that helps the traveler decide between walking and taking transport.",high,none,drafted-in-phrase-source,promote
12,directions,spanish-directions-3,How long on foot,"Useful routing question for old-town walks train connections and station-area navigation.",high,none,drafted-in-phrase-source,promote
13,coffee-shop,spanish-coffee-shop-7,The bill please,"Very useful cafe and bar intent with a Spain-natural bill request.",high,none,drafted-in-phrase-source,promote
14,convenience-store,spanish-convenience-store-1,A bottle of water please,"Simple hydration purchase phrase useful in kiosks stations small shops and hotel counters.",high,none,drafted-in-phrase-source,promote
15,asking-price,spanish-asking-price-7,I'll take this one,"Practical item-selection phrase after pointing to a menu item pastry or shop product.",medium,none,drafted-in-phrase-source,promote
16,coffee-shop,spanish-coffee-shop-6,For takeaway,"Useful in cafes and quick lunch stops where para llevar wording matters.",medium,none,drafted-in-phrase-source,promote
17,hotel-hostel,spanish-hotel-hostel-7,Please hold my luggage,"High-utility hotel phrase for early arrival or late departure days.",medium,none,drafted-in-phrase-source,promote
18,convenience-store,spanish-convenience-store-7,Please give me the receipt,"Frequent checkout follow-through phrase for business travel returns or reimbursement needs.",medium,none,drafted-in-phrase-source,promote
19,simple-problems,spanish-simple-problems-1,I am lost,"Pressure-moment phrase that pairs well with showing a map or destination screen.",medium,none,drafted-in-phrase-source,promote
20,simple-problems,spanish-simple-problems-7,Please call for me,"Useful escalation phrase when the traveler needs help contacting a hotel taxi or support number.",medium,none,drafted-in-phrase-source,promote
21,simple-problems,spanish-simple-problems-6,I need a doctor,"High-stakes traveler phrase worth early placement but it still needs later expert review.",medium,expert-review-medical,drafted-in-phrase-source,native-review-only
22,street-food,spanish-street-food-1,One portion please,"Good general ordering phrase once the lane reframes this scenario toward bars cafes and casual restaurants.",medium,none,drafted-in-phrase-source,promote
23,street-food,spanish-street-food-5,Do you have bottled water,"Useful restaurant and bar phrase when sealed water matters more than menu browsing.",medium,none,drafted-in-phrase-source,promote
24,directions,spanish-directions-1,Excuse me how do I get to the metro station,"Rewritten from city-center wording toward metro-station help and now drafted for the Spain lane.",medium,none,rewritten-and-drafted,promote
25,asking-price,spanish-asking-price-4,Do you have a cheaper one,"Rewritten from bargaining toward a cheaper-option shopping check and now drafted in phrase-source.csv.",medium,none,rewritten-and-drafted,promote
26,asking-price,spanish-asking-price-5,How much is it in total,"Rewritten from final-price bargaining toward total-cost confirmation and now drafted in phrase-source.csv.",medium,none,rewritten-and-drafted,promote
27,hotel-hostel,spanish-hotel-hostel-3,What time is check out,"Useful reservation follow-through phrase for departure-day planning and hotel-desk clarity.",medium,none,drafted-in-phrase-source,promote
28,simple-problems,spanish-simple-problems-4,I left something behind,"Important repair phrase for taxis hotel rooms and cafes when a forgotten item matters more than small talk.",medium,none,drafted-in-phrase-source,promote
29,convenience-store,spanish-convenience-store-2,Do you have a bag,"Common checkout question that keeps quick purchases practical at kiosks and small shops.",medium,none,drafted-in-phrase-source,promote
30,simple-problems,spanish-simple-problems-5,The Wi Fi is not working,"Useful repair phrase for hotels and cafes when the traveler needs connectivity help fast.",medium,none,drafted-in-phrase-source,promote
31,grab-taxi,spanish-grab-taxi-2,Take me to the train station,"Rewritten from vague city-center wording toward a station drop-off request that fits Spain travel better.",medium,none,rewritten-and-drafted,promote
32,street-food,spanish-street-food-7,Pack it to go,"Useful takeaway follow-through beyond the cafe lane and now cleared to avoid another tiny follow-up pass.",medium,none,drafted-in-phrase-source,promote
33,polite-basics,spanish-polite-basics-1,Hello,"Simple greeting anchor worth carrying once the practical queue narrowed enough to clean up basics.",medium,none,drafted-in-phrase-source,promote
34,polite-basics,spanish-polite-basics-7,Goodbye,"Useful closing phrase for shops hotels and rides once the higher-pressure service rows were already covered.",medium,none,drafted-in-phrase-source,promote
35,polite-basics,spanish-polite-basics-3,Yes polite acknowledgment,"Helpful polite acknowledgment for routine service interactions after the core repair layer was stable.",medium,none,drafted-in-phrase-source,promote
36,polite-basics,spanish-polite-basics-6,It is okay,"Useful softener after apologies or small mix-ups in service settings.",medium,none,drafted-in-phrase-source,promote
37,street-food,spanish-street-food-3,Not spicy please,"Lower-frequency in Spain than in some lanes but still practical enough to clear during the residual-tail pass.",medium,none,drafted-in-phrase-source,promote
38,street-food,spanish-street-food-2,I'll have this one,"Rewritten from bowl-specific wording toward a more natural casual-ordering choice for Spain.",medium,none,rewritten-and-drafted,promote
39,street-food,spanish-street-food-6,A fork please,"Rewritten from spoon-and-chopsticks wording toward a Spain-fit utensil request.",low,none,rewritten-and-drafted,promote
40,street-food,spanish-street-food-4,More herbs please,"Low-value garnish request that was translated only after the unresolved queue became genuinely small.",low,none,drafted-in-phrase-source,promote
41,small-talk,spanish-small-talk-1,I am from the United States,"Keep drafted for completeness but retire it from graduation planning because identity small talk trails service and pharmacy-adjacent utility.",low,deferred-social-tail,deferred-after-tail-triage,retire
42,small-talk,spanish-small-talk-2,I am from England,"Keep drafted for completeness but retire it from graduation planning because country-of-origin small talk trails service and pharmacy-adjacent utility.",low,deferred-social-tail,deferred-after-tail-triage,retire
43,small-talk,spanish-small-talk-3,This is my first time,"Keep drafted but retire it from starter consideration because lightweight trip small talk does not outrank the pharmacy-adjacent follow-on.",low,deferred-social-tail,deferred-after-tail-triage,retire
44,small-talk,spanish-small-talk-4,I like it here,"Keep drafted but retire it from starter consideration because general positive chatter remains lower value than repair and pharmacy-adjacent utility.",low,deferred-social-tail,deferred-after-tail-triage,retire
45,small-talk,spanish-small-talk-5,The food is so good,"Keep drafted, but treat it as later-only because a social compliment does not outrank the pharmacy pair or the practical starter rows.",low,later-review-social-tail,later-review-after-pharmacy-pass,later-only
46,small-talk,spanish-small-talk-6,The weather is very hot,"Keep drafted but retire it from starter consideration because weather small talk is filler beside practical travel needs.",low,deferred-social-tail,deferred-after-tail-triage,retire
47,small-talk,spanish-small-talk-7,How are you,"Keep drafted, but treat it as later-only because warmer social chatter only returns if a future social pack is intentionally reopened.",low,later-review-social-tail,later-review-after-pharmacy-pass,later-only
48,convenience-store,spanish-convenience-store-3,Tissues please,"Promote this pharmacy-adjacent row because it works in kiosks pharmacies and station shops without adding medical-risk wording.",medium,next-pharmacy-tail,next-pharmacy-follow-on,promote
49,convenience-store,spanish-convenience-store-4,Where is the sunscreen,"Promote this pharmacy-adjacent row because it is seasonal but still more practical than the low-value social filler rows.",medium,next-pharmacy-tail,next-pharmacy-follow-on,promote
50,convenience-store,spanish-convenience-store-5,Please open this for me,"Keep drafted, but treat it as later-only because packaging help is practical without outranking the clearer pharmacy-adjacent asks above.",low,later-review-pharmacy-adjacent,later-review-after-pharmacy-pass,later-only
