"rule_id","sort_order","scope","current_rule","proposed_validator_rule","proposed_failure_message","reviewer_notes","review_status","import_approval"
"batch_contract","1","chatgpt_batch_001_and_future_import","Patch files must preserve required columns and default to REVIEW_ONLY until Jojo approval.","","","","REVIEW_ONLY","REVIEW_ONLY"
"canonical_identity","2","chatgpt_batch_001_and_future_import","Patch rows may not change page_id or phrase_id unless a separate explicit source-owned canonical-row proposal exists.","","","","REVIEW_ONLY","REVIEW_ONLY"
"no_import_this_task","3","chatgpt_batch_001_and_future_import","This batch may not contain APPROVED_FOR_IMPORT values at creation time.","","","","REVIEW_ONLY","REVIEW_ONLY"
"linked_rows","4","chatgpt_batch_001_and_future_import","Every visible linked row proposed later must resolve to exactly one canonical page or ask Jojo a question.","","","","REVIEW_ONLY","REVIEW_ONLY"
"page_kind_fit","5","chatgpt_batch_001_and_future_import","Place, restaurant, dish, street, route, and relationship/person pages need page-kind-aware copy and section shape.","","","","REVIEW_ONLY","REVIEW_ONLY"
"proper_names","6","chatgpt_batch_001_and_future_import","Proper names must not get fake literal breakdowns; use name recognition when no reliable simple translation exists.","","","","REVIEW_ONLY","REVIEW_ONLY"
"volatile_facts","7","chatgpt_batch_001_and_future_import","No hours, prices, schedules, awards, best claims, or current policy claims without durable source evidence.","","","","REVIEW_ONLY","REVIEW_ONLY"
"audio_policy","8","chatgpt_batch_001_and_future_import","No audio generation; exact audio reuse first, otherwise planned missing audio with disabled speaker state.","","","","REVIEW_ONLY","REVIEW_ONLY"
"anti_internal_copy","9","chatgpt_batch_001_and_future_import","No user-facing AI/editorial/generator/validator/internal terminology.","","","","REVIEW_ONLY","REVIEW_ONLY"
"anti_dense_text","10","chatgpt_batch_001_and_future_import","Avoid long runs of text-only sections; phrase rows/breakdowns should create learning interaction.","","","","REVIEW_ONLY","REVIEW_ONLY"
