priority,status,pageID,title,profile,currentHeroImageName,targetHeroImageName,assetPath,targetAssetPath,currentPx,targetPx,targetRepoPx,sourceMasterPx,targetComponent,focalPoint,safeZone,currentIssue,nextAction,generationPrompt,negativePrompt,proofRequired,sourceOwnership,receiptOrProof,notes
P0,NEEDS_UNIQUE_REALISTIC_ASSET,viet-family-city-hoian-place-white-rose-dumplings,Bánh bao bánh vạc ở Hội An / White rose dumplings,dish,HeroCityHoian,HeroCityHoianPlaceWhiteRoseDumplings,native-ios/Resources/Assets.xcassets/HeroCityHoian.imageset/hero-city-hoian.png,,853 x 1844,,853 x 1844,>= 1600 x 2400 preferred,PhraseListingView HeroMastheadImage,"center 50%, upper 32%; food or entrance must remain visible after fade",Recognizable subject must survive the top 276pt masthead crop; keep the key visual in the upper third and center 70% width.,city_place_requires_unique_realistic_hero,"Generate owned/licensed hero, crop to repo target, wire heroImageName through source/resources/SQLite, and capture simulator proof.","Create a super-realistic app-owned hero photo for a Vietnamese travel phrasebook, matching the premium real-life menu-item hero image quality. No readable text, no logos, no watermarks, no faces as the subject. Keep the main landmark/object recognizable inside the upper third because the iOS masthead crops a shallow horizontal band. Show Bánh bao bánh vạc ở Hội An / White rose dumplings as an appetizing Vietnamese dish close-up with clean natural light and room for the masthead fade. Specific subject guidance: Photorealistic owned asset: delicate white rose dumplings on ceramic plate with fried shallots, soft daylight.","no readable text, no watermark, no logos, no fake signs, no unrelated Ha Long Bay/karst imagery for city-specific pages, no people as the main subject",Simulator screenshot plus phone spot-check before DONE,shared or legacy fallback; replace with unique app-owned generated realistic asset,docs/editorial-exports/viet-image-assets/hero-image-production-001/generated_hero_assets.json,Generate a unique realistic menu-quality image for this exact city noun; do not reuse the city masthead or another place image.
P0,NEEDS_UNIQUE_REALISTIC_ASSET,viet-family-city-hue-place-banh-beo,Bánh bèo ở Huế / Banh beo,dish,HeroCityHue,HeroCityHuePlaceBanhBeo,native-ios/Resources/Assets.xcassets/HeroCityHue.imageset/hero-city-hue.png,,853 x 1844,,853 x 1844,>= 1600 x 2400 preferred,PhraseListingView HeroMastheadImage,"center 50%, upper 32%; food or entrance must remain visible after fade",Recognizable subject must survive the top 276pt masthead crop; keep the key visual in the upper third and center 70% width.,city_place_requires_unique_realistic_hero,"Generate owned/licensed hero, crop to repo target, wire heroImageName through source/resources/SQLite, and capture simulator proof.","Create a super-realistic app-owned hero photo for a Vietnamese travel phrasebook, matching the premium real-life menu-item hero image quality. No readable text, no logos, no watermarks, no faces as the subject. Keep the main landmark/object recognizable inside the upper third because the iOS masthead crops a shallow horizontal band. Show Bánh bèo ở Huế / Banh beo as an appetizing Vietnamese dish close-up with clean natural light and room for the masthead fade. Specific subject guidance: Photorealistic tray of small ceramic saucers of bánh bèo with shrimp topping and scallion oil.","no readable text, no watermark, no logos, no fake signs, no unrelated Ha Long Bay/karst imagery for city-specific pages, no people as the main subject",Simulator screenshot plus phone spot-check before DONE,shared or legacy fallback; replace with unique app-owned generated realistic asset,docs/editorial-exports/viet-image-assets/hero-image-production-001/generated_hero_assets.json,Generate a unique realistic menu-quality image for this exact city noun; do not reuse the city masthead or another place image.
P0,NEEDS_UNIQUE_REALISTIC_ASSET,viet-family-city-hue-place-banh-bot-loc,Bánh bột lọc ở Huế / Banh bot loc,dish,HeroCityHue,HeroCityHuePlaceBanhBotLoc,native-ios/Resources/Assets.xcassets/HeroCityHue.imageset/hero-city-hue.png,,853 x 1844,,853 x 1844,>= 1600 x 2400 preferred,PhraseListingView HeroMastheadImage,"center 50%, upper 32%; food or entrance must remain visible after fade",Recognizable subject must survive the top 276pt masthead crop; keep the key visual in the upper third and center 70% width.,city_place_requires_unique_realistic_hero,"Generate owned/licensed hero, crop to repo target, wire heroImageName through source/resources/SQLite, and capture simulator proof.","Create a super-realistic app-owned hero photo for a Vietnamese travel phrasebook, matching the premium real-life menu-item hero image quality. No readable text, no logos, no watermarks, no faces as the subject. Keep the main landmark/object recognizable inside the upper third because the iOS masthead crops a shallow horizontal band. Show Bánh bột lọc ở Huế / Banh bot loc as an appetizing Vietnamese dish close-up with clean natural light and room for the masthead fade. Specific subject guidance: Photorealistic glossy bánh bột lọc dumplings in banana leaf with shrimp visible and dipping sauce.","no readable text, no watermark, no logos, no fake signs, no unrelated Ha Long Bay/karst imagery for city-specific pages, no people as the main subject",Simulator screenshot plus phone spot-check before DONE,shared or legacy fallback; replace with unique app-owned generated realistic asset,docs/editorial-exports/viet-image-assets/hero-image-production-001/generated_hero_assets.json,Generate a unique realistic menu-quality image for this exact city noun; do not reuse the city masthead or another place image.
P0,NEEDS_UNIQUE_REALISTIC_ASSET,viet-family-city-hanoi-place-banh-cuon,Bánh cuốn ở Hà Nội / Steamed rice rolls,dish,HeroCityHanoi,HeroCityHanoiPlaceBanhCuon,native-ios/Resources/Assets.xcassets/HeroCityHanoi.imageset/hero-city-hanoi.png,,853 x 1844,,853 x 1844,>= 1600 x 2400 preferred,PhraseListingView HeroMastheadImage,"center 50%, upper 32%; food or entrance must remain visible after fade",Recognizable subject must survive the top 276pt masthead crop; keep the key visual in the upper third and center 70% width.,city_place_requires_unique_realistic_hero,"Generate owned/licensed hero, crop to repo target, wire heroImageName through source/resources/SQLite, and capture simulator proof.","Create a super-realistic app-owned hero photo for a Vietnamese travel phrasebook, matching the premium real-life menu-item hero image quality. No readable text, no logos, no watermarks, no faces as the subject. Keep the main landmark/object recognizable inside the upper third because the iOS masthead crops a shallow horizontal band. Show Bánh cuốn ở Hà Nội / Steamed rice rolls as an appetizing Vietnamese dish close-up with clean natural light and room for the masthead fade. Specific subject guidance: Plate of bánh cuốn with herbs and dipping sauce, Hanoi breakfast shop, realistic photo.","no readable text, no watermark, no logos, no fake signs, no unrelated Ha Long Bay/karst imagery for city-specific pages, no people as the main subject",Simulator screenshot plus phone spot-check before DONE,shared or legacy fallback; replace with unique app-owned generated realistic asset,docs/editorial-exports/viet-image-assets/hero-image-production-001/generated_hero_assets.json,Generate a unique realistic menu-quality image for this exact city noun; do not reuse the city masthead or another place image.
P0,NEEDS_UNIQUE_REALISTIC_ASSET,viet-family-city-hoian-place-banh-dap-hen-xao,Bánh đập hến xào ở Hội An / Cracked rice paper and clams,dish,HeroCityHoian,HeroCityHoianPlaceBanhDapHenXao,native-ios/Resources/Assets.xcassets/HeroCityHoian.imageset/hero-city-hoian.png,,853 x 1844,,853 x 1844,>= 1600 x 2400 preferred,PhraseListingView HeroMastheadImage,"center 50%, upper 32%; food or entrance must remain visible after fade",Recognizable subject must survive the top 276pt masthead crop; keep the key visual in the upper third and center 70% width.,city_place_requires_unique_realistic_hero,"Generate owned/licensed hero, crop to repo target, wire heroImageName through source/resources/SQLite, and capture simulator proof.","Create a super-realistic app-owned hero photo for a Vietnamese travel phrasebook, matching the premium real-life menu-item hero image quality. No readable text, no logos, no watermarks, no faces as the subject. Keep the main landmark/object recognizable inside the upper third because the iOS masthead crops a shallow horizontal band. Show Bánh đập hến xào ở Hội An / Cracked rice paper and clams as an appetizing Vietnamese dish close-up with clean natural light and room for the masthead fade. Specific subject guidance: Photorealistic owned asset: rice crackers with stir-fried clams and herbs on rustic table, no logo.","no readable text, no watermark, no logos, no fake signs, no unrelated Ha Long Bay/karst imagery for city-specific pages, no people as the main subject",Simulator screenshot plus phone spot-check before DONE,shared or legacy fallback; replace with unique app-owned generated realistic asset,docs/editorial-exports/viet-image-assets/hero-image-production-001/generated_hero_assets.json,Generate a unique realistic menu-quality image for this exact city noun; do not reuse the city masthead or another place image.
P0,NEEDS_UNIQUE_REALISTIC_ASSET,viet-family-city-hue-place-banh-khoai,Bánh khoái ở Huế / Banh khoai,dish,HeroCityHue,HeroCityHuePlaceBanhKhoai,native-ios/Resources/Assets.xcassets/HeroCityHue.imageset/hero-city-hue.png,,853 x 1844,,853 x 1844,>= 1600 x 2400 preferred,PhraseListingView HeroMastheadImage,"center 50%, upper 32%; food or entrance must remain visible after fade",Recognizable subject must survive the top 276pt masthead crop; keep the key visual in the upper third and center 70% width.,city_place_requires_unique_realistic_hero,"Generate owned/licensed hero, crop to repo target, wire heroImageName through source/resources/SQLite, and capture simulator proof.","Create a super-realistic app-owned hero photo for a Vietnamese travel phrasebook, matching the premium real-life menu-item hero image quality. No readable text, no logos, no watermarks, no faces as the subject. Keep the main landmark/object recognizable inside the upper third because the iOS masthead crops a shallow horizontal band. Show Bánh khoái ở Huế / Banh khoai as an appetizing Vietnamese dish close-up with clean natural light and room for the masthead fade. Specific subject guidance: Photorealistic crisp yellow Hue bánh khoái with herbs, fig, starfruit, and dipping sauce.","no readable text, no watermark, no logos, no fake signs, no unrelated Ha Long Bay/karst imagery for city-specific pages, no people as the main subject",Simulator screenshot plus phone spot-check before DONE,shared or legacy fallback; replace with unique app-owned generated realistic asset,docs/editorial-exports/viet-image-assets/hero-image-production-001/generated_hero_assets.json,Generate a unique realistic menu-quality image for this exact city noun; do not reuse the city masthead or another place image.
P0,NEEDS_UNIQUE_REALISTIC_ASSET,viet-family-city-hoian-place-banh-mi,Bánh mì Hội An / Banh mi in Hoi An,dish,HeroCityHoian,HeroCityHoianPlaceBanhMi,native-ios/Resources/Assets.xcassets/HeroCityHoian.imageset/hero-city-hoian.png,,853 x 1844,,853 x 1844,>= 1600 x 2400 preferred,PhraseListingView HeroMastheadImage,"center 50%, upper 32%; food or entrance must remain visible after fade",Recognizable subject must survive the top 276pt masthead crop; keep the key visual in the upper third and center 70% width.,city_place_requires_unique_realistic_hero,"Generate owned/licensed hero, crop to repo target, wire heroImageName through source/resources/SQLite, and capture simulator proof.","Create a super-realistic app-owned hero photo for a Vietnamese travel phrasebook, matching the premium real-life menu-item hero image quality. No readable text, no logos, no watermarks, no faces as the subject. Keep the main landmark/object recognizable inside the upper third because the iOS masthead crops a shallow horizontal band. Show Bánh mì Hội An / Banh mi in Hoi An as an appetizing Vietnamese dish close-up with clean natural light and room for the masthead fade. Specific subject guidance: Photorealistic owned asset: Hoi An-style banh mi with fresh herbs on paper wrapper, street counter, no branding.","no readable text, no watermark, no logos, no fake signs, no unrelated Ha Long Bay/karst imagery for city-specific pages, no people as the main subject",Simulator screenshot plus phone spot-check before DONE,shared or legacy fallback; replace with unique app-owned generated realistic asset,docs/editorial-exports/viet-image-assets/hero-image-production-001/generated_hero_assets.json,Generate a unique realistic menu-quality image for this exact city noun; do not reuse the city masthead or another place image.
P0,NEEDS_UNIQUE_REALISTIC_ASSET,viet-family-city-danang-place-banh-mi,Bánh mì ở Đà Nẵng / Banh mi,dish,HeroCityDanang,HeroCityDanangPlaceBanhMi,native-ios/Resources/Assets.xcassets/HeroCityDanang.imageset/hero-city-danang.png,,853 x 1844,,853 x 1844,>= 1600 x 2400 preferred,PhraseListingView HeroMastheadImage,"center 50%, upper 32%; food or entrance must remain visible after fade",Recognizable subject must survive the top 276pt masthead crop; keep the key visual in the upper third and center 70% width.,city_place_requires_unique_realistic_hero,"Generate owned/licensed hero, crop to repo target, wire heroImageName through source/resources/SQLite, and capture simulator proof.","Create a super-realistic app-owned hero photo for a Vietnamese travel phrasebook, matching the premium real-life menu-item hero image quality. No readable text, no logos, no watermarks, no faces as the subject. Keep the main landmark/object recognizable inside the upper third because the iOS masthead crops a shallow horizontal band. Show Bánh mì ở Đà Nẵng / Banh mi as an appetizing Vietnamese dish close-up with clean natural light and room for the masthead fade. Specific subject guidance: Photorealistic owned asset: crisp Vietnamese baguette sandwich with herbs on paper, street counter background.","no readable text, no watermark, no logos, no fake signs, no unrelated Ha Long Bay/karst imagery for city-specific pages, no people as the main subject",Simulator screenshot plus phone spot-check before DONE,shared or legacy fallback; replace with unique app-owned generated realistic asset,docs/editorial-exports/viet-image-assets/hero-image-production-001/generated_hero_assets.json,Generate a unique realistic menu-quality image for this exact city noun; do not reuse the city masthead or another place image.
P0,NEEDS_UNIQUE_REALISTIC_ASSET,viet-family-city-hcmc-place-banh-mi,Bánh mì ở Thành phố Hồ Chí Minh / Banh mi,dish,HeroCityHcmc,HeroCityHcmcPlaceBanhMi,native-ios/Resources/Assets.xcassets/HeroCityHcmc.imageset/hero-city-hcmc.png,,853 x 1844,,853 x 1844,>= 1600 x 2400 preferred,PhraseListingView HeroMastheadImage,"center 50%, upper 32%; food or entrance must remain visible after fade",Recognizable subject must survive the top 276pt masthead crop; keep the key visual in the upper third and center 70% width.,city_place_requires_unique_realistic_hero,"Generate owned/licensed hero, crop to repo target, wire heroImageName through source/resources/SQLite, and capture simulator proof.","Create a super-realistic app-owned hero photo for a Vietnamese travel phrasebook, matching the premium real-life menu-item hero image quality. No readable text, no logos, no watermarks, no faces as the subject. Keep the main landmark/object recognizable inside the upper third because the iOS masthead crops a shallow horizontal band. Show Bánh mì ở Thành phố Hồ Chí Minh / Banh mi as an appetizing Vietnamese dish close-up with clean natural light and room for the masthead fade. Specific subject guidance: Saigon bánh mì with pate, herbs, pickled vegetables, street cart backdrop, realistic photo.","no readable text, no watermark, no logos, no fake signs, no unrelated Ha Long Bay/karst imagery for city-specific pages, no people as the main subject",Simulator screenshot plus phone spot-check before DONE,shared or legacy fallback; replace with unique app-owned generated realistic asset,docs/editorial-exports/viet-image-assets/hero-image-production-001/generated_hero_assets.json,Generate a unique realistic menu-quality image for this exact city noun; do not reuse the city masthead or another place image.
P0,NEEDS_UNIQUE_REALISTIC_ASSET,viet-family-city-hue-place-banh-nam,Bánh nậm ở Huế / Banh nam,dish,HeroCityHue,HeroCityHuePlaceBanhNam,native-ios/Resources/Assets.xcassets/HeroCityHue.imageset/hero-city-hue.png,,853 x 1844,,853 x 1844,>= 1600 x 2400 preferred,PhraseListingView HeroMastheadImage,"center 50%, upper 32%; food or entrance must remain visible after fade",Recognizable subject must survive the top 276pt masthead crop; keep the key visual in the upper third and center 70% width.,city_place_requires_unique_realistic_hero,"Generate owned/licensed hero, crop to repo target, wire heroImageName through source/resources/SQLite, and capture simulator proof.","Create a super-realistic app-owned hero photo for a Vietnamese travel phrasebook, matching the premium real-life menu-item hero image quality. No readable text, no logos, no watermarks, no faces as the subject. Keep the main landmark/object recognizable inside the upper third because the iOS masthead crops a shallow horizontal band. Show Bánh nậm ở Huế / Banh nam as an appetizing Vietnamese dish close-up with clean natural light and room for the masthead fade. Specific subject guidance: Photorealistic opened banana-leaf bánh nậm with shrimp topping, fish sauce bowl, Hue table.","no readable text, no watermark, no logos, no fake signs, no unrelated Ha Long Bay/karst imagery for city-specific pages, no people as the main subject",Simulator screenshot plus phone spot-check before DONE,shared or legacy fallback; replace with unique app-owned generated realistic asset,docs/editorial-exports/viet-image-assets/hero-image-production-001/generated_hero_assets.json,Generate a unique realistic menu-quality image for this exact city noun; do not reuse the city masthead or another place image.
P0,NEEDS_UNIQUE_REALISTIC_ASSET,viet-family-city-danang-place-banh-trang-cuon-thit-heo,Bánh tráng cuốn thịt heo ở Đà Nẵng / Pork rice-paper rolls,dish,HeroCityDanang,HeroCityDanangPlaceBanhTrangCuonThitHeo,native-ios/Resources/Assets.xcassets/HeroCityDanang.imageset/hero-city-danang.png,,853 x 1844,,853 x 1844,>= 1600 x 2400 preferred,PhraseListingView HeroMastheadImage,"center 50%, upper 32%; food or entrance must remain visible after fade",Recognizable subject must survive the top 276pt masthead crop; keep the key visual in the upper third and center 70% width.,city_place_requires_unique_realistic_hero,"Generate owned/licensed hero, crop to repo target, wire heroImageName through source/resources/SQLite, and capture simulator proof.","Create a super-realistic app-owned hero photo for a Vietnamese travel phrasebook, matching the premium real-life menu-item hero image quality. No readable text, no logos, no watermarks, no faces as the subject. Keep the main landmark/object recognizable inside the upper third because the iOS masthead crops a shallow horizontal band. Show Bánh tráng cuốn thịt heo ở Đà Nẵng / Pork rice-paper rolls as an appetizing Vietnamese dish close-up with clean natural light and room for the masthead fade. Specific subject guidance: Photorealistic owned asset: sliced pork, rice paper, herbs, and dipping bowl arranged for rolling, daylight.","no readable text, no watermark, no logos, no fake signs, no unrelated Ha Long Bay/karst imagery for city-specific pages, no people as the main subject",Simulator screenshot plus phone spot-check before DONE,shared or legacy fallback; replace with unique app-owned generated realistic asset,docs/editorial-exports/viet-image-assets/hero-image-production-001/generated_hero_assets.json,Generate a unique realistic menu-quality image for this exact city noun; do not reuse the city masthead or another place image.
P0,NEEDS_UNIQUE_REALISTIC_ASSET,viet-family-city-hoian-place-banh-xeo,Bánh xèo Hội An / Hoi An banh xeo,dish,HeroCityHoian,HeroCityHoianPlaceBanhXeo,native-ios/Resources/Assets.xcassets/HeroCityHoian.imageset/hero-city-hoian.png,,853 x 1844,,853 x 1844,>= 1600 x 2400 preferred,PhraseListingView HeroMastheadImage,"center 50%, upper 32%; food or entrance must remain visible after fade",Recognizable subject must survive the top 276pt masthead crop; keep the key visual in the upper third and center 70% width.,city_place_requires_unique_realistic_hero,"Generate owned/licensed hero, crop to repo target, wire heroImageName through source/resources/SQLite, and capture simulator proof.","Create a super-realistic app-owned hero photo for a Vietnamese travel phrasebook, matching the premium real-life menu-item hero image quality. No readable text, no logos, no watermarks, no faces as the subject. Keep the main landmark/object recognizable inside the upper third because the iOS masthead crops a shallow horizontal band. Show Bánh xèo Hội An / Hoi An banh xeo as an appetizing Vietnamese dish close-up with clean natural light and room for the masthead fade. Specific subject guidance: Photorealistic owned asset: small crispy pancakes with herbs and dipping sauce, warm street-food light.","no readable text, no watermark, no logos, no fake signs, no unrelated Ha Long Bay/karst imagery for city-specific pages, no people as the main subject",Simulator screenshot plus phone spot-check before DONE,shared or legacy fallback; replace with unique app-owned generated realistic asset,docs/editorial-exports/viet-image-assets/hero-image-production-001/generated_hero_assets.json,Generate a unique realistic menu-quality image for this exact city noun; do not reuse the city masthead or another place image.
P0,NEEDS_UNIQUE_REALISTIC_ASSET,viet-family-city-danang-place-banh-xeo,Bánh xèo ở Đà Nẵng / Banh xeo,dish,HeroCityDanang,HeroCityDanangPlaceBanhXeo,native-ios/Resources/Assets.xcassets/HeroCityDanang.imageset/hero-city-danang.png,,853 x 1844,,853 x 1844,>= 1600 x 2400 preferred,PhraseListingView HeroMastheadImage,"center 50%, upper 32%; food or entrance must remain visible after fade",Recognizable subject must survive the top 276pt masthead crop; keep the key visual in the upper third and center 70% width.,city_place_requires_unique_realistic_hero,"Generate owned/licensed hero, crop to repo target, wire heroImageName through source/resources/SQLite, and capture simulator proof.","Create a super-realistic app-owned hero photo for a Vietnamese travel phrasebook, matching the premium real-life menu-item hero image quality. No readable text, no logos, no watermarks, no faces as the subject. Keep the main landmark/object recognizable inside the upper third because the iOS masthead crops a shallow horizontal band. Show Bánh xèo ở Đà Nẵng / Banh xeo as an appetizing Vietnamese dish close-up with clean natural light and room for the masthead fade. Specific subject guidance: Photorealistic owned asset: golden bánh xèo folded with herbs and dipping sauce, casual table, no hands.","no readable text, no watermark, no logos, no fake signs, no unrelated Ha Long Bay/karst imagery for city-specific pages, no people as the main subject",Simulator screenshot plus phone spot-check before DONE,shared or legacy fallback; replace with unique app-owned generated realistic asset,docs/editorial-exports/viet-image-assets/hero-image-production-001/generated_hero_assets.json,Generate a unique realistic menu-quality image for this exact city noun; do not reuse the city masthead or another place image.
