priority,pageID,title,englishTitle,intent,sectionID,kind,audioKey,text
p0,viet-family-city-danang-place-3d-art-in-paradise,Bảo tàng 3D Art in Paradise Đà Nẵng,3D Art in Paradise Da Nang,landmark_micro_place,hero,hero,audio-authored-bao-tang-3d-art-in-paradise-da-nang-876cffcc8a,Bảo tàng 3D Art in Paradise Đà Nẵng
p0,viet-family-city-danang-place-43-factory,43 Factory Coffee Roaster,43 Factory Coffee Roaster,restaurant,hero,hero,audio-authored-43-factory-coffee-roaster-4247b0ac7c,43 Factory Coffee Roaster
p0,viet-family-city-danang-place-an-thuong-street-area,Khu An Thượng,An Thuong Area,landmark_micro_place,hero,hero,audio-authored-khu-an-thuong-8c285b8ac8,Khu An Thượng
p0,viet-family-city-danang-place-ba-na-cable-car,Cáp treo Bà Nà,Ba Na cable car,landmark_micro_place,hero,hero,audio-authored-cap-treo-ba-na-d3523e4c50,Cáp treo Bà Nà
p0,viet-family-city-danang-place-bac-my-an-market,Chợ Bắc Mỹ An,Bac My An Market,landmark_micro_place,hero,hero,audio-authored-cho-bac-my-an-9fa3d7ba23,Chợ Bắc Mỹ An
p0,viet-family-city-danang-place-banh-canh-yen,Bánh Canh Yến,Banh Canh Yen,restaurant,hero,hero,audio-authored-banh-canh-yen-c40091492f,Bánh Canh Yến
p0,viet-family-city-danang-place-banh-mi,Bánh mì ở Đà Nẵng,Banh mi,dish,hero,hero,audio-authored-banh-mi-o-da-nang-1d20249b49,Bánh mì ở Đà Nẵng
p0,viet-family-city-danang-place-banh-trang-cuon-thit-heo,Bánh tráng cuốn thịt heo ở Đà Nẵng,Pork rice-paper rolls,dish,hero,hero,audio-authored-banh-trang-cuon-thit-heo-o-da-nang-455a3cc309,Bánh tráng cuốn thịt heo ở Đà Nẵng
p0,viet-family-city-danang-place-banh-xeo,Bánh xèo ở Đà Nẵng,Banh xeo,dish,hero,hero,audio-authored-banh-xeo-o-da-nang-2735c00c8e,Bánh xèo ở Đà Nẵng
p0,viet-family-city-danang-place-banh-xeo-ba-duong,Bánh xèo Bà Dưỡng,Banh Xeo Ba Duong,restaurant,hero,hero,audio-authored-banh-xeo-ba-duong-7d597481a3,Bánh xèo Bà Dưỡng
p0,viet-family-city-danang-place-be-man,Hải sản Bé Mặn,Be Man Seafood,restaurant,hero,hero,audio-authored-hai-san-be-man-b0b8dce551,Hải sản Bé Mặn
p0,viet-family-city-danang-place-bep-cuon,Bếp Cuốn Đà Nẵng,Bep Cuon Da Nang,restaurant,hero,hero,audio-authored-bep-cuon-da-nang-b61b13e0b1,Bếp Cuốn Đà Nẵng
p0,viet-family-city-danang-place-bep-hen,Bếp Hên,Bep Hen,restaurant,hero,hero,audio-authored-bep-hen-773437f1c7,Bếp Hên
p0,viet-family-city-danang-place-boulevard-gelato-coffee,Boulevard Gelato & Coffee,Boulevard Gelato & Coffee,restaurant,hero,hero,audio-authored-boulevard-gelato-coffee-8e47e93407,Boulevard Gelato & Coffee
p0,viet-family-city-danang-place-bun-cha-ca,Bún chả cá ở Đà Nẵng,Fish-cake noodle soup,dish,hero,hero,audio-authored-bun-cha-ca-o-da-nang-705aba09b0,Bún chả cá ở Đà Nẵng
p0,viet-family-city-danang-place-bun-cha-ca-109,Bún Chả Cá 109,Bun Cha Ca 109,restaurant,hero,hero,audio-authored-bun-cha-ca-109-c338ad5d29,Bún Chả Cá 109
p0,viet-family-city-danang-place-bun-cha-ca-hon,Bún Chả Cá Hờn,Bun Cha Ca Hon,restaurant,hero,hero,audio-authored-bun-cha-ca-hon-38a7c8337d,Bún Chả Cá Hờn
p0,viet-family-city-danang-place-bun-rieu-cua-39,Bún Riêu Cua 39,Bun Rieu Cua 39,restaurant,hero,hero,audio-authored-bun-rieu-cua-39-074258d216,Bún Riêu Cua 39
p0,viet-family-city-danang-place-central-bus-station,Bến xe Trung tâm Đà Nẵng,Da Nang Central Bus Station,landmark_micro_place,hero,hero,audio-authored-ben-xe-trung-tam-da-nang-463e92a995,Bến xe Trung tâm Đà Nẵng
p0,viet-family-city-danang-place-che-xoa-xoa-hat-luu,Chè xoa xoa hạt lựu ở Đà Nẵng,Da Nang sweet soup,dish,hero,hero,audio-authored-che-xoa-xoa-hat-luu-o-da-nang-a5821089d2,Chè xoa xoa hạt lựu ở Đà Nẵng
p0,viet-family-city-danang-place-co-chu-nho,Cô Chủ Nhỏ,Co Chu Nho,restaurant,hero,hero,audio-authored-co-chu-nho-6c047e6fd2,Cô Chủ Nhỏ
p0,viet-family-city-danang-place-cong-caphe-bach-dang,Cộng Cà Phê Bạch Đằng,Cong Caphe Bach Dang,restaurant,hero,hero,audio-authored-cong-ca-phe-bach-dang-2c652cc1dc,Cộng Cà Phê Bạch Đằng
p0,viet-family-city-danang-place-domestic-terminal,Nhà ga quốc nội Đà Nẵng,Da Nang Domestic Terminal,landmark_micro_place,hero,hero,audio-authored-nha-ga-quoc-noi-da-nang-40e993a6ef,Nhà ga quốc nội Đà Nẵng
p0,viet-family-city-danang-place-dong-dinh-museum,Bảo tàng Đồng Đình,Dong Dinh Museum,landmark_micro_place,hero,hero,audio-authored-bao-tang-dong-dinh-cf5f1ba634,Bảo tàng Đồng Đình
p0,viet-family-city-danang-place-dragon-bridge-fire-show,Màn phun lửa Cầu Rồng,Dragon Bridge fire show,landmark_micro_place,hero,hero,audio-authored-man-phun-lua-cau-rong-ef0acea405,Màn phun lửa Cầu Rồng
p0,viet-family-city-danang-place-dragon-carp-statue,Tượng Cá Chép Hóa Rồng,Dragon Carp Statue,landmark_micro_place,hero,hero,audio-authored-tuong-ca-chep-hoa-rong-62ee5b668d,Tượng Cá Chép Hóa Rồng
p0,viet-family-city-danang-place-fatfish,Fatfish,Fatfish Restaurant & Lounge Bar,restaurant,hero,hero,audio-authored-fatfish-77bacaf1d7,Fatfish
p0,viet-family-city-danang-place-fine-arts-museum,Bảo tàng Mỹ thuật Đà Nẵng,Da Nang Fine Arts Museum,landmark_micro_place,hero,hero,audio-authored-bao-tang-my-thuat-da-nang-4bed4b335b,Bảo tàng Mỹ thuật Đà Nẵng
p0,viet-family-city-danang-place-hai-chau-district,Quận Hải Châu,Hai Chau District,landmark_micro_place,hero,hero,audio-authored-quan-hai-chau-e9dfcd0d86,Quận Hải Châu
p0,viet-family-city-danang-place-hai-san,Hải sản ở Đà Nẵng,Seafood,dish,hero,hero,audio-authored-hai-san-o-da-nang-62e0fef87b,Hải sản ở Đà Nẵng
p0,viet-family-city-danang-place-hai-van-pass,Đèo Hải Vân,Hai Van Pass,landmark_micro_place,hero,hero,audio-authored-deo-hai-van-906d42d44f,Đèo Hải Vân
p0,viet-family-city-danang-place-hai-van-pass-ride,Chuyến đi đèo Hải Vân,Hai Van Pass ride,landmark_micro_place,hero,hero,audio-authored-chuyen-di-deo-hai-van-e9f100d753,Chuyến đi đèo Hải Vân
p0,viet-family-city-danang-place-han-river-cruise,Du thuyền sông Hàn,Han River cruise,landmark_micro_place,hero,hero,audio-authored-du-thuyen-song-han-a698e03c72,Du thuyền sông Hàn
p0,viet-family-city-danang-place-hoa-phu-thanh,Khu du lịch Hòa Phú Thành,Hoa Phu Thanh,landmark_micro_place,hero,hero,audio-authored-khu-du-lich-hoa-phu-thanh-9b26365673,Khu du lịch Hòa Phú Thành
p0,viet-family-city-danang-place-hoa-trung-lake,Hồ Hòa Trung,Hoa Trung Lake,landmark_micro_place,hero,hero,audio-authored-ho-hoa-trung-7b6b9f09bc,Hồ Hòa Trung
