example_number,title,city,category,use_as
1,Chợ Hàn (Hàn Market),Đà Nẵng,Market,primary_anchor
2,Làng hương Thủy Xuân (Thủy Xuân Incense Village),Huế,Craft Village,secondary_anchor
3,Đường Đồng Khởi (Đồng Khởi Street),Ho Chi Minh City,Historic Street,secondary_anchor
4,The Note Coffee,Hà Nội,Café,primary_anchor
5,White Rose Restaurant,Hội An,Restaurant / Dish,secondary_anchor
6,Bà Lễ Well / Bale Well,Hội An,Restaurant,primary_anchor
7,Chợ Cồn,Đà Nẵng,Market,secondary_anchor
8,Cà phê Giảng,Hà Nội,Café,primary_anchor
9,Dragon Bridge / Cầu Rồng,Đà Nẵng,Landmark,primary_anchor
10,Bánh Mì Phượng,Hội An,Restaurant,secondary_anchor
11,Chợ Lớn,Ho Chi Minh City,Neighborhood,secondary_anchor
12,Lập An Lagoon / Đầm Lập An,Huế / Lăng Cô,Nature,secondary_anchor
13,Ba Na Hills / Bà Nà Hills,Đà Nẵng,Theme Park / Landmark,primary_anchor
14,Museum of Cham Sculpture,Đà Nẵng,Museum,primary_anchor
15,Perfume River / Sông Hương,Huế,River / Cultural Route,primary_anchor
16,Bùi Viện Walking Street,Ho Chi Minh City,Nightlife Street,primary_anchor
17,Da Nang Museum / Bảo tàng Đà Nẵng,Đà Nẵng,Museum,secondary_anchor
18,Chợ Bắc Mỹ An (Bắc Mỹ An Market),Đà Nẵng,Market,secondary_anchor
19,Madam Khanh,The Banh Mi Queen,Hội An - Restaurant,secondary_anchor
20,Japan Town Saigon,Ho Chi Minh City,Neighborhood,primary_anchor
21,Vườn quốc gia Bạch Mã (Bạch Mã National Park),Huế / Đà Nẵng Region,Nature,secondary_anchor
22,Morning Glory Original,Hội An,Restaurant,secondary_anchor
23,Da Nang Fine Arts Museum / Bảo tàng Mỹ thuật Đà Nẵng,Đà Nẵng,Museum,secondary_anchor
24,Chợ đêm Sơn Trà (Sơn Trà Night Market),Đà Nẵng,Night Market,secondary_anchor
25,Thảo Điền,Ho Chi Minh City,Neighborhood,secondary_anchor
26,Phá Tam Giang (Tam Giang Lagoon),Huế,Lagoon / Experience,secondary_anchor
27,Cầu Tình Yêu (Love Lock Bridge),Đà Nẵng,Landmark,secondary_anchor
28,Chợ đêm Helio (Helio Night Market),Đà Nẵng,Night Market,secondary_anchor
29,Quận 3 (District 3),Ho Chi Minh City,Neighborhood,secondary_anchor
30,Đồi Vọng Cảnh (Vọng Cảnh Hill),Huế,Viewpoint / Nature,secondary_anchor
31,Cà phê Đinh (Đinh Café),Hà Nội,Café,secondary_anchor
