"rank","scenario_id","phrase_id","english_text","current_status","pack_bucket","access_tier_candidate","next_action","priority_reason","confidence","review_flag","relation_cluster_id","family_role","anchor_phrase_id","shortest_form_phrase_id","clearer_or_more_polite_phrase_id","likely_reply_family","primary_next_family","repair_family","parked_follow_on_family","parked_follow_on_class"
"1","simple-problems","tagalog-simple-problems-2","I don't understand","first-wave-core","starter-core","starter","translate-now","Starter handoff core repair anchor for fast replies and the safest pressure-release sentence in the seed pack.","high","none","tagalog-repair-understand","anchor","tagalog-simple-problems-2","tagalog-simple-problems-2","","","tagalog-simple-problems-3","tagalog-directions-1","tagalog-simple-problems-7","later-only-hold"
"2","simple-problems","tagalog-simple-problems-3","Can you speak a little slower?","first-wave-core","starter-core","starter","translate-now","Starter handoff core slower-speech request that pairs directly with the repair layer before deeper comprehension exists.","high","none","tagalog-repair-slower","anchor","tagalog-simple-problems-3","tagalog-simple-problems-3","","tagalog-polite-basics-3","tagalog-polite-basics-3","tagalog-directions-1","tagalog-directions-1","recommended-next-pass-pickup"
"3","grab-taxi","tagalog-grab-taxi-1","Please take me here","first-wave-core","starter-core","starter","translate-now","Starter handoff core show-screen ride phrase and one of the fastest ways to make the transport lane useful.","high","none","tagalog-ride-destination","anchor","tagalog-grab-taxi-1","tagalog-grab-taxi-1","","","tagalog-grab-taxi-3","tagalog-simple-problems-2","tagalog-directions-1","recommended-next-pass-pickup"
"4","grab-taxi","tagalog-grab-taxi-3","You can stop here","first-wave-core","starter-core","starter","translate-now","Starter handoff core drop-off control phrase for hotel arrivals, curbside stops, and short rides.","high","none","tagalog-ride-stop","anchor","tagalog-grab-taxi-3","tagalog-grab-taxi-3","","","tagalog-polite-basics-2","tagalog-simple-problems-2","tagalog-grab-taxi-7","later-only-hold"
"5","asking-price","tagalog-asking-price-1","How much is this?","first-wave-core","starter-core","starter","translate-now","Starter handoff core purchase phrase for markets, kiosks, counters, and quick shopping decisions.","high","none","tagalog-price-check","anchor","tagalog-asking-price-1","tagalog-asking-price-1","","","tagalog-asking-price-6","tagalog-simple-problems-2","tagalog-convenience-store-6","recommended-next-pass-pickup"
"6","convenience-store","tagalog-convenience-store-1","A bottle of water, please","first-wave-core","starter-core","starter","translate-now","Starter handoff core low-friction retail line that gives the pack an easy hydration win.","high","none","tagalog-store-water","anchor","tagalog-convenience-store-1","tagalog-convenience-store-1","","","tagalog-asking-price-1","tagalog-simple-problems-2","tagalog-convenience-store-6","recommended-next-pass-pickup"
"7","street-food","tagalog-street-food-3","Not spicy, please","first-wave-core","starter-core","starter","translate-now","Starter handoff core food-comfort phrase with good traveler value, but still worth a food-register caution.","medium","food-review","tagalog-food-not-spicy","anchor","tagalog-street-food-3","tagalog-street-food-3","","","tagalog-street-food-7","tagalog-simple-problems-2","",""
"8","directions","tagalog-directions-2","Is it near here?","first-wave-core","starter-core","starter","translate-now","Starter handoff core navigation repair line that works well with map showing and gestures.","high","none","tagalog-directions-near","anchor","tagalog-directions-2","tagalog-directions-2","","","tagalog-directions-3","tagalog-simple-problems-2","tagalog-directions-1","recommended-next-pass-pickup"
"9","directions","tagalog-directions-3","How long if I walk?","first-wave-core","starter-core","starter","translate-now","Starter handoff core route-decision question for short city transfers where walking versus riding matters.","medium","none","tagalog-directions-walk-time","anchor","tagalog-directions-3","tagalog-directions-3","","","tagalog-grab-taxi-1","tagalog-simple-problems-2","tagalog-directions-1","recommended-next-pass-pickup"
"10","polite-basics","tagalog-polite-basics-5","Excuse me","first-wave-core","starter-core","starter","translate-now","Starter handoff core polite opener after narrowing the source toward attention-getting first and brief apology second.","high","none","tagalog-polite-excuse-me","anchor","tagalog-polite-basics-5","tagalog-polite-basics-5","","","tagalog-asking-price-1","tagalog-simple-problems-2","tagalog-directions-1","recommended-next-pass-pickup"
