phrase_id,scenario_id,audio_key,english_text,target_text,pronunciation,context,emoji,notes,status
indonesian-coffee-shop-1,coffee-shop,indonesian-coffee-shop-1,One iced milk coffee please,"Satu es kopi susu, tolong.",SAH-too ehs KOH-pee SOO-soo TOH-long,Use this for a standard iced coffee order.,,Holdout pass translated as a standard iced milk coffee order for cafes and drink counters.,holdout-pass-translated
indonesian-coffee-shop-2,coffee-shop,indonesian-coffee-shop-2,I would like an iced black coffee,Saya mau es kopi hitam.,SAH-yah mau ehs KOH-pee HEE-tahm,Use this when you want coffee without milk.,,Holdout pass translated as a simple black iced coffee order that stays easy to show on screen.,holdout-pass-translated
indonesian-coffee-shop-3,coffee-shop,indonesian-coffee-shop-3,I would like an iced latte,Saya mau es latte.,SAH-yah mau ehs LAH-teh,Useful when ordering a familiar milk coffee drink.,,Holdout pass translated with a loanword-friendly cafe surface instead of over-formal phrasing.,holdout-pass-translated
indonesian-coffee-shop-4,coffee-shop,indonesian-coffee-shop-4,Just a little ice,Esnya sedikit saja.,EHS-nyah suh-DEE-keet SAH-jah,Add this when you want less ice in your drink.,,Holdout pass translated as a short ice adjustment that pairs with the promoted coffee rows.,holdout-pass-translated
indonesian-coffee-shop-5,coffee-shop,indonesian-coffee-shop-5,Less sugar please,"Gulanya sedikit saja, tolong.",goo-LAH-nyah suh-DEE-keet SAH-jah TOH-long,Use this when you want a drink with less sugar or sweetness.,,Second-pack translated as a lighter sugar-adjustment request for cafes and drink counters.,second-pack-translated
indonesian-coffee-shop-6,coffee-shop,indonesian-coffee-shop-6,For takeaway,Untuk dibawa pulang.,oon-TOOK dee-BAH-wah POO-lahng,Say this when you want takeaway instead of staying.,,First-wave translated as the core takeaway line for cafes bakeries and drink counters.,first-wave-translated
indonesian-coffee-shop-7,coffee-shop,indonesian-coffee-shop-7,"Could I pay, please?","Bisa saya bayar sekarang?",BEE-sah SAH-yah BAH-yar suh-KAH-rahng,Use this when you are ready to pay or ask for the bill.,,First-wave translated as a polite pay-now request for cafes bakeries and casual counters.,first-wave-translated
indonesian-street-food-1,street-food,indonesian-street-food-1,One portion please,"Satu porsi, tolong.",SAH-too POR-see TOH-long,Use this for a simple food order while pointing.,,First-wave translated as a simple food-order line for stalls warungs and low-friction counters.,first-wave-translated
indonesian-street-food-2,street-food,indonesian-street-food-2,I would like this one,Saya mau yang ini.,SAH-yah mau yahng EE-nee,"Use this while pointing at the dish, snack, or prepared item you want.",,First-wave translated as a pointing-based order request that works across prepared dishes and snacks.,first-wave-translated
indonesian-street-food-3,street-food,indonesian-street-food-3,Not spicy please,Tolong jangan pedas.,TOH-long JAH-ngahn puh-DAHS,Say this before the food is prepared if you want mild food.,,First-wave translated as a polite spice-level request while keeping the food-review flag visible.,first-wave-translated
